Date,Open,High,Low,Close,Adj Close,Volume
1982-06-02,4.80556,4.87500,4.73611,4.76389,1.56455,1081800
1982-06-03,4.73611,4.76389,4.69444,4.69444,1.54174,672300
1982-06-04,4.63889,4.68056,4.58333,4.59722,1.50982,828900
1982-06-07,4.63889,4.69444,4.58333,4.66667,1.53262,287100
1982-06-08,4.63889,4.68056,4.59722,4.59722,1.50982,330300
1982-06-09,4.61111,4.63889,4.58333,4.59722,1.50982,841500
1982-06-10,4.59722,4.61111,4.58333,4.59722,1.50982,591300
1982-06-11,4.63889,4.68056,4.58333,4.62500,1.51894,1161000
1982-06-14,4.61111,4.62500,4.58333,4.58333,1.50526,498600
1982-06-15,4.61111,4.63889,4.58333,4.61111,1.51438,666900
1982-06-16,4.61111,4.63889,4.58333,4.61111,1.51438,239400
1982-06-17,4.55556,4.61111,4.48611,4.51389,1.48245,937800
1982-06-18,4.51389,4.55556,4.47222,4.51389,1.48245,1577700
1982-06-21,4.54167,4.56944,4.51389,4.56944,1.50069,1314000
1982-06-22,4.63889,4.72222,4.55556,4.72222,1.55087,702000
1982-06-23,4.87500,5.00000,4.73611,5.00000,1.64210,765000
1982-06-24,4.91667,4.97222,4.86111,4.91667,1.61473,720900
1982-06-25,4.93056,4.94444,4.90278,4.93056,1.61929,189000
1982-06-28,4.95833,5.00000,4.91667,4.94444,1.62385,223200
1982-06-29,5.01389,5.05556,4.95833,5.02778,1.65122,670500
1982-06-30,5.05556,5.06944,5.02778,5.05556,1.66034,1296000
1982-07-01,5.05556,5.08333,5.01389,5.05556,1.66034,903600
1982-07-02,5.11111,5.18056,5.02778,5.16667,1.69683,378900
1982-07-06,5.16667,5.20833,5.12500,5.16667,1.69683,527400
1982-07-07,5.11111,5.15278,5.05556,5.12500,1.68315,566100
1982-07-08,5.04167,5.13889,4.94444,5.04167,1.65578,641700
1982-07-09,5.01389,5.05556,4.95833,5.00000,1.64210,361800
1982-07-12,4.97222,5.00000,4.94444,4.98611,1.63753,921600
1982-07-13,4.98611,5.02778,4.94444,5.00000,1.64210,1000800
1982-07-14,4.95833,5.00000,4.94444,4.98611,1.63753,921600
1982-07-15,4.93056,5.02778,4.81944,4.81944,1.58280,684000
1982-07-16,4.81944,4.88889,4.75000,4.80556,1.57824,2254500
1982-07-19,4.77778,4.83333,4.72222,4.75000,1.55999,1497600
1982-07-20,4.81944,4.88889,4.75000,4.87500,1.60104,427500
1982-07-21,4.94444,5.00000,4.87500,4.93056,1.61929,549000
1982-07-22,4.95833,5.00000,4.90278,4.97222,1.63297,973800
1982-07-23,5.09722,5.16667,5.02778,5.12500,1.68315,341100
1982-07-26,5.05556,5.06944,5.02778,5.04167,1.65578,411300
1982-07-27,5.05556,5.06944,5.02778,5.04167,1.65578,1046700
1982-07-28,5.04167,5.06944,5.01389,5.02778,1.65122,781200
1982-07-29,5.04167,5.05556,5.01389,5.02778,1.65122,727200
1982-07-30,5.01389,5.05556,4.97222,5.04167,1.65578,1313100
1982-08-02,5.02778,5.09722,4.95833,5.06944,1.69099,1115100
1982-08-03,5.06944,5.09722,5.04167,5.05556,1.68636,1321200
1982-08-04,5.00000,5.02778,4.95833,4.98611,1.66319,638100
1982-08-05,4.87500,4.97222,4.76389,4.81944,1.60760,819900
1982-08-06,4.84722,4.87500,4.81944,4.83333,1.61223,691200
1982-08-09,4.83333,4.86111,4.80556,4.86111,1.62150,567000
1982-08-10,4.86111,4.88889,4.83333,4.87500,1.62613,463500
1982-08-11,4.88889,4.91667,4.86111,4.90278,1.63540,248400
1982-08-12,4.88889,4.91667,4.86111,4.88889,1.63076,338400
1982-08-13,4.95833,5.02778,4.87500,5.02778,1.67709,688500
1982-08-16,5.05556,5.08333,5.01389,5.05556,1.68636,940500
1982-08-17,5.16667,5.25000,5.06944,5.25000,1.75122,1505700
1982-08-18,5.33333,5.41667,5.25000,5.26389,1.75585,2105100
1982-08-19,5.31944,5.36111,5.27778,5.30556,1.76975,1035000
1982-08-20,5.31944,5.34722,5.29167,5.34722,1.78365,1650600
1982-08-23,5.50000,5.66667,5.33333,5.58333,1.86241,1472400
1982-08-24,5.65278,5.70833,5.59722,5.62500,1.87630,1353600
1982-08-25,5.73611,5.84722,5.61111,5.84722,1.95043,688500
1982-08-26,5.95833,6.01389,5.90278,5.91667,1.97359,2550600
1982-08-27,5.88889,5.93056,5.83333,5.84722,1.95043,792000
1982-08-30,5.81944,5.88889,5.73611,5.84722,1.95043,1009800
1982-08-31,5.95833,6.05556,5.86111,6.02778,2.01066,932400
1982-09-01,6.04167,6.09722,5.97222,6.06944,2.02456,919800
1982-09-02,6.12500,6.22222,6.02778,6.16667,2.05698,1198800
1982-09-03,6.15278,6.23611,6.05556,6.11111,2.03845,1855800
1982-09-07,5.93056,6.00000,5.84722,5.91667,1.97359,1188000
1982-09-08,5.86111,5.90278,5.80556,5.87500,1.95970,1027800
1982-09-09,5.90278,5.95833,5.83333,5.86111,1.95506,1611900
1982-09-10,5.84722,5.87500,5.80556,5.86111,1.95506,1086300
1982-09-13,5.90278,5.98611,5.80556,5.97222,1.99212,1084500
1982-09-14,6.09722,6.13889,6.05556,6.12500,2.04309,1207800
1982-09-15,6.06944,6.11111,6.01389,6.09722,2.03382,1224900
1982-09-16,6.02778,6.11111,5.94444,5.94444,1.98286,1817100
1982-09-17,5.93056,5.97222,5.87500,5.87500,1.95970,1534500
1982-09-20,5.88889,5.95833,5.81944,5.94444,1.98286,963900
1982-09-21,6.05556,6.11111,5.98611,6.11111,2.03845,1336500
1982-09-22,6.15278,6.22222,6.06944,6.06944,2.02456,2179800
1982-09-23,6.00000,6.04167,5.95833,6.02778,2.01066,893700
1982-09-24,6.02778,6.05556,6.00000,6.00000,2.00139,669600
1982-09-27,6.02778,6.06944,5.98611,6.05556,2.01992,340200
1982-09-28,6.18056,6.23611,6.11111,6.16667,2.05698,1337400
1982-09-29,6.27778,6.38889,6.15278,6.25000,2.08478,1468800
1982-09-30,6.19444,6.23611,6.15278,6.16667,2.05698,897300
1982-10-01,6.18056,6.22222,6.13889,6.22222,2.07552,738000
1982-10-04,6.19444,6.22222,6.16667,6.18056,2.06162,866700
1982-10-05,6.20833,6.22222,6.18056,6.19444,2.06625,413100
1982-10-06,6.22222,6.26389,6.18056,6.23611,2.08015,906300
1982-10-07,6.37500,6.44444,6.30556,6.37500,2.12648,1595700
1982-10-08,6.37500,6.40278,6.33333,6.37500,2.12648,933300
1982-10-11,6.26389,6.29167,6.23611,6.26389,2.08942,1193400
1982-10-12,6.13889,6.22222,6.05556,6.18056,2.06162,3811500
1982-10-13,6.29167,6.37500,6.19444,6.33333,2.11258,1512000
1982-10-14,6.38889,6.43056,6.33333,6.34722,2.11721,1131300
1982-10-15,6.45833,6.55556,6.34722,6.52778,2.17744,877500
1982-10-18,6.55556,6.80556,6.48611,6.80556,2.27010,944100
1982-10-19,6.83333,6.86111,6.79167,6.80556,2.27010,534600
1982-10-20,6.77778,6.86111,6.69444,6.75000,2.25156,730800
1982-10-21,6.91667,7.05556,6.77778,7.02778,2.34422,985500
1982-10-22,7.13889,7.22222,7.04167,7.15278,2.38592,1147500
1982-10-25,7.01389,7.08333,6.93056,6.94444,2.31642,1245600
1982-10-26,6.66667,6.79167,6.52778,6.68056,2.22840,2535300
1982-10-27,6.34722,6.44444,6.23611,6.40278,2.13574,4216500
1982-10-28,6.38889,6.51389,6.26389,6.29167,2.09868,1994400
1982-10-29,6.26389,6.31944,6.20833,6.23611,2.10619,2260800
1982-11-01,6.18056,6.23611,6.12500,6.23611,2.10619,1285200
1982-11-02,6.38889,6.48611,6.27778,6.40278,2.16248,1403100
1982-11-03,6.62500,6.72222,6.51389,6.70833,2.26568,2160900
1982-11-04,6.76389,6.90278,6.61111,6.63889,2.24222,1599300
1982-11-05,6.54167,6.58333,6.50000,6.55556,2.21408,2504700
1982-11-08,6.54167,6.58333,6.50000,6.51389,2.20000,641700
1982-11-09,6.59722,6.63889,6.54167,6.62500,2.23753,1701900
1982-11-10,6.66667,6.72222,6.61111,6.63889,2.24222,1550700
1982-11-11,6.61111,6.65278,6.55556,6.58333,2.22346,1210500
1982-11-12,6.58333,6.65278,6.50000,6.54167,2.20939,1927800
1982-11-15,6.43056,6.48611,6.36111,6.38889,2.15778,561600
1982-11-16,6.15278,6.19444,6.11111,6.18056,2.08742,1605600
1982-11-17,6.22222,6.26389,6.16667,6.19444,2.09211,2406600
1982-11-18,6.20833,6.22222,6.18056,6.20833,2.09681,1740600
1982-11-19,6.19444,6.22222,6.16667,6.19444,2.09211,1028700
1982-11-22,6.20833,6.23611,6.18056,6.18056,2.08742,839700
1982-11-23,6.23611,6.30556,6.16667,6.27778,2.12026,887400
1982-11-24,6.38889,6.50000,6.26389,6.45833,2.18124,616500
