Date,Open,High,Low,Close,Adj Close,Volume
1995-11-21,1.07812,1.32812,1.07812,1.28125,1.07194,51412800
1995-11-22,1.28125,1.60938,1.26562,1.56250,1.30725,11921600
1995-11-24,1.56250,1.70312,1.56250,1.68750,1.41183,2419200
1995-11-27,1.78125,1.81250,1.53125,1.57812,1.32032,6720000
1995-11-28,1.57812,1.60938,1.56250,1.59375,1.33339,3451200
1995-11-29,1.56250,1.81250,1.56250,1.79688,1.50334,3628800
1995-11-30,1.79688,1.98438,1.76562,1.89062,1.58177,8254400
1995-12-01,1.92188,1.96875,1.85938,1.87500,1.56870,2616000
1995-12-04,1.87500,2.40625,1.87500,2.34375,1.96087,5961600
1995-12-05,2.34375,2.37500,2.20312,2.21094,1.84976,2907200
1995-12-06,2.23438,2.26562,2.07812,2.09375,1.75171,3456000
1995-12-07,2.09375,2.09375,1.98438,1.98438,1.66020,2665600
1995-12-08,1.98438,2.26562,1.98438,2.20312,1.84322,3099200
1995-12-11,2.21875,2.23438,2.17188,2.23438,1.86936,564800
1995-12-12,2.25000,2.35938,2.17188,2.29688,1.92166,2086400
1995-12-13,2.33594,2.33594,2.28125,2.31250,1.93473,1510400
1995-12-14,2.29688,2.32812,2.29688,2.29688,1.92166,668800
1995-12-15,2.29688,2.34375,2.23438,2.23438,1.86936,2635200
1995-12-18,2.25000,2.29688,1.96875,2.01562,1.68635,1246400
1995-12-19,1.95312,2.06250,1.91016,2.03125,1.69942,4568000
1995-12-20,2.09375,2.15625,2.00000,2.12500,1.77786,2275200
1995-12-21,2.15625,2.17188,2.09375,2.10938,1.76478,321600
1995-12-22,2.06250,2.18750,2.06250,2.12500,1.77786,1657600
1995-12-26,2.12500,2.28125,2.10938,2.26562,1.89551,2286400
1995-12-27,2.28125,2.35938,2.19531,2.32812,1.94780,2633600
1995-12-28,2.29688,2.50000,2.29688,2.45312,2.05238,2569600
1995-12-29,2.48438,2.60938,2.45312,2.50781,2.09813,1920000
1996-01-02,2.50000,2.50000,2.37500,2.37500,1.98702,1892800
1996-01-03,2.37500,2.40625,2.09375,2.12500,1.77786,3336000
1996-01-04,2.14062,2.14062,1.68750,1.87500,1.56870,6041600
1996-01-05,1.89062,2.06250,1.81250,1.93750,1.62099,3273600
1996-01-08,1.96875,2.00000,1.95312,1.95312,1.63406,166400
1996-01-09,2.00000,2.00000,1.65625,1.68750,1.41183,2500800
1996-01-10,1.60938,1.71875,1.57812,1.62500,1.35954,3016000
1996-01-11,1.76562,1.89062,1.73438,1.79688,1.50334,3654400
1996-01-12,1.87500,1.87500,1.68750,1.75000,1.46412,793600
1996-01-15,1.75000,1.76562,1.64062,1.70312,1.42490,668800
1996-01-16,1.67188,1.68750,1.42188,1.68750,1.41183,3932800
1996-01-17,1.59375,1.68750,1.57812,1.67188,1.39876,1545600
1996-01-18,1.62500,1.68750,1.62500,1.68750,1.41183,3180800
1996-01-19,1.67969,1.92188,1.64062,1.83008,1.53111,4825600
1996-01-22,1.87500,1.93750,1.82812,1.87500,1.56870,1913600
1996-01-23,1.85938,1.92188,1.85938,1.89844,1.58831,1126400
1996-01-24,1.90625,2.06250,1.89062,2.00000,1.67328,1267200
1996-01-25,2.04688,2.17188,2.00000,2.10938,1.76478,2702400
1996-01-26,2.09375,2.18750,2.06250,2.14844,1.79747,982400
1996-01-29,2.14062,2.18750,2.10938,2.12500,1.77786,936000
1996-01-30,2.07812,2.12500,1.87500,2.00000,1.67328,3513600
1996-01-31,1.96875,2.07812,1.92188,1.92188,1.60792,1129600
1996-02-01,1.95312,2.03125,1.92188,1.96875,1.64713,857600
1996-02-02,2.03125,2.03125,1.92188,1.94531,1.62752,1857600
1996-02-05,1.93750,2.01562,1.92188,2.01562,1.68635,964800
1996-02-06,2.01562,2.20312,1.98438,2.07812,1.73864,2483200
1996-02-07,2.12500,2.18750,2.04688,2.12500,1.77786,3126400
1996-02-08,2.20312,2.32812,2.15625,2.26562,1.89551,2886400
1996-02-09,2.26562,2.39062,2.23438,2.23438,1.86936,1934400
1996-02-12,2.25781,2.25781,2.06250,2.20312,1.84322,2108800
1996-02-13,2.14062,2.35938,2.09375,2.25000,1.88244,2425600
1996-02-14,2.28125,2.37500,2.25000,2.36719,1.98048,2414400
1996-02-15,2.36719,2.51562,2.32812,2.42188,2.02624,4148800
