Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00000,0.85938,0.79688,0.79688,0.38444,768000
1980-03-18,0.00000,0.80729,0.78646,0.80729,0.38947,595200
1980-03-19,0.00000,0.84375,0.81771,0.83333,0.40203,796800
1980-03-20,0.00000,0.83333,0.81250,0.82292,0.39701,201600
1980-03-21,0.00000,0.82292,0.80729,0.80729,0.38947,206400
1980-03-24,0.00000,0.80729,0.77604,0.77604,0.37439,240000
1980-03-25,0.00000,0.77083,0.71094,0.72135,0.34801,830400
1980-03-26,0.00000,0.73438,0.72135,0.72396,0.34927,240000
1980-03-27,0.00000,0.71875,0.62500,0.66146,0.31911,1684800
1980-03-28,0.00000,0.74479,0.70573,0.74479,0.35932,1056000
1980-03-31,0.00000,0.78125,0.75781,0.77344,0.37314,676800
1980-04-01,0.00000,0.81250,0.77865,0.81250,0.39198,403200
1980-04-02,0.00000,0.81250,0.80729,0.81250,0.39198,643200
1980-04-03,0.00000,0.83854,0.81771,0.82552,0.39826,1934400
1980-04-07,0.00000,0.83333,0.80990,0.80990,0.39073,643200
1980-04-08,0.00000,0.79427,0.76823,0.77344,0.37314,432000
1980-04-09,0.00000,0.78385,0.76042,0.76042,0.36686,331200
1980-04-10,0.00000,0.77865,0.76823,0.77344,0.37314,652800
1980-04-11,0.00000,0.78125,0.77083,0.78125,0.37691,369600
1980-04-14,0.00000,0.78125,0.76042,0.76562,0.36937,451200
1980-04-15,0.00000,0.76302,0.76042,0.76042,0.36686,52800
1980-04-16,0.00000,0.77083,0.75781,0.76042,0.36686,384000
1980-04-17,0.00000,0.75521,0.74479,0.74740,0.36057,403200
1980-04-18,0.00000,0.75000,0.73958,0.73958,0.35680,110400
1980-04-21,0.00000,0.73958,0.71094,0.71094,0.34298,758400
1980-04-22,0.00000,0.72917,0.71094,0.72917,0.35178,1036800
1980-04-23,0.00000,0.75781,0.73698,0.75781,0.36560,561600
1980-04-24,0.00000,0.77604,0.75781,0.77604,0.37439,321600
1980-04-25,0.00000,0.78385,0.76823,0.78125,0.37691,230400
1980-04-28,0.00000,0.82031,0.78906,0.81250,0.39198,619200
1980-04-29,0.00000,0.82292,0.81250,0.81510,0.39324,398400
1980-04-30,0.00000,0.85417,0.82031,0.85417,0.41208,648000
1980-05-01,0.00000,0.86979,0.82292,0.82292,0.39701,388800
1980-05-02,0.00000,0.82292,0.81510,0.81771,0.39450,235200
1980-05-05,0.00000,0.85938,0.82292,0.84896,0.40957,705600
1980-05-06,0.00000,0.89583,0.84375,0.87500,0.42214,508800
1980-05-07,0.00000,0.92188,0.88021,0.91406,0.44098,912000
1980-05-08,0.00000,0.93229,0.91146,0.91667,0.44224,715200
1980-05-09,0.00000,0.91667,0.89583,0.89583,0.43219,945600
1980-05-12,0.00000,0.89062,0.88021,0.88281,0.42590,1358400
1980-05-13,0.00000,0.91667,0.88802,0.91667,0.44224,446400
1980-05-14,0.00000,0.94792,0.92708,0.94531,0.45606,696000
1980-05-15,0.00000,0.98958,0.94271,0.97917,0.47239,1180800
1980-05-16,0.00000,0.97396,0.95833,0.96615,0.46611,499200
1980-05-19,0.00000,0.97917,0.96875,0.97656,0.47113,571200
1980-05-20,0.00000,0.97396,0.92708,0.93490,0.45103,1632000
1980-05-21,0.00000,0.93750,0.91146,0.92708,0.44726,609600
1980-05-22,0.00000,0.94792,0.92448,0.94271,0.45480,566400
1980-05-23,0.00000,0.96875,0.94271,0.96875,0.46736,513600
1980-05-27,0.00000,0.97396,0.96094,0.96094,0.46360,408000
1980-05-28,0.00000,0.96094,0.94792,0.95833,0.46234,571200
1980-05-29,0.00000,0.96875,0.95312,0.95312,0.45983,345600
1980-05-30,0.00000,0.95052,0.93229,0.94531,0.45606,840000
1980-06-02,0.00000,0.95052,0.94531,0.94792,0.45731,211200
1980-06-03,0.00000,0.95312,0.94531,0.95052,0.45857,422400
1980-06-04,0.00000,0.95833,0.94792,0.95833,0.46234,643200
1980-06-05,0.00000,0.97656,0.96354,0.96875,0.46736,307200
1980-06-06,0.00000,0.96615,0.95833,0.96094,0.46360,2376000
1980-06-09,0.00000,0.97135,0.95312,0.96875,0.46736,388800
1980-06-10,0.00000,0.98177,0.96875,0.98177,0.47365,576000
1980-06-11,0.00000,0.98177,0.97396,0.97917,0.47239,240000
1980-06-12,0.00000,0.98177,0.96875,0.97917,0.47239,364800
1980-06-13,0.00000,0.98698,0.97135,0.97135,0.46862,379200
