Date,Open,High,Low,Close,Adj Close,Volume
1994-10-18,8.00000,8.06250,7.87500,8.00000,1.51352,405200
1994-10-19,8.06250,8.75000,8.06250,8.68750,1.64358,242200
1994-10-20,8.81250,9.06250,8.75000,8.75000,1.65541,137200
1994-10-21,8.75000,8.81250,8.56250,8.62500,1.63176,66600
1994-10-24,8.62500,8.81250,8.43750,8.43750,1.59629,73400
1994-10-25,8.37500,8.62500,8.25000,8.56250,1.61994,63200
1994-10-26,8.43750,8.56250,8.43750,8.43750,1.61040,46200
1994-10-27,8.43750,8.56250,8.43750,8.43750,1.61040,33800
1994-10-28,8.43750,8.50000,8.31250,8.31250,1.58654,40000
1994-10-31,8.37500,8.43750,8.31250,8.31250,1.58654,32800
1994-11-01,8.31250,8.37500,8.25000,8.31250,1.58654,33000
1994-11-02,8.31250,8.37500,8.06250,8.25000,1.57461,73200
1994-11-03,8.31250,8.37500,8.18750,8.18750,1.56268,54800
1994-11-04,8.18750,8.25000,8.00000,8.00000,1.52689,65600
1994-11-07,8.00000,8.12500,8.00000,8.00000,1.52689,71200
1994-11-08,8.00000,8.12500,8.00000,8.12500,1.55075,103000
1994-11-09,8.06250,8.18750,8.06250,8.06250,1.53882,60000
1994-11-10,8.00000,8.18750,7.81250,7.87500,1.50304,74200
1994-11-11,7.93750,7.93750,7.62500,7.81250,1.49111,78400
1994-11-14,7.75000,7.93750,7.62500,7.87500,1.50304,63800
1994-11-15,7.68750,7.87500,7.62500,7.68750,1.46725,68200
1994-11-16,7.68750,7.81250,7.62500,7.75000,1.47918,83200
1994-11-17,7.62500,7.81250,7.62500,7.81250,1.49111,96400
1994-11-18,7.75000,7.75000,7.62500,7.62500,1.45532,110400
1994-11-21,7.75000,7.87500,7.62500,7.75000,1.47918,132600
1994-11-22,7.68750,7.81250,7.68750,7.75000,1.47918,90200
1994-11-23,7.68750,7.81250,7.68750,7.81250,1.49111,47000
1994-11-25,7.62500,7.81250,7.62500,7.81250,1.50556,32800
1994-11-28,7.81250,7.93750,7.75000,7.93750,1.52965,66400
1994-11-29,7.93750,8.00000,7.87500,7.87500,1.51760,46600
1994-11-30,7.93750,8.06250,7.87500,8.00000,1.54169,70400
1994-12-01,8.00000,8.06250,7.93750,8.06250,1.55374,66600
1994-12-02,8.00000,8.06250,7.93750,7.93750,1.52965,30600
1994-12-05,7.87500,8.00000,7.87500,7.93750,1.52965,44200
1994-12-06,7.87500,7.93750,7.81250,7.93750,1.52965,42000
