Date,Open,High,Low,Close,Adj Close,Volume
1993-04-23,2.43750,2.43750,2.34375,2.40625,2.40625,16484800
1993-04-26,2.37500,2.40625,2.34375,2.34375,2.34375,3334400
1993-04-27,2.37500,2.37500,2.28125,2.31250,2.31250,2046400
1993-04-28,2.34375,2.34375,2.28125,2.28125,2.28125,897600
1993-04-29,2.28125,2.34375,2.28125,2.31250,2.31250,844800
1993-04-30,2.34375,2.40625,2.31250,2.34375,2.34375,1180800
1993-05-03,2.40625,2.40625,2.31250,2.34375,2.34375,623200
1993-05-04,2.37500,2.40625,2.31250,2.37500,2.37500,555200
1993-05-05,2.37500,2.43750,2.37500,2.43750,2.43750,900800
1993-05-06,2.43750,2.46875,2.37500,2.45312,2.45312,635200
1993-05-07,2.40625,2.46875,2.40625,2.40625,2.40625,170400
1993-05-10,2.46875,2.50000,2.40625,2.43750,2.43750,438400
1993-05-11,2.43750,2.53125,2.43750,2.46875,2.46875,312800
1993-05-12,2.50000,2.53125,2.43750,2.53125,2.53125,907200
1993-05-13,2.53125,2.59375,2.46875,2.59375,2.59375,608000
1993-05-14,2.59375,2.78125,2.53125,2.73438,2.73438,774400
1993-05-17,2.78125,2.78125,2.62500,2.68750,2.68750,349600
1993-05-18,2.62500,2.68750,2.59375,2.65625,2.65625,555200
1993-05-19,2.65625,2.65625,2.56250,2.60938,2.60938,408800
1993-05-20,2.62500,2.62500,2.56250,2.56250,2.56250,428000
1993-05-21,2.56250,2.62500,2.56250,2.59375,2.59375,144000
1993-05-24,2.62500,2.62500,2.56250,2.56250,2.56250,16800
1993-05-25,2.56250,2.62500,2.56250,2.59375,2.59375,62400
1993-05-26,2.62500,2.62500,2.56250,2.56250,2.56250,206400
1993-05-27,2.59375,2.62500,2.56250,2.62500,2.62500,196800
1993-05-28,2.62500,2.65625,2.56250,2.65625,2.65625,175200
1993-06-01,2.65625,2.75000,2.65625,2.65625,2.65625,525600
1993-06-02,2.71875,2.78125,2.65625,2.78125,2.78125,302400
1993-06-03,2.81250,2.81250,2.75000,2.81250,2.81250,341600
1993-06-04,2.81250,2.81250,2.75000,2.75000,2.75000,86400
1993-06-07,2.81250,2.81250,2.75000,2.81250,2.81250,288000
1993-06-08,2.81250,2.81250,2.75000,2.81250,2.81250,616800
1993-06-09,2.75000,2.81250,2.75000,2.81250,2.81250,96800
1993-06-10,2.78125,2.90625,2.78125,2.84375,2.84375,1295200
1993-06-11,2.87500,2.90625,2.84375,2.87500,2.87500,213600
1993-06-14,2.90625,2.90625,2.84375,2.84375,2.84375,80800
1993-06-15,2.90625,2.90625,2.75000,2.81250,2.81250,663200
1993-06-16,2.75000,2.81250,2.75000,2.75000,2.75000,353600
1993-06-17,2.75000,2.81250,2.75000,2.75000,2.75000,135200
1993-06-18,2.81250,2.90625,2.75000,2.87500,2.87500,132800
1993-06-21,2.84375,2.93750,2.84375,2.89062,2.89062,365600
1993-06-22,2.93750,2.93750,2.87500,2.93750,2.93750,92000
1993-06-23,2.93750,2.93750,2.87500,2.93750,2.93750,132000
1993-06-24,2.93750,2.93750,2.87500,2.93750,2.93750,39200
1993-06-25,2.93750,2.93750,2.84375,2.93750,2.93750,167200
1993-06-28,2.93750,2.96875,2.84375,2.96875,2.96875,244800
1993-06-29,2.90625,3.12500,2.90625,3.03125,3.03125,301600
