Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,11.34704,11.49674,11.19734,11.49674,1.58726,431600
1982-01-04,11.49674,11.55662,11.37698,11.49674,1.58726,329500
1982-01-05,11.37698,11.43686,11.31710,11.31710,1.56246,383200
1982-01-06,11.31710,11.37698,11.25722,11.37698,1.57073,281700
1982-01-07,11.31710,11.37698,11.25722,11.37698,1.57073,168500
1982-01-08,11.55662,11.85601,11.25722,11.25722,1.55420,157900
1982-01-11,11.19734,11.31710,11.01771,11.01771,1.52113,284600
1982-01-12,11.01771,11.07758,10.95783,11.07758,1.52939,242100
1982-01-13,10.95783,11.07758,10.83807,10.95783,1.51286,197400
1982-01-14,10.83807,10.95783,10.71831,10.71831,1.47979,295800
1982-01-15,10.89795,11.01771,10.71831,10.89795,1.50459,204500
1982-01-18,10.89795,10.95783,10.83807,10.95783,1.51286,239200
1982-01-19,11.01771,11.13746,10.89795,11.07758,1.52939,198200
1982-01-20,11.07758,11.07758,11.01771,11.07758,1.52939,171700
1982-01-21,10.95783,11.01771,10.83807,10.95783,1.51286,182000
1982-01-22,10.83807,10.95783,10.65843,10.71831,1.47979,458500
1982-01-25,10.53868,10.65843,10.35904,10.53868,1.45499,398800
1982-01-26,10.53868,10.65843,10.41892,10.47880,1.44672,442500
1982-01-27,10.41892,10.47880,10.35904,10.47880,1.44672,228700
1982-01-28,10.71831,11.07758,10.35904,11.07758,1.52939,289000
1982-01-29,10.89795,11.07758,10.71831,10.77819,1.48806,224300
1982-02-01,10.65843,10.77819,10.47880,10.47880,1.44672,198400
1982-02-02,10.53868,10.59856,10.41892,10.47880,1.44672,133700
1982-02-03,10.47880,10.53868,10.41892,10.53868,1.45499,108800
1982-02-04,10.59856,10.65843,10.47880,10.53868,1.45499,141400
1982-02-05,10.59856,10.65843,10.47880,10.53868,1.45499,154400
1982-02-08,10.53868,10.59856,10.41892,10.41892,1.43846,184500
1982-02-09,10.29916,10.35904,10.23928,10.29916,1.42192,265200
1982-02-10,10.41892,10.59856,10.23928,10.47880,1.44672,222600
1982-02-11,10.47880,10.53868,10.35904,10.53868,1.45499,277500
1982-02-12,10.41892,10.53868,10.29916,10.35904,1.43019,291700
1982-02-16,10.29916,10.35904,10.17940,10.35904,1.43019,239400
1982-02-17,10.35904,10.41892,10.23928,10.29916,1.42192,153300
1982-02-18,10.35904,10.35904,10.29916,10.35904,1.43019,127100
