Date,Open,High,Low,Close,Adj Close,Volume
1992-10-28,2.08333,2.11111,1.97222,1.97222,1.47673,19343200
1992-10-29,1.97222,2.05556,1.97222,2.00000,1.49753,4667200
1992-10-30,1.97222,2.02778,1.94444,1.94444,1.45593,4562800
1992-11-02,1.94444,1.97222,1.86111,1.86111,1.39354,3475600
1992-11-03,1.86111,1.91667,1.86111,1.88889,1.41433,1044000
1992-11-04,1.90278,1.94444,1.86111,1.91667,1.43513,896800
1992-11-05,1.88889,1.94444,1.88889,1.94444,1.45593,490000
1992-11-06,1.94444,2.08333,1.88889,2.00000,1.49753,1603600
1992-11-09,2.05556,2.13889,2.02778,2.08333,1.55993,2086000
1992-11-10,2.13889,2.25000,2.11111,2.16667,1.62232,848400
1992-11-11,2.25000,2.36111,2.16667,2.30556,1.72632,1459600
1992-11-12,2.30556,2.30556,2.25000,2.27778,1.70552,655200
1992-11-13,2.25000,2.30556,2.25000,2.30556,1.72632,531600
1992-11-16,2.30556,2.30556,2.08333,2.16667,1.62232,1015200
1992-11-17,2.16667,2.27778,2.08333,2.19444,1.64312,716400
1992-11-18,2.27778,2.33333,2.19444,2.27778,1.70552,412800
1992-11-19,2.38889,2.38889,2.25000,2.25000,1.68472,795600
1992-11-20,2.30556,2.30556,2.19444,2.27778,1.70552,808800
1992-11-23,2.30556,2.30556,2.25000,2.25000,1.68472,218400
1992-11-24,2.36111,2.38889,2.27778,2.33333,1.74712,1695600
1992-11-25,2.33333,2.36111,2.27778,2.36111,1.76792,716400
1992-11-27,2.36111,2.36111,2.27778,2.36111,1.76792,412800
1992-11-30,2.36111,2.36111,2.27778,2.33333,1.74712,1309200
1992-12-01,2.36111,2.43056,2.33333,2.43056,1.81992,348000
1992-12-02,2.44444,2.55556,2.36111,2.50000,1.87191,443200
1992-12-03,2.50000,2.55556,2.47222,2.50000,1.87191,439200
1992-12-04,2.55556,2.55556,2.47222,2.55556,1.91351,88000
1992-12-07,2.47222,2.55556,2.47222,2.47222,1.85111,797200
1992-12-08,2.55556,2.58333,2.47222,2.58333,1.93431,448000
1992-12-09,2.58333,2.61111,2.50000,2.61111,1.95511,280800
1992-12-10,2.52778,2.61111,2.52778,2.58333,1.93431,211200
1992-12-11,2.52778,2.58333,2.52778,2.58333,1.93431,468400
1992-12-14,2.52778,2.61111,2.52778,2.61111,1.95511,500400
1992-12-15,2.61111,2.61111,2.50000,2.50000,1.87191,528000
1992-12-16,2.50000,2.58333,2.50000,2.51389,1.88231,473200
1992-12-17,2.58333,2.61111,2.52778,2.61111,1.95511,205600
1992-12-18,2.63889,2.80556,2.58333,2.80556,2.10070,522000
1992-12-21,2.77778,2.80556,2.66667,2.69444,2.01751,448000
1992-12-22,2.66667,2.75000,2.61111,2.69444,2.01751,2104000
1992-12-23,2.69444,2.69444,2.61111,2.69444,2.01751,97200
1992-12-24,2.69444,2.72222,2.61111,2.72222,2.03830,245200
1992-12-28,2.72222,2.77778,2.66667,2.77778,2.07990,144000
1992-12-29,2.72222,2.77778,2.72222,2.72222,2.03830,36400
1992-12-30,2.72222,2.83333,2.72222,2.77778,2.07990,115600
1992-12-31,2.72222,2.83333,2.72222,2.83333,2.12150,338800
1993-01-04,2.80556,2.91667,2.77778,2.83333,2.12150,306400
1993-01-05,2.83333,2.91667,2.75000,2.83333,2.12150,148000
1993-01-06,2.80556,2.83333,2.63889,2.69444,2.01751,463200
1993-01-07,2.61111,2.66667,2.33333,2.36111,1.76792,1692400
1993-01-08,2.38889,2.38889,2.25000,2.30556,1.72632,885600
1993-01-11,2.30556,2.33333,2.25000,2.31944,1.73672,554400
1993-01-12,2.33333,2.36111,2.29167,2.33333,1.74712,471600
1993-01-13,2.36111,2.36111,2.30556,2.30556,1.72632,259200
1993-01-14,2.36111,2.36111,2.30556,2.36111,1.76792,313200
1993-01-15,2.36111,2.36111,2.30556,2.36111,1.76792,97600
1993-01-18,2.36111,2.36111,2.19444,2.27778,1.70552,596400
1993-01-19,2.27778,2.27778,2.19444,2.27778,1.70552,214800
1993-01-20,2.27778,2.33333,2.13889,2.31944,1.73672,2341600
1993-01-21,2.33333,2.33333,2.25000,2.33333,1.74712,608400
1993-01-22,2.33333,2.33333,2.25000,2.33333,1.74712,812400
1993-01-25,2.33333,2.33333,2.25000,2.30556,1.72632,675600
1993-01-26,2.33333,2.33333,2.25000,2.27778,1.70552,979200
1993-01-27,2.33333,2.41667,2.25000,2.40278,1.79912,941200
1993-01-28,2.44444,2.52778,2.41667,2.50000,1.87191,523600
1993-01-29,2.50000,2.50000,2.41667,2.50000,1.87191,2851200
1993-02-01,2.50000,2.50000,2.41667,2.50000,1.87191,610800
1993-02-02,2.52778,2.52778,2.44444,2.52778,1.89271,230400
1993-02-03,2.44444,2.58333,2.44444,2.56944,1.92391,1307200
1993-02-04,2.58333,2.61111,2.55556,2.58333,1.93431,351600
1993-02-05,2.52778,2.58333,2.44444,2.58333,1.93431,666400
1993-02-08,2.52778,2.61111,2.50000,2.55556,1.91351,349200
1993-02-09,2.55556,2.63889,2.52778,2.55556,1.91351,448000
1993-02-10,2.55556,2.58333,2.52778,2.58333,1.93431,430000
1993-02-11,2.58333,2.63889,2.52778,2.58333,1.93431,117600
1993-02-12,2.58333,2.61111,2.52778,2.55556,1.91351,135600
1993-02-16,2.61111,2.61111,2.13889,2.16667,1.62232,852000
1993-02-17,2.27778,2.30556,2.16667,2.30556,1.72632,995200
1993-02-18,2.38889,2.38889,2.30556,2.31944,1.73672,560400
1993-02-19,2.38889,2.41667,2.30556,2.38889,1.78872,82800
1993-02-22,2.27778,2.36111,2.27778,2.27778,1.70552,99600
1993-02-23,2.27778,2.30556,2.13889,2.22222,1.66392,356800
1993-02-24,2.13889,2.22222,2.11111,2.19444,1.64312,633600
1993-02-25,2.25000,2.30556,2.22222,2.22222,1.66392,1766400
1993-02-26,2.30556,2.30556,2.22222,2.25000,1.68472,140400
1993-03-01,2.16667,2.22222,2.16667,2.16667,1.62232,116800
1993-03-02,2.16667,2.25000,2.16667,2.25000,1.68472,93600
1993-03-03,2.27778,2.33333,2.22222,2.31944,1.73672,248400
1993-03-04,2.33333,2.33333,2.27778,2.31944,1.73672,163600
1993-03-05,2.33333,2.33333,2.25000,2.27778,1.70552,443200
1993-03-08,2.25000,2.30556,2.22222,2.27778,1.70552,155200
1993-03-09,2.27778,2.27778,2.22222,2.23611,1.67432,209200
1993-03-10,2.25000,2.25000,2.16667,2.23611,1.67432,126000
1993-03-11,2.27778,2.30556,2.22222,2.30556,1.72632,168000
1993-03-12,2.27778,2.27778,2.19444,2.22222,1.66392,246400
1993-03-15,2.19444,2.27778,2.19444,2.22222,1.66392,361600
1993-03-16,2.19444,2.25000,2.13889,2.13889,1.60152,324000
1993-03-17,2.13889,2.19444,2.11111,2.16667,1.62232,3598000
1993-03-18,2.16667,2.19444,2.11111,2.19444,1.64312,313600
1993-03-19,2.25000,2.33333,2.22222,2.27778,1.70552,1231600
1993-03-22,2.25000,2.30556,2.19444,2.19444,1.64312,292000
1993-03-23,2.25000,2.25000,2.16667,2.16667,1.62232,805200
1993-03-24,2.19444,2.19444,2.11111,2.13889,1.60152,109600
1993-03-25,2.13889,2.19444,2.11111,2.19444,1.64312,92400
1993-03-26,2.19444,2.19444,2.11111,2.11111,1.58073,91600
1993-03-29,2.19444,2.22222,2.11111,2.22222,1.66392,248800
1993-03-30,2.18056,2.22222,2.16667,2.22222,1.66392,180400
1993-03-31,2.25000,2.25000,2.16667,2.16667,1.62232,101200
1993-04-01,2.25000,2.25000,2.13889,2.16667,1.62232,149200
1993-04-02,2.22222,2.22222,2.11111,2.16667,1.62232,384000
1993-04-05,2.16667,2.16667,2.11111,2.11111,1.58073,1152400
1993-04-06,2.16667,2.16667,2.00000,2.01389,1.50793,1537600
1993-04-07,2.00000,2.05556,1.75000,1.88889,1.41433,1333600
1993-04-08,1.88889,2.00000,1.83333,1.94444,1.45593,680400
1993-04-12,1.94444,1.94444,1.88889,1.88889,1.41433,587200
1993-04-13,1.90278,1.97222,1.88889,1.91667,1.43513,412800
1993-04-14,1.97222,2.00000,1.91667,1.97222,1.47673,774400
1993-04-15,1.97222,2.00000,1.91667,1.91667,1.43513,121200
1993-04-16,1.91667,2.02778,1.91667,1.97222,1.47673,198400
1993-04-19,1.94444,2.02778,1.94444,2.00000,1.49753,54000
1993-04-20,2.02778,2.11111,2.00000,2.11111,1.58073,326400
1993-04-21,2.11111,2.16667,2.08333,2.11111,1.58073,198000
1993-04-22,2.11111,2.11111,2.00000,2.01389,1.50793,1273200
1993-04-23,1.94444,1.97222,1.88889,1.94444,1.45593,676800
1993-04-26,1.94444,2.00000,1.91667,1.91667,1.43513,1184400
1993-04-27,1.88889,2.00000,1.88889,1.98611,1.48713,122400
1993-04-28,2.02778,2.02778,1.94444,2.02778,1.51833,16000
1993-04-29,2.00000,2.05556,1.94444,2.05556,1.53913,56400
1993-04-30,2.05556,2.12500,1.97222,2.12500,1.59113,288400
1993-05-03,2.05556,2.13889,2.05556,2.13889,1.60152,858400
1993-05-04,2.05556,2.13889,2.05556,2.08333,1.55993,115600
1993-05-05,2.13889,2.19444,2.11111,2.16667,1.62232,695200
1993-05-06,2.19444,2.20833,2.13889,2.20833,1.65352,446800
1993-05-07,2.22222,2.22222,2.16667,2.22222,1.66392,605200
1993-05-10,2.22222,2.25000,2.16667,2.25000,1.68472,392800
1993-05-11,2.19444,2.25000,2.19444,2.19444,1.64312,38400
1993-05-12,2.25000,2.25000,2.19444,2.22222,1.66392,95200
1993-05-13,2.19444,2.25000,2.19444,2.20833,1.65352,61600
1993-05-14,2.22222,2.22222,2.19444,2.19444,1.64312,39600
1993-05-17,2.16667,2.25000,2.16667,2.18056,1.63272,217600
1993-05-18,2.25000,2.25000,2.16667,2.22222,1.66392,194400
1993-05-19,2.16667,2.25000,2.16667,2.16667,1.62232,374400
1993-05-20,2.25000,2.25000,2.19444,2.19444,1.64312,65200
1993-05-21,2.19444,2.25000,2.19444,2.19444,1.64312,31200
1993-05-24,2.19444,2.25000,2.19444,2.22222,1.66392,52000
1993-05-25,2.16667,2.25000,2.16667,2.16667,1.62232,144000
1993-05-26,2.19444,2.33333,2.19444,2.33333,1.74712,2164000
1993-05-27,2.36111,2.36111,2.27778,2.30556,1.72632,2095600
1993-05-28,2.36111,2.36111,2.27778,2.36111,1.76792,130000
1993-06-01,2.38889,2.44444,2.33333,2.36111,1.76792,1706800
1993-06-02,2.41667,2.44444,2.36111,2.44444,1.83031,468400
1993-06-03,2.44444,2.44444,2.36111,2.38889,1.78872,389200
1993-06-04,2.36111,2.38889,2.25000,2.25000,1.68472,751200
1993-06-07,2.25000,2.33333,2.25000,2.25000,1.68472,115600
1993-06-08,2.27778,2.30556,2.25000,2.27778,1.70552,257200
1993-06-09,2.30556,2.33333,2.22222,2.22222,1.66392,310000
1993-06-10,2.27778,2.30556,2.23611,2.30556,1.72632,900000
1993-06-11,2.33333,2.33333,2.27778,2.29167,1.71592,637200
1993-06-14,2.30556,2.30556,2.27778,2.30556,1.72632,133600
1993-06-15,2.30556,2.33333,2.27778,2.33333,1.74712,1127200
1993-06-16,2.36111,2.36111,2.30556,2.33333,1.74712,1428000
1993-06-17,2.36111,2.47222,2.33333,2.45833,1.84072,889200
1993-06-18,2.47222,2.80556,2.44444,2.75000,2.05910,5843200
1993-06-21,2.80556,2.88889,2.75000,2.77778,2.07990,2774400
1993-06-22,2.83333,2.83333,2.66667,2.75000,2.05910,1792800
1993-06-23,2.66667,2.75000,2.66667,2.69444,2.01751,675600
1993-06-24,2.77778,2.83333,2.69444,2.83333,2.12150,1269600
1993-06-25,2.83333,2.83333,2.75000,2.81944,2.11110,3927600
1993-06-28,2.77778,2.86111,2.77778,2.80556,2.10070,700000
1993-06-29,2.80556,2.86111,2.80556,2.86111,2.14230,396000
1993-06-30,2.80556,2.88889,2.80556,2.88889,2.16310,313200
1993-07-01,2.88889,2.91667,2.80556,2.83333,2.12150,673600
1993-07-02,2.83333,2.97222,2.83333,2.94444,2.20470,366000
1993-07-06,2.88889,2.94444,2.88889,2.91667,2.18390,1451200
1993-07-07,2.94444,2.94444,2.86111,2.86111,2.14230,122400
1993-07-08,2.94444,2.94444,2.86111,2.94444,2.20470,57600
1993-07-09,2.94444,2.94444,2.83333,2.86111,2.14230,818800
1993-07-12,2.83333,2.91667,2.83333,2.88889,2.16310,460800
1993-07-13,2.83333,2.94444,2.83333,2.94444,2.20470,385600
1993-07-14,2.86111,2.94444,2.86111,2.91667,2.18390,612400
1993-07-15,2.88889,2.94444,2.88889,2.88889,2.16310,70800
1993-07-16,2.88889,2.94444,2.88889,2.94444,2.20470,346000
1993-07-19,2.94444,2.94444,2.88889,2.93056,2.19430,587200
1993-07-20,2.94444,2.94444,2.88889,2.88889,2.16310,21600
1993-07-21,2.88889,2.94444,2.88889,2.94444,2.20470,346000
1993-07-22,2.88889,3.00000,2.88889,2.94444,2.20470,259600
1993-07-23,2.91667,3.00000,2.91667,2.94444,2.20470,124000
1993-07-26,3.00000,3.00000,2.94444,2.94444,2.20470,60000
1993-07-27,2.94444,3.00000,2.94444,2.94444,2.20470,90400
1993-07-28,2.94444,3.00000,2.94444,2.94444,2.20470,658800
1993-07-29,3.00000,3.00000,2.94444,3.00000,2.24630,192400
1993-07-30,3.00000,3.00000,2.94444,2.94444,2.20470,311200
1993-08-02,2.94444,3.00000,2.94444,3.00000,2.24630,43600
1993-08-03,3.00000,3.00000,2.94444,2.97222,2.22550,106800
1993-08-04,3.00000,3.00000,2.94444,3.00000,2.24630,194800
1993-08-05,2.94444,3.00000,2.94444,3.00000,2.24630,40000
1993-08-06,3.00000,3.00000,2.94444,3.00000,2.24630,132000
1993-08-09,2.94444,3.19444,2.94444,3.19444,2.39189,517200
1993-08-10,3.19444,3.19444,3.13889,3.13889,2.35029,469600
1993-08-11,3.16667,3.16667,3.13889,3.13889,2.35029,451600
1993-08-12,3.16667,3.16667,3.11111,3.13889,2.35029,340800
1993-08-13,3.11111,3.16667,3.11111,3.11111,2.32949,484800
1993-08-16,3.11111,3.16667,3.11111,3.11111,2.32949,703600
1993-08-17,3.11111,3.11111,3.02778,3.04167,2.27749,135600
1993-08-18,3.08333,3.08333,3.00000,3.00000,2.24630,157200
1993-08-19,2.97222,3.08333,2.97222,3.08333,2.30869,165600
1993-08-20,3.08333,3.08333,3.00000,3.08333,2.30869,18400
1993-08-23,3.08333,3.08333,3.00000,3.06944,2.29829,133600
1993-08-24,3.11111,3.16667,3.05556,3.08333,2.30869,655200
1993-08-25,3.05556,3.11111,3.05556,3.06944,2.29829,50400
1993-08-26,3.08333,3.11111,3.05556,3.11111,2.32949,399600
1993-08-27,3.05556,3.11111,3.05556,3.11111,2.32949,58000
1993-08-30,3.05556,3.11111,3.05556,3.11111,2.32949,351600
1993-08-31,3.05556,3.16667,3.05556,3.12500,2.33989,1093200
1993-09-01,3.16667,3.25000,3.13889,3.25000,2.43349,1022400
1993-09-02,3.25000,3.41667,3.22222,3.40278,2.54788,1461600
1993-09-03,3.38889,3.41667,3.33333,3.36111,2.51668,558000
1993-09-07,3.30556,3.41667,3.27778,3.33333,2.49588,667600
1993-09-08,3.25000,3.30556,3.25000,3.30556,2.47508,490000
1993-09-09,3.27778,3.36111,3.22222,3.30556,2.47508,747600
1993-09-10,3.36111,3.36111,3.30556,3.33333,2.49588,454000
1993-09-13,3.36111,3.36111,3.30556,3.33333,2.49588,1046400
1993-09-14,3.30556,3.36111,3.30556,3.33333,2.49588,2156800
1993-09-15,3.36111,3.36111,3.30556,3.36111,2.51668,223600
1993-09-16,3.36111,3.36111,3.30556,3.36111,2.51668,74400
1993-09-17,3.30556,3.36111,3.30556,3.30556,2.47508,864400
1993-09-20,3.36111,3.36111,3.30556,3.36111,2.51668,70800
1993-09-21,3.36111,3.36111,3.30556,3.36111,2.51668,817200
1993-09-22,3.33333,3.38889,3.33333,3.38889,2.53748,823200
1993-09-23,3.33333,3.38889,3.33333,3.38889,2.53748,153600
1993-09-24,3.33333,3.58333,3.33333,3.52778,2.64148,2174800
1993-09-27,3.58333,3.63889,3.58333,3.58333,2.68308,402000
1993-09-28,3.63889,3.63889,3.58333,3.63889,2.72467,1324800
1993-09-29,3.63889,3.63889,3.58333,3.63889,2.72467,329200
1993-09-30,3.58333,3.63889,3.58333,3.63889,2.72467,142000
1993-10-01,3.58333,3.63889,3.58333,3.63889,2.72467,118800
1993-10-04,3.63889,3.63889,3.58333,3.63889,2.72467,41200
1993-10-05,3.58333,3.63889,3.58333,3.63889,2.72467,178000
1993-10-06,3.63889,3.63889,3.58333,3.61111,2.70387,241200
1993-10-07,3.63889,3.63889,3.58333,3.61111,2.70387,32400
1993-10-08,3.63889,3.63889,3.58333,3.61111,2.70387,49200
1993-10-11,3.63889,3.63889,3.58333,3.63889,2.72467,37600
1993-10-12,3.52778,3.61111,3.52778,3.61111,2.70387,163600
1993-10-13,3.55556,3.63889,3.55556,3.59722,2.69348,767200
1993-10-14,3.62500,3.63889,3.55556,3.58333,2.68308,2088000
1993-10-15,3.55556,3.63889,3.55556,3.63889,2.72467,445200
1993-10-18,3.63889,3.63889,3.55556,3.58333,2.68308,854800
1993-10-19,3.58333,3.63889,3.58333,3.58333,2.68308,115600
1993-10-20,3.63889,3.63889,3.58333,3.58333,2.68308,44800
1993-10-21,3.63889,3.63889,3.58333,3.63889,2.72467,36000
1993-10-22,3.58333,3.63889,3.58333,3.63889,2.72467,77200
1993-10-25,3.63889,3.63889,3.52778,3.52778,2.64148,258000
1993-10-26,3.52778,3.61111,3.52778,3.58333,2.68308,376800
1993-10-27,3.58333,3.58333,3.52778,3.55556,2.66228,273600
1993-10-28,3.58333,3.58333,3.52778,3.55556,2.66228,178800
1993-10-29,3.52778,3.58333,3.52778,3.58333,2.68308,356800
