Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,6.37500,6.45833,6.37500,6.37500,0.44632,61800
1980-01-03,6.37500,6.45833,6.37500,6.41667,0.44924,82400
1980-01-04,6.41667,6.45833,6.37500,6.45833,0.45216,41000
1980-01-07,6.45833,6.45833,6.37500,6.45833,0.45216,36600
1980-01-08,6.45833,6.50000,6.37500,6.41667,0.44924,46200
1980-01-09,6.41667,6.45833,6.33333,6.37500,0.44632,288200
1980-01-10,6.37500,6.41667,6.33333,6.37500,0.44632,35000
1980-01-11,6.37500,6.41667,6.33333,6.33333,0.44340,59400
1980-01-14,6.33333,6.41667,6.33333,6.33333,0.44340,52400
1980-01-15,6.33333,6.37500,6.33333,6.33333,0.44340,62000
1980-01-16,6.33333,6.37500,6.33333,6.37500,0.44632,72800
1980-01-17,6.37500,6.41667,6.29167,6.33333,0.44340,218600
1980-01-18,6.33333,6.33333,6.16667,6.20833,0.43465,157200
1980-01-21,6.20833,6.25000,6.00000,6.04167,0.42298,132800
1980-01-22,6.04167,6.16667,6.00000,6.08333,0.42590,86000
1980-01-23,6.08333,6.16667,6.08333,6.08333,0.42590,46200
1980-01-24,6.08333,6.12500,6.04167,6.04167,0.42298,83400
1980-01-25,6.04167,6.08333,5.95833,6.00000,0.42007,239600
1980-01-28,6.00000,6.12500,6.00000,6.00000,0.42007,127200
1980-01-29,6.00000,6.12500,6.00000,6.08333,0.42590,80000
1980-01-30,6.08333,6.08333,5.87500,5.91667,0.41423,314600
1980-01-31,5.91667,5.95833,5.91667,5.95833,0.41715,62000
1980-02-01,5.95833,6.00000,5.91667,5.95833,0.41715,55400
1980-02-04,5.95833,6.04167,5.95833,6.04167,0.42298,220200
1980-02-05,6.00000,6.00000,5.87500,5.91667,0.41423,178400
1980-02-06,5.91667,5.95833,5.87500,5.95833,0.41715,54800
1980-02-07,5.95833,6.00000,5.91667,5.95833,0.41715,142200
1980-02-08,5.95833,6.08333,5.91667,6.00000,0.42007,129600
1980-02-11,6.00000,6.00000,5.83333,5.87500,0.41132,115400
1980-02-12,5.87500,5.87500,5.58333,5.66667,0.39673,169400
1980-02-13,5.66667,5.79167,5.66667,5.70833,0.39965,289200
1980-02-14,5.70833,5.75000,5.66667,5.70833,0.39965,57600
1980-02-15,5.70833,5.70833,5.62500,5.66667,0.39673,161600
1980-02-19,5.66667,5.66667,5.50000,5.50000,0.38506,209000
1980-02-20,5.50000,5.54167,5.41667,5.50000,0.38506,179600
1980-02-21,5.50000,5.58333,5.45833,5.54167,0.38798,145400
1980-02-22,5.54167,5.54167,5.41667,5.54167,0.38798,150800
1980-02-25,5.37500,5.37500,5.25000,5.37500,0.38919,112200
1980-02-26,5.37500,5.41667,5.33333,5.37500,0.38919,88800
1980-02-27,5.37500,5.37500,5.33333,5.33333,0.38617,183800
1980-02-28,5.33333,5.37500,5.29167,5.29167,0.38315,99800
1980-02-29,5.29167,5.66667,5.29167,5.66667,0.41030,98600
1980-03-03,5.66667,5.66667,5.41667,5.54167,0.40125,88400
1980-03-04,5.41667,5.41667,5.29167,5.41667,0.39220,112200
1980-03-05,5.41667,5.45833,5.25000,5.29167,0.38315,174600
1980-03-06,5.29167,5.29167,5.16667,5.25000,0.38014,97800
1980-03-07,5.25000,5.29167,5.16667,5.25000,0.38014,103800
1980-03-10,5.33333,5.50000,5.33333,5.45833,0.39522,98000
1980-03-11,5.45833,5.66667,5.45833,5.62500,0.40729,83400
1980-03-12,5.62500,5.70833,5.41667,5.50000,0.39824,237000
1980-03-13,5.45833,5.45833,5.37500,5.41667,0.39220,88800
1980-03-14,5.41667,5.54167,5.29167,5.41667,0.39220,113400
1980-03-17,5.41667,5.50000,5.33333,5.41667,0.39220,69200
1980-03-18,5.41667,5.54167,5.33333,5.41667,0.39220,82200
1980-03-19,5.41667,5.54167,5.37500,5.50000,0.39824,122600
1980-03-20,5.50000,5.54167,5.41667,5.41667,0.39220,58800
1980-03-21,5.41667,5.54167,5.41667,5.50000,0.39824,57800
1980-03-24,5.45833,5.45833,5.33333,5.37500,0.38919,87800
1980-03-25,5.37500,5.41667,5.29167,5.29167,0.38315,64200
1980-03-26,5.29167,5.37500,5.29167,5.33333,0.38617,63000
1980-03-27,5.33333,5.33333,5.16667,5.25000,0.38014,180600
1980-03-28,5.29167,5.41667,5.29167,5.29167,0.38315,76400
1980-03-31,5.37500,5.54167,5.37500,5.54167,0.40125,139400
1980-04-01,5.54167,5.66667,5.45833,5.66667,0.41030,161400
1980-04-02,5.66667,5.75000,5.58333,5.70833,0.41332,117000
1980-04-03,5.70833,5.83333,5.70833,5.83333,0.42237,89000
1980-04-07,5.83333,5.87500,5.79167,5.83333,0.42237,53600
1980-04-08,5.83333,5.91667,5.83333,5.83333,0.42237,53000
1980-04-09,5.83333,6.04167,5.83333,6.00000,0.43444,310400
1980-04-10,6.04167,6.12500,6.04167,6.08333,0.44047,229400
1980-04-11,6.08333,6.08333,6.00000,6.08333,0.44047,55800
