Date,Open,High,Low,Close,Adj Close,Volume
1970-12-15,1.88281,1.89844,1.87500,1.88281,0.46255,416000
1970-12-16,1.87891,1.87891,1.86328,1.86719,0.45871,604800
1970-12-17,1.86719,1.88281,1.86719,1.86719,0.45871,252800
1970-12-18,1.86719,1.87109,1.82812,1.82812,0.44911,579200
1970-12-21,1.82812,1.83594,1.79688,1.80859,0.44431,1196800
1970-12-22,1.80469,1.80469,1.74219,1.79297,0.44048,1123200
1970-12-23,1.79297,1.80469,1.78516,1.80469,0.44335,723200
1970-12-24,1.80469,1.80859,1.78906,1.79688,0.44144,1248000
1970-12-28,1.79688,1.80078,1.78906,1.79688,0.44144,320000
1970-12-29,1.79688,1.79688,1.78906,1.79688,0.44144,198400
1970-12-30,1.79688,1.80078,1.79297,1.79297,0.44048,313600
1970-12-31,1.79688,1.81250,1.79688,1.81250,0.44527,214400
1971-01-04,1.81250,1.81250,1.79688,1.79688,0.44144,284800
1971-01-05,1.79688,1.81250,1.78906,1.79688,0.44144,166400
1971-01-06,1.79688,1.80078,1.78125,1.78125,0.43760,320000
1971-01-07,1.78125,1.81250,1.78125,1.81250,0.44527,249600
1971-01-08,1.81250,1.85938,1.81250,1.82031,0.44719,1484800
1971-01-11,1.82031,1.82812,1.80078,1.82812,0.44911,483200
1971-01-12,1.82812,1.85547,1.82422,1.84375,0.45295,832000
1971-01-13,1.84375,1.85156,1.82812,1.83203,0.45007,323200
1971-01-14,1.83203,1.83203,1.78516,1.78516,0.43856,844800
1971-01-15,1.78516,1.82031,1.76953,1.78516,0.43856,713600
1971-01-18,1.77344,1.77344,1.75000,1.76562,0.43643,403200
1971-01-19,1.76562,1.78125,1.76172,1.78125,0.44030,358400
1971-01-20,1.78125,1.78906,1.78125,1.78906,0.44223,1129600
1971-01-21,1.78906,1.78906,1.77344,1.77734,0.43933,403200
1971-01-22,1.77734,1.78125,1.75391,1.76172,0.43547,572800
1971-01-25,1.76172,1.76953,1.75000,1.76953,0.43740,403200
1971-01-26,1.76953,1.77734,1.75781,1.76172,0.43547,1190400
1971-01-27,1.76562,1.78125,1.76562,1.78125,0.44030,1164800
1971-01-28,1.78125,1.81250,1.77734,1.80859,0.44705,1084800
1971-01-29,1.81250,1.82812,1.81250,1.82812,0.45188,528000
1971-02-01,1.82812,1.83203,1.82031,1.82812,0.45188,1193600
1971-02-02,1.82812,1.82812,1.81641,1.82422,0.45092,1308800
1971-02-03,1.82422,1.82422,1.81250,1.82031,0.44995,720000
1971-02-04,1.82031,1.82031,1.80859,1.82031,0.44995,777600
1971-02-05,1.82031,1.82031,1.81250,1.82031,0.44995,537600
1971-02-08,1.82031,1.83984,1.82031,1.83984,0.45478,489600
1971-02-09,1.83984,1.85547,1.82031,1.82422,0.45092,1353600
1971-02-10,1.82422,1.83984,1.82031,1.83594,0.45381,675200
1971-02-11,1.83594,1.83984,1.82422,1.83594,0.45381,2256000
1971-02-12,1.83594,1.84375,1.83203,1.83203,0.45285,524800
1971-02-16,1.83203,1.85547,1.82812,1.85156,0.45768,1219200
1971-02-17,1.85156,1.85547,1.81250,1.82422,0.45092,713600
1971-02-18,1.82422,1.83594,1.82031,1.82812,0.45188,697600
1971-02-19,1.82812,1.82812,1.80078,1.80078,0.44512,569600
1971-02-22,1.80078,1.80859,1.78516,1.78906,0.44223,300800
1971-02-23,1.78906,1.80859,1.75000,1.80469,0.44609,1420800
1971-02-24,1.80469,1.82031,1.79688,1.80078,0.44512,374400
1971-02-25,1.80078,1.83594,1.79688,1.82812,0.45188,745600
1971-02-26,1.82812,1.84375,1.81641,1.82812,0.45188,361600
1971-03-01,1.82812,1.84766,1.81250,1.83203,0.45285,281600
