Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00000,5.38272,5.23457,5.23457,2.37010,44500
1980-03-18,0.00000,5.33333,5.25926,5.30864,2.40364,34300
1980-03-19,0.00000,5.28395,5.23457,5.28395,2.39246,9000
1980-03-20,0.00000,5.23457,5.23457,5.23457,2.37010,6900
1980-03-21,0.00000,5.25926,5.18518,5.25926,2.38128,24300
1980-03-24,0.00000,5.25926,5.16049,5.20988,2.35892,43300
1980-03-25,0.00000,5.23457,5.08642,5.08642,2.30303,61600
1980-03-26,0.00000,5.18518,5.08642,5.16049,2.33656,81000
1980-03-27,0.00000,5.08642,4.93827,4.93827,2.23595,74200
1980-03-28,0.00000,4.98765,4.93827,4.96296,2.24713,31200
1980-03-31,0.00000,5.06173,5.01235,5.06173,2.29184,30600
1980-04-01,0.00000,5.08642,4.88889,4.88889,2.21359,266100
1980-04-02,0.00000,4.88889,4.83951,4.88889,2.21359,2200
1980-04-03,0.00000,5.11111,4.93827,5.11111,2.31420,80200
1980-04-07,0.00000,5.13580,5.06173,5.13580,2.32538,64800
1980-04-08,0.00000,5.33333,5.08642,5.33333,2.41482,181500
1980-04-09,0.00000,5.35802,5.25926,5.33333,2.41482,33700
1980-04-10,0.00000,5.33333,5.28395,5.30864,2.40364,22500
1980-04-11,0.00000,5.30864,5.16049,5.16049,2.33656,34300
1980-04-14,0.00000,5.16049,5.13580,5.13580,2.32538,15400
1980-04-15,0.00000,5.13580,5.13580,5.13580,2.32538,21100
1980-04-16,0.00000,5.16049,5.06173,5.06173,2.29184,22500
1980-04-17,0.00000,5.06173,4.93827,4.93827,2.23595,268600
1980-04-18,0.00000,5.03704,5.01235,5.01235,2.26949,10300
1980-04-21,0.00000,5.03704,4.93827,4.93827,2.23595,12300
1980-04-22,0.00000,5.03704,4.93827,5.03704,2.28067,16300
1980-04-23,0.00000,5.25926,5.13580,5.25926,2.38128,62700
1980-04-24,0.00000,5.25926,5.20988,5.23457,2.37010,4000
1980-04-25,0.00000,5.20988,5.13580,5.13580,2.32538,11400
1980-04-28,0.00000,5.20988,5.13580,5.13580,2.32538,151200
1980-04-29,0.00000,5.11111,5.11111,5.11111,2.31420,1900
1980-04-30,0.00000,5.08642,5.03704,5.06173,2.29184,17500
1980-05-01,0.00000,5.11111,5.03704,5.08642,2.30303,9000
