Date,Open,High,Low,Close,Adj Close,Volume
1997-11-21,23.50000,23.50000,22.75000,23.00000,8.73200,3821400
1997-11-24,23.00000,23.00000,22.25000,22.75000,8.63708,541600
1997-11-25,22.87500,23.00000,22.68750,23.00000,8.73200,425000
1997-11-26,23.00000,23.00000,22.75000,22.75000,8.63708,165200
1997-11-28,22.75000,23.00000,22.75000,23.00000,8.73200,60500
1997-12-01,23.06250,23.12500,23.00000,23.06250,8.75572,120300
1997-12-02,23.12500,23.12500,22.87500,23.00000,8.73200,164200
1997-12-03,23.06250,23.06250,22.93750,23.00000,8.73200,540000
1997-12-04,23.00000,23.06250,23.00000,23.00000,8.73200,43800
1997-12-05,22.87500,23.37500,22.87500,23.06250,8.75572,147500
1997-12-08,23.00000,23.25000,23.00000,23.18750,8.80318,74900
1997-12-09,23.12500,23.18750,23.00000,23.18750,8.80318,61000
1997-12-10,23.12500,23.25000,23.06250,23.06250,8.75572,104500
1997-12-11,23.00000,23.12500,23.00000,23.06250,8.75572,153600
1997-12-12,23.06250,23.18750,23.06250,23.18750,8.80318,59900
1997-12-15,23.12500,23.18750,23.06250,23.18750,8.80318,24400
1997-12-16,23.18750,23.75000,23.18750,23.62500,9.02141,107900
1997-12-17,23.75000,24.25000,23.68750,24.18750,9.23621,63900
1997-12-18,24.12500,24.25000,24.12500,24.25000,9.26008,35700
1997-12-19,24.25000,24.25000,23.75000,23.87500,9.11688,134400
1997-12-22,23.93750,24.12500,23.87500,24.00000,9.16461,34400
1997-12-23,24.00000,24.18750,24.00000,24.00000,9.16461,88500
1997-12-24,23.93750,24.00000,23.81250,24.00000,9.16461,63300
1997-12-26,23.87500,23.87500,23.56250,23.68750,9.04528,34600
1997-12-29,23.87500,24.06250,23.75000,23.81250,9.09301,159600
1997-12-30,24.00000,24.31250,23.68750,24.31250,9.28394,52400
1997-12-31,24.37500,25.12500,24.37500,25.12500,9.59419,215700
1998-01-02,25.00000,25.00000,24.62500,24.87500,9.49874,52000
1998-01-05,24.75000,24.93750,24.62500,24.62500,9.40327,42300
1998-01-06,24.75000,24.75000,24.62500,24.68750,9.42714,26900
1998-01-07,24.68750,24.75000,24.43750,24.62500,9.40327,49500
1998-01-08,24.50000,24.75000,24.37500,24.56250,9.37940,95700
1998-01-09,24.50000,24.50000,24.12500,24.37500,9.30780,37800
1998-01-12,24.12500,24.43750,23.75000,24.43750,9.33167,24500
1998-01-13,24.50000,24.62500,24.43750,24.56250,9.37940,190300
1998-01-14,24.50000,24.75000,24.25000,24.75000,9.45101,201800
1998-01-15,24.75000,24.75000,24.50000,24.50000,9.35553,39200
1998-01-16,24.56250,24.56250,24.37500,24.50000,9.35553,13600
1998-01-20,24.62500,24.75000,24.56250,24.62500,9.40327,63200
1998-01-21,24.68750,24.87500,24.56250,24.75000,9.45101,90400
1998-01-22,24.87500,24.87500,24.62500,24.68750,9.42714,99600
1998-01-23,24.75000,24.75000,24.43750,24.43750,9.33167,11200
1998-01-26,24.31250,24.37500,24.12500,24.12500,9.21234,50500
1998-01-27,24.25000,24.50000,24.00000,24.25000,9.26008,17300
1998-01-28,24.12500,24.12500,23.87500,24.00000,9.16461,68700
1998-01-29,23.75000,24.12500,23.75000,24.00000,9.16461,67700
1998-01-30,24.00000,24.50000,24.00000,24.50000,9.35553,33000
1998-02-02,24.50000,24.75000,24.43750,24.75000,9.45101,31000
1998-02-03,24.62500,24.75000,24.50000,24.50000,9.35553,18300
1998-02-04,24.56250,24.56250,24.37500,24.37500,9.30780,29200
1998-02-05,24.37500,24.62500,24.37500,24.50000,9.35553,10900
1998-02-06,24.50000,24.50000,24.12500,24.50000,9.35553,129199
1998-02-09,24.18750,24.31250,23.93750,24.31250,9.28394,101100
1998-02-10,24.37500,24.62500,24.31250,24.62500,9.40327,35000
1998-02-11,24.62500,24.62500,24.43750,24.62500,9.40327,40400
1998-02-12,24.50000,24.62500,24.31250,24.50000,9.35553,34500
1998-02-13,24.56250,24.62500,24.37500,24.50000,9.35553,73100
1998-02-17,24.62500,24.81250,24.50000,24.81250,9.47487,110500
1998-02-18,24.68750,24.68750,23.87500,24.12500,9.21234,85500
1998-02-19,24.25000,24.25000,24.00000,24.00000,9.16461,7900
1998-02-20,24.00000,24.37500,24.00000,24.18750,9.23621,82700
1998-02-23,24.12500,24.25000,24.00000,24.06250,9.18847,26300
1998-02-24,24.06250,24.18750,23.87500,23.87500,9.11688,8700
1998-02-25,23.87500,23.93750,23.75000,23.75000,9.06914,45600
1998-02-26,23.75000,23.87500,23.62500,23.62500,9.02141,21300
1998-02-27,23.62500,23.81250,23.50000,23.50000,8.97368,42700
1998-03-02,23.75000,23.75000,23.43750,23.43750,8.94981,102800
1998-03-03,23.43750,23.68750,23.43750,23.56250,8.99754,24500
1998-03-04,23.62500,23.62500,23.37500,23.37500,8.92595,108100
1998-03-05,23.37500,23.50000,23.37500,23.43750,8.94981,43100
1998-03-06,23.43750,23.81250,23.43750,23.50000,8.97368,17400
1998-03-09,23.50000,24.18750,23.50000,24.00000,9.16461,105300
1998-03-10,24.12500,24.25000,24.00000,24.00000,9.16461,89800
1998-03-11,24.00000,24.18750,24.00000,24.18750,9.23621,8200
1998-03-12,24.18750,24.18750,24.00000,24.00000,9.16461,103000
1998-03-13,23.81250,24.00000,23.81250,23.87500,9.11688,438900
1998-03-16,23.62500,23.62500,23.25000,23.56250,9.12831,16000
1998-03-17,23.43750,23.56250,23.37500,23.50000,9.10409,15300
1998-03-18,23.50000,23.62500,23.50000,23.50000,9.10409,39800
1998-03-19,23.50000,23.87500,23.50000,23.87500,9.24937,100200
1998-03-20,23.81250,24.37500,23.81250,24.25000,9.39465,137800
1998-03-23,24.25000,24.50000,24.25000,24.37500,9.44307,13400
1998-03-24,24.50000,24.50000,24.25000,24.25000,9.39465,10800
1998-03-25,24.37500,24.50000,24.25000,24.31250,9.41886,18700
1998-03-26,24.62500,24.93750,24.50000,24.75000,9.58835,22800
1998-03-27,24.75000,24.93750,24.62500,24.93750,9.66099,45500
1998-03-30,24.93750,24.93750,24.56250,24.62500,9.53993,20000
1998-03-31,24.50000,24.50000,24.12500,24.12500,9.34622,113200
1998-04-01,24.06250,24.25000,23.81250,24.12500,9.34622,32600
1998-04-02,24.25000,24.56250,24.00000,24.00000,9.29780,58100
1998-04-03,23.93750,23.93750,23.25000,23.50000,9.10409,64099
1998-04-06,23.50000,23.56250,23.18750,23.25000,9.00724,114700
1998-04-07,23.12500,23.18750,23.00000,23.00000,8.91039,139600
1998-04-08,23.18750,23.43750,23.12500,23.43750,9.07988,24700
