Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,15.71000,15.71000,15.71000,15.71000,15.71000,200
2018-01-03,17.23000,17.65000,17.23000,17.59000,17.59000,2300
2018-01-04,17.75000,18.11000,17.75000,18.11000,18.11000,2600
2018-01-05,17.06000,17.21000,16.76500,17.21000,17.21000,1600
2018-01-08,17.32000,17.32000,17.06000,17.06000,17.06000,600
2018-01-09,17.26000,17.39000,17.26000,17.39000,17.39000,600
2018-01-10,17.21000,17.21000,16.93000,17.03000,17.03000,400
2018-01-11,16.99000,17.11000,16.99000,17.11000,17.11000,300
2018-01-12,16.60000,16.65000,16.60000,16.65000,16.65000,800
2018-01-16,16.36000,16.36000,16.36000,16.36000,16.36000,200
2018-01-17,15.95500,16.31000,15.95500,16.01000,16.01000,1600
2018-01-18,15.94800,15.96000,15.71000,15.71000,15.71000,3700
2018-01-19,15.27000,15.47000,14.52000,15.47000,15.47000,2800
2018-01-22,14.75000,15.11000,14.75000,15.11000,15.11000,2400
2018-01-23,15.30000,15.30000,15.30000,15.30000,15.30000,200
2018-01-24,15.37000,15.41000,15.37000,15.41000,15.41000,800
2018-01-25,15.46000,16.18000,15.46000,16.00000,16.00000,11500
2018-01-26,16.08000,16.08000,16.08000,16.08000,16.08000,700
2018-01-29,15.56500,15.56500,15.56500,15.56500,15.56500,200
2018-01-30,15.56500,15.56500,15.56500,15.56500,15.56500,0
2018-01-31,14.75000,14.92000,14.50000,14.60000,14.60000,7700
2018-02-01,14.40000,14.48000,14.40000,14.48000,14.48000,400
2018-02-02,14.91000,14.91000,14.91000,14.91000,14.91000,300
2018-02-05,14.35000,14.35000,14.00000,14.00000,14.00000,1000
2018-02-06,12.81000,12.90000,12.72000,12.86000,12.86000,2600
2018-02-07,12.86000,12.86000,12.86000,12.86000,12.86000,0
2018-02-08,14.10000,14.10000,13.80000,13.80000,13.80000,3600
2018-02-09,13.21000,13.33000,13.21000,13.33000,13.33000,200
2018-02-12,13.33000,13.33000,13.33000,13.33000,13.33000,0
2018-02-13,13.50000,13.61000,12.58000,13.61000,13.61000,2300
2018-02-14,13.61000,13.61000,13.61000,13.61000,13.61000,0
2018-02-15,13.61000,13.61000,13.61000,13.61000,13.61000,0
2018-02-16,13.93000,13.93000,13.90000,13.90000,13.90000,400
2018-02-20,13.90000,13.90000,13.90000,13.90000,13.90000,0
2018-02-21,13.90000,13.90000,13.90000,13.90000,13.90000,0
2018-02-22,13.90000,13.90000,13.90000,13.90000,13.90000,0
2018-02-23,13.56000,13.66000,13.22000,13.66000,13.66000,700
2018-02-26,13.66000,13.66000,13.66000,13.66000,13.66000,0
2018-02-27,13.59000,13.64000,13.59000,13.64000,13.64000,300
2018-02-28,13.22000,13.22000,13.22000,13.22000,13.22000,600
2018-03-01,13.22000,13.22000,12.88000,12.88000,12.88000,800
2018-03-02,12.88000,12.88000,12.88000,12.88000,12.88000,0
2018-03-05,13.13000,13.13000,13.13000,13.13000,13.13000,200
2018-03-06,12.75000,12.76000,12.75000,12.76000,12.76000,500
2018-03-07,13.33000,13.33000,13.33000,13.33000,13.33000,300
2018-03-08,13.00000,13.00000,12.97000,12.97000,12.97000,200
2018-03-09,12.97000,12.97000,12.97000,12.97000,12.97000,0
2018-03-12,12.97000,12.97000,12.97000,12.97000,12.97000,0
2018-03-13,12.97000,12.97000,12.97000,12.97000,12.97000,0
2018-03-14,12.97000,12.97000,12.97000,12.97000,12.97000,0
2018-03-15,12.97000,12.97000,12.97000,12.97000,12.97000,0
2018-03-16,12.97000,12.97000,12.97000,12.97000,12.97000,0
2018-03-19,11.74000,11.94000,11.74000,11.91000,11.91000,5100
2018-03-20,11.79000,11.79000,11.79000,11.79000,11.79000,1000
2018-03-21,11.79000,11.79000,11.79000,11.79000,11.79000,0
2018-03-22,11.92000,11.92000,11.72000,11.79000,11.79000,600
2018-03-23,11.99000,11.99000,11.79000,11.79000,11.79000,200
2018-03-26,11.85000,11.85000,11.85000,11.85000,11.85000,500
2018-03-27,12.15000,12.15000,12.15000,12.15000,12.15000,400
2018-03-28,12.08000,12.08000,12.08000,12.08000,12.08000,200
2018-03-29,11.64000,11.69000,11.40000,11.40000,11.40000,1400
2018-04-02,11.40000,11.40000,11.40000,11.40000,11.40000,0
2018-04-03,11.40000,11.40000,11.40000,11.40000,11.40000,0
2018-04-04,11.40000,11.40000,11.40000,11.40000,11.40000,0
2018-04-05,11.40000,11.40000,11.40000,11.40000,11.40000,0
2018-04-06,11.40000,11.40000,11.40000,11.40000,11.40000,0
2018-04-09,11.42000,11.42000,11.42000,11.42000,11.42000,100
2018-04-10,11.62000,11.62000,11.62000,11.62000,11.62000,100
2018-04-11,11.62000,11.62000,11.50000,11.50000,11.50000,300
2018-04-12,11.90000,12.15000,11.90000,12.15000,12.15000,700
2018-04-13,11.48000,11.68000,11.48000,11.68000,11.68000,400
2018-04-16,11.68000,11.68000,11.68000,11.68000,11.68000,0
2018-04-17,11.25000,11.25000,11.25000,11.25000,11.25000,300
2018-04-18,11.66000,11.66000,11.66000,11.66000,11.66000,200
2018-04-19,11.66000,11.66000,11.66000,11.66000,11.66000,0
2018-04-20,11.28000,11.28000,11.28000,11.28000,11.28000,300
2018-04-23,10.87000,11.07000,10.87000,11.07000,11.07000,400
2018-04-24,11.61000,11.61000,11.60000,11.60000,11.60000,3500
2018-04-25,11.60000,11.60000,11.60000,11.60000,11.60000,0
2018-04-26,11.60000,11.60000,11.60000,11.60000,11.60000,200
2018-04-27,11.60000,11.60000,11.60000,11.60000,11.60000,0
2018-04-30,11.36000,11.36000,11.36000,11.36000,11.36000,300
2018-05-01,11.36000,11.36000,11.36000,11.36000,11.36000,0
2018-05-02,11.83000,12.03000,11.83000,12.03000,12.03000,7200
2018-05-03,12.03000,12.03000,12.03000,12.03000,12.03000,0
2018-05-04,12.03000,12.03000,12.03000,12.03000,12.03000,0
2018-05-07,12.75000,12.75000,12.75000,12.75000,12.75000,100
2018-05-08,13.00000,13.25000,13.00000,13.00000,13.00000,400
2018-05-09,13.89000,13.89000,13.50000,13.50000,13.50000,800
2018-05-10,13.90000,15.29000,13.90000,13.90000,13.90000,2800
2018-05-11,15.00000,15.25000,15.00000,15.25000,15.25000,5500
2018-05-14,14.78000,15.15000,14.75000,15.14200,15.14200,13500
2018-05-15,15.00000,15.00000,13.56000,14.70500,14.70500,2000
2018-05-16,13.72000,14.65000,13.72000,14.38500,14.38500,8200
2018-05-17,14.00000,14.82900,14.00000,14.70000,14.70000,10700
2018-05-18,14.70000,14.70000,13.59900,13.95000,13.95000,11500
2018-05-21,14.20000,15.41500,13.65000,14.50000,14.50000,22000
2018-05-22,17.00000,17.00000,14.48000,14.65000,14.65000,4900
2018-05-23,14.25000,14.37400,13.99900,14.00000,14.00000,5400
2018-05-24,14.00000,14.00000,13.50000,13.64600,13.64600,5500
2018-05-25,13.51100,13.80000,13.51100,13.52000,13.52000,3600
2018-05-29,13.90000,13.90000,13.53000,13.62000,13.62000,3300
2018-05-30,13.56000,13.88000,13.50100,13.78300,13.78300,5700
2018-05-31,13.52000,13.82400,13.50000,13.50000,13.50000,6800
2018-06-01,13.40000,13.87800,13.40000,13.75000,13.75000,1200
2018-06-04,13.80000,13.80000,13.80000,13.80000,13.80000,200
2018-06-05,13.90000,13.90000,13.80000,13.82000,13.82000,1600
2018-06-06,14.00000,14.01000,13.95000,14.00000,14.00000,3000
2018-06-07,15.00000,15.00000,13.51000,14.99000,14.99000,5400
2018-06-08,14.00000,14.55400,13.99900,14.10000,14.10000,9300
2018-06-11,16.00000,17.98000,14.71000,15.10000,15.10000,17200
2018-06-12,14.99800,16.00000,13.62100,13.80000,13.80000,21700
2018-06-13,13.80000,14.41000,13.80000,14.00000,14.00000,6600
2018-06-14,14.50000,15.21600,14.26000,15.00000,15.00000,11400
2018-06-15,16.10000,16.10000,15.00000,16.00000,16.00000,12700
2018-06-18,16.54000,16.54000,15.50000,15.95000,15.95000,4600
2018-06-19,15.52000,15.77000,15.12600,15.37000,15.37000,11600
2018-06-20,15.37000,15.37000,15.37000,15.37000,15.37000,0
2018-06-21,14.90000,15.29000,14.32600,14.32600,14.32600,2600
2018-06-22,15.23000,15.23000,14.47900,14.70000,14.70000,5500
2018-06-25,14.73300,14.76200,14.10100,14.76200,14.76200,2300
2018-06-26,14.76200,14.76200,14.76200,14.76200,14.76200,0
2018-06-27,14.01000,14.34400,14.01000,14.34400,14.34400,400
2018-06-28,14.86000,14.86000,14.46300,14.46300,14.46300,700
2018-06-29,14.47000,14.47000,14.00000,14.00000,14.00000,1300
2018-07-02,14.00000,14.00000,14.00000,14.00000,14.00000,0
2018-07-03,14.50000,14.50000,14.49900,14.50000,14.50000,400
2018-07-05,14.25000,15.58000,13.96800,14.26000,14.26000,6800
2018-07-06,14.45000,14.45000,13.84000,13.95000,13.95000,6500
2018-07-09,14.42000,14.42000,14.00000,14.00000,14.00000,2500
2018-07-10,14.00000,14.00000,14.00000,14.00000,14.00000,0
2018-07-11,14.50000,14.50000,14.50000,14.50000,14.50000,200
2018-07-12,14.00000,14.00000,13.41000,13.41000,13.41000,8100
2018-07-13,13.46000,13.46000,13.35000,13.35000,13.35000,1900
2018-07-16,13.35000,13.35000,13.35000,13.35000,13.35000,0
2018-07-17,13.97400,13.97400,13.16000,13.41300,13.41300,8000
2018-07-18,13.88000,13.88000,13.23100,13.25000,13.25000,5200
2018-07-19,14.90000,14.90000,14.00000,14.47200,14.47200,1300
2018-07-20,14.07000,14.08700,13.90000,13.96200,13.96200,2700
2018-07-23,13.96000,14.50000,13.85000,14.30000,14.30000,3200
2018-07-24,13.70000,14.12700,13.70000,13.70000,13.70000,2200
2018-07-25,14.25000,14.25000,13.50000,13.67700,13.67700,3400
2018-07-26,13.70000,14.89300,13.63200,14.89300,14.89300,2800
2018-07-27,14.85000,14.85000,14.10000,14.10000,14.10000,2900
2018-07-30,14.10000,14.10000,14.10000,14.10000,14.10000,0
2018-07-31,14.40000,14.40000,14.38000,14.38000,14.38000,200
2018-08-01,14.47500,14.47500,14.35900,14.35900,14.35900,400
2018-08-02,14.25000,14.25000,13.15000,13.92400,13.92400,4100
2018-08-03,13.95000,13.95000,13.75000,13.75000,13.75000,400
2018-08-06,13.41000,13.94300,13.41000,13.94300,13.94300,700
2018-08-07,13.30000,13.43300,13.07000,13.31000,13.31000,6000
2018-08-08,13.08000,13.08000,12.93000,12.93000,12.93000,4400
2018-08-09,13.10000,13.10000,12.93000,12.93000,12.93000,900
2018-08-10,12.57000,12.57000,12.57000,12.57000,12.57000,600
2018-08-13,12.57000,12.93400,12.15000,12.31700,12.31700,2200
2018-08-14,12.25000,12.56300,12.01000,12.50000,12.50000,2100
2018-08-15,12.35000,12.35000,11.79000,11.79000,11.79000,3800
2018-08-16,12.98000,12.98000,11.76000,12.30300,12.30300,4800
2018-08-17,13.10200,13.10200,12.90000,12.90000,12.90000,500
2018-08-20,13.20000,13.20000,12.98000,13.00000,13.00000,7800
2018-08-21,12.60000,12.60000,12.50000,12.50000,12.50000,1000
2018-08-22,12.54200,12.62400,12.50000,12.50000,12.50000,1500
2018-08-23,12.55000,12.55000,12.55000,12.55000,12.55000,100
2018-08-24,12.45000,12.45000,11.85000,12.10000,12.10000,3400
2018-08-27,12.05000,12.05000,11.88000,11.90600,11.90600,2900
2018-08-28,11.86000,12.00000,11.86000,12.00000,12.00000,800
2018-08-29,11.86000,11.86000,11.85000,11.85000,11.85000,1200
2018-08-30,11.80000,11.80000,11.69000,11.69000,11.69000,7200
2018-08-31,11.50300,11.50300,11.43000,11.43000,11.43000,2100
2018-09-04,11.43000,11.43000,11.05000,11.12300,11.12300,6600
2018-09-05,11.00000,11.16900,10.55300,11.16900,11.16900,2100
