Date,Open,High,Low,Close,Adj Close,Volume
1975-11-17,0.00000,2.62500,2.62500,2.62500,0.52928,4000
1975-11-18,0.00000,2.56250,2.56250,2.56250,0.51668,39200
1975-11-19,0.00000,2.53125,2.53125,2.53125,0.51038,22400
1975-11-20,0.00000,2.46875,2.46875,2.46875,0.49778,24800
1975-11-21,0.00000,2.50000,2.50000,2.50000,0.50408,22400
1975-11-24,0.00000,2.46875,2.46875,2.46875,0.49778,5600
1975-11-25,0.00000,2.46875,2.46875,2.46875,0.49778,24000
1975-11-26,0.00000,2.40625,2.40625,2.40625,0.48518,35200
1975-11-28,0.00000,2.37500,2.37500,2.37500,0.47888,19200
1975-12-01,0.00000,2.37500,2.37500,2.37500,0.47888,7200
1975-12-02,0.00000,2.31250,2.31250,2.31250,0.46627,24000
1975-12-03,0.00000,2.21875,2.21875,2.21875,0.44737,40800
1975-12-04,0.00000,2.21875,2.21875,2.21875,0.44737,16000
1975-12-05,0.00000,2.15625,2.15625,2.15625,0.43477,36000
1975-12-08,0.00000,2.15625,2.15625,2.15625,0.43477,37600
1975-12-09,0.00000,2.18750,2.18750,2.18750,0.44107,64000
1975-12-10,0.00000,2.18750,2.18750,2.18750,0.44107,22400
1975-12-11,0.00000,2.18750,2.18750,2.18750,0.44107,15200
1975-12-12,0.00000,2.25000,2.25000,2.25000,0.45367,119200
1975-12-15,0.00000,2.21875,2.21875,2.21875,0.44737,45600
1975-12-16,0.00000,2.21875,2.21875,2.21875,0.44737,53600
1975-12-17,0.00000,2.25000,2.25000,2.25000,0.45367,47200
1975-12-18,0.00000,2.28125,2.28125,2.28125,0.45997,26400
1975-12-19,0.00000,2.28125,2.28125,2.28125,0.45997,8000
1975-12-22,0.00000,2.28125,2.28125,2.28125,0.45997,24800
1975-12-23,0.00000,2.28125,2.28125,2.28125,0.45997,52000
1975-12-24,0.00000,2.28125,2.28125,2.28125,0.45997,8800
1975-12-26,0.00000,2.34375,2.34375,2.34375,0.47258,12800
1975-12-29,0.00000,2.34375,2.34375,2.34375,0.47258,8800
1975-12-30,0.00000,2.34375,2.34375,2.34375,0.47258,20000
1975-12-31,0.00000,2.34375,2.34375,2.34375,0.47258,12000
1976-01-02,0.00000,2.31250,2.31250,2.31250,0.46627,4800
1976-01-05,0.00000,2.37500,2.37500,2.37500,0.47888,27200
1976-01-06,0.00000,2.53125,2.53125,2.53125,0.51038,65600
1976-01-07,0.00000,2.53125,2.53125,2.53125,0.51038,25600
1976-01-08,0.00000,2.56250,2.56250,2.56250,0.51668,13600
1976-01-09,0.00000,2.53125,2.53125,2.53125,0.51038,24800
1976-01-12,0.00000,2.56250,2.56250,2.56250,0.51668,35200
1976-01-13,0.00000,2.62500,2.62500,2.62500,0.52928,23200
1976-01-14,0.00000,2.75000,2.75000,2.75000,0.55449,50400
1976-01-15,0.00000,2.68750,2.68750,2.68750,0.54188,52800
1976-01-16,0.00000,2.81250,2.81250,2.81250,0.56709,48000
1976-01-19,0.00000,2.81250,2.81250,2.81250,0.56709,17600
1976-01-20,0.00000,2.78125,2.78125,2.78125,0.56079,25600
1976-01-21,0.00000,2.75000,2.75000,2.75000,0.55449,19200
1976-01-22,0.00000,2.68750,2.68750,2.68750,0.54188,23200
1976-01-23,0.00000,2.71875,2.71875,2.71875,0.54819,32000
1976-01-26,0.00000,2.75000,2.75000,2.75000,0.55449,31200
1976-01-27,0.00000,2.75000,2.75000,2.75000,0.55449,13600
1976-01-28,0.00000,2.75000,2.75000,2.75000,0.55449,4800
1976-01-29,0.00000,2.81250,2.71875,2.71875,0.54819,17600
1976-01-30,0.00000,2.84375,2.75000,2.75000,0.55449,24800
1976-02-02,0.00000,2.87500,2.78125,2.78125,0.56079,18400
1976-02-03,0.00000,3.00000,2.90625,2.90625,0.58599,26400
1976-02-04,0.00000,3.03125,2.93750,2.93750,0.59229,16000
1976-02-05,0.00000,3.06250,2.96875,2.96875,0.59859,39200
1976-02-06,0.00000,3.00000,2.90625,2.90625,0.58599,24800
1976-02-09,0.00000,3.00000,2.90625,2.90625,0.58599,11200
1976-02-10,0.00000,3.00000,2.90625,2.90625,0.58599,4000
1976-02-11,0.00000,3.03125,2.93750,2.93750,0.59229,7200
1976-02-12,0.00000,3.00000,2.90625,2.90625,0.58599,5600
1976-02-13,0.00000,3.00000,2.90625,2.90625,0.58599,4800
1976-02-17,0.00000,2.96875,2.87500,2.87500,0.57969,22400
1976-02-18,0.00000,2.93750,2.84375,2.84375,0.57339,8000
1976-02-19,0.00000,2.96875,2.87500,2.87500,0.57969,20000
1976-02-20,0.00000,2.96875,2.87500,2.87500,0.57969,16000
1976-02-23,0.00000,2.96875,2.87500,2.87500,0.57969,12800
1976-02-24,0.00000,2.96875,2.87500,2.87500,0.57969,16800
1976-02-25,0.00000,2.96875,2.87500,2.87500,0.57969,24800
1976-02-26,0.00000,2.93750,2.84375,2.84375,0.57339,32800
1976-02-27,0.00000,2.93750,2.84375,2.84375,0.57339,8800
1976-03-01,0.00000,2.93750,2.84375,2.84375,0.57339,1600
1976-03-02,0.00000,2.96875,2.87500,2.87500,0.57969,13600
1976-03-03,0.00000,2.96875,2.87500,2.87500,0.57969,18400
1976-03-04,0.00000,2.96875,2.87500,2.87500,0.57969,12800
1976-03-05,0.00000,2.96875,2.87500,2.87500,0.57969,10400
1976-03-08,0.00000,2.93750,2.84375,2.84375,0.57339,20000
1976-03-09,0.00000,2.93750,2.84375,2.84375,0.57339,29600
1976-03-10,0.00000,2.96875,2.87500,2.87500,0.57969,17600
1976-03-11,0.00000,3.03125,2.93750,2.93750,0.59229,18400
1976-03-12,0.00000,3.03125,2.93750,2.93750,0.59229,23200
1976-03-15,0.00000,3.00000,2.90625,2.90625,0.58599,23200
1976-03-16,0.00000,3.00000,2.90625,2.90625,0.58599,20800
1976-03-17,0.00000,3.00000,2.90625,2.90625,0.58599,16800
