Date,Open,High,Low,Close,Adj Close,Volume
1973-05-03,1.03537,1.06335,1.03537,1.03537,0.43334,35700
1973-05-04,1.10533,1.16129,1.10533,1.10533,0.46262,59500
1973-05-07,1.04936,1.10533,1.04936,1.04936,0.43920,66100
1973-05-08,1.03537,1.06335,1.03537,1.03537,0.43334,23800
1973-05-09,1.06335,1.10533,1.06335,1.06335,0.44505,32100
1973-05-10,1.06335,1.10533,1.06335,1.06335,0.44505,9500
1973-05-11,1.06335,1.10533,1.06335,1.06335,0.44505,14200
1973-05-14,1.06335,1.10533,1.06335,1.06335,0.44505,23800
1973-05-15,1.06335,1.10533,1.06335,1.06335,0.44505,34500
1973-05-16,1.04936,1.10533,1.04936,1.04936,0.43920,20200
1973-05-17,1.06335,1.10533,1.06335,1.06335,0.44505,32700
1973-05-18,1.02138,1.06335,1.02138,1.02138,0.42748,32700
1973-05-21,0.93743,0.97940,0.93743,0.93743,0.39235,76800
1973-05-22,0.93743,0.97940,0.93743,0.93743,0.39235,10700
1973-05-23,0.92344,0.95142,0.92344,0.92344,0.38649,30300
1973-05-24,0.86747,0.92344,0.86747,0.86747,0.36307,55300
1973-05-25,0.89546,0.93743,0.89546,0.89546,0.37478,43400
1973-05-29,0.89546,0.93743,0.89546,0.89546,0.37478,16000
1973-05-30,0.86747,0.92344,0.86747,0.86747,0.36307,500
1973-05-31,0.86747,0.92344,0.86747,0.86747,0.36307,30300
1973-06-01,0.86747,0.92344,0.86747,0.86747,0.36307,5900
1973-06-04,0.86747,0.92344,0.86747,0.86747,0.36307,2300
1973-06-05,0.86747,0.92344,0.86747,0.86747,0.36307,30900
1973-06-06,0.86747,0.92344,0.86747,0.86747,0.36307,16000
1973-06-07,0.86747,0.92344,0.86747,0.86747,0.36307,7700
1973-06-08,0.89546,0.93743,0.89546,0.89546,0.37478,9500
1973-06-11,0.92344,0.96541,0.92344,0.92344,0.38649,22000
1973-06-12,0.93743,0.97940,0.93743,0.93743,0.39235,23200
1973-06-13,0.93743,0.97940,0.93743,0.93743,0.39235,5300
1973-06-14,0.92344,0.96541,0.92344,0.92344,0.38649,16000
1973-06-15,0.92344,0.96541,0.92344,0.92344,0.38649,13100
1973-06-18,0.86747,0.92344,0.86747,0.86747,0.36307,20200
1973-06-19,0.86747,0.92344,0.86747,0.86747,0.36307,7700
1973-06-20,0.89546,0.93743,0.89546,0.89546,0.37478,5900
1973-06-21,0.86747,0.92344,0.86747,0.86747,0.36307,14200
1973-06-22,0.86747,0.92344,0.86747,0.86747,0.36307,28500
1973-06-25,0.86747,0.92344,0.86747,0.86747,0.36307,7700
1973-06-26,0.86747,0.92344,0.86747,0.86747,0.36307,11300
1973-06-27,0.85348,0.89546,0.85348,0.85348,0.35721,16000
1973-06-28,0.82550,0.86747,0.82550,0.82550,0.34550,22000
1973-06-29,0.82550,0.86747,0.82550,0.82550,0.34550,13100
1973-07-02,0.82550,0.86747,0.82550,0.82550,0.34550,5300
1973-07-03,0.82550,0.86747,0.82550,0.82550,0.34550,2300
1973-07-05,0.82550,0.86747,0.82550,0.82550,0.34550,500
1973-07-06,0.82550,0.86747,0.82550,0.82550,0.34550,5300
1973-07-09,0.85348,0.89546,0.85348,0.85348,0.35721,5900
1973-07-10,0.86747,0.92344,0.86747,0.86747,0.36307,5900
1973-07-11,0.86747,0.92344,0.86747,0.86747,0.36307,500
1973-07-12,0.86747,0.92344,0.86747,0.86747,0.36307,7700
1973-07-13,0.86747,0.92344,0.86747,0.86747,0.36307,1700
1973-07-16,0.86747,0.92344,0.86747,0.86747,0.36307,5900
1973-07-17,0.86747,0.92344,0.86747,0.86747,0.36307,11300
1973-07-18,0.86747,0.92344,0.86747,0.86747,0.36307,9500
1973-07-19,0.86747,0.92344,0.86747,0.86747,0.36307,5300
1973-07-20,0.86747,0.92344,0.86747,0.86747,0.36307,5300
1973-07-23,0.86747,0.92344,0.86747,0.86747,0.36307,16000
1973-07-24,0.89546,0.93743,0.89546,0.89546,0.37478,14800
1973-07-25,0.95142,1.00739,0.95142,0.95142,0.39821,42800
1973-07-26,1.04936,1.10533,1.04936,1.04936,0.43920,48200
1973-07-27,1.04936,1.10533,1.04936,1.04936,0.43920,16000
1973-07-30,1.04936,1.10533,1.04936,1.04936,0.43920,38100
1973-07-31,1.06335,1.10533,1.06335,1.06335,0.44505,17800
1973-08-01,1.04936,1.10533,1.04936,1.04936,0.43920,27300
1973-08-02,1.02138,1.06335,1.02138,1.02138,0.42748,26800
