Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00000,1.75000,1.67969,1.68750,0.58195,164800
1980-03-18,0.00000,1.68750,1.63281,1.65625,0.57118,188800
1980-03-19,0.00000,1.68750,1.66406,1.67969,0.57926,84800
1980-03-20,0.00000,1.68750,1.64844,1.68750,0.58195,328000
1980-03-21,0.00000,1.67969,1.66406,1.66406,0.57387,249600
1980-03-24,0.00000,1.67969,1.64062,1.67969,0.57926,142400
1980-03-25,0.00000,1.68750,1.66406,1.66406,0.57387,249600
1980-03-26,0.00000,1.68750,1.64844,1.65625,0.57118,228800
1980-03-27,0.00000,1.65625,1.64062,1.64844,0.56848,268800
1980-03-28,0.00000,1.67188,1.64844,1.65625,0.57118,132800
1980-03-31,0.00000,1.79688,1.67188,1.79688,0.61967,363200
1980-04-01,0.00000,1.80469,1.75000,1.76562,0.60890,276800
1980-04-02,0.00000,1.76562,1.71094,1.71094,0.59004,86400
1980-04-03,0.00000,1.72656,1.69531,1.71875,0.59273,156800
1980-04-07,0.00000,1.71875,1.68750,1.69531,0.58465,195200
1980-04-08,0.00000,1.71875,1.68750,1.71094,0.59004,414400
1980-04-09,0.00000,1.71094,1.67969,1.68750,0.58195,432000
1980-04-10,0.00000,1.70312,1.67969,1.68750,0.58195,544000
1980-04-11,0.00000,1.73438,1.69531,1.73438,0.59812,372800
1980-04-14,0.00000,1.75000,1.72656,1.73438,0.59812,107200
1980-04-15,0.00000,1.75000,1.72656,1.72656,0.59542,110400
1980-04-16,0.00000,1.75000,1.73438,1.73438,0.59812,316800
1980-04-17,0.00000,1.75000,1.73438,1.73438,0.59812,108800
1980-04-18,0.00000,1.75000,1.73438,1.74219,0.60081,96000
1980-04-21,0.00000,1.74219,1.73438,1.73438,0.59812,128000
1980-04-22,0.00000,1.76562,1.72656,1.76562,0.60890,99200
1980-04-23,0.00000,1.79688,1.76562,1.76562,0.60890,123200
1980-04-24,0.00000,1.81250,1.78125,1.78906,0.61698,152000
1980-04-25,0.00000,1.81250,1.77344,1.80469,0.62237,67200
