Date,Open,High,Low,Close,Adj Close,Volume
2001-12-13,29.10000,30.00000,29.00000,29.30000,17.92769,49466000
2001-12-14,29.90000,30.10000,29.52000,29.68000,18.16021,9676300
2001-12-17,29.95000,29.95000,29.40000,29.45000,18.01947,5110900
2001-12-18,29.50000,29.95000,29.39000,29.95000,18.32541,5167700
2001-12-19,29.85000,30.19000,29.62000,30.15000,18.44779,3693200
2001-12-20,30.25000,30.98000,30.12000,30.17000,18.46002,3914200
2001-12-21,30.40000,30.99000,30.25000,30.99000,18.96175,3429100
2001-12-24,30.75000,31.49000,30.75000,31.45000,19.24321,976900
2001-12-26,31.50000,32.74000,31.50000,32.20000,19.70211,2456300
2001-12-27,32.20000,32.97000,31.52000,32.85000,20.09982,4447500
2001-12-28,32.86000,33.10000,32.58000,32.94000,20.15489,4174800
2001-12-31,33.11000,33.74000,32.72000,33.19000,20.30786,5532800
2002-01-02,32.61000,32.80000,31.12000,31.30000,19.15143,5168900
2002-01-03,31.30000,32.75000,30.82000,31.25000,19.12084,2906500
2002-01-04,31.20000,32.00000,31.10000,31.95000,19.54915,3086000
2002-01-07,31.75000,32.05000,31.37000,31.95000,19.54915,2449300
2002-01-08,31.25000,31.85000,31.25000,31.78000,19.44513,1766500
2002-01-09,31.95000,31.95000,31.25000,31.30000,19.15143,1639100
2002-01-10,31.12000,31.68000,31.01000,31.01000,18.97399,1689400
2002-01-11,31.01000,31.15000,30.75000,30.90000,18.90668,1966200
2002-01-14,30.75000,30.75000,29.53000,30.05000,18.38660,3160000
2002-01-15,30.40000,31.12000,29.92000,30.78000,18.83326,1962400
2002-01-16,30.58000,31.15000,30.45000,30.68000,18.77208,1881100
2002-01-17,30.88000,31.00000,30.30000,30.52000,18.67418,1739800
2002-01-18,30.40000,30.45000,29.75000,30.25000,18.50898,1531400
2002-01-22,30.49000,31.25000,30.40000,31.25000,19.12084,2322700
2002-01-23,31.65000,31.70000,30.52000,30.52000,18.67418,2460800
2002-01-24,30.60000,30.67000,30.00000,30.25000,18.50898,3064100
2002-01-25,30.00000,30.50000,29.90000,30.43000,18.61910,2373600
2002-01-28,30.65000,31.04000,30.55000,30.93000,18.92504,2450800
2002-01-29,30.00000,30.89000,30.00000,30.39000,18.59463,2512800
2002-01-30,30.50000,30.57000,29.80000,30.15000,18.44779,3533700
2002-01-31,30.48000,31.18000,30.33000,31.05000,18.99846,3986900
2002-02-01,30.95000,30.95000,30.40000,30.60000,18.72313,3200100
2002-02-04,30.60000,30.98000,30.50000,30.88000,18.89444,3193400
2002-02-05,30.85000,31.60000,30.76000,31.05000,18.99846,2397200
2002-02-06,31.20000,31.20000,30.89000,31.15000,19.05965,2107700
2002-02-07,30.95000,31.05000,30.52000,30.62000,18.73536,1801500
2002-02-08,30.57000,31.03000,30.55000,31.03000,18.98623,1399300
2002-02-11,30.70000,31.89000,30.67000,31.76000,19.43290,1904300
2002-02-12,31.41000,31.85000,31.25000,31.50000,19.27380,2038700
2002-02-13,31.20000,32.22000,30.86000,32.09000,19.63481,3779900
2002-02-14,32.05000,32.28000,31.90000,32.03000,19.59809,2200800
2002-02-15,31.83000,31.93000,31.03000,31.50000,19.27380,1649600
2002-02-19,31.00000,31.10000,30.00000,30.26000,18.51509,2983900
2002-02-20,30.50000,30.73000,30.10000,30.65000,18.75372,2283100
2002-02-21,30.45000,30.87000,30.45000,30.84000,18.86998,1929100
2002-02-22,30.55000,30.65000,30.00000,30.24000,18.50286,1655900
2002-02-25,30.25000,30.32000,30.07000,30.28000,18.52732,2355800
2002-02-26,30.38000,30.69000,30.33000,30.50000,18.66194,2309100
2002-02-27,30.60000,30.61000,30.30000,30.35000,18.57015,2937000
2002-02-28,30.35000,30.75000,30.35000,30.57000,18.70477,2012600
2002-03-01,30.69000,30.89000,30.40000,30.85000,18.87610,2189500
2002-03-04,30.88000,31.48000,30.70000,30.70000,18.78431,2321500
2002-03-05,30.70000,31.49000,30.41000,31.44000,19.23709,3350200
2002-03-06,31.00000,31.40000,31.00000,31.40000,19.21262,1593000
2002-03-07,31.20000,31.67000,31.10000,31.57000,19.31663,2412800
2002-03-08,31.85000,32.06000,31.45000,31.75000,19.42677,2561600
2002-03-11,31.85000,31.90000,31.20000,31.35000,19.18203,2237500
2002-03-12,31.00000,31.35000,30.69000,30.90000,18.90668,2054000
2002-03-13,30.63000,30.90000,30.60000,30.63000,18.74148,2077400
2002-03-14,30.70000,31.00000,30.70000,30.97000,18.94952,2493400
2002-03-15,30.69000,31.38000,30.69000,31.10000,19.02906,3211200
2002-03-18,31.55000,31.60000,30.95000,31.39000,19.20650,2275600
2002-03-19,31.30000,31.78000,31.29000,31.40000,19.21262,2259500
2002-03-20,31.25000,31.49000,31.22000,31.35000,19.18203,2410100
2002-03-21,31.17000,31.34000,30.99000,31.25000,19.12084,2524800
2002-03-22,30.85000,31.30000,30.83000,31.25000,19.12084,1674300
2002-03-25,31.20000,31.45000,31.14000,31.21000,19.09636,930200
