Date,Open,High,Low,Close,Adj Close,Volume
2012-04-12,33.25000,34.21000,32.00000,34.00000,26.12113,654700
2012-04-13,34.00000,37.45000,33.91000,37.00000,28.42593,1685000
2012-04-16,37.00000,37.00000,35.99000,36.55000,28.08020,550200
2012-04-17,36.40000,36.75000,36.00000,36.00000,27.65766,179600
2012-04-18,36.00000,36.44000,34.50000,36.00000,27.65766,207100
2012-04-19,36.00000,37.22000,35.80000,36.00000,27.65766,598100
2012-04-20,36.10000,37.00000,36.10000,36.32000,27.90350,149700
2012-04-23,36.24000,36.24000,35.42000,35.68000,27.41182,95700
2012-04-24,36.00000,36.00000,34.68000,34.75000,26.69732,124500
2012-04-25,34.80000,35.50000,34.50000,34.75000,26.69732,266200
2012-04-26,34.61000,34.99000,34.44000,34.95000,26.85098,183900
2012-04-27,35.25000,35.25000,33.97000,34.11000,26.20564,536000
2012-04-30,34.34000,34.90000,34.00000,34.05000,26.15953,4105700
2012-05-01,33.74000,34.10000,32.58000,32.76000,25.16847,6878600
2012-05-02,32.60000,32.67000,31.63000,32.00000,24.58459,11287600
2012-05-03,31.93000,31.98000,31.05000,31.39000,24.11595,11800000
2012-05-04,30.85000,31.09000,30.12000,30.16000,23.17098,10881000
2012-05-07,30.10000,30.55000,29.25000,29.35000,22.54868,12257200
2012-05-08,29.09000,30.41000,28.75000,30.10000,23.12487,14601300
2012-05-09,29.81000,32.89000,29.73000,32.49000,24.96104,13990000
2012-05-10,33.05000,33.35000,31.52000,32.48000,24.95336,8862000
2012-05-11,31.73000,32.15000,31.40000,31.83000,24.45397,4460100
2012-05-14,31.19000,31.58000,30.77000,31.32000,24.06217,6398200
2012-05-15,31.35000,32.32000,31.06000,31.67000,24.33106,6362800
2012-05-16,31.46000,32.39000,31.25000,32.10000,24.66141,6118600
2012-05-17,31.89000,32.00000,31.20000,31.26000,24.01607,5850500
2012-05-18,31.43000,31.69000,30.99000,31.38000,24.10826,7940800
2012-05-21,31.23000,32.34000,30.95000,32.19000,24.73056,5480100
2012-05-22,31.88000,32.27000,31.33000,31.63000,24.30033,5415000
2012-05-23,31.35000,31.49000,30.88000,31.41000,24.13131,5268900
2012-05-24,31.42000,31.44000,30.75000,31.13000,23.91620,4210400
2012-05-25,31.01000,31.41000,30.83000,31.30000,24.04680,3217900
2012-05-29,31.28000,31.72000,30.86000,31.01000,23.82400,3979600
2012-05-30,30.79000,30.83000,30.18000,30.44000,23.38609,6000600
2012-05-31,30.26000,30.35000,29.72000,30.03000,23.07110,8098000
2012-06-01,29.50000,30.17000,29.38000,29.92000,22.98659,5701700
2012-06-04,29.30000,30.19000,29.25000,29.53000,22.68696,4844900
2012-06-05,29.37000,30.10000,29.32000,29.90000,22.97123,4046500
2012-06-06,30.03000,32.00000,29.82000,31.53000,24.22350,8609400
2012-06-07,32.07000,32.75000,31.74000,31.83000,24.45397,7694300
2012-06-08,31.66000,32.35000,31.51000,32.12000,24.67678,4302100
2012-06-11,32.45000,33.05000,32.23000,32.60000,25.04555,5999000
2012-06-12,32.56000,33.74000,32.49000,33.49000,25.72931,6809900
2012-06-13,33.27000,33.49000,32.54000,32.77000,25.17616,2876200
2012-06-14,32.77000,33.64000,32.31000,33.53000,25.76003,4460000
2012-06-15,33.60000,34.91000,33.38000,34.90000,26.81257,9892400
2012-06-18,34.38000,34.50000,33.83000,33.86000,26.01356,4254400
2012-06-19,34.06000,34.53000,33.73000,33.86000,26.01356,4873500
2012-06-20,33.79000,34.85000,33.48000,34.66000,26.62818,4628400
2012-06-21,34.70000,34.76000,33.06000,33.48000,25.72163,3489900
2012-06-22,33.65000,34.71000,33.03000,34.16000,26.24406,4359500
2012-06-25,33.69000,33.69000,32.76000,32.87000,25.25298,3518600
2012-06-26,32.81000,33.98000,32.40000,32.58000,25.03018,3274700
2012-06-27,32.61000,33.40000,31.42000,31.89000,24.50008,3615600
2012-06-28,31.54000,32.40000,31.29000,32.31000,24.82276,3115900
2012-06-29,32.78000,33.38000,32.65000,33.24000,25.53724,4599500
2012-07-02,33.59000,34.32000,33.37000,34.00000,26.12113,3868500
2012-07-03,34.02000,34.63000,33.83000,34.24000,26.30551,3647400
2012-07-05,33.83000,34.24000,33.54000,33.80000,25.96747,2711300
2012-07-06,33.40000,33.68000,32.92000,33.37000,25.63711,1907800
2012-07-09,33.08000,33.76000,32.65000,33.25000,25.54492,2264600
2012-07-10,33.47000,33.47000,32.50000,32.68000,25.10701,2972900
