Date,Open,High,Low,Close,Adj Close,Volume
1998-02-12,7.33333,7.83333,7.33333,7.50000,7.42869,3903700
1998-02-13,7.58333,7.66667,7.41667,7.50000,7.42869,504000
1998-02-17,7.75000,7.91667,7.75000,7.83333,7.75885,132600
1998-02-18,7.91667,8.33333,7.87500,8.33333,8.25409,140700
1998-02-19,8.41667,8.66667,8.16667,8.16667,8.08901,235000
1998-02-20,8.08333,8.16667,7.58333,7.79167,7.71758,204700
1998-02-23,7.83333,7.91667,7.62500,7.91667,7.84139,60600
1998-02-24,7.87500,7.91667,7.54167,7.66667,7.59377,261300
1998-02-25,7.75000,7.75000,7.50000,7.66667,7.59377,129000
1998-02-26,7.58333,8.08333,7.58333,7.95833,7.88266,87000
1998-02-27,7.95833,8.00000,7.83333,7.95833,7.88266,29100
1998-03-02,7.91667,8.00000,7.91667,7.95833,7.88266,151000
1998-03-03,8.00000,8.33333,7.91667,8.33333,8.25409,71800
1998-03-04,8.25000,8.33333,7.91667,8.16667,8.08901,31000
1998-03-05,8.08333,8.08333,7.83333,8.04167,7.96520,51600
1998-03-06,8.04167,8.08333,7.91667,8.08333,8.00647,15000
1998-03-09,8.08333,8.25000,7.91667,7.91667,7.84139,30600
1998-03-10,7.91667,8.08333,7.66667,7.91667,7.84139,208000
1998-03-11,7.91667,8.25000,7.91667,7.95833,7.88266,77400
1998-03-12,8.00000,8.33333,7.91667,8.29167,8.21282,100900
1998-03-13,8.41667,8.83333,8.41667,8.66667,8.58426,163900
1998-03-16,8.66667,8.66667,8.41667,8.50000,8.41918,191700
1998-03-17,8.41667,8.41667,8.16667,8.16667,8.08901,31900
1998-03-18,8.16667,8.41667,8.16667,8.25000,8.17155,26200
1998-03-19,8.41667,8.41667,8.25000,8.41667,8.33664,112200
1998-03-20,8.33333,8.66667,8.33333,8.62500,8.54299,29100
1998-03-23,9.16667,10.16667,9.00000,10.00000,9.90491,497800
1998-03-24,10.16667,10.33333,9.58333,9.66667,9.57475,100000
1998-03-25,9.75000,10.58333,9.66667,10.58333,10.48270,198700
1998-03-26,10.66667,10.66667,10.16667,10.66667,10.56524,104800
1998-03-27,10.70833,10.79167,10.33333,10.66667,10.56524,72600
1998-03-30,10.50000,10.62500,10.41667,10.54167,10.44143,62700
1998-03-31,10.62500,11.16667,10.62500,11.16667,11.06049,124200
1998-04-01,11.08333,11.33333,11.08333,11.33333,11.22557,226300
1998-04-02,11.50000,11.75000,11.33333,11.58333,11.47319,54900
1998-04-03,11.66667,11.75000,11.33333,11.54167,11.43192,58900
1998-04-06,11.66667,11.83333,11.25000,11.29167,11.18430,30300
1998-04-07,11.12500,11.16667,10.75000,10.75000,10.64778,35200
1998-04-08,10.66667,11.16667,10.41667,11.16667,11.06049,27700
1998-04-09,11.08333,11.12500,10.95833,11.00000,10.89540,20200
1998-04-13,10.91667,10.91667,10.83333,10.91667,10.81287,7000
1998-04-14,10.91667,11.08333,10.83333,11.08333,10.97794,13800
