Date,Open,High,Low,Close,Adj Close,Volume
1997-08-08,37.68750,37.68750,36.43750,37.00000,34.33474,245500
1997-08-11,37.00000,37.25000,36.12500,36.81250,34.16074,243600
1997-08-12,36.75000,37.00000,36.68750,36.93750,34.27675,405500
1997-08-13,37.00000,37.50000,35.75000,37.50000,34.79872,405700
1997-08-14,37.25000,37.37500,36.37500,36.87500,34.21874,195600
1997-08-15,36.62500,36.75000,35.75000,36.06250,33.46478,260500
1997-08-18,36.18750,36.25000,35.62500,36.06250,33.46478,180600
1997-08-19,36.00000,36.12500,34.75000,36.12500,33.52278,703300
1997-08-20,36.00000,36.25000,35.25000,35.56250,33.00080,1029500
1997-08-21,35.50000,35.75000,35.12500,35.31250,32.76880,1406500
1997-08-22,34.87500,35.31250,34.75000,35.31250,32.76880,157300
1997-08-25,36.00000,36.87500,35.93750,36.75000,34.10275,1698400
1997-08-26,37.00000,38.37500,37.00000,38.00000,35.26271,589700
1997-08-27,38.00000,38.31250,37.62500,37.68750,34.97271,716300
1997-08-28,37.75000,39.18750,37.43750,39.12500,36.30668,1333100
1997-08-29,39.25000,40.00000,39.25000,39.93750,37.06064,1840400
1997-09-02,39.93750,42.00000,39.75000,41.75000,38.74259,1023700
1997-09-03,42.00000,42.75000,42.00000,42.56250,39.49657,788200
1997-09-04,42.00000,44.37500,41.50000,44.00000,40.83051,3477000
1997-09-05,44.00000,44.25000,43.75000,44.06250,40.88850,907200
1997-09-08,44.00000,44.00000,43.62500,43.75000,40.59852,728300
1997-09-09,43.75000,43.75000,42.75000,42.87500,39.78654,669300
1997-09-10,42.62500,42.81250,42.18750,42.31250,39.26456,329500
1997-09-11,42.18750,42.25000,41.68750,41.75000,38.74259,221600
1997-09-12,41.68750,41.75000,41.43750,41.62500,38.67290,85400
1997-09-15,41.87500,42.00000,41.00000,41.25000,38.32450,228600
1997-09-16,41.50000,41.68750,41.12500,41.25000,38.32450,348400
1997-09-17,41.25000,41.25000,40.06250,40.31250,37.45349,285100
1997-09-18,40.31250,40.87500,40.18750,40.68750,37.80189,459400
1997-09-19,40.25000,40.75000,40.25000,40.31250,37.45349,137500
1997-09-22,40.31250,40.31250,39.50000,39.68750,36.87280,188700
1997-09-23,39.68750,39.68750,38.50000,39.50000,36.69862,450700
1997-09-24,39.56250,40.25000,39.50000,39.68750,36.87280,552200
1997-09-25,39.81250,40.00000,39.62500,39.68750,36.87280,274500
1997-09-26,39.75000,40.87500,39.68750,40.62500,37.74383,273700
1997-09-29,40.81250,41.75000,40.75000,41.18750,38.26642,234500
1997-09-30,41.43750,42.00000,41.00000,42.00000,39.02130,277300
1997-10-01,41.87500,41.93750,41.25000,41.50000,38.55675,227800
1997-10-02,41.37500,41.50000,41.12500,41.37500,38.44062,116600
1997-10-03,41.50000,42.00000,41.12500,41.81250,38.84709,559100
1997-10-06,41.75000,43.18750,41.62500,43.12500,40.06652,684200
1997-10-07,43.37500,43.81250,43.25000,43.68750,40.58913,564100
1997-10-08,43.62500,43.75000,42.87500,43.12500,40.06652,349800
1997-10-09,43.00000,43.00000,42.43750,42.50000,39.48584,203000
1997-10-10,42.56250,42.56250,42.12500,42.12500,39.13745,251600
1997-10-13,42.37500,42.50000,41.87500,41.87500,38.90517,377100
1997-10-14,41.93750,42.25000,41.18750,41.31250,38.38256,107200
1997-10-15,41.37500,41.50000,40.87500,41.37500,38.44062,196400
1997-10-16,41.37500,41.37500,40.75000,41.12500,38.20836,221900
1997-10-17,41.00000,41.00000,40.25000,40.81250,37.91803,178000
1997-10-20,40.62500,41.50000,40.50000,41.43750,38.49870,224900
1997-10-21,41.50000,41.87500,41.37500,41.56250,38.61484,84900
1997-10-22,41.50000,41.87500,41.25000,41.87500,38.90517,244400
1997-10-23,41.50000,41.50000,40.56250,41.25000,38.32450,198000
1997-10-24,41.50000,41.62500,40.62500,41.06250,38.15029,232300
1997-10-27,41.00000,41.06250,40.06250,40.31250,37.45349,430200
1997-10-28,39.50000,40.68750,38.56250,40.68750,37.80189,791300
1997-10-29,40.68750,41.56250,40.62500,41.56250,38.61484,337600
1997-10-30,41.00000,41.25000,40.62500,41.12500,38.20836,865300
1997-10-31,41.00000,41.06250,39.75000,40.06250,37.22121,502100
1997-11-03,40.31250,40.43750,39.50000,39.50000,36.69862,317200
1997-11-04,39.50000,40.25000,39.50000,40.12500,37.27927,469200
1997-11-05,40.25000,40.25000,39.06250,39.06250,36.29213,198200
1997-11-06,38.81250,38.87500,38.06250,38.37500,35.65339,438800
1997-11-07,37.87500,37.93750,36.37500,36.87500,34.25978,651400
1997-11-10,36.87500,36.87500,35.62500,36.00000,33.44683,283900
1997-11-11,36.00000,36.00000,34.87500,35.31250,32.80808,385100
1997-11-12,34.75000,34.75000,31.00000,32.56250,30.25312,547000
1997-11-13,32.93750,33.25000,30.50000,30.75000,28.56917,527500
1997-11-14,31.00000,31.37500,29.62500,31.00000,28.80144,979700
1997-11-17,31.68750,33.18750,31.31250,32.68750,30.36926,1027099
1997-11-18,32.68750,32.87500,32.00000,32.06250,29.78859,209400
1997-11-19,32.18750,32.18750,31.75000,31.75000,29.49825,307200
1997-11-20,31.93750,32.56250,31.87500,32.25000,29.96279,187500
1997-11-21,32.12500,32.75000,32.06250,32.37500,30.07892,1169400
1997-11-24,32.25000,32.37500,31.25000,31.25000,29.03371,399900
1997-11-25,31.25000,31.25000,30.06250,30.25000,28.10462,373700
1997-11-26,30.12500,31.18750,30.06250,31.18750,28.97564,393500
1997-11-28,31.37500,32.00000,30.68750,31.93750,29.67245,234500
1997-12-01,31.93750,31.93750,30.37500,30.37500,28.22076,556800
1997-12-02,30.31250,30.75000,30.31250,30.50000,28.33690,355100
1997-12-03,30.43750,30.75000,30.00000,30.37500,28.22076,314600
1997-12-04,30.62500,30.62500,30.00000,30.37500,28.22076,194200
1997-12-05,30.25000,30.56250,30.25000,30.25000,28.10462,730500
1997-12-08,30.31250,30.43750,29.62500,29.75000,27.64008,211400
1997-12-09,29.62500,30.12500,29.25000,29.25000,27.17555,287700
1997-12-10,28.75000,28.75000,27.50000,28.00000,26.01420,856400
1997-12-11,27.75000,27.75000,26.50000,27.50000,25.54967,654200
1997-12-12,27.75000,27.87500,27.18750,27.18750,25.25932,425500
1997-12-15,27.00000,27.06250,25.62500,26.37500,24.50445,413900
1997-12-16,26.12500,27.12500,26.12500,26.93750,25.02706,390800
1997-12-17,27.75000,27.93750,27.37500,27.68750,25.72387,554100
1997-12-18,27.87500,28.18750,27.62500,27.62500,25.66580,545700
1997-12-19,27.62500,27.62500,26.50000,27.12500,25.20126,630900
1997-12-22,26.87500,27.12500,26.06250,26.06250,24.21411,364300
1997-12-23,25.75000,27.12500,25.75000,26.50000,24.62058,360600
1997-12-24,26.43750,26.62500,26.00000,26.43750,24.56252,140000
1997-12-26,26.43750,26.75000,26.25000,26.25000,24.38832,192600
1997-12-29,26.31250,28.00000,26.31250,27.31250,25.37547,382100
1997-12-30,27.31250,28.00000,27.00000,27.50000,25.54967,344000
1997-12-31,28.50000,29.00000,28.50000,29.00000,26.94328,515299
1998-01-02,29.50000,30.00000,28.62500,28.68750,26.65295,242500
1998-01-05,28.50000,28.50000,27.00000,27.43750,25.49159,340900
1998-01-06,27.43750,27.43750,25.87500,25.87500,24.03990,517900
1998-01-07,26.00000,26.43750,24.37500,25.06250,23.28504,682300
1998-01-08,25.06250,25.31250,24.00000,24.62500,22.87857,515700
1998-01-09,24.50000,24.62500,22.25000,23.75000,22.06562,725600
1998-01-12,23.00000,23.62500,23.00000,23.25000,21.60108,488800
1998-01-13,23.37500,24.18750,23.25000,24.18750,22.47209,444000
1998-01-14,24.50000,24.87500,24.06250,24.25000,22.53016,439800
1998-01-15,24.12500,24.75000,23.87500,24.00000,22.29789,294900
1998-01-16,24.12500,24.37500,23.62500,24.00000,22.29789,361400
1998-01-20,24.00000,24.68750,23.87500,24.62500,22.87857,432400
1998-01-21,25.00000,25.25000,24.12500,24.31250,22.58823,233700
1998-01-22,24.06250,24.06250,23.37500,23.81250,22.12368,109700
1998-01-23,23.50000,23.56250,22.37500,22.62500,21.02040,218700
1998-01-26,22.43750,22.43750,20.62500,20.87500,19.39452,1709000
1998-01-27,21.00000,21.75000,20.75000,21.62500,20.09133,1257500
1998-01-28,22.06250,22.50000,21.37500,22.12500,20.55586,281900
1998-01-29,22.25000,22.62500,21.62500,21.93750,20.38167,508000
1998-01-30,22.00000,22.12500,21.62500,21.68750,20.14940,499200
1998-02-02,21.93750,22.06250,21.00000,21.31250,19.80099,1803000
1998-02-03,21.31250,21.75000,21.12500,21.50000,19.97519,1392200
1998-02-04,21.50000,21.50000,21.00000,21.31250,19.80099,544800
1998-02-05,21.43750,22.18750,21.37500,22.00000,20.43973,884100
1998-02-06,22.12500,23.00000,21.87500,22.37500,20.78814,390600
1998-02-09,22.37500,22.68750,22.00000,22.06250,20.49780,479500
1998-02-10,22.12500,23.68750,22.12500,23.12500,21.48494,655400
1998-02-11,23.12500,23.50000,22.56250,22.56250,20.96234,337800
1998-02-12,22.62500,22.93750,21.87500,22.43750,20.89250,809900
1998-02-13,22.50000,22.50000,22.00000,22.31250,20.77611,1002600
1998-02-17,22.37500,22.37500,22.06250,22.12500,20.60152,750700
1998-02-18,22.12500,22.12500,21.68750,21.93750,20.42693,535300
1998-02-19,21.93750,22.25000,21.06250,22.00000,20.48513,714800
1998-02-20,22.06250,22.06250,21.56250,22.00000,20.48513,567200
1998-02-23,21.87500,22.12500,21.56250,21.87500,20.36874,308500
1998-02-24,21.93750,22.25000,21.75000,21.81250,20.31054,548600
1998-02-25,22.06250,22.37500,21.81250,22.06250,20.54332,467000
1998-02-26,22.18750,23.18750,22.18750,22.93750,21.35808,614400
1998-02-27,23.06250,23.75000,23.06250,23.68750,22.05643,617700
1998-03-02,23.75000,24.00000,23.43750,23.81250,22.17282,231000
1998-03-03,24.00000,24.31250,23.75000,24.06250,22.40561,491600
1998-03-04,24.06250,24.18750,23.93750,24.12500,22.46381,293300
1998-03-05,24.12500,24.37500,23.75000,24.00000,22.34741,295600
1998-03-06,24.06250,24.06250,23.06250,23.68750,22.05643,125700
1998-03-09,23.68750,23.87500,22.62500,22.75000,21.18348,294800
1998-03-10,23.00000,23.06250,22.37500,22.37500,20.83431,370200
1998-03-11,22.31250,22.93750,22.31250,22.37500,20.83431,1038400
1998-03-12,22.50000,22.87500,22.18750,22.75000,21.18348,645700
1998-03-13,23.00000,23.00000,22.68750,23.00000,21.41627,286300
1998-03-16,22.93750,23.50000,22.93750,23.50000,21.88184,445300
1998-03-17,23.00000,23.62500,22.75000,23.62500,21.99823,476500
1998-03-18,23.50000,24.18750,23.43750,23.93750,22.28921,576300
1998-03-19,24.18750,25.12500,24.18750,24.93750,23.22036,410000
1998-03-20,24.93750,26.12500,24.93750,26.06250,24.26788,271300
1998-03-23,27.75000,27.75000,26.56250,26.56250,24.73346,767100
1998-03-24,26.62500,26.81250,25.62500,26.43750,24.61706,243300
1998-03-25,26.37500,26.75000,24.81250,25.12500,23.39494,831200
1998-03-26,25.12500,25.12500,24.62500,24.81250,23.10396,919700
1998-03-27,24.87500,25.18750,24.87500,24.87500,23.16216,355700
1998-03-30,24.87500,25.00000,24.87500,25.00000,23.27856,121700
1998-03-31,25.00000,25.25000,24.37500,24.87500,23.16216,455700
1998-04-01,25.00000,25.75000,24.75000,25.68750,23.91871,321000
1998-04-02,25.81250,25.93750,25.00000,25.25000,23.51134,69700
1998-04-03,25.37500,25.75000,24.87500,25.00000,23.27856,107000
1998-04-06,25.00000,25.00000,24.18750,24.37500,22.69659,706200
1998-04-07,24.25000,24.62500,24.06250,24.62500,22.92938,275000
1998-04-08,24.81250,24.93750,24.50000,24.50000,22.81298,217900
1998-04-09,24.50000,24.75000,24.18750,24.25000,22.58020,295900
1998-04-13,24.43750,24.50000,24.12500,24.18750,22.52200,217500
1998-04-14,24.18750,24.31250,23.87500,24.18750,22.52200,120300
1998-04-15,24.18750,24.50000,24.00000,24.12500,22.46381,292700
1998-04-16,24.00000,24.12500,23.75000,23.93750,22.28921,184800
1998-04-17,23.93750,24.37500,23.81250,24.37500,22.69659,1393500
1998-04-20,24.37500,24.37500,23.50000,23.68750,22.05643,213100
1998-04-21,23.75000,24.12500,23.56250,24.06250,22.40561,212200
1998-04-22,23.75000,24.00000,23.50000,23.81250,22.17282,176100
1998-04-23,23.75000,24.06250,23.50000,23.56250,21.94004,142900
1998-04-24,23.56250,23.75000,23.56250,23.56250,21.94004,130199
1998-04-27,23.56250,23.68750,23.43750,23.50000,21.88184,245500
1998-04-28,23.75000,24.00000,23.37500,23.62500,21.99823,107400
1998-04-29,23.87500,24.12500,23.68750,24.06250,22.40561,170100
1998-04-30,24.12500,24.12500,23.56250,23.93750,22.28921,119400
1998-05-01,23.87500,24.25000,23.50000,24.25000,22.58020,434600
1998-05-04,24.25000,24.75000,23.75000,23.81250,22.17282,179100
1998-05-05,23.87500,24.37500,23.87500,24.37500,22.69659,138600
1998-05-06,24.50000,24.62500,23.87500,23.87500,22.23102,92700
1998-05-07,23.93750,24.00000,23.56250,23.56250,21.94004,198100
1998-05-08,23.75000,24.25000,23.62500,23.93750,22.28921,132900
1998-05-11,23.93750,24.18750,23.75000,23.75000,22.11463,161100
1998-05-12,23.75000,24.12500,23.75000,23.81250,22.17282,102800
1998-05-13,23.75000,23.93750,23.75000,23.75000,22.11463,187000
1998-05-14,23.75000,24.00000,23.68750,23.68750,22.05643,1213300
1998-05-15,23.75000,23.93750,23.31250,23.50000,21.88184,131300
1998-05-18,23.50000,23.68750,23.12500,23.25000,21.64906,516400
1998-05-19,23.25000,23.31250,23.00000,23.18750,21.59086,197000
1998-05-20,23.12500,23.31250,23.00000,23.06250,21.47446,352000
1998-05-21,23.06250,23.25000,22.93750,23.06250,21.47446,206900
1998-05-22,23.00000,23.06250,22.75000,22.81250,21.24168,102100
1998-05-26,22.87500,22.93750,22.50000,22.87500,21.29988,353700
1998-05-27,22.81250,23.00000,22.18750,22.43750,20.89250,278400
1998-05-28,22.37500,23.06250,22.37500,22.81250,21.24168,230900
1998-05-29,22.87500,23.50000,22.75000,23.25000,21.64906,393100
1998-06-01,23.25000,23.37500,22.93750,22.93750,21.35808,96000
1998-06-02,22.93750,22.93750,22.50000,22.62500,21.06709,261000
1998-06-03,22.75000,22.81250,22.56250,22.62500,21.06709,823300
1998-06-04,22.68750,23.18750,22.62500,23.06250,21.47446,194500
1998-06-05,23.18750,23.25000,23.00000,23.00000,21.41627,111300
1998-06-08,23.00000,23.18750,22.87500,22.87500,21.29988,95000
1998-06-09,22.81250,23.00000,22.75000,22.75000,21.18348,82100
1998-06-10,22.75000,22.81250,22.62500,22.62500,21.06709,199600
1998-06-11,22.62500,22.62500,22.06250,22.12500,20.60152,331900
1998-06-12,22.06250,22.12500,21.75000,22.06250,20.54332,186000
1998-06-15,21.87500,21.87500,21.50000,21.68750,20.19415,192800
1998-06-16,21.50000,21.93750,21.37500,21.75000,20.25234,210300
1998-06-17,21.87500,22.62500,21.81250,22.37500,20.83431,142800
1998-06-18,22.37500,22.75000,21.75000,21.93750,20.42693,151100
1998-06-19,21.75000,22.25000,21.75000,21.75000,20.25234,227400
1998-06-22,21.75000,22.56250,21.75000,22.25000,20.71791,105800
1998-06-23,22.25000,23.00000,22.25000,22.81250,21.24168,177800
1998-06-24,22.93750,23.25000,22.75000,23.12500,21.53266,771500
1998-06-25,23.37500,23.62500,23.00000,23.06250,21.47446,313700
1998-06-26,23.00000,23.25000,22.68750,22.87500,21.29988,237100
1998-06-29,22.62500,23.12500,22.62500,23.00000,21.41627,861000
1998-06-30,23.00000,23.87500,22.87500,23.87500,22.23102,950400
1998-07-01,23.93750,24.12500,23.62500,23.87500,22.23102,217700
1998-07-02,23.81250,24.00000,23.75000,24.00000,22.34741,128400
1998-07-06,23.87500,24.68750,23.75000,24.25000,22.58020,257700
1998-07-07,24.25000,24.31250,24.06250,24.06250,22.40561,124100
1998-07-08,23.87500,24.37500,23.81250,23.93750,22.28921,179700
1998-07-09,23.81250,23.87500,23.31250,23.43750,21.82364,203400
1998-07-10,23.37500,23.43750,22.81250,23.06250,21.47446,266800
1998-07-13,23.00000,23.00000,22.62500,22.68750,21.12529,194300
1998-07-14,22.68750,22.81250,22.62500,22.62500,21.06709,64000
1998-07-15,22.75000,22.87500,22.56250,22.56250,21.00890,213200
1998-07-16,22.62500,22.62500,22.25000,22.62500,21.06709,1457800
1998-07-17,22.81250,22.81250,22.00000,22.06250,20.54332,147300
1998-07-20,22.00000,22.12500,21.75000,21.81250,20.31054,137900
1998-07-21,21.81250,21.93750,21.75000,21.75000,20.25234,99100
1998-07-22,21.81250,21.81250,21.31250,21.37500,19.90317,629000
1998-07-23,21.37500,21.43750,21.00000,21.00000,19.55399,879100
1998-07-24,20.87500,21.12500,20.81250,20.93750,19.49579,2198500
1998-07-27,20.75000,20.81250,20.43750,20.75000,19.32120,196900
1998-07-28,20.62500,20.75000,20.37500,20.43750,19.03022,232700
1998-07-29,20.31250,20.37500,19.87500,20.06250,18.68104,1027300
1998-07-30,20.00000,20.75000,19.75000,20.00000,18.62284,960500
1998-07-31,20.00000,20.00000,19.06250,19.68750,18.33186,294000
1998-08-03,19.43750,19.43750,18.50000,18.56250,17.28433,279000
1998-08-04,18.75000,18.75000,16.50000,16.93750,15.77122,591000
1998-08-05,17.25000,17.37500,16.37500,16.87500,15.71302,488600
1998-08-06,16.87500,17.31250,16.75000,17.25000,16.06220,201100
1998-08-07,17.18750,19.37500,17.18750,18.18750,16.93515,206600
1998-08-10,18.00000,18.06250,17.68750,18.00000,16.76056,149000
1998-08-11,17.75000,17.81250,17.06250,17.25000,16.06220,285800
1998-08-12,17.12500,17.43750,17.00000,17.31250,16.12040,261500
1998-08-13,17.25000,17.37500,17.12500,17.25000,16.10873,240400
1998-08-14,17.18750,17.56250,17.12500,17.25000,16.10873,190500
1998-08-17,17.25000,17.50000,17.18750,17.31250,16.16710,178400
1998-08-18,17.37500,17.43750,17.18750,17.25000,16.10873,187100
1998-08-19,17.25000,17.50000,17.18750,17.50000,16.34218,129199
1998-08-20,17.31250,17.50000,17.25000,17.25000,16.10873,78900
1998-08-21,17.12500,17.25000,16.93750,17.12500,15.99199,247800
1998-08-24,17.12500,17.18750,17.06250,17.06250,15.93363,331400
1998-08-25,17.06250,17.06250,16.56250,16.93750,15.81690,479500
1998-08-26,16.87500,16.87500,16.31250,16.43750,15.34998,364700
1998-08-27,16.18750,16.18750,15.62500,15.75000,14.70797,307400
1998-08-28,15.62500,15.68750,14.93750,15.12500,14.12432,255200
1998-08-31,15.12500,15.25000,14.62500,14.68750,13.71576,340900
1998-09-01,14.62500,14.68750,13.25000,13.81250,12.89865,417900
1998-09-02,13.87500,14.31250,13.75000,14.31250,13.36557,351200
1998-09-03,14.31250,14.56250,14.06250,14.25000,13.30721,161100
1998-09-04,14.37500,14.62500,14.25000,14.62500,13.65740,165200
1998-09-08,14.75000,15.50000,14.62500,15.18750,14.18268,130500
1998-09-09,15.37500,15.37500,15.00000,15.06250,14.06595,75400
1998-09-10,15.00000,15.25000,14.87500,15.06250,14.06595,786300
1998-09-11,14.93750,15.62500,14.81250,15.50000,14.47451,389200
1998-09-14,15.50000,15.87500,15.43750,15.75000,14.70797,149200
1998-09-15,15.50000,15.87500,15.37500,15.81250,14.76633,226800
1998-09-16,15.68750,15.93750,15.50000,15.93750,14.88306,253600
1998-09-17,15.68750,15.68750,14.81250,14.87500,13.89086,331000
1998-09-18,14.12500,15.12500,14.12500,14.93750,13.94922,227000
1998-09-21,14.93750,14.93750,14.25000,14.37500,13.42394,186900
1998-09-22,14.50000,14.68750,13.93750,14.12500,13.19048,124100
1998-09-23,14.31250,14.75000,13.87500,14.75000,13.77413,139900
1998-09-24,14.62500,15.00000,14.62500,14.81250,13.83249,1141200
1998-09-25,14.75000,14.81250,14.31250,14.75000,13.77413,128100
1998-09-28,14.75000,14.75000,14.00000,14.00000,13.07375,189600
1998-09-29,14.00000,14.00000,13.68750,13.75000,12.84029,244400
1998-09-30,13.81250,14.06250,13.62500,14.06250,13.13211,102400
1998-10-01,13.93750,14.12500,13.37500,13.37500,12.49010,203500
1998-10-02,13.68750,13.87500,13.62500,13.75000,12.84029,166900
1998-10-05,13.62500,13.93750,13.50000,13.62500,12.72356,141200
1998-10-06,13.62500,14.31250,13.50000,13.75000,12.84029,151800
1998-10-07,13.62500,13.87500,13.37500,13.87500,12.95702,179900
1998-10-08,13.62500,13.62500,12.68750,13.18750,12.31500,324600
1998-10-09,13.18750,13.31250,12.81250,12.81250,11.96481,211800
1998-10-12,12.87500,13.12500,12.87500,13.06250,12.19827,93200
1998-10-13,13.06250,13.12500,12.62500,12.75000,11.90645,152400
1998-10-14,12.62500,13.06250,12.62500,12.81250,11.96481,119000
1998-10-15,12.81250,12.93750,12.68750,12.81250,11.96481,157900
1998-10-16,12.81250,13.25000,12.81250,13.18750,12.31500,181100
1998-10-19,13.12500,13.75000,13.12500,13.62500,12.72356,180900
1998-10-20,13.68750,14.00000,13.68750,13.81250,12.89865,247500
1998-10-21,13.93750,13.93750,13.75000,13.81250,12.89865,131000
1998-10-22,13.75000,13.75000,13.50000,13.62500,12.72356,900800
1998-10-23,13.56250,13.75000,13.43750,13.56250,12.66519,461000
1998-10-26,13.81250,14.25000,13.75000,14.12500,13.19048,257500
1998-10-27,14.00000,14.50000,13.87500,14.25000,13.30721,681600
1998-10-28,14.18750,14.75000,14.12500,14.56250,13.59903,138000
1998-10-29,14.37500,15.18750,14.25000,14.87500,13.89086,160100
1998-10-30,14.87500,15.12500,14.62500,15.06250,14.06595,79600
1998-11-02,15.00000,16.00000,14.87500,15.43750,14.41614,185600
1998-11-03,15.37500,15.37500,14.43750,14.87500,13.89086,135000
1998-11-04,15.25000,15.43750,15.25000,15.37500,14.35778,129400
1998-11-05,15.37500,15.75000,15.25000,15.43750,14.41614,131000
1998-11-06,15.43750,15.56250,15.31250,15.56250,14.53287,53500
1998-11-09,15.68750,15.87500,15.37500,15.62500,14.59124,136900
1998-11-10,15.43750,15.62500,15.37500,15.37500,14.35778,201000
1998-11-11,15.37500,15.56250,15.31250,15.56250,14.53287,226900
1998-11-12,15.50000,15.75000,15.50000,15.50000,14.47451,110300
1998-11-13,15.50000,15.68750,15.37500,15.68750,14.64960,211600
1998-11-16,15.56250,15.56250,15.25000,15.31250,14.29941,183200
1998-11-17,15.00000,15.06250,14.37500,14.43750,13.48230,258700
1998-11-18,14.31250,14.37500,13.87500,14.00000,13.07375,424000
1998-11-19,14.25000,14.25000,13.93750,14.18750,13.24884,186400
1998-11-20,14.31250,14.31250,14.00000,14.00000,13.07375,215200
1998-11-23,13.93750,14.18750,13.50000,13.68750,12.78192,339500
