Date,Open,High,Low,Close,Adj Close,Volume
1991-12-13,0.53125,0.59375,0.52344,0.56250,0.37956,143667200
1991-12-16,0.56250,0.57812,0.53906,0.55469,0.37429,22585600
1991-12-17,0.57812,0.57812,0.54688,0.55469,0.37429,16176000
1991-12-18,0.55469,0.57031,0.55469,0.57031,0.38483,10899200
1991-12-19,0.57031,0.57031,0.54688,0.54688,0.36901,7299200
1991-12-20,0.54688,0.57031,0.54688,0.56250,0.37956,5235200
1991-12-23,0.57031,0.57031,0.54688,0.55859,0.37692,7894400
1991-12-24,0.55078,0.60156,0.54688,0.60156,0.40592,7129600
1991-12-26,0.58594,0.68750,0.58594,0.68750,0.46390,8672000
1991-12-27,0.69531,0.69531,0.64844,0.66406,0.44809,6396800
1991-12-30,0.66406,0.67969,0.64844,0.67969,0.45863,6627200
1991-12-31,0.67969,0.78125,0.67188,0.77344,0.52189,12572800
1992-01-02,0.77344,0.86719,0.76562,0.86328,0.58252,22121600
1992-01-03,0.86719,0.89062,0.84375,0.87500,0.59042,6092800
1992-01-06,0.89844,0.89844,0.75781,0.82031,0.55352,15987200
1992-01-07,0.81250,0.83594,0.78906,0.79688,0.53771,4940800
1992-01-08,0.80469,0.80469,0.67969,0.70312,0.47445,36828800
1992-01-09,0.72656,0.77344,0.71875,0.77344,0.52189,20809600
1992-01-10,0.78125,0.78906,0.72656,0.75000,0.50608,7961600
1992-01-13,0.76562,0.83594,0.74219,0.81250,0.54825,8499200
1992-01-14,0.83594,0.83594,0.80469,0.82031,0.55352,3628800
1992-01-15,0.83594,0.85156,0.81250,0.82812,0.55879,5910400
1992-01-16,0.83594,0.84375,0.77344,0.80469,0.54298,3654400
1992-01-17,0.78906,0.81250,0.78906,0.78906,0.53244,1574400
1992-01-20,0.78125,0.79688,0.74219,0.78125,0.52716,3350400
1992-01-21,0.79688,0.79688,0.73438,0.75000,0.50608,3724800
1992-01-22,0.75000,0.78125,0.73438,0.78125,0.52716,5132800
