Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,8.00000,8.12500,8.00000,8.08333,2.18147,23400
1980-01-03,7.87500,7.87500,7.58333,7.79167,2.10276,131400
1980-01-04,7.79167,7.87500,7.70833,7.83333,2.11400,85500
1980-01-07,7.66667,7.66667,7.66667,7.66667,2.06903,34200
1980-01-08,7.66667,7.66667,7.41667,7.50000,2.02405,797100
1980-01-09,7.75000,7.91667,7.75000,7.83333,2.11400,227700
1980-01-10,7.83333,8.04167,7.79167,8.04167,2.17023,46200
1980-01-11,8.08333,8.41667,8.08333,8.29167,2.23770,207300
1980-01-14,8.33333,8.45833,8.33333,8.45833,2.28268,221700
1980-01-15,8.45833,8.45833,8.37500,8.41667,2.27143,60600
1980-01-16,8.41667,8.41667,8.37500,8.41667,2.27143,40800
1980-01-17,8.41667,8.45833,8.37500,8.41667,2.27143,30900
1980-01-18,8.41667,8.45833,8.37500,8.41667,2.27143,21300
1980-01-21,8.41667,8.58333,8.37500,8.54167,2.30517,96300
1980-01-22,8.54167,8.66667,8.50000,8.54167,2.30517,46200
1980-01-23,8.54167,8.66667,8.41667,8.54167,2.30517,242400
1980-01-24,8.58333,8.79167,8.58333,8.70833,2.35014,61200
1980-01-25,8.70833,8.70833,8.62500,8.70833,2.35014,12900
1980-01-28,8.70833,8.70833,8.62500,8.66667,2.33890,63000
1980-01-29,8.66667,8.75000,8.62500,8.66667,2.33890,258000
1980-01-30,8.66667,8.70833,8.58333,8.58333,2.31641,45600
1980-01-31,8.58333,8.66667,8.58333,8.58333,2.31641,98400
1980-02-01,8.58333,8.66667,8.58333,8.58333,2.31641,32400
1980-02-04,8.66667,8.66667,8.66667,8.66667,2.33890,33000
1980-02-05,8.66667,8.75000,8.66667,8.70833,2.35014,23100
1980-02-06,8.70833,8.75000,8.66667,8.66667,2.33890,44400
1980-02-07,8.70833,8.79167,8.70833,8.70833,2.35014,192300
1980-02-08,8.75000,8.75000,8.75000,8.75000,2.36139,276600
1980-02-11,8.75000,8.79167,8.66667,8.66667,2.33890,121200
1980-02-12,8.58333,8.58333,8.20833,8.29167,2.23770,67500
1980-02-13,8.29167,8.37500,8.25000,8.25000,2.22645,199500
1980-02-14,8.25000,8.41667,8.25000,8.25000,2.22645,100200
1980-02-15,8.12500,8.12500,7.95833,8.00000,2.15898,54900
1980-02-19,8.00000,8.04167,7.91667,8.00000,2.15898,39300
1980-02-20,8.00000,8.08333,7.91667,7.91667,2.13650,38700
1980-02-21,7.91667,7.95833,7.75000,7.75000,2.09152,116100
1980-02-22,7.75000,7.75000,7.58333,7.58333,2.04654,18300
1980-02-25,7.54167,7.54167,7.25000,7.41667,2.00156,24300
1980-02-26,7.41667,7.58333,7.41667,7.58333,2.04654,233100
1980-02-27,7.58333,7.70833,7.50000,7.50000,2.02405,45600
1980-02-28,7.50000,7.54167,7.33333,7.33333,1.97907,75000
1980-02-29,7.33333,7.41667,7.25000,7.29167,1.96782,167700
1980-03-03,7.20833,7.20833,7.08333,7.12500,1.94507,25800
1980-03-04,7.12500,7.25000,7.12500,7.12500,1.94507,32400
1980-03-05,7.12500,7.16667,7.04167,7.08333,1.93370,126900
1980-03-06,7.08333,7.12500,7.08333,7.08333,1.93370,12300
1980-03-07,7.08333,7.16667,7.08333,7.16667,1.95645,32700
1980-03-10,7.16667,7.16667,6.83333,6.83333,1.86545,41100
1980-03-11,6.87500,6.95833,6.87500,6.95833,1.89958,110100
1980-03-12,6.91667,6.91667,6.83333,6.91667,1.88820,15300
1980-03-13,6.91667,7.04167,6.91667,6.95833,1.89958,30600
1980-03-14,6.87500,6.87500,6.83333,6.83333,1.86545,7800
1980-03-17,6.83333,6.95833,6.83333,6.83333,1.86545,59400
1980-03-18,6.83333,6.91667,6.75000,6.91667,1.88820,44700
1980-03-19,6.91667,6.91667,6.79167,6.79167,1.85408,22200
1980-03-20,6.79167,6.79167,6.70833,6.70833,1.83133,77400
1980-03-21,6.70833,6.70833,6.41667,6.45833,1.76308,46200
1980-03-24,6.45833,6.45833,6.08333,6.25000,1.70620,218700
1980-03-25,6.16667,6.16667,5.91667,6.00000,1.63796,404700
