Date,Open,High,Low,Close,Adj Close,Volume
1991-04-02,22.00000,23.25000,20.75000,21.12500,21.12500,2294100
1991-04-03,21.25000,21.25000,17.00000,18.25000,18.25000,1716100
1991-04-04,18.25000,19.50000,17.75000,18.00000,18.00000,810600
1991-04-05,18.50000,18.50000,17.75000,17.75000,17.75000,238200
1991-04-08,18.00000,18.00000,17.50000,17.62500,17.62500,200100
1991-04-09,18.00000,18.00000,16.00000,16.00000,16.00000,319000
1991-04-10,16.00000,16.25000,15.50000,15.87500,15.87500,582100
1991-04-11,16.00000,16.50000,14.75000,14.75000,14.75000,319400
1991-04-12,14.75000,16.50000,14.75000,16.25000,16.25000,329700
1991-04-15,16.50000,16.75000,16.00000,16.12500,16.12500,171400
1991-04-16,16.37500,16.37500,16.00000,16.12500,16.12500,130500
1991-04-17,16.37500,16.37500,15.25000,15.25000,15.25000,187600
1991-04-18,15.50000,15.50000,14.50000,15.25000,15.25000,320300
1991-04-19,15.25000,15.25000,14.62500,14.87500,14.87500,68900
1991-04-22,14.87500,14.87500,14.12500,14.12500,14.12500,79000
1991-04-23,14.12500,14.75000,14.12500,14.25000,14.25000,335000
1991-04-24,14.62500,14.75000,14.37500,14.75000,14.75000,90500
1991-04-25,14.37500,14.75000,14.37500,14.50000,14.50000,115400
1991-04-26,14.50000,14.50000,14.00000,14.37500,14.37500,122600
1991-04-29,14.37500,14.37500,12.37500,12.50000,12.50000,183700
1991-04-30,13.00000,13.00000,12.00000,12.62500,12.62500,330000
1991-05-01,12.75000,13.87500,12.50000,13.50000,13.50000,237800
1991-05-02,14.00000,14.12500,13.25000,13.50000,13.50000,153900
1991-05-03,13.25000,13.62500,13.00000,13.37500,13.37500,65300
1991-05-06,13.37500,13.62500,12.75000,13.62500,13.62500,163700
1991-05-07,13.87500,14.12500,13.37500,13.37500,13.37500,146100
1991-05-08,14.00000,14.12500,13.25000,13.25000,13.25000,162600
1991-05-09,13.62500,13.62500,13.25000,13.62500,13.62500,25700
1991-05-10,13.25000,13.62500,12.75000,12.75000,12.75000,125200
1991-05-13,13.00000,13.00000,11.37500,11.50000,11.50000,137900
1991-05-14,11.75000,12.12500,11.50000,11.87500,11.87500,173200
1991-05-15,12.12500,12.12500,10.25000,10.75000,10.75000,186200
1991-05-16,10.75000,11.50000,10.37500,11.25000,11.25000,230000
1991-05-17,11.62500,12.12500,11.12500,11.75000,11.75000,75000
1991-05-20,11.75000,11.87500,11.00000,11.37500,11.37500,83000
1991-05-21,11.37500,12.25000,11.25000,12.25000,12.25000,139700
1991-05-22,11.87500,12.37500,11.62500,12.12500,12.12500,184200
1991-05-23,12.50000,12.75000,11.87500,11.87500,11.87500,135900
1991-05-24,11.87500,12.25000,11.87500,12.25000,12.25000,14600
1991-05-28,12.25000,12.25000,11.87500,12.00000,12.00000,16900
1991-05-29,12.00000,12.75000,12.00000,12.62500,12.62500,245700
1991-05-30,12.87500,13.25000,12.12500,12.25000,12.25000,253200
1991-05-31,12.50000,12.50000,12.12500,12.25000,12.25000,85200
1991-06-03,12.50000,12.50000,11.50000,11.75000,11.75000,102400
1991-06-04,12.00000,12.12500,11.62500,12.12500,12.12500,59800
1991-06-05,12.12500,12.12500,11.87500,11.87500,11.87500,48900
1991-06-06,11.87500,12.12500,11.87500,11.87500,11.87500,13200
1991-06-07,12.12500,12.12500,11.50000,11.62500,11.62500,32500
1991-06-10,11.50000,11.87500,11.12500,11.62500,11.62500,69400
1991-06-11,11.62500,11.62500,11.12500,11.62500,11.62500,26800
1991-06-12,11.50000,11.50000,10.75000,11.00000,11.00000,113400
1991-06-13,11.00000,11.00000,10.25000,10.37500,10.37500,59600
1991-06-14,10.75000,11.00000,10.37500,11.00000,11.00000,152800
1991-06-17,10.87500,11.25000,10.87500,10.87500,10.87500,20400
1991-06-18,10.87500,11.50000,10.87500,11.25000,11.25000,130100
1991-06-19,11.50000,11.50000,11.25000,11.50000,11.50000,27700
1991-06-20,11.50000,12.00000,11.00000,12.00000,12.00000,58900
1991-06-21,12.00000,12.25000,11.75000,12.00000,12.00000,48200
1991-06-24,11.75000,12.00000,11.00000,11.50000,11.50000,78300
1991-06-25,11.00000,11.50000,11.00000,11.12500,11.12500,48000
1991-06-26,11.00000,11.25000,11.00000,11.00000,11.00000,91800
1991-06-27,11.25000,11.25000,11.00000,11.25000,11.25000,16200
1991-06-28,11.00000,11.25000,10.75000,11.12500,11.12500,59700
1991-07-01,10.75000,11.12500,10.75000,11.12500,11.12500,15900
1991-07-02,11.12500,11.12500,10.37500,10.62500,10.62500,43900
1991-07-03,10.75000,10.75000,10.37500,10.50000,10.50000,38200
1991-07-05,10.37500,10.75000,10.25000,10.25000,10.25000,43900
1991-07-08,10.00000,10.50000,9.87500,10.25000,10.25000,44400
1991-07-09,10.00000,10.87500,10.00000,10.75000,10.75000,45100
1991-07-10,10.50000,11.00000,10.50000,10.50000,10.50000,11500
1991-07-11,10.50000,11.00000,10.50000,10.87500,10.87500,15400
1991-07-12,10.87500,10.87500,10.50000,10.50000,10.50000,40600
1991-07-15,10.50000,11.25000,10.50000,11.25000,11.25000,36800
1991-07-16,11.50000,11.50000,10.50000,10.75000,10.75000,39000
1991-07-17,10.50000,10.87500,10.50000,10.75000,10.75000,47500
1991-07-18,10.75000,11.00000,10.62500,11.00000,11.00000,38400
1991-07-19,10.62500,11.00000,10.62500,11.00000,11.00000,14300
1991-07-22,11.00000,11.00000,10.50000,10.50000,10.50000,68700
1991-07-23,10.50000,10.87500,10.25000,10.50000,10.50000,9700
1991-07-24,10.75000,10.75000,10.25000,10.25000,10.25000,14400
1991-07-25,10.25000,10.75000,9.75000,9.87500,9.87500,50400
1991-07-26,10.12500,10.25000,9.75000,10.25000,10.25000,16200
1991-07-29,10.25000,10.25000,9.87500,10.25000,10.25000,4400
1991-07-30,10.25000,10.62500,10.00000,10.62500,10.62500,108100
1991-07-31,10.87500,12.00000,10.75000,11.50000,11.50000,83200
1991-08-01,11.62500,11.75000,11.25000,11.25000,11.25000,28400
1991-08-02,11.50000,11.50000,11.25000,11.25000,11.25000,17600
1991-08-05,11.37500,11.50000,11.25000,11.50000,11.50000,3700
1991-08-06,11.25000,11.50000,10.50000,10.75000,10.75000,91300
1991-08-07,10.62500,10.87500,10.62500,10.87500,10.87500,10400
1991-08-08,10.87500,11.25000,10.62500,10.75000,10.75000,25800
1991-08-09,10.87500,10.87500,10.12500,10.62500,10.62500,34300
1991-08-12,10.62500,10.62500,10.25000,10.62500,10.62500,10900
1991-08-13,10.25000,10.62500,10.25000,10.62500,10.62500,15900
1991-08-14,10.37500,10.75000,10.25000,10.25000,10.25000,49000
1991-08-15,10.25000,10.75000,10.25000,10.75000,10.75000,180400
1991-08-16,10.75000,11.00000,10.50000,10.87500,10.87500,32900
1991-08-19,10.25000,10.25000,9.75000,10.12500,10.12500,58600
1991-08-20,10.50000,10.50000,10.12500,10.37500,10.37500,37900
1991-08-21,10.37500,11.00000,10.25000,10.62500,10.62500,103900
1991-08-22,10.87500,10.87500,10.25000,10.50000,10.50000,38700
1991-08-23,10.25000,10.75000,10.25000,10.50000,10.50000,40100
1991-08-26,10.75000,10.75000,10.50000,10.50000,10.50000,24300
1991-08-27,10.37500,10.75000,10.25000,10.37500,10.37500,32700
1991-08-28,10.62500,10.62500,10.25000,10.50000,10.50000,89700
1991-08-29,10.62500,12.25000,10.50000,12.00000,12.00000,516600
1991-08-30,12.25000,12.25000,11.37500,11.50000,11.50000,124000
1991-09-03,12.12500,13.00000,12.12500,12.37500,12.37500,270400
1991-09-04,12.62500,13.00000,12.37500,12.87500,12.87500,99500
1991-09-05,13.12500,13.50000,12.87500,13.37500,13.37500,196100
1991-09-06,13.37500,13.75000,12.87500,12.87500,12.87500,249300
1991-09-09,12.75000,13.12500,12.50000,12.75000,12.75000,55300
1991-09-10,12.87500,13.12500,12.37500,12.50000,12.50000,66100
1991-09-11,12.50000,12.50000,12.00000,12.25000,12.25000,39900
1991-09-12,12.25000,13.12500,12.12500,13.12500,13.12500,177000
1991-09-13,12.87500,13.37500,12.87500,13.25000,13.25000,66500
1991-09-16,13.37500,13.37500,13.00000,13.00000,13.00000,54200
1991-09-17,13.25000,13.25000,12.75000,13.00000,13.00000,31900
1991-09-18,13.12500,13.12500,12.37500,12.62500,12.62500,123300
1991-09-19,13.25000,16.25000,12.62500,16.00000,16.00000,879400
1991-09-20,17.50000,17.50000,15.75000,16.12500,16.12500,533100
1991-09-23,16.00000,16.00000,14.50000,15.00000,15.00000,274000
1991-09-24,15.25000,15.25000,14.00000,14.50000,14.50000,210700
1991-09-25,14.75000,14.75000,14.25000,14.50000,14.50000,40300
1991-09-26,14.00000,14.62500,13.75000,14.25000,14.25000,136700
1991-09-27,14.50000,14.75000,14.00000,14.75000,14.75000,91400
1991-09-30,14.75000,14.75000,14.00000,14.75000,14.75000,79400
1991-10-01,14.25000,14.75000,14.25000,14.25000,14.25000,134600
1991-10-02,14.75000,15.75000,14.25000,15.00000,15.00000,107300
1991-10-03,15.50000,15.50000,14.75000,15.25000,15.25000,101800
1991-10-04,15.50000,16.25000,15.25000,15.75000,15.75000,183500
1991-10-07,15.75000,15.75000,15.00000,15.00000,15.00000,61300
1991-10-08,15.00000,15.50000,15.00000,15.50000,15.50000,22300
1991-10-09,16.00000,16.25000,15.50000,16.12500,16.12500,235500
1991-10-10,15.75000,16.25000,15.50000,16.00000,16.00000,343400
1991-10-11,15.50000,16.00000,15.50000,15.75000,15.75000,176300
1991-10-14,16.00000,16.25000,15.50000,16.00000,16.00000,58900
1991-10-15,16.00000,17.50000,16.00000,17.50000,17.50000,377800
1991-10-16,17.25000,18.75000,16.75000,18.25000,18.25000,349800
1991-10-17,18.00000,18.00000,17.00000,17.00000,17.00000,129100
1991-10-18,17.00000,17.75000,17.00000,17.25000,17.25000,141400
1991-10-21,17.25000,17.75000,17.25000,17.75000,17.75000,68100
1991-10-22,17.25000,19.25000,17.25000,18.75000,18.75000,260899
1991-10-23,18.50000,20.50000,18.25000,18.50000,18.50000,633000
1991-10-24,18.50000,19.50000,16.25000,17.50000,17.50000,524600
1991-10-25,19.00000,19.00000,17.75000,18.12500,18.12500,235500
1991-10-28,18.00000,18.50000,18.00000,18.00000,18.00000,24600
1991-10-29,18.50000,18.50000,17.75000,17.75000,17.75000,15500
1991-10-30,17.75000,19.75000,17.75000,19.50000,19.50000,240200
1991-10-31,19.25000,19.75000,19.00000,19.25000,19.25000,99300
1991-11-01,19.75000,19.75000,18.50000,19.00000,19.00000,120500
1991-11-04,18.75000,18.75000,17.75000,17.75000,17.75000,66400
1991-11-05,17.75000,18.25000,17.75000,17.87500,17.87500,71900
1991-11-06,17.75000,18.50000,17.75000,18.00000,18.00000,59300
1991-11-07,18.50000,19.75000,18.25000,19.25000,19.25000,176400
1991-11-08,19.50000,20.00000,18.25000,20.00000,20.00000,646600
1991-11-11,20.25000,20.50000,18.50000,20.50000,20.50000,925300
1991-11-12,20.50000,21.00000,19.00000,20.00000,20.00000,579000
1991-11-13,19.75000,20.00000,19.75000,19.75000,19.75000,217700
1991-11-14,19.75000,20.00000,18.00000,18.50000,18.50000,668400
1991-11-15,18.00000,18.25000,14.50000,14.75000,14.75000,599100
1991-11-18,15.00000,15.75000,13.75000,15.75000,15.75000,396800
1991-11-19,15.75000,16.00000,14.50000,15.12500,15.12500,217800
1991-11-20,16.00000,16.25000,14.75000,15.25000,15.25000,199400
1991-11-21,14.87500,15.00000,14.00000,14.50000,14.50000,143300
1991-11-22,14.25000,15.00000,14.25000,14.37500,14.37500,139500
1991-11-25,14.75000,14.75000,14.25000,14.75000,14.75000,89400
1991-11-26,14.75000,14.75000,14.00000,14.25000,14.25000,125800
1991-11-27,14.25000,14.75000,14.25000,14.75000,14.75000,25700
1991-11-29,15.00000,15.87500,14.50000,15.75000,15.75000,41500
1991-12-02,15.50000,16.00000,15.00000,15.75000,15.75000,45900
1991-12-03,15.75000,15.75000,15.00000,15.75000,15.75000,20100
1991-12-04,15.75000,16.25000,15.25000,15.75000,15.75000,84700
1991-12-05,15.75000,16.25000,15.75000,15.75000,15.75000,57800
1991-12-06,16.25000,16.25000,15.50000,16.25000,16.25000,8000
1991-12-09,16.25000,16.25000,15.50000,16.00000,16.00000,5300
1991-12-10,15.50000,15.50000,14.87500,15.00000,15.00000,27300
1991-12-11,14.75000,15.25000,14.50000,14.62500,14.62500,19700
1991-12-12,14.50000,15.25000,14.50000,14.75000,14.75000,31600
1991-12-13,15.00000,15.75000,15.00000,15.75000,15.75000,130400
1991-12-16,15.75000,16.00000,15.25000,15.50000,15.50000,119200
1991-12-17,15.50000,17.25000,15.50000,17.00000,17.00000,250600
1991-12-18,17.25000,17.50000,16.75000,17.00000,17.00000,53000
1991-12-19,16.50000,17.25000,16.50000,16.75000,16.75000,74700
1991-12-20,17.00000,17.00000,16.50000,16.50000,16.50000,89600
1991-12-23,16.25000,16.75000,16.00000,16.75000,16.75000,66300
1991-12-24,16.75000,17.50000,16.50000,17.50000,17.50000,53100
1991-12-26,16.75000,18.00000,16.75000,18.00000,18.00000,33900
1991-12-27,17.50000,18.00000,17.50000,17.50000,17.50000,18700
1991-12-30,17.50000,17.50000,17.00000,17.25000,17.25000,65500
1991-12-31,17.00000,18.25000,17.00000,18.12500,18.12500,150300
1992-01-02,18.25000,18.75000,17.75000,18.75000,18.75000,98300
1992-01-03,18.75000,19.25000,18.25000,18.25000,18.25000,165300
1992-01-06,18.25000,18.75000,18.00000,18.50000,18.50000,99300
1992-01-07,17.75000,18.75000,17.75000,18.37500,18.37500,112100
1992-01-08,18.00000,18.75000,17.75000,18.00000,18.00000,107400
1992-01-09,19.00000,20.00000,18.50000,19.50000,19.50000,445500
1992-01-10,19.00000,19.75000,19.00000,19.75000,19.75000,94100
1992-01-13,19.50000,19.50000,18.75000,19.25000,19.25000,349800
1992-01-14,19.50000,20.50000,18.75000,19.87500,19.87500,315500
1992-01-15,19.75000,20.25000,19.50000,19.50000,19.50000,279700
1992-01-16,19.75000,19.75000,17.75000,18.50000,18.50000,132900
1992-01-17,18.75000,19.00000,17.75000,18.50000,18.50000,51700
1992-01-20,18.00000,18.75000,18.00000,18.25000,18.25000,33500
1992-01-21,18.00000,18.00000,17.00000,17.00000,17.00000,141000
1992-01-22,17.00000,18.50000,17.00000,18.25000,18.25000,89100
1992-01-23,19.50000,20.25000,19.50000,20.25000,20.25000,343300
1992-01-24,20.25000,20.75000,19.75000,20.25000,20.25000,126300
1992-01-27,20.75000,20.75000,20.00000,20.00000,20.00000,452900
1992-01-28,20.00000,20.50000,19.50000,20.00000,20.00000,126800
1992-01-29,19.75000,20.25000,19.75000,20.00000,20.00000,178200
1992-01-30,20.25000,20.25000,20.00000,20.00000,20.00000,106000
1992-01-31,20.00000,21.00000,20.00000,20.50000,20.50000,153100
1992-02-03,21.00000,21.50000,20.50000,21.25000,21.25000,302900
1992-02-04,21.00000,22.00000,21.00000,21.25000,21.25000,311700
1992-02-05,21.25000,22.50000,21.25000,22.25000,22.25000,103800
1992-02-06,22.50000,23.25000,22.50000,22.50000,22.50000,278300
1992-02-07,23.00000,23.00000,21.75000,22.25000,22.25000,321800
1992-02-10,22.00000,23.00000,21.50000,22.12500,22.12500,298800
1992-02-11,22.50000,22.50000,21.25000,21.25000,21.25000,373800
1992-02-12,21.75000,21.75000,20.75000,21.00000,21.00000,59400
1992-02-13,21.00000,21.00000,19.25000,19.75000,19.75000,190500
1992-02-14,19.25000,19.25000,18.00000,18.25000,18.25000,109200
1992-02-18,18.25000,18.75000,16.50000,17.00000,17.00000,90900
1992-02-19,16.50000,17.50000,15.25000,17.50000,17.50000,209800
1992-02-20,18.25000,19.00000,17.75000,19.00000,19.00000,111100
1992-02-21,18.50000,19.00000,17.75000,18.50000,18.50000,29000
1992-02-24,17.75000,18.50000,17.75000,17.75000,17.75000,54300
1992-02-25,17.75000,18.50000,17.00000,17.50000,17.50000,39800
1992-02-26,17.75000,19.00000,17.25000,18.50000,18.50000,58700
1992-02-27,18.75000,18.75000,18.25000,18.25000,18.25000,35200
1992-02-28,18.75000,18.75000,17.75000,18.00000,18.00000,31400
1992-03-02,18.00000,18.25000,17.75000,17.75000,17.75000,11700
1992-03-03,17.75000,18.50000,17.75000,18.25000,18.25000,13000
1992-03-04,17.75000,17.75000,15.75000,16.50000,16.50000,115600
1992-03-05,16.75000,16.75000,15.75000,16.00000,16.00000,53600
1992-03-06,16.25000,16.25000,15.75000,16.25000,16.25000,36800
1992-03-09,16.25000,16.62500,16.00000,16.25000,16.25000,31800
1992-03-10,17.00000,17.75000,16.50000,17.75000,17.75000,28900
1992-03-11,17.75000,17.75000,16.50000,16.75000,16.75000,28400
1992-03-12,17.25000,17.25000,16.00000,16.25000,16.25000,110600
1992-03-13,16.25000,16.25000,15.75000,16.00000,16.00000,20000
1992-03-16,15.75000,16.00000,14.75000,15.00000,15.00000,73600
1992-03-17,15.00000,16.25000,15.00000,16.00000,16.00000,26400
1992-03-18,16.25000,16.50000,15.75000,15.75000,15.75000,31100
1992-03-19,16.25000,16.25000,15.75000,16.25000,16.25000,7900
1992-03-20,16.25000,16.50000,15.75000,16.50000,16.50000,24000
1992-03-23,16.50000,16.50000,16.00000,16.50000,16.50000,6200
1992-03-24,16.50000,16.50000,16.00000,16.50000,16.50000,3000
1992-03-25,16.25000,16.50000,15.50000,16.00000,16.00000,84900
1992-03-26,16.25000,16.25000,15.25000,15.75000,15.75000,29800
1992-03-27,15.25000,15.50000,14.75000,15.00000,15.00000,66300
1992-03-30,15.25000,15.25000,14.50000,14.50000,14.50000,62400
1992-03-31,14.50000,15.25000,14.50000,15.25000,15.25000,65400
1992-04-01,15.75000,16.50000,15.50000,16.00000,16.00000,105800
1992-04-02,16.00000,16.25000,15.25000,15.25000,15.25000,49900
1992-04-03,15.25000,15.25000,14.50000,15.00000,15.00000,31200
1992-04-06,14.50000,15.75000,14.50000,15.25000,15.25000,78800
1992-04-07,15.25000,15.75000,14.75000,15.25000,15.25000,66400
1992-04-08,14.50000,15.00000,14.25000,14.25000,14.25000,105100
1992-04-09,14.50000,14.75000,14.25000,14.75000,14.75000,75000
1992-04-10,14.50000,15.25000,14.50000,14.50000,14.50000,10200
1992-04-13,15.00000,15.00000,14.50000,14.50000,14.50000,9400
1992-04-14,14.75000,15.25000,14.75000,14.75000,14.75000,50600
1992-04-15,15.00000,15.00000,12.00000,13.00000,13.00000,209100
1992-04-16,13.00000,13.00000,11.25000,11.62500,11.62500,173400
1992-04-20,11.62500,12.50000,10.75000,12.50000,12.50000,145100
1992-04-21,13.00000,13.00000,12.25000,12.62500,12.62500,121300
1992-04-22,12.75000,12.75000,12.00000,12.75000,12.75000,40800
1992-04-23,12.75000,12.75000,12.00000,12.25000,12.25000,44400
1992-04-24,12.25000,12.25000,11.25000,11.37500,11.37500,61400
1992-04-27,11.25000,12.50000,11.25000,12.50000,12.50000,53300
1992-04-28,12.50000,13.12500,12.25000,12.50000,12.50000,66700
1992-04-29,13.00000,14.00000,13.00000,13.75000,13.75000,74200
1992-04-30,14.00000,14.25000,13.50000,13.50000,13.50000,94000
1992-05-01,13.25000,13.75000,12.50000,13.00000,13.00000,27500
1992-05-04,13.00000,13.75000,12.50000,13.62500,13.62500,45800
1992-05-05,13.75000,14.25000,13.25000,14.25000,14.25000,28800
1992-05-06,14.25000,14.25000,13.75000,13.75000,13.75000,21300
1992-05-07,14.25000,14.25000,13.75000,14.00000,14.00000,25500
1992-05-08,13.75000,13.75000,11.75000,12.25000,12.25000,68400
1992-05-11,12.25000,12.50000,12.00000,12.00000,12.00000,39400
1992-05-12,12.00000,12.50000,12.00000,12.00000,12.00000,23100
1992-05-13,11.75000,12.25000,11.50000,12.00000,12.00000,30600
1992-05-14,12.00000,12.00000,11.50000,11.50000,11.50000,9200
1992-05-15,11.75000,11.75000,10.75000,11.12500,11.12500,48700
1992-05-18,11.50000,11.50000,11.00000,11.37500,11.37500,58300
1992-05-19,11.75000,12.00000,11.50000,11.75000,11.75000,32500
1992-05-20,11.50000,11.75000,11.25000,11.25000,11.25000,16700
1992-05-21,11.75000,11.75000,10.75000,11.25000,11.25000,35000
1992-05-22,10.75000,12.00000,10.75000,12.00000,12.00000,25100
1992-05-26,12.00000,12.50000,11.75000,12.00000,12.00000,27100
1992-05-27,12.50000,13.25000,12.50000,13.00000,13.00000,44200
1992-05-28,13.00000,13.50000,12.75000,13.50000,13.50000,25200
1992-05-29,13.50000,14.00000,13.25000,13.75000,13.75000,45300
1992-06-01,13.50000,14.25000,13.50000,13.75000,13.75000,20400
1992-06-02,13.75000,14.50000,13.50000,13.50000,13.50000,29900
1992-06-03,13.25000,13.50000,12.75000,13.25000,13.25000,26500
1992-06-04,13.25000,13.25000,12.00000,12.62500,12.62500,56100
1992-06-05,12.37500,12.75000,12.25000,12.75000,12.75000,52500
1992-06-08,12.75000,12.75000,12.25000,12.25000,12.25000,203100
1992-06-09,12.25000,12.50000,11.75000,12.12500,12.12500,55700
1992-06-10,12.00000,12.75000,12.00000,12.00000,12.00000,231600
1992-06-11,12.00000,12.25000,11.75000,11.75000,11.75000,3100
1992-06-12,11.75000,12.25000,11.75000,12.25000,12.25000,7700
1992-06-15,12.25000,12.25000,11.75000,12.00000,12.00000,9900
1992-06-16,12.25000,12.62500,11.50000,11.50000,11.50000,23700
1992-06-17,11.50000,11.50000,10.50000,10.87500,10.87500,88100
1992-06-18,10.75000,10.75000,10.00000,10.50000,10.50000,58100
1992-06-19,10.50000,10.75000,10.00000,10.75000,10.75000,48000
1992-06-22,10.00000,10.75000,9.87500,10.00000,10.00000,14400
1992-06-23,10.00000,11.00000,10.00000,10.75000,10.75000,38800
1992-06-24,11.00000,11.00000,10.50000,10.75000,10.75000,6500
1992-06-25,10.50000,11.00000,10.50000,10.75000,10.75000,24100
1992-06-26,11.00000,11.00000,11.00000,11.00000,11.00000,11100
1992-06-29,11.00000,11.50000,11.00000,11.12500,11.12500,74000
1992-06-30,11.00000,11.50000,11.00000,11.25000,11.25000,133900
1992-07-01,11.25000,11.50000,10.75000,11.00000,11.00000,21700
1992-07-02,11.00000,11.50000,10.75000,10.87500,10.87500,30100
1992-07-06,10.75000,11.25000,10.50000,10.50000,10.50000,15200
1992-07-07,11.00000,11.00000,10.37500,10.50000,10.50000,17100
1992-07-08,11.00000,11.00000,10.25000,10.25000,10.25000,4800
1992-07-09,10.25000,11.25000,10.25000,11.25000,11.25000,41900
1992-07-10,11.25000,11.50000,11.00000,11.00000,11.00000,98300
1992-07-13,11.50000,11.75000,11.00000,11.37500,11.37500,45600
1992-07-14,11.75000,11.75000,11.25000,11.75000,11.75000,5100
1992-07-15,11.25000,11.50000,10.87500,11.00000,11.00000,34200
1992-07-16,10.75000,11.25000,10.75000,11.25000,11.25000,4600
1992-07-17,11.25000,11.75000,10.75000,11.50000,11.50000,75500
1992-07-20,11.50000,12.00000,11.00000,12.00000,12.00000,29800
1992-07-21,12.00000,12.00000,11.25000,11.75000,11.75000,20700
1992-07-22,11.75000,11.75000,11.25000,11.25000,11.25000,23900
1992-07-23,11.25000,11.75000,11.25000,11.75000,11.75000,31800
1992-07-24,11.50000,11.50000,10.75000,10.87500,10.87500,58400
1992-07-27,10.75000,11.25000,10.75000,11.25000,11.25000,14900
1992-07-28,12.00000,12.50000,11.50000,12.37500,12.37500,165600
1992-07-29,12.50000,12.50000,12.00000,12.50000,12.50000,24600
1992-07-30,12.50000,12.50000,11.75000,12.50000,12.50000,28900
1992-07-31,12.50000,12.50000,11.75000,12.50000,12.50000,10500
1992-08-03,12.50000,12.50000,11.75000,11.75000,11.75000,7500
1992-08-04,11.75000,12.50000,11.75000,12.50000,12.50000,8400
1992-08-05,12.50000,12.50000,11.50000,11.50000,11.50000,29000
1992-08-06,11.50000,12.25000,11.25000,12.25000,12.25000,164200
1992-08-07,12.25000,12.75000,11.75000,12.37500,12.37500,96700
1992-08-10,12.25000,12.50000,12.25000,12.25000,12.25000,35300
1992-08-11,12.25000,12.25000,11.75000,11.75000,11.75000,17700
1992-08-12,12.25000,12.25000,11.50000,11.75000,11.75000,4700
1992-08-13,12.25000,12.25000,11.50000,12.00000,12.00000,14800
1992-08-14,12.25000,12.25000,11.50000,11.75000,11.75000,31500
1992-08-17,11.50000,12.00000,11.50000,12.00000,12.00000,8200
1992-08-18,12.00000,12.00000,11.50000,11.50000,11.50000,17600
1992-08-19,12.00000,12.00000,11.00000,11.25000,11.25000,33200
1992-08-20,11.50000,11.50000,10.75000,11.00000,11.00000,8800
1992-08-21,11.00000,11.50000,10.75000,10.87500,10.87500,12800
1992-08-24,11.25000,11.25000,10.25000,10.50000,10.50000,26500
1992-08-25,10.50000,10.50000,8.50000,8.75000,8.75000,200900
1992-08-26,9.00000,9.00000,7.75000,8.37500,8.37500,733700
1992-08-27,8.25000,8.75000,8.25000,8.75000,8.75000,216500
