Date,Open,High,Low,Close,Adj Close,Volume
1997-06-12,32.12500,33.00000,30.87500,31.50000,26.12532,19963800
1997-06-13,31.75000,32.87500,31.75000,32.37500,26.85102,3661100
1997-06-16,32.25000,32.50000,30.62500,30.87500,25.60696,2481700
1997-06-17,30.12500,30.25000,29.12500,29.75000,24.67391,2283800
1997-06-18,29.75000,29.75000,28.12500,28.37500,23.53352,1749900
1997-06-19,28.50000,29.62500,28.25000,29.37500,24.36290,1269900
1997-06-20,29.50000,30.25000,29.37500,29.50000,24.46657,859100
1997-06-23,29.87500,29.87500,28.12500,28.25000,23.42985,725000
1997-06-24,28.50000,29.62500,27.12500,28.87500,23.94821,1212100
1997-06-25,29.12500,29.12500,28.12500,28.68750,23.79270,726600
1997-06-26,28.12500,28.50000,27.62500,28.25000,23.42985,534500
1997-06-27,28.12500,28.37500,27.18750,27.25000,22.60047,441500
1997-06-30,27.12500,27.62500,26.25000,27.37500,22.70414,796900
1997-07-01,27.25000,27.31250,26.50000,26.93750,22.34130,621300
1997-07-02,26.93750,27.93750,26.62500,27.81250,23.06699,818700
1997-07-03,27.56250,28.18750,26.75000,28.06250,23.27435,696800
1997-07-07,28.50000,28.62500,27.00000,27.12500,22.49680,1180500
1997-07-08,27.25000,27.68750,27.12500,27.68750,22.96332,595000
1997-07-09,27.68750,27.68750,26.37500,26.62500,22.08212,958000
1997-07-10,26.25000,26.31250,25.12500,25.50000,21.14906,1069200
1997-07-11,25.62500,26.12500,25.37500,25.93750,21.51192,674600
1997-07-14,26.18750,26.25000,25.43750,25.68750,21.30458,471200
1997-07-15,25.31250,25.56250,25.00000,25.43750,21.09723,513000
1997-07-16,25.56250,25.56250,23.75000,23.81250,19.74950,899600
1997-07-17,24.00000,26.25000,23.93750,26.06250,21.61559,1286200
1997-07-18,26.12500,26.50000,25.31250,25.87500,21.46008,346200
1997-07-21,25.81250,25.81250,25.00000,25.31250,20.99356,216600
1997-07-22,25.12500,25.87500,25.12500,25.62500,21.25274,351200
1997-07-23,25.62500,26.12500,25.00000,25.00000,20.73438,507100
1997-07-24,25.00000,25.75000,24.25000,24.62500,20.42336,412800
1997-07-25,24.87500,25.00000,24.18750,24.62500,20.42336,253000
1997-07-28,24.87500,25.43750,24.37500,25.25000,20.94172,953700
1997-07-29,25.50000,26.68750,25.50000,26.68750,22.13395,1028099
1997-07-30,26.81250,27.93750,26.68750,27.75000,23.01517,801700
1997-07-31,27.87500,28.00000,26.68750,26.81250,22.23762,458400
1997-08-01,26.31250,27.00000,26.25000,26.62500,22.08212,250100
1997-08-04,26.37500,27.87500,26.25000,27.62500,22.91149,629700
1997-08-05,28.12500,28.43750,26.50000,27.06250,22.44496,1157400
1997-08-06,27.06250,27.12500,26.25000,26.50000,21.97843,350500
1997-08-07,26.50000,26.68750,25.75000,25.75000,21.35642,456200
1997-08-08,25.50000,25.68750,24.75000,25.25000,20.94172,576100
1997-08-11,25.37500,25.37500,24.50000,24.75000,20.52703,370400
1997-08-12,25.00000,25.43750,24.31250,24.31250,20.16418,910300
1997-08-13,24.50000,25.18750,23.81250,24.37500,20.21603,416500
1997-08-14,24.62500,24.75000,23.93750,24.00000,19.90500,309000
1997-08-15,24.00000,24.00000,22.87500,23.06250,19.12746,1385300
1997-08-18,23.56250,23.68750,22.93750,23.50000,19.49031,551500
1997-08-19,23.37500,24.25000,23.37500,24.25000,20.11234,380800
1997-08-20,24.87500,25.62500,24.68750,25.62500,21.25274,621500
1997-08-21,25.37500,25.56250,24.50000,24.75000,20.52703,479600
1997-08-22,24.12500,24.62500,24.00000,24.50000,20.31970,408100
1997-08-25,25.00000,25.06250,24.18750,24.31250,20.16418,230200
1997-08-26,24.25000,24.93750,24.12500,24.68750,20.47520,296300
1997-08-27,24.93750,25.00000,24.25000,24.50000,20.31970,619500
1997-08-28,24.50000,25.37500,24.37500,25.31250,20.99356,492400
