Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,8.14062,8.25000,8.03125,8.18750,0.74622,109600
1982-01-04,8.15625,8.15625,8.12500,8.12500,0.74052,80800
1982-01-05,8.03125,8.12500,7.90625,7.90625,0.72058,138400
1982-01-06,7.78125,7.90625,7.65625,7.71875,0.70349,151600
1982-01-07,7.68750,7.71875,7.62500,7.65625,0.69780,96800
1982-01-08,7.71875,7.75000,7.65625,7.68750,0.70064,258800
1982-01-11,7.59375,7.68750,7.46875,7.46875,0.68071,160000
1982-01-12,7.31250,7.46875,7.12500,7.28125,0.66362,249200
1982-01-13,7.21875,7.31250,7.12500,7.15625,0.65223,227200
1982-01-14,7.18750,7.25000,7.12500,7.18750,0.65507,52800
1982-01-15,7.25000,7.31250,7.18750,7.25000,0.66077,75200
1982-01-18,7.18750,7.25000,7.09375,7.09375,0.64653,243200
1982-01-19,7.28125,7.34375,7.21875,7.31250,0.66647,395600
1982-01-20,7.50000,7.65625,7.31250,7.59375,0.69210,548000
1982-01-21,7.75000,7.81250,7.65625,7.75000,0.70634,395600
1982-01-22,7.71875,7.75000,7.68750,7.71875,0.70349,341600
1982-01-25,7.68750,7.71875,7.62500,7.71875,0.70349,253600
1982-01-26,7.75000,7.81250,7.65625,7.65625,0.69780,262800
1982-01-27,7.59375,7.65625,7.50000,7.50000,0.68356,349600
1982-01-28,7.53125,7.59375,7.46875,7.50000,0.68356,154000
1982-01-29,7.71875,7.84375,7.56250,7.81250,0.71204,309600
1982-02-01,7.71875,7.78125,7.62500,7.62500,0.69495,272000
1982-02-02,7.62500,7.68750,7.53125,7.62500,0.69495,140400
1982-02-03,7.65625,7.75000,7.56250,7.56250,0.68925,142000
1982-02-04,7.59375,7.62500,7.53125,7.56250,0.68925,93600
1982-02-05,7.81250,7.90625,7.68750,7.87500,0.71773,149600
1982-02-08,8.00000,8.06250,7.90625,7.93750,0.72343,177200
1982-02-09,8.00000,8.03125,7.96875,8.00000,0.72913,108400
1982-02-10,8.06250,8.15625,7.93750,7.93750,0.72343,299200
1982-02-11,7.96875,7.96875,7.93750,7.93750,0.72343,138800
1982-02-12,7.93750,7.96875,7.90625,7.93750,0.72343,42400
1982-02-16,7.71875,7.75000,7.68750,7.71875,0.71224,258399
1982-02-17,7.71875,7.78125,7.62500,7.62500,0.70359,221200
1982-02-18,7.59375,7.65625,7.50000,7.56250,0.69782,101200
1982-02-19,7.46875,7.53125,7.40625,7.40625,0.68341,254400
1982-02-22,7.50000,7.56250,7.43750,7.43750,0.68629,174800
1982-02-23,7.31250,7.40625,7.18750,7.31250,0.67476,281200
1982-02-24,7.25000,7.31250,7.18750,7.21875,0.66610,208000
1982-02-25,7.21875,7.25000,7.18750,7.18750,0.66322,405200
1982-02-26,7.21875,7.25000,7.15625,7.15625,0.66034,72000
1982-03-01,7.21875,7.28125,7.12500,7.12500,0.65745,287200
1982-03-02,7.18750,7.21875,7.12500,7.12500,0.65745,124400
1982-03-03,7.09375,7.09375,7.06250,7.06250,0.65169,262800
1982-03-04,7.03125,7.09375,6.96875,6.96875,0.64304,157600
1982-03-05,6.93750,7.00000,6.87500,6.90625,0.63727,179200
1982-03-08,6.53125,6.75000,6.28125,6.28125,0.57960,782800
1982-03-09,6.43750,6.59375,6.28125,6.46875,0.59690,776400
1982-03-10,6.75000,6.90625,6.59375,6.81250,0.62862,308000
1982-03-11,6.81250,6.93750,6.65625,6.65625,0.61420,330800
1982-03-12,6.59375,6.62500,6.53125,6.56250,0.60555,127200
1982-03-15,6.59375,6.62500,6.56250,6.62500,0.61132,90400
1982-03-16,6.71875,6.84375,6.59375,6.75000,0.62285,618800
1982-03-17,6.75000,6.81250,6.68750,6.78125,0.62574,107200
1982-03-18,6.81250,6.84375,6.75000,6.78125,0.62574,57200
1982-03-19,6.81250,6.84375,6.78125,6.78125,0.62574,84400
1982-03-22,6.96875,7.09375,6.81250,7.06250,0.65169,164000
1982-03-23,7.03125,7.12500,6.90625,6.90625,0.63727,168400
1982-03-24,6.93750,7.03125,6.84375,6.87500,0.63438,237600
1982-03-25,6.90625,6.93750,6.87500,6.93750,0.64015,216000
1982-03-26,6.93750,6.96875,6.90625,6.90625,0.63727,121600
1982-03-29,6.93750,6.96875,6.87500,6.87500,0.63438,52400
1982-03-30,6.87500,6.90625,6.81250,6.81250,0.62862,319200
1982-03-31,6.65625,6.81250,6.50000,6.50000,0.59978,320800
1982-04-01,6.62500,6.78125,6.46875,6.78125,0.62574,218800
1982-04-02,6.93750,6.96875,6.90625,6.96875,0.64304,246400
1982-04-05,6.96875,7.00000,6.90625,6.96875,0.64304,410000
1982-04-06,6.93750,6.96875,6.87500,6.90625,0.63727,178800
1982-04-07,6.87500,6.90625,6.84375,6.87500,0.63438,83600
1982-04-08,6.78125,6.84375,6.71875,6.75000,0.62285,164000
1982-04-12,6.65625,6.75000,6.56250,6.65625,0.61420,212400
1982-04-13,6.75000,6.81250,6.68750,6.71875,0.61997,404400
1982-04-14,6.78125,6.81250,6.75000,6.78125,0.62574,65200
1982-04-15,6.84375,6.87500,6.78125,6.84375,0.63150,219200
1982-04-16,6.81250,6.84375,6.78125,6.81250,0.62862,575200
1982-04-19,6.87500,6.90625,6.81250,6.87500,0.63438,898400
1982-04-20,7.00000,7.12500,6.87500,7.06250,0.65169,666400
1982-04-21,7.21875,7.37500,7.03125,7.18750,0.66322,321600
1982-04-22,7.31250,7.43750,7.15625,7.34375,0.67764,471200
1982-04-23,7.46875,7.59375,7.31250,7.56250,0.69782,490400
1982-04-26,7.68750,7.78125,7.59375,7.78125,0.71801,366400
1982-04-27,7.87500,7.90625,7.81250,7.90625,0.72954,494800
1982-04-28,7.96875,8.06250,7.84375,7.87500,0.72666,573600
1982-04-29,7.78125,7.84375,7.71875,7.71875,0.71224,323200
1982-04-30,7.71875,7.75000,7.68750,7.75000,0.71512,163200
1982-05-03,7.71875,7.75000,7.65625,7.71875,0.71224,137200
1982-05-04,7.87500,8.00000,7.71875,7.90625,0.72954,183200
1982-05-05,8.03125,8.12500,7.90625,8.00000,0.73819,551200
1982-05-06,8.12500,8.25000,8.00000,8.18750,0.75550,432800
1982-05-07,8.40625,8.50000,8.28125,8.50000,0.78433,802400
1982-05-10,8.43750,8.50000,8.37500,8.40625,0.77568,1247200
1982-05-11,8.31250,8.40625,8.18750,8.37500,0.78186,540000
1982-05-12,8.31250,8.37500,8.21875,8.25000,0.77020,216000
1982-05-13,8.25000,8.28125,8.18750,8.18750,0.76436,167200
1982-05-14,8.18750,8.21875,8.15625,8.15625,0.76144,110800
1982-05-17,8.03125,8.12500,7.90625,7.93750,0.74102,153600
1982-05-18,7.84375,7.90625,7.78125,7.81250,0.72935,148400
1982-05-19,7.78125,7.81250,7.71875,7.75000,0.72352,121200
1982-05-20,7.78125,7.81250,7.71875,7.81250,0.72935,108800
