Date,Open,High,Low,Close,Adj Close,Volume
1992-02-13,2.00000,2.09375,2.00000,2.04688,1.66361,18506400
1992-02-14,2.06250,2.28125,2.06250,2.25000,1.82870,3128000
1992-02-18,2.21875,2.28125,2.06250,2.06250,1.67631,2584800
1992-02-19,2.09375,2.15625,2.03125,2.15625,1.75250,2454400
1992-02-20,2.12500,2.28125,2.12500,2.21875,1.80330,1304000
1992-02-21,2.21875,2.28125,2.21875,2.28125,1.85410,616800
1992-02-24,2.21875,2.31250,2.21875,2.31250,1.87950,772800
1992-02-25,2.26562,2.31250,2.25000,2.28125,1.85410,517600
1992-02-26,2.31250,2.34375,2.25000,2.34375,1.90490,851200
1992-02-27,2.28125,2.43750,2.28125,2.40625,1.95570,555200
1992-02-28,2.43750,2.59375,2.37500,2.53125,2.05729,1108800
1992-03-02,2.59375,2.60938,2.46875,2.56250,2.08269,873600
1992-03-03,2.54688,2.56250,2.43750,2.46875,2.00649,512000
1992-03-04,2.46875,2.53125,2.43750,2.43750,1.98109,163200
1992-03-05,2.53125,2.53125,2.34375,2.34375,1.90490,707200
1992-03-06,2.39062,2.43750,2.34375,2.34375,1.90490,765600
1992-03-09,2.34375,2.43750,2.34375,2.39062,1.94299,766400
1992-03-10,2.34375,2.43750,2.34375,2.43750,1.98109,93600
1992-03-11,2.50000,2.53125,2.43750,2.45312,1.99379,222400
1992-03-12,2.43750,2.53125,2.43750,2.43750,1.98109,89600
1992-03-13,2.43750,2.56250,2.43750,2.53125,2.05729,211200
1992-03-16,2.50000,2.56250,2.50000,2.56250,2.08269,94400
1992-03-17,2.46875,2.56250,2.46875,2.46875,2.00649,150400
1992-03-18,2.46875,2.46875,2.46875,2.46875,2.00649,52000
1992-03-19,2.56250,2.56250,2.43750,2.43750,1.98109,68800
1992-03-20,2.43750,2.53125,2.43750,2.53125,2.05729,124800
1992-03-23,2.43750,2.51562,2.43750,2.48438,2.01919,314400
1992-03-24,2.46875,2.51562,2.43750,2.43750,1.98109,437600
1992-03-25,2.53125,2.53125,2.43750,2.46875,2.00649,79200
1992-03-26,2.40625,2.42188,2.40625,2.40625,1.95570,47200
1992-03-27,2.50000,2.50000,2.43750,2.50000,2.03189,79200
1992-03-30,2.43750,2.50000,2.43750,2.46875,2.00649,46400
1992-03-31,2.43750,2.50000,2.43750,2.50000,2.03189,107200
1992-04-01,2.43750,2.50000,2.40625,2.43750,1.98109,356000
1992-04-02,2.50000,2.50000,2.43750,2.46875,2.00649,51200
1992-04-03,2.43750,2.50000,2.43750,2.46875,2.00649,116800
1992-04-06,2.43750,2.50000,2.43750,2.43750,1.98109,71200
1992-04-07,2.43750,2.56250,2.43750,2.50000,2.03189,116000
1992-04-08,2.43750,2.50000,2.43750,2.50000,2.03189,247200
1992-04-09,2.43750,2.53125,2.43750,2.46875,2.00649,36000
1992-04-10,2.46875,2.53125,2.46875,2.46875,2.00649,87200
1992-04-13,2.46875,2.53125,2.46875,2.46875,2.00649,16000
1992-04-14,2.53125,2.53125,2.46875,2.46875,2.00649,25600
1992-04-15,2.46875,2.50000,2.43750,2.43750,1.98109,84800
1992-04-16,2.46875,2.50000,2.43750,2.43750,1.98109,62400
1992-04-20,2.40625,2.40625,2.37500,2.37500,1.93426,59200
1992-04-21,2.37500,2.37500,2.37500,2.37500,1.93426,7200
1992-04-22,2.37500,2.46875,2.37500,2.46875,2.01062,7200
1992-04-23,2.37500,2.42188,2.37500,2.37500,1.93426,179200
1992-04-24,2.37500,2.43750,2.34375,2.40625,1.95971,252800
1992-04-27,2.34375,2.43750,2.34375,2.34375,1.90881,62400
1992-04-28,2.31250,2.34375,2.25000,2.25000,1.83246,99200
1992-04-29,2.34375,2.34375,2.25000,2.28125,1.85791,552000
1992-04-30,2.34375,2.34375,2.25000,2.25000,1.83246,128000
1992-05-01,2.31250,2.31250,2.31250,2.31250,1.88336,6400
1992-05-04,2.25000,2.31250,2.25000,2.31250,1.88336,38400
1992-05-05,2.25000,2.25000,2.20312,2.25000,1.83246,55200
1992-05-06,2.18750,2.25000,2.18750,2.18750,1.78156,461600
1992-05-07,2.18750,2.18750,2.12500,2.12500,1.73066,28800
1992-05-08,2.12500,2.25000,2.12500,2.15625,1.75611,551200
1992-05-11,2.15625,2.25000,2.15625,2.25000,1.83246,135200
1992-05-12,2.15625,2.34375,2.15625,2.21875,1.80701,291200
1992-05-13,2.31250,2.31250,2.23438,2.23438,1.81973,52800
1992-05-14,2.21875,2.23438,2.21875,2.21875,1.80701,326400
1992-05-15,2.21875,2.21875,2.21875,2.21875,1.80701,800
1992-05-18,2.21875,2.21875,2.21875,2.21875,1.80701,2400
1992-05-19,2.21875,2.21875,2.21875,2.21875,1.80701,27200
1992-05-20,2.18750,2.25000,2.15625,2.15625,1.75611,62400
1992-05-21,2.15625,2.15625,2.03125,2.09375,1.70520,151200
1992-05-22,2.09375,2.09375,2.03125,2.06250,1.67975,77600
1992-05-26,1.93750,1.93750,1.75000,1.92188,1.56523,1848800
1992-05-27,1.87500,2.00000,1.87500,1.96875,1.60340,980000
1992-05-28,1.92188,2.00000,1.84375,1.89062,1.53978,801600
1992-05-29,1.90625,1.90625,1.85938,1.87500,1.52705,256000
1992-06-01,1.84375,1.90625,1.81250,1.87500,1.52705,144800
1992-06-02,1.90625,1.90625,1.81250,1.85938,1.51432,235200
1992-06-03,1.90625,1.90625,1.81250,1.81250,1.47615,50400
1992-06-04,1.81250,1.87500,1.81250,1.87500,1.52705,874400
1992-06-05,1.87500,1.87500,1.87500,1.87500,1.52705,4000
1992-06-08,1.90625,1.90625,1.90625,1.90625,1.55250,1600
1992-06-09,1.81250,1.87500,1.81250,1.82812,1.48887,1157600
1992-06-10,1.87500,1.87500,1.81250,1.81250,1.47615,16800
1992-06-11,1.84375,1.87500,1.81250,1.87500,1.52705,36000
1992-06-12,1.87500,1.87500,1.81250,1.81250,1.47615,104000
1992-06-15,1.81250,1.81250,1.71875,1.75000,1.42525,316800
1992-06-16,1.78125,1.78125,1.71875,1.78125,1.45070,108000
1992-06-17,1.71875,1.75000,1.71875,1.73438,1.41252,243200
1992-06-18,1.68750,1.70312,1.65625,1.68750,1.37434,1378400
1992-06-19,1.65625,1.75000,1.65625,1.75000,1.42525,1427200
1992-06-22,1.75000,1.75000,1.68750,1.68750,1.37434,14400
1992-06-23,1.65625,1.71875,1.65625,1.71875,1.40396,6400
1992-06-24,1.70312,1.70312,1.65625,1.67188,1.36567,1123200
1992-06-25,1.75000,1.75000,1.62500,1.62500,1.32738,159200
1992-06-26,1.59375,1.65625,1.46875,1.56250,1.27632,258399
1992-06-29,1.56250,1.59375,1.56250,1.59375,1.30185,1517600
1992-06-30,1.59375,1.59375,1.46875,1.57812,1.28909,27200
1992-07-01,1.59375,1.62500,1.59375,1.59375,1.30185,194400
1992-07-02,1.68750,1.68750,1.59375,1.62500,1.32738,143200
1992-07-06,1.60938,1.62500,1.60938,1.62500,1.32738,400000
1992-07-07,1.68750,1.68750,1.56250,1.56250,1.27632,1510400
1992-07-08,1.56250,1.62500,1.50000,1.51562,1.23803,1468000
1992-07-09,1.46875,1.62500,1.46875,1.53125,1.25080,408800
1992-07-10,1.56250,1.65625,1.56250,1.64062,1.34014,88000
1992-07-13,1.65625,1.65625,1.54688,1.57812,1.28909,198400
1992-07-14,1.53125,1.56250,1.53125,1.56250,1.27632,644000
1992-07-15,1.60938,1.65625,1.59375,1.64062,1.34014,330400
