Date,Open,High,Low,Close,Adj Close,Volume
1998-07-01,16.83333,17.12500,16.62500,17.00000,11.38963,20818600
1998-07-02,17.04167,17.16667,17.00000,17.12500,11.47337,3037200
1998-07-06,17.12500,17.33333,17.00000,17.25000,11.55712,1737700
1998-07-07,17.33333,17.33333,17.00000,17.00000,11.38963,1077000
1998-07-08,17.08333,17.16667,17.00000,17.12500,11.47337,1180500
1998-07-09,17.08333,17.29167,17.00000,17.25000,11.55712,1443900
1998-07-10,17.33333,17.62500,17.20833,17.20833,11.52920,1117300
1998-07-13,17.16667,17.20833,17.00000,17.16667,11.50129,790800
1998-07-14,17.16667,17.25000,17.04167,17.04167,11.41754,1276300
1998-07-15,17.00000,17.33333,17.00000,17.33333,11.61295,863400
1998-07-16,17.16667,17.29167,17.00000,17.12500,11.47337,1084500
1998-07-17,17.00000,17.41667,16.91667,17.33333,11.61295,1201600
1998-07-20,17.33333,18.25000,17.33333,18.25000,12.22710,995500
1998-07-21,18.25000,18.29167,17.50000,17.70833,11.86420,784600
1998-07-22,17.50000,17.66667,16.95833,17.08333,11.44546,1497900
1998-07-23,17.16667,17.20833,16.50000,17.00000,11.38963,1248300
1998-07-24,17.16667,17.37500,17.08333,17.33333,11.61295,1009800
1998-07-27,17.33333,17.54167,17.16667,17.25000,11.55712,843600
1998-07-28,17.29167,17.37500,16.66667,16.66667,11.16630,2081800
1998-07-29,16.66667,16.83333,16.33333,16.41667,10.99880,1331400
1998-07-30,16.54167,16.66667,16.33333,16.66667,11.16630,1982400
1998-07-31,16.66667,17.08333,16.58333,16.66667,11.16630,1093600
1998-08-03,16.66667,16.66667,16.20833,16.25000,10.88714,1009000
1998-08-04,16.20833,16.20833,15.25000,15.33333,10.27299,1245900
1998-08-05,15.16667,15.41667,14.62500,14.62500,9.79843,654100
1998-08-06,14.70833,14.79167,14.58333,14.58333,9.77051,589200
1998-08-07,14.66667,15.08333,14.58333,14.75000,9.88218,1100200
1998-08-10,14.75000,15.95833,14.66667,15.41667,10.32883,321700
1998-08-11,15.16667,15.16667,14.66667,14.66667,9.82635,334000
1998-08-12,15.16667,15.16667,14.62500,14.66667,9.82635,513600
1998-08-13,14.66667,14.70833,14.50000,14.50000,9.71468,969000
1998-08-14,15.00000,15.00000,14.62500,14.66667,9.82635,229300
1998-08-17,14.83333,14.91667,14.66667,14.66667,9.82635,319900
1998-08-18,14.66667,14.70833,14.58333,14.66667,9.82635,211900
1998-08-19,14.75000,14.83333,14.62500,14.62500,9.79843,97800
1998-08-20,14.79167,14.91667,14.62500,14.66667,9.82635,378700
1998-08-21,14.58333,14.58333,13.41667,13.66667,9.15637,514000
1998-08-24,13.75000,14.00000,13.75000,13.79167,9.24011,274000
1998-08-25,13.95833,14.45833,13.83333,13.87500,9.29594,280900
1998-08-26,13.83333,14.00000,13.75000,13.95833,9.35178,63600
1998-08-27,13.83333,13.83333,12.58333,12.58333,8.43056,367200
1998-08-28,12.66667,13.16667,11.16667,11.25000,7.53725,671200
1998-08-31,11.50000,11.83333,10.50000,10.75000,7.20226,2184900
1998-09-01,10.75000,11.16667,10.58333,10.83333,7.25810,931500
1998-09-02,10.83333,10.91667,10.41667,10.58333,7.09060,238800
1998-09-03,10.54167,10.58333,9.00000,10.58333,7.09060,2830200
1998-09-04,10.58333,10.79167,10.16667,10.58333,7.09060,182700
1998-09-08,11.00000,11.33333,11.00000,11.16667,7.48142,617100
1998-09-09,11.16667,11.16667,10.75000,10.75000,7.20226,258300
1998-09-10,10.66667,10.66667,9.83333,9.87500,6.61603,134400
1998-09-11,9.87500,10.16667,9.83333,9.95833,6.67186,492100
1998-09-14,10.33333,10.33333,9.95833,9.95833,6.67186,515799
1998-09-15,9.95833,10.00000,9.16667,9.16667,6.14146,655900
1998-09-16,9.33333,9.83333,8.91667,9.66667,6.47646,1600200
1998-09-17,9.50000,10.37500,9.33333,10.12500,6.78353,260100
1998-09-18,10.12500,10.37500,9.91667,10.16667,6.81144,454500
1998-09-21,9.83333,10.25000,9.83333,10.20833,6.83936,898000
1998-09-22,10.37500,12.16667,10.37500,11.50000,7.70475,436800
1998-09-23,12.16667,14.25000,12.16667,13.29167,8.90512,828000
1998-09-24,13.33333,14.08333,13.00000,13.00000,8.70971,578100
1998-09-25,12.83333,13.58333,12.66667,13.12500,8.79346,540100
1998-09-28,14.25000,14.33333,13.25000,13.25000,8.87721,432000
1998-09-29,13.08333,13.16667,12.25000,12.83333,8.59805,791100
1998-09-30,13.00000,13.12500,12.87500,13.00000,8.70971,294100
1998-10-01,12.83333,13.29167,12.75000,13.25000,8.87721,135300
1998-10-02,13.25000,13.25000,12.66667,12.66667,8.48638,1446900
1998-10-05,12.50000,13.00000,12.00000,12.95833,8.68180,256800
1998-10-06,13.04167,13.08333,12.04167,12.62500,8.45847,1069000
1998-10-07,12.45833,12.66667,10.00000,10.16667,6.81144,492300
1998-10-08,9.91667,10.16667,9.33333,9.66667,6.47646,1061500
1998-10-09,10.00000,11.08333,9.91667,10.91667,7.31393,301500
1998-10-12,11.33333,11.75000,11.08333,11.29167,7.56517,298200
1998-10-13,11.29167,11.50000,10.66667,11.00000,7.36976,465400
1998-10-14,10.83333,11.00000,10.83333,10.83333,7.25810,114900
1998-10-15,10.83333,10.91667,10.50000,10.79167,7.23018,529600
1998-10-16,10.66667,10.75000,10.58333,10.66667,7.14643,977100
1998-10-19,10.62500,11.33333,10.58333,11.16667,7.48142,1027500
1998-10-20,11.29167,11.41667,11.12500,11.16667,7.48142,643300
1998-10-21,11.16667,11.37500,11.04167,11.04167,7.39767,353700
1998-10-22,11.16667,11.50000,11.00000,11.33333,7.59308,538800
1998-10-23,11.41667,11.54167,11.25000,11.37500,7.62100,156100
1998-10-26,11.45833,11.45833,11.00000,11.08333,7.42559,353400
1998-10-27,11.12500,11.20833,11.04167,11.12500,7.45350,396300
1998-10-28,11.12500,11.33333,11.00000,11.33333,7.59308,378600
1998-10-29,11.83333,13.16667,11.83333,12.58333,8.43056,947400
1998-10-30,13.00000,14.75000,12.75000,14.58333,9.77051,1109400
1998-11-02,14.62500,14.79167,13.54167,14.79167,9.91009,311200
1998-11-03,14.79167,15.45833,14.70833,15.33333,10.27299,596500
1998-11-04,15.33333,16.37500,15.25000,16.00000,10.71965,888400
1998-11-05,15.66667,15.79167,15.25000,15.50000,10.38466,849100
1998-11-06,15.50000,15.58333,14.08333,14.41667,9.65885,1016400
1998-11-09,14.25000,14.33333,13.33333,13.75000,9.21220,533700
1998-11-10,13.66667,13.75000,12.83333,13.08333,8.76554,935200
1998-11-11,13.25000,13.50000,13.12500,13.20833,8.84929,783300
1998-11-12,13.29167,13.29167,12.87500,13.12500,8.79346,640000
1998-11-13,13.16667,13.58333,13.08333,13.37500,8.96095,1158000
1998-11-16,13.37500,13.58333,13.25000,13.41667,8.98887,335700
1998-11-17,13.33333,13.37500,13.12500,13.12500,8.79346,258899
1998-11-18,13.12500,13.12500,12.41667,12.75000,8.54222,330900
1998-11-19,12.66667,12.83333,12.33333,12.41667,8.31889,439600
1998-11-20,12.50000,12.58333,12.41667,12.50000,8.37472,618100
1998-11-23,12.50000,12.95833,12.16667,12.16667,8.15140,1323100
1998-11-24,12.33333,13.16667,12.33333,12.62500,8.45847,1233600
1998-11-25,12.62500,12.62500,11.87500,12.08333,8.09557,342000
1998-11-27,12.25000,12.50000,12.25000,12.50000,8.37472,82000
1998-11-30,12.41667,12.50000,12.20833,12.41667,8.31889,402000
1998-12-01,12.41667,12.58333,12.33333,12.37500,8.29098,486600
1998-12-02,12.54167,12.75000,12.37500,12.41667,8.31889,671500
1998-12-03,12.50000,12.50000,12.25000,12.25000,8.20723,549000
1998-12-04,12.33333,12.33333,12.00000,12.04167,8.06765,214000
1998-12-07,12.12500,12.16667,12.04167,12.08333,8.09557,401100
1998-12-08,12.08333,12.16667,11.50000,11.75000,7.87224,655900
1998-12-09,11.79167,11.83333,10.66667,11.41667,7.64891,2083199
1998-12-10,11.58333,11.66667,10.75000,10.75000,7.20226,770500
1998-12-11,10.75000,11.37500,10.66667,11.25000,7.53725,1138500
1998-12-14,11.20833,11.54167,11.08333,11.12500,7.45350,1167900
1998-12-15,11.25000,11.54167,11.25000,11.54167,7.73266,292800
1998-12-16,11.66667,12.16667,11.66667,12.00000,8.03974,574500
1998-12-17,11.95833,12.04167,11.33333,11.50000,7.70475,934600
1998-12-18,11.50000,11.75000,11.37500,11.37500,7.62100,514500
1998-12-21,11.37500,11.45833,10.75000,11.04167,7.39767,794400
1998-12-22,11.00000,11.29167,10.41667,10.66667,7.14643,1037099
1998-12-23,10.75000,10.79167,10.33333,10.75000,7.20226,1295800
1998-12-24,10.75000,11.00000,10.66667,10.91667,7.31393,427900
1998-12-28,10.87500,10.95833,10.66667,10.87500,7.28601,419200
1998-12-29,10.95833,11.50000,10.95833,11.41667,7.64891,693600
1998-12-30,11.50000,12.41667,11.50000,12.33333,8.26306,1011000
1998-12-31,12.33333,12.37500,12.16667,12.29167,8.23514,218800
1999-01-04,12.45833,13.00000,12.37500,12.79167,8.57013,451500
1999-01-05,12.91667,13.00000,12.58333,12.66667,8.48638,1211200
1999-01-06,12.50000,12.83333,12.50000,12.58333,8.43056,1173400
1999-01-07,12.50000,12.58333,12.33333,12.58333,8.43056,169500
1999-01-08,12.66667,12.66667,12.58333,12.62500,8.45847,459300
1999-01-11,12.62500,12.75000,12.37500,12.58333,8.43056,931600
1999-01-12,12.54167,12.62500,12.20833,12.29167,8.23514,1659600
1999-01-13,12.00000,12.16667,11.75000,12.12500,8.12348,666700
1999-01-14,12.16667,12.16667,12.00000,12.16667,8.15140,112300
1999-01-15,12.16667,12.16667,11.95833,12.12500,8.12348,577900
1999-01-19,12.41667,12.62500,12.16667,12.62500,8.45847,449700
1999-01-20,12.62500,12.62500,12.33333,12.45833,8.34681,422400
1999-01-21,12.41667,12.45833,12.12500,12.45833,8.34681,1717300
1999-01-22,12.41667,12.58333,12.16667,12.50000,8.37472,972900
1999-01-25,12.50000,12.66667,12.45833,12.66667,8.48638,571900
1999-01-26,12.66667,13.00000,12.45833,12.87500,8.62596,1427500
1999-01-27,13.33333,13.83333,13.25000,13.83333,9.26803,1247800
1999-01-28,13.87500,14.29167,13.75000,14.00000,9.37969,1088500
1999-01-29,13.91667,14.00000,13.58333,13.75000,9.21220,261600
1999-02-01,13.75000,13.91667,13.75000,13.79167,9.24011,236400
1999-02-02,13.79167,13.91667,13.62500,13.91667,9.32386,173700
1999-02-03,13.83333,14.25000,13.66667,14.25000,9.54719,423900
1999-02-04,14.08333,14.79167,13.91667,14.33333,9.60301,250000
1999-02-05,14.00000,14.12500,13.58333,13.58333,9.10053,320200
1999-02-08,13.62500,13.75000,13.50000,13.62500,9.12845,117300
1999-02-09,13.54167,13.66667,13.41667,13.45833,9.01678,268600
