Date,Open,High,Low,Close,Adj Close,Volume
1992-06-26,0.32812,0.34766,0.32031,0.33594,0.28078,224358400
1992-06-29,0.33984,0.36719,0.33203,0.35938,0.30037,58732800
1992-06-30,0.36719,0.37109,0.34375,0.34766,0.29058,34777600
1992-07-01,0.35156,0.35938,0.33984,0.35547,0.29711,18316800
1992-07-02,0.35938,0.35938,0.34766,0.35547,0.29711,13996800
1992-07-06,0.35156,0.35547,0.34766,0.35547,0.29711,5753600
1992-07-07,0.35547,0.35547,0.34766,0.35547,0.29711,10662400
1992-07-08,0.35547,0.35547,0.34375,0.34766,0.29058,15500800
1992-07-09,0.35156,0.35938,0.34766,0.35938,0.30037,3923200
1992-07-10,0.35938,0.36719,0.35156,0.36328,0.30364,11040000
1992-07-13,0.36328,0.37109,0.35938,0.37109,0.31017,5996800
1992-07-14,0.37109,0.38281,0.36719,0.37109,0.31017,17062400
1992-07-15,0.37500,0.38281,0.37109,0.38281,0.31996,4992000
1992-07-16,0.38281,0.41406,0.37891,0.40820,0.34118,17062400
1992-07-17,0.41016,0.43750,0.39844,0.42969,0.35914,15667200
1992-07-20,0.42773,0.43750,0.41797,0.43359,0.36241,19744000
1992-07-21,0.43750,0.44531,0.42969,0.43750,0.36567,7782400
1992-07-22,0.43359,0.43750,0.42188,0.43359,0.36241,10892800
1992-07-23,0.43359,0.44141,0.42578,0.44141,0.36894,10387200
1992-07-24,0.43359,0.44922,0.42969,0.44531,0.37220,7052800
1992-07-27,0.44922,0.46484,0.44531,0.45508,0.38036,11430400
1992-07-28,0.46094,0.46484,0.42969,0.43750,0.36567,18009600
1992-07-29,0.43750,0.43750,0.40625,0.41602,0.34772,30848000
1992-07-30,0.41016,0.41797,0.40234,0.41406,0.34608,11737600
1992-07-31,0.41406,0.41797,0.40625,0.41602,0.34772,6886400
1992-08-03,0.41016,0.42578,0.41016,0.41992,0.35098,4832000
1992-08-04,0.42188,0.42969,0.41211,0.42773,0.35751,6822400
1992-08-05,0.42578,0.42578,0.40234,0.41016,0.34282,9516800
