Date,Open,High,Low,Close,Adj Close,Volume
1997-08-15,25.00000,25.37500,24.62500,25.00000,10.25701,6245900
1997-08-18,24.87500,25.25000,23.75000,24.87500,10.20573,687700
1997-08-19,24.75000,24.81250,24.31250,24.37500,10.00059,205500
1997-08-20,24.25000,24.25000,23.62500,23.75000,9.74416,264700
1997-08-21,23.87500,24.00000,23.00000,23.06250,9.46209,302400
1997-08-22,22.62500,23.50000,22.50000,23.50000,9.64159,363700
1997-08-25,23.50000,23.50000,23.00000,23.50000,9.64159,176400
1997-08-26,23.56250,23.93750,23.50000,23.62500,9.69287,293400
1997-08-27,23.75000,23.75000,23.50000,23.50000,9.64159,31200
1997-08-28,23.50000,23.68750,23.50000,23.68750,9.71852,87000
1997-08-29,23.68750,24.00000,23.56250,23.87500,9.79544,139000
1997-09-02,23.81250,24.37500,23.81250,24.37500,10.00059,134700
1997-09-03,24.31250,24.37500,24.12500,24.31250,9.97494,144600
1997-09-04,24.12500,24.50000,24.12500,24.50000,10.05187,76500
1997-09-05,24.43750,24.50000,24.12500,24.37500,10.00059,65099
1997-09-08,24.18750,24.25000,24.18750,24.25000,9.94930,108800
1997-09-09,24.18750,24.75000,24.18750,24.50000,10.05187,169500
1997-09-10,24.37500,24.75000,24.25000,24.68750,10.12880,112600
1997-09-11,24.62500,24.62500,24.25000,24.31250,9.97494,69400
1997-09-12,24.31250,24.56250,24.31250,24.31250,9.97494,74500
1997-09-15,24.25000,24.50000,23.75000,24.00000,9.84673,180500
1997-09-16,24.37500,25.50000,24.25000,25.25000,10.35958,182600
1997-09-17,25.50000,25.50000,24.56250,24.75000,10.15444,97600
1997-09-18,24.87500,25.18750,24.68750,25.12500,10.30830,49700
1997-09-19,24.87500,25.12500,24.75000,25.06250,10.28265,95500
1997-09-22,25.37500,25.37500,25.25000,25.25000,10.35958,85600
1997-09-23,25.25000,25.50000,24.93750,24.93750,10.23137,95600
1997-09-24,25.00000,25.06250,24.75000,24.81250,10.18008,41000
1997-09-25,24.87500,25.25000,24.87500,25.25000,10.35958,66900
1997-09-26,25.12500,25.56250,25.12500,25.50000,10.46215,164600
1997-09-29,25.62500,25.87500,25.56250,25.68750,10.53908,60200
1997-09-30,25.56250,25.87500,25.50000,25.87500,10.61600,126900
1997-10-01,25.87500,26.18750,25.87500,25.87500,10.61600,63500
1997-10-02,26.00000,26.75000,26.00000,26.37500,10.82115,126900
1997-10-03,26.75000,27.00000,26.56250,26.93750,11.05192,62400
1997-10-06,26.93750,26.93750,26.37500,26.37500,10.82115,145400
1997-10-07,26.25000,26.25000,25.25000,26.12500,10.71857,170200
1997-10-08,26.25000,26.50000,26.12500,26.25000,10.76986,76100
1997-10-09,26.12500,26.37500,26.00000,26.00000,10.66729,141200
1997-10-10,26.00000,26.12500,25.81250,25.81250,10.59036,34100
1997-10-13,26.18750,26.18750,25.75000,25.87500,10.61600,48000
1997-10-14,26.00000,26.25000,25.87500,26.06250,10.69293,22000
1997-10-15,26.06250,26.06250,25.87500,25.93750,10.64164,7200
1997-10-16,25.93750,26.12500,25.75000,25.75000,10.56472,52200
1997-10-17,25.75000,26.00000,25.37500,25.50000,10.46215,67600
1997-10-20,25.50000,25.50000,25.31250,25.37500,10.41086,90900
1997-10-21,25.37500,26.37500,25.37500,26.37500,10.82115,77700
1997-10-22,26.37500,26.87500,26.00000,26.00000,10.66729,185800
1997-10-23,25.62500,25.75000,25.06250,25.62500,10.51344,47300
1997-10-24,25.75000,25.81250,25.62500,25.62500,10.51344,171800
1997-10-27,25.75000,25.75000,23.68750,23.68750,9.71852,48800
1997-10-28,23.62500,25.68750,22.75000,25.68750,10.53908,96700
1997-10-29,25.62500,25.62500,25.12500,25.18750,10.33394,96200
1997-10-30,25.00000,25.18750,25.00000,25.00000,10.25701,8500
1997-10-31,24.93750,25.12500,24.75000,25.06250,10.28265,38400
1997-11-03,25.25000,25.25000,24.87500,24.87500,10.20573,54400
1997-11-04,24.81250,24.81250,24.00000,24.43750,10.02623,65800
1997-11-05,24.43750,25.06250,24.31250,24.68750,10.12880,47900
1997-11-06,24.81250,24.93750,24.37500,24.37500,10.00059,29700
1997-11-07,24.37500,24.37500,24.00000,24.25000,9.94930,37300
1997-11-10,24.31250,24.93750,24.18750,24.87500,10.20573,13600
1997-11-11,24.87500,25.31250,24.87500,25.12500,10.30830,33800
1997-11-12,25.25000,25.68750,25.00000,25.62500,10.51344,46000
1997-11-13,25.25000,25.31250,25.18750,25.18750,10.39887,143600
1997-11-14,25.18750,25.37500,25.18750,25.31250,10.45048,37700
1997-11-17,25.31250,25.31250,25.25000,25.25000,10.42467,4900
1997-11-18,25.75000,25.75000,25.62500,25.75000,10.63110,21100
1997-11-19,25.87500,26.00000,25.62500,25.81250,10.65690,95300
1997-11-20,25.87500,26.00000,25.87500,26.00000,10.73432,34900
1997-11-21,26.00000,26.12500,25.87500,26.00000,10.73432,52200
1997-11-24,25.87500,25.93750,25.50000,25.50000,10.52788,14300
1997-11-25,25.37500,25.87500,25.25000,25.68750,10.60529,43200
1997-11-26,25.68750,26.00000,25.62500,25.75000,10.63110,166600
1997-11-28,25.68750,26.00000,25.68750,26.00000,10.73432,23300
1997-12-01,26.00000,26.12500,26.00000,26.00000,10.73432,84800
1997-12-02,26.00000,26.37500,26.00000,26.12500,10.78592,42200
1997-12-03,26.12500,26.25000,25.68750,25.68750,10.60529,19300
1997-12-04,25.68750,25.87500,25.37500,25.75000,10.63110,25200
1997-12-05,25.62500,26.00000,25.62500,26.00000,10.73432,21000
1997-12-08,26.00000,26.25000,25.75000,25.75000,10.63110,124800
1997-12-09,25.87500,26.00000,25.81250,26.00000,10.73432,17400
1997-12-10,26.00000,26.00000,25.87500,25.87500,10.68270,14700
1997-12-11,25.93750,25.93750,25.81250,25.87500,10.68270,10800
1997-12-12,25.93750,25.93750,25.62500,25.68750,10.60529,20300
1997-12-15,25.75000,26.00000,25.75000,26.00000,10.73432,123000
1997-12-16,26.12500,26.50000,26.12500,26.50000,10.94074,27000
1997-12-17,26.50000,26.62500,26.25000,26.62500,10.99235,187700
1997-12-18,26.50000,26.75000,26.43750,26.50000,10.94074,12800
1997-12-19,26.50000,26.50000,26.12500,26.18750,10.81173,86700
1997-12-22,26.18750,26.25000,26.12500,26.12500,10.78592,30600
1997-12-23,26.12500,26.25000,26.12500,26.18750,10.81173,25000
1997-12-24,26.31250,26.50000,26.25000,26.25000,10.83752,5600
1997-12-26,26.00000,26.18750,26.00000,26.12500,10.93168,5800
1997-12-29,26.18750,26.25000,26.12500,26.12500,10.93168,7800
1997-12-30,26.25000,26.25000,26.12500,26.25000,10.98398,18200
1997-12-31,26.00000,26.25000,25.93750,25.93750,10.85321,33800
1998-01-02,26.18750,26.18750,25.75000,25.93750,10.85321,16900
1998-01-05,25.87500,26.00000,25.87500,25.87500,10.82706,71800
1998-01-06,25.87500,25.93750,25.50000,25.75000,10.77476,56600
1998-01-07,25.75000,25.75000,25.62500,25.62500,10.72246,30700
