Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,9.00000,9.00000,9.00000,9.00000,3.51352,27000
1973-02-22,8.91667,8.91667,8.91667,8.91667,3.48098,36000
1973-02-23,8.41667,8.41667,8.41667,8.41667,3.28579,64800
1973-02-26,8.37500,8.37500,8.37500,8.37500,3.26952,42600
1973-02-27,8.16667,8.16667,8.16667,8.16667,3.18819,70200
1973-02-28,8.54167,8.54167,8.54167,8.54167,3.33459,115800
1973-03-01,8.62500,8.62500,8.62500,8.62500,3.36712,96600
1973-03-02,8.87500,8.87500,8.87500,8.87500,3.46472,81000
1973-03-05,8.79167,8.79167,8.79167,8.79167,3.43219,163800
1973-03-06,8.70833,8.70833,8.70833,8.70833,3.39965,278400
1973-03-07,8.87500,8.87500,8.87500,8.87500,3.46472,177000
1973-03-08,8.91667,8.91667,8.91667,8.91667,3.48098,85200
1973-03-09,8.87500,8.87500,8.87500,8.87500,3.46472,145800
1973-03-12,8.83333,8.83333,8.83333,8.83333,3.44845,39000
1973-03-13,8.83333,8.83333,8.83333,8.83333,3.44845,90600
1973-03-14,8.87500,8.87500,8.87500,8.87500,3.46472,101400
1973-03-15,8.91667,8.91667,8.91667,8.91667,3.48098,32400
1973-03-16,9.00000,9.00000,9.00000,9.00000,3.51352,45600
1973-03-19,8.91667,8.91667,8.91667,8.91667,3.48098,31200
1973-03-20,8.91667,8.91667,8.91667,8.91667,3.48098,33000
1973-03-21,8.83333,8.83333,8.83333,8.83333,3.44845,54600
1973-03-22,8.58333,8.58333,8.58333,8.58333,3.35085,57000
1973-03-23,8.62500,8.62500,8.62500,8.62500,3.36712,108600
1973-03-26,8.54167,8.54167,8.54167,8.54167,3.33459,100200
1973-03-27,8.62500,8.62500,8.62500,8.62500,3.36712,81600
1973-03-28,8.79167,8.79167,8.79167,8.79167,3.43219,60600
1973-03-29,9.00000,9.00000,9.00000,9.00000,3.51352,58200
1973-03-30,9.00000,9.00000,9.00000,9.00000,3.51352,44400
1973-04-02,8.83333,8.83333,8.83333,8.83333,3.44845,69000
1973-04-03,8.95833,8.95833,8.95833,8.95833,3.49725,54600
1973-04-04,9.00000,9.00000,9.00000,9.00000,3.51352,196800
1973-04-05,8.91667,8.91667,8.91667,8.91667,3.48098,68400
1973-04-06,9.08333,9.08333,9.08333,9.08333,3.54605,43800
1973-04-09,9.12500,9.12500,9.12500,9.12500,3.56232,46800
1973-04-10,9.20833,9.20833,9.20833,9.20833,3.59485,49800
1973-04-11,9.37500,9.37500,9.37500,9.37500,3.65991,55200
1973-04-12,9.33333,9.33333,9.33333,9.33333,3.64365,136200
1973-04-13,9.66667,9.66667,9.66667,9.66667,3.77378,115200
1973-04-16,9.87500,9.87500,9.87500,9.87500,3.85511,229200
1973-04-17,9.58333,9.58333,9.58333,9.58333,3.74125,108600
1973-04-18,9.50000,9.50000,9.50000,9.50000,3.70871,598800
1973-04-19,9.58333,9.58333,9.58333,9.58333,3.74125,43800
1973-04-23,9.45833,9.45833,9.45833,9.45833,3.69245,52200
1973-04-24,8.91667,8.91667,8.91667,8.91667,3.48098,118800
1973-04-25,8.75000,8.75000,8.75000,8.75000,3.41592,252600
1973-04-26,8.66667,8.66667,8.66667,8.66667,3.38339,105600
1973-04-27,8.25000,8.25000,8.25000,8.25000,3.22073,123000
1973-04-30,8.41667,8.41667,8.41667,8.41667,3.28579,102600
1973-05-01,8.70833,8.70833,8.70833,8.70833,3.39965,81600
1973-05-02,8.91667,8.91667,8.91667,8.91667,3.48098,100800
1973-05-03,0.00000,9.25000,9.08333,9.08333,3.54605,52800
1973-05-04,0.00000,9.20833,9.04167,9.04167,3.52978,84600
1973-05-07,0.00000,9.00000,8.83333,8.83333,3.44845,42000
1973-05-08,0.00000,9.00000,8.83333,8.83333,3.44845,46800
1973-05-09,0.00000,9.16667,9.00000,9.00000,3.51352,148800
1973-05-10,0.00000,9.16667,9.00000,9.00000,3.51352,64800
1973-05-11,0.00000,9.04167,8.87500,8.87500,3.46472,37200
1973-05-14,0.00000,8.66667,8.50000,8.50000,3.31832,81000
1973-05-15,0.00000,8.91667,8.75000,8.75000,3.41592,71400
1973-05-16,0.00000,8.91667,8.75000,8.75000,3.41592,47400
1973-05-17,0.00000,8.87500,8.70833,8.70833,3.39965,48600
1973-05-18,0.00000,8.87500,8.70833,8.70833,3.39965,60600
1973-05-21,0.00000,8.87500,8.70833,8.70833,3.39965,60000
1973-05-22,0.00000,8.83333,8.66667,8.66667,3.38339,131400
1973-05-23,0.00000,8.79167,8.62500,8.62500,3.36712,89400
1973-05-24,0.00000,8.75000,8.58333,8.58333,3.35085,27000
1973-05-25,0.00000,8.83333,8.66667,8.66667,3.38339,179400
1973-05-29,0.00000,8.70833,8.54167,8.54167,3.33459,79800
