Date,Open,High,Low,Close,Adj Close,Volume
2012-06-18,56.45000,57.52000,56.33000,57.04000,57.04000,978652
2012-06-19,57.31000,57.39000,56.44000,56.72000,56.72000,1060110
2012-06-20,56.80000,57.37000,56.65000,56.82000,56.82000,847865
2012-06-21,57.03000,57.08200,55.37000,55.52000,55.52000,606668
2012-06-22,55.86000,56.38000,55.69000,56.16000,56.16000,907938
2012-06-25,55.58000,55.64000,55.11000,55.31000,55.31000,434242
2012-06-26,55.53000,56.17000,55.40000,55.65000,55.65000,548223
2012-06-27,55.91000,56.39000,55.78000,56.00000,56.00000,559652
2012-06-28,55.70000,56.18000,54.85000,56.09000,56.09000,613663
2012-06-29,57.18000,57.25000,56.70000,56.86000,56.86000,963161
2012-07-02,57.10000,57.67400,56.54000,57.53000,57.53000,1077947
2012-07-03,57.41000,57.70000,56.92840,57.16000,57.16000,507146
2012-07-05,56.75000,57.01000,56.34360,56.65000,56.65000,808062
2012-07-06,56.13000,56.62000,55.58000,55.98000,55.98000,736770
2012-07-09,55.72000,56.05000,54.88000,55.07000,55.07000,825962
2012-07-10,55.74000,55.99000,53.95000,54.14000,54.14000,713552
2012-07-11,54.20000,54.38000,53.12000,53.35000,53.35000,901312
2012-07-12,53.08000,53.15000,51.63000,52.88000,52.88000,1056742
2012-07-13,53.57000,55.25000,53.33000,54.96000,54.96000,1403697
2012-07-16,54.77000,54.91000,53.40000,53.56000,53.56000,969515
2012-07-17,53.83000,54.75000,53.54000,54.51000,54.51000,515101
2012-07-18,54.32000,54.63000,53.98000,54.30000,54.30000,407370
2012-07-19,54.32000,54.96000,54.30000,54.30000,54.30000,675946
2012-07-20,53.36000,54.28000,53.00000,53.84000,53.84000,490921
2012-07-23,52.88000,53.59500,52.74160,53.39000,53.39000,597072
2012-07-24,53.30000,53.57600,52.51000,52.91000,52.91000,532991
2012-07-25,52.95000,53.36700,52.57000,53.02000,53.02000,573236
2012-07-26,53.82000,54.33000,53.12000,53.59000,53.59000,623149
2012-07-27,54.03000,55.17000,53.73000,54.79000,54.79000,460999
2012-07-30,54.80000,55.40000,54.59000,54.98000,54.98000,423998
2012-07-31,54.74000,54.96000,53.68000,53.85000,53.85000,947854
2012-08-01,54.67000,54.67000,52.86000,53.73000,53.73000,1351162
2012-08-02,54.15000,56.99000,54.15000,56.17000,56.17000,2832514
2012-08-03,56.46000,57.56000,56.34000,57.46000,57.46000,1241915
2012-08-06,57.55000,58.64000,57.22000,58.10000,58.10000,1224418
2012-08-07,58.48000,58.84000,58.22000,58.59000,58.59000,1013801
2012-08-08,58.28000,58.90000,58.17000,58.78000,58.78000,947795
2012-08-09,58.69000,59.43000,58.60000,59.43000,59.43000,803065
2012-08-10,59.25000,60.23000,58.99000,59.94000,59.94000,1625977
2012-08-13,59.93000,61.17000,59.82000,60.87000,60.87000,1830840
2012-08-14,60.89000,61.00000,59.09000,59.31000,59.31000,1953771
2012-08-15,59.31000,59.46000,58.93000,59.13000,59.13000,608416
2012-08-16,58.91000,59.24000,58.26000,58.60000,58.60000,575879
2012-08-17,58.60000,58.81000,58.31000,58.65000,58.65000,600407
2012-08-20,58.63000,58.82000,58.08000,58.37000,58.37000,432973
2012-08-21,58.43000,58.84000,57.99000,58.40000,58.40000,647944
2012-08-22,58.33000,58.87000,58.25500,58.63000,58.63000,780926
2012-08-23,58.41000,58.92000,58.31000,58.80000,58.80000,936767
2012-08-24,58.80000,59.77000,58.62000,59.62000,59.62000,937900
2012-08-27,59.44000,59.55000,58.63000,58.92000,58.92000,673346
2012-08-28,58.89000,59.69000,58.85000,59.48000,59.48000,736739
2012-08-29,59.49000,59.82000,59.24000,59.24000,59.24000,540322
2012-08-30,59.02000,59.30000,58.53000,58.56000,58.56000,706735
2012-08-31,58.84000,60.00000,58.80000,59.10000,59.10000,1154351
2012-09-04,59.30000,60.68000,59.29000,60.34000,60.34000,961566
2012-09-05,60.34000,60.43000,59.73000,60.12000,60.12000,1068445
2012-09-06,60.50000,61.13000,60.50000,60.66000,60.66000,757679
2012-09-07,60.67000,61.04000,59.98000,60.09000,60.09000,963320
2012-09-10,60.13000,60.44000,59.93000,60.01000,60.01000,963912
2012-09-11,60.08000,61.43000,59.98000,61.38000,61.38000,1138274
2012-09-12,61.68000,61.83000,61.03000,61.52000,61.52000,705582
2012-09-13,61.96000,62.00000,61.33000,61.56000,61.56000,1229223
2012-09-14,60.85000,62.45000,60.85000,62.33000,62.33000,1555355
2012-09-17,62.25000,62.54000,61.39000,62.04000,62.04000,609600
2012-09-18,61.78000,61.93000,60.78000,61.16000,61.16000,535796
2012-09-19,61.26000,62.13000,60.89050,61.66000,61.66000,753666
2012-09-20,61.49000,61.91000,61.24970,61.84000,61.84000,528665
2012-09-21,61.99000,61.99000,61.43000,61.62000,61.62000,1111536
2012-09-24,61.60000,61.94000,61.14000,61.49000,61.49000,702369
2012-09-25,61.80000,62.00000,61.07000,61.23000,61.23000,646050
2012-09-26,61.09000,61.23000,60.12000,60.19000,60.19000,529279
2012-09-27,60.39000,61.59000,60.36000,61.25000,61.25000,591928
2012-09-28,61.20000,61.47000,60.74000,61.23000,61.23000,529223
2012-10-01,62.57000,63.18000,61.50000,62.54000,62.54000,990312
2012-10-02,62.94000,63.18000,62.14000,62.32000,62.32000,589437
2012-10-03,62.51000,62.86000,62.15000,62.81000,62.81000,433501
2012-10-04,63.04000,64.01000,63.04000,63.36000,63.36000,426780
2012-10-05,63.68000,64.38000,63.39000,63.51000,63.51000,426648
2012-10-08,63.32000,63.65000,63.08000,63.30000,63.30000,339224
2012-10-09,63.24000,63.37000,62.22000,63.27000,63.27000,589292
2012-10-10,63.11000,63.31000,62.98000,63.11000,63.11000,503405
2012-10-11,63.56000,64.16000,62.82000,63.10000,63.10000,530557
2012-10-12,63.26000,64.09000,62.21000,62.52000,62.52000,705598
2012-10-15,62.76000,63.16000,62.21000,63.07000,63.07000,396008
2012-10-16,63.46000,63.83000,62.98000,63.00000,63.00000,556217
2012-10-17,63.18000,63.91000,62.43010,62.56000,62.56000,652435
2012-10-18,62.74000,63.48000,62.08000,62.76000,62.76000,1135600
2012-10-19,63.77000,66.33000,62.68000,63.19000,63.19000,2418055
2012-10-22,62.99000,63.84000,62.46000,63.72000,63.72000,808951
2012-10-23,62.73000,62.88820,61.99000,62.35000,62.35000,918553
2012-10-24,62.68000,63.02000,62.12000,62.63000,62.63000,1153724
2012-10-25,62.78000,62.93000,61.98000,62.20000,62.20000,657239
2012-10-26,62.32000,62.34000,60.94000,61.15000,61.15000,741173
2012-10-31,61.58000,61.72000,60.12000,60.72000,60.72000,1346244
2012-11-01,61.24000,64.25000,61.24000,62.52000,62.52000,2008672
2012-11-02,63.24000,63.62000,60.38000,60.48000,60.48000,982665
2012-11-05,60.48000,61.13000,59.60000,60.45000,60.45000,1293463
2012-11-06,60.45000,60.57000,59.31000,60.07000,60.07000,775964
2012-11-07,59.73000,60.39000,59.24000,59.71000,59.71000,711777
2012-11-08,59.61000,60.46000,59.55000,59.84000,59.84000,984274
2012-11-09,59.59000,60.41990,59.38000,60.10000,60.10000,738771
2012-11-12,60.10000,60.39000,59.64000,59.96000,59.96000,449919
2012-11-13,59.62000,61.03000,59.58010,59.96000,59.96000,955643
2012-11-14,60.05000,60.31000,59.02000,59.30000,59.30000,1067245
2012-11-15,59.39000,59.62000,58.88000,58.95000,58.95000,1040863
2012-11-16,58.96000,59.60000,58.70000,59.05000,59.05000,878931
