Date,Open,High,Low,Close,Adj Close,Volume
1996-08-23,2.37500,2.37500,2.25000,2.31250,2.31250,5035200
1996-08-26,2.31250,2.31250,2.28125,2.31250,2.31250,590000
1996-08-27,2.31250,2.50000,2.28125,2.46875,2.46875,936800
1996-08-28,2.50000,2.75000,2.43750,2.56250,2.56250,766400
1996-08-29,2.56250,2.62500,2.50000,2.50000,2.50000,594400
1996-08-30,2.50000,2.50000,2.34375,2.43750,2.43750,178400
1996-09-03,2.43750,2.43750,2.18750,2.28125,2.28125,329200
1996-09-04,2.25000,2.37500,2.25000,2.37500,2.37500,162000
1996-09-05,2.37500,2.37500,2.25000,2.28125,2.28125,132000
1996-09-06,2.21875,2.28125,2.18750,2.25000,2.25000,190800
1996-09-09,2.31250,2.53125,2.31250,2.37500,2.37500,254000
1996-09-10,2.37500,2.37500,2.31250,2.31250,2.31250,14400
1996-09-11,2.31250,2.40625,2.31250,2.34375,2.34375,233600
1996-09-12,2.34375,2.50000,2.34375,2.34375,2.34375,32800
1996-09-13,2.34375,2.37500,2.31250,2.34375,2.34375,78800
1996-09-16,2.31250,2.37500,2.31250,2.34375,2.34375,146400
1996-09-17,2.31250,2.37500,2.31250,2.31250,2.31250,172400
1996-09-18,2.37500,2.37500,2.25000,2.25000,2.25000,88800
1996-09-19,2.18750,2.18750,2.18750,2.18750,2.18750,6000
1996-09-20,2.28125,2.34375,2.25000,2.28125,2.28125,15200
1996-09-23,2.21875,2.34375,2.21875,2.21875,2.21875,33600
1996-09-24,2.21875,2.34375,2.18750,2.18750,2.18750,214000
1996-09-25,2.31250,2.34375,2.25000,2.34375,2.34375,60800
1996-09-26,2.34375,2.37500,2.28125,2.37500,2.37500,117200
1996-09-27,2.37500,2.45312,2.31250,2.34375,2.34375,106800
1996-09-30,2.43750,2.43750,2.28125,2.28125,2.28125,46000
1996-10-01,2.31250,2.31250,2.18750,2.18750,2.18750,46400
1996-10-02,2.28125,2.28125,2.21875,2.28125,2.28125,58000
1996-10-03,2.28125,2.28125,2.28125,2.28125,2.28125,6800
1996-10-04,2.28125,2.28125,2.18750,2.21875,2.21875,60000
1996-10-07,2.18750,2.21875,2.18750,2.21875,2.21875,154000
1996-10-08,2.18750,2.31250,2.18750,2.18750,2.18750,290800
1996-10-09,2.25000,2.25000,2.09375,2.09375,2.09375,166000
1996-10-10,2.09375,2.18750,2.09375,2.12500,2.12500,98000
1996-10-11,2.12500,2.21875,2.06250,2.06250,2.06250,99200
1996-10-14,2.06250,2.18750,2.06250,2.09375,2.09375,112800
1996-10-15,2.18750,2.18750,2.09375,2.12500,2.12500,99200
1996-10-16,2.09375,2.18750,2.00000,2.00000,2.00000,182800
1996-10-17,2.00000,2.09375,1.90625,1.90625,1.90625,100000
1996-10-18,2.00000,2.06250,1.96875,2.06250,2.06250,163200
1996-10-21,2.06250,2.06250,2.00000,2.03125,2.03125,66400
1996-10-22,2.06250,2.06250,1.96875,1.96875,1.96875,43200
1996-10-23,1.96875,2.06250,1.96875,2.06250,2.06250,13600
1996-10-24,2.06250,2.06250,1.93750,1.93750,1.93750,52800
1996-10-25,2.00000,2.00000,1.93750,2.00000,2.00000,288800
1996-10-28,1.96875,2.00000,1.93750,1.96875,1.96875,74800
1996-10-29,2.06250,2.06250,1.96875,1.96875,1.96875,15200
1996-10-30,1.96875,2.03125,1.96875,1.96875,1.96875,15600
1996-10-31,2.06250,2.06250,1.84375,1.84375,1.84375,2316000
1996-11-01,1.90625,1.93750,1.87500,1.90625,1.90625,234000
1996-11-04,1.87500,1.93750,1.87500,1.93750,1.93750,123200
1996-11-05,1.93750,1.93750,1.93750,1.93750,1.93750,0
1996-11-06,1.93750,2.00000,1.87500,1.93750,1.93750,50000
1996-11-07,2.00000,2.12500,1.93750,2.12500,2.12500,116000
1996-11-08,2.15625,2.18750,2.06250,2.06250,2.06250,9200
1996-11-11,2.18750,2.18750,2.09375,2.12500,2.12500,14800
1996-11-12,2.09375,2.12500,2.09375,2.12500,2.12500,9200
1996-11-13,2.12500,2.18750,2.06250,2.09375,2.09375,810000
1996-11-14,2.09375,2.09375,2.09375,2.09375,2.09375,12000
1996-11-15,2.09375,2.09375,2.06250,2.06250,2.06250,53600
1996-11-18,2.15625,2.18750,2.00000,2.12500,2.12500,774400
1996-11-19,2.06250,2.06250,1.93750,1.93750,1.93750,22400
1996-11-20,1.93750,2.00000,1.93750,2.00000,2.00000,8000
1996-11-21,2.06250,2.06250,1.90625,1.90625,1.90625,86400
1996-11-22,1.90625,1.96875,1.87500,1.92188,1.92188,23600
1996-11-25,1.96875,2.00000,1.96875,2.00000,2.00000,50400
1996-11-26,1.93750,2.00000,1.93750,2.00000,2.00000,4400
1996-11-27,1.93750,2.00000,1.93750,1.93750,1.93750,27200
1996-11-29,1.96875,1.96875,1.96875,1.96875,1.96875,400
1996-12-02,1.96875,1.96875,1.90625,1.90625,1.90625,40800
1996-12-03,1.90625,1.93750,1.81250,1.93750,1.93750,50800
1996-12-04,1.93750,2.03125,1.87500,2.00000,2.00000,25200
1996-12-05,1.90625,1.93750,1.90625,1.93750,1.93750,58000
1996-12-06,1.93750,1.93750,1.93750,1.93750,1.93750,0
1996-12-09,1.84375,1.84375,1.84375,1.84375,1.84375,24000
1996-12-10,1.93750,1.93750,1.81250,1.93750,1.93750,24400
1996-12-11,1.81250,1.87500,1.75000,1.76562,1.76562,72000
1996-12-12,1.87500,1.87500,1.87500,1.87500,1.87500,4400
1996-12-13,1.81250,1.81250,1.75000,1.75000,1.75000,40000
1996-12-16,1.75000,1.84375,1.75000,1.78125,1.78125,140000
1996-12-17,1.78125,1.87500,1.78125,1.87500,1.87500,162400
1996-12-18,1.87500,1.87500,1.81250,1.87500,1.87500,39200
1996-12-19,1.87500,1.96875,1.81250,1.93750,1.93750,284800
1996-12-20,1.93750,1.93750,1.93750,1.93750,1.93750,800
1996-12-23,2.00000,2.31250,2.00000,2.31250,2.31250,148400
1996-12-24,2.28125,2.28125,2.18750,2.18750,2.18750,3200
1996-12-26,2.31250,2.31250,2.18750,2.31250,2.31250,34400
1996-12-27,2.25000,2.31250,2.25000,2.31250,2.31250,36000
1996-12-30,2.18750,2.31250,2.18750,2.28125,2.28125,66400
1996-12-31,2.18750,2.93750,2.18750,2.87500,2.87500,302000
1997-01-02,2.87500,2.93750,2.37500,2.56250,2.56250,372800
1997-01-03,2.65625,2.65625,2.50000,2.53125,2.53125,212000
1997-01-06,2.50000,2.56250,2.37500,2.50000,2.50000,39600
1997-01-07,2.53125,2.53125,2.50000,2.50000,2.50000,51200
1997-01-08,2.53125,2.56250,2.50000,2.56250,2.56250,26000
1997-01-09,2.46875,2.56250,2.46875,2.56250,2.56250,4000
1997-01-10,2.50000,2.50000,2.50000,2.50000,2.50000,1200
1997-01-13,2.46875,2.62500,2.46875,2.46875,2.46875,14400
1997-01-14,2.62500,2.75000,2.50000,2.68750,2.68750,130400
1997-01-15,2.75000,2.87500,2.75000,2.78125,2.78125,589200
1997-01-16,2.84375,2.84375,2.68750,2.71875,2.71875,316800
1997-01-17,2.71875,2.71875,2.71875,2.71875,2.71875,0
1997-01-20,2.78125,2.78125,2.68750,2.68750,2.68750,58800
1997-01-21,2.68750,2.68750,2.68750,2.68750,2.68750,0
1997-01-22,2.68750,2.68750,2.68750,2.68750,2.68750,4000
1997-01-23,2.75000,2.78125,2.62500,2.75000,2.75000,160000
1997-01-24,2.68750,2.75000,2.43750,2.53125,2.53125,118000
