Date,Open,High,Low,Close,Adj Close,Volume
2002-12-11,11.50000,12.00000,11.25000,11.50000,6.23030,36719700
2002-12-12,11.50000,11.59000,11.02000,11.18000,6.05693,9195600
2002-12-13,11.10000,11.50000,10.95000,11.42000,6.18695,7739400
2002-12-16,11.32000,11.62000,11.13000,11.61000,6.28989,3836400
2002-12-17,11.60000,11.78000,11.45000,11.50000,6.23030,2729900
2002-12-18,11.42000,11.43000,11.13000,11.20000,6.06776,2152800
2002-12-19,11.15000,11.20000,10.71000,10.76000,5.82939,6450800
2002-12-20,10.85000,10.94000,10.56000,10.81000,5.85647,2930900
2002-12-23,10.71000,10.71000,10.20000,10.40000,5.63435,3455900
2002-12-24,10.40000,10.45000,10.00000,10.24000,5.54767,3302500
2002-12-26,10.05000,10.20000,10.00000,10.03000,5.43390,2019200
2002-12-27,10.00000,10.13000,9.86000,10.13000,5.48807,1639400
2002-12-30,10.22000,10.55000,10.00000,10.47000,5.67227,2742800
2002-12-31,10.30000,10.96000,10.30000,10.73000,5.81313,3730800
2003-01-02,10.75000,10.76000,10.25000,10.50000,5.68853,3473000
2003-01-03,10.50000,10.75000,10.33000,10.75000,5.82397,1716600
2003-01-06,10.90000,11.57000,10.85000,11.43000,6.19237,4041400
2003-01-07,11.50000,12.25000,11.40000,12.25000,6.63661,6823500
2003-01-08,12.05000,12.24000,11.95000,12.20000,6.60953,4623100
2003-01-09,12.30000,12.95000,12.25000,12.60000,6.82623,9553400
2003-01-10,11.50000,11.95000,10.70000,11.10000,6.01359,7554700
2003-01-13,11.15000,11.28000,10.15000,10.23000,5.54225,2834700
2003-01-14,10.23000,10.35000,10.00000,10.25000,5.55309,1629200
2003-01-15,10.36000,10.88000,10.19000,10.77000,5.83480,2588100
2003-01-16,10.98000,11.10000,10.78000,11.01000,5.96483,1443400
2003-01-17,10.98000,11.00000,10.40000,10.80000,5.85106,2000000
2003-01-21,10.90000,10.98000,10.21000,10.24000,5.54767,1165700
2003-01-22,10.34000,10.34000,9.30000,9.52000,5.15760,3488500
2003-01-23,9.75000,10.15000,9.61000,10.00000,5.41764,2498200
2003-01-24,10.17000,10.43000,9.80000,9.95000,5.39056,2772100
2003-01-27,9.80000,9.90000,9.32000,9.35000,5.06550,1150600
2003-01-28,9.43000,9.71000,9.40000,9.40000,5.09258,1267000
2003-01-29,9.42000,9.92000,9.40000,9.73000,5.27137,1174400
2003-01-30,9.79000,9.89000,9.40000,9.40000,5.09258,720700
2003-01-31,9.30000,9.34000,8.99000,9.18000,4.97340,1402500
2003-02-03,9.23000,9.45000,9.16000,9.17000,4.96798,1002400
2003-02-04,9.18000,9.18000,8.95000,9.05000,4.90297,1087700
2003-02-05,9.12000,9.21000,8.98000,9.05000,4.90297,1233500
2003-02-06,9.10000,9.34000,9.03000,9.05000,4.90297,923500
2003-02-07,9.15000,9.17000,8.96000,9.00000,4.87588,1069500
2003-02-10,8.75000,8.75000,7.78000,8.70000,4.71335,10046400
2003-02-11,8.70000,8.93000,8.23000,8.93000,4.83796,2238900
2003-02-12,8.95000,8.95000,8.18000,8.34000,4.53355,1726000
2003-02-13,8.35000,8.45000,8.00000,8.06000,4.38134,2111000
2003-02-14,8.06000,8.40000,8.06000,8.40000,4.56616,881000
2003-02-18,8.40000,8.74000,8.39000,8.74000,4.75098,2049100
2003-02-19,8.81000,9.00000,8.74000,8.99000,4.88688,1506300
2003-02-20,8.89000,9.15000,8.87000,9.01000,4.89775,760000
2003-02-21,9.03000,9.36000,9.03000,9.20000,5.00103,1519300
2003-02-24,9.25000,9.40000,8.88000,9.00000,4.89231,1055600
2003-02-25,9.00000,9.75000,8.97000,9.68000,5.26196,3049400
2003-02-26,9.65000,9.74000,9.42000,9.52000,5.17498,782300
2003-02-27,9.42000,9.69000,9.32000,9.45000,5.13693,387000
2003-02-28,9.50000,9.50000,9.18000,9.27000,5.03909,808500
2003-03-03,9.25000,9.52000,9.22000,9.30000,5.05539,575800
2003-03-04,9.33000,9.39000,9.20000,9.27000,5.03909,517600
2003-03-05,9.23000,9.42000,9.14000,9.29000,5.04996,1017700
2003-03-06,9.19000,9.75000,9.19000,9.58000,5.20760,1481100
2003-03-07,9.48000,9.84000,9.39000,9.70000,5.27283,898800
2003-03-10,9.45000,9.76000,9.45000,9.76000,5.30544,1837100
2003-03-11,9.70000,9.75000,9.45000,9.55000,5.19129,1960400
2003-03-12,9.35000,9.40000,8.95000,9.03000,4.90862,4556400
2003-03-13,9.03000,9.15000,8.88000,9.05000,4.91950,4223600
2003-03-14,9.02000,9.10000,8.75000,8.96000,4.87057,2401400
2003-03-17,8.96000,9.43000,8.85000,9.35000,5.08257,994400
2003-03-18,9.35000,9.56000,9.35000,9.54000,5.18586,782500
2003-03-19,9.45000,9.51000,9.18000,9.34000,5.07714,874000
2003-03-20,9.25000,9.45000,9.20000,9.44000,5.13150,1609600
2003-03-21,9.50000,9.99000,9.40000,9.80000,5.32719,2559900
2003-03-24,9.45000,9.76000,9.43000,9.55000,5.19129,1945600
2003-03-25,9.50000,10.22000,9.45000,10.00000,5.43591,4664700
2003-03-26,9.85000,10.19000,9.75000,10.10000,5.49027,2908700
2003-03-27,9.95000,10.89000,9.94000,10.88000,5.91427,4410700
2003-03-28,10.69000,10.80000,10.35000,10.35000,5.62616,2628000
2003-03-31,10.00000,10.44000,9.98000,10.32000,5.60985,1127600
2003-04-01,10.42000,10.68000,10.33000,10.57000,5.74575,1558200
2003-04-02,10.75000,10.95000,10.56000,10.74000,5.83816,4117899
2003-04-03,10.84000,10.85000,10.41000,10.72000,5.82729,1517100
2003-04-04,10.62000,10.63000,10.15000,10.27000,5.58268,4553400
2003-04-07,10.30000,10.48000,10.20000,10.31000,5.60442,3600200
2003-04-08,10.35000,10.66000,10.25000,10.52000,5.71857,2169200
2003-04-09,10.62000,10.80000,10.50000,10.72000,5.82729,1889300
2003-04-10,10.72000,10.90000,10.56000,10.83000,5.88708,1988500
2003-04-11,10.85000,10.95000,10.82000,10.95000,5.95232,1500200
2003-04-14,10.90000,11.05000,10.66000,11.05000,6.00668,991300
2003-04-15,11.00000,11.45000,10.90000,11.45000,6.22412,2470200
2003-04-16,11.60000,12.35000,11.60000,11.90000,6.46873,8202400
2003-04-17,11.87000,12.25000,11.80000,12.25000,6.65899,2437600
2003-04-21,12.10000,12.30000,12.00000,12.26000,6.66442,1866600
2003-04-22,12.19000,12.45000,12.00000,12.35000,6.71335,1270200
2003-04-23,12.35000,12.35000,11.45000,11.75000,6.38719,2737800
2003-04-24,11.65000,11.73000,11.46000,11.50000,6.25129,1244800
2003-04-25,11.50000,11.50000,11.10000,11.36000,6.17519,1543400
2003-04-28,11.33000,11.70000,11.30000,11.48000,6.24042,1635800
2003-04-29,11.60000,12.12000,11.60000,12.04000,6.54483,1513300
2003-04-30,11.91000,12.09000,11.58000,12.09000,6.57201,3005000
2003-05-01,12.03000,12.30000,11.95000,12.25000,6.65899,1312200
2003-05-02,12.18000,12.32000,11.85000,12.29000,6.68073,1900900
2003-05-05,12.23000,12.58000,12.20000,12.54000,6.81663,2176000
2003-05-06,12.25000,12.54000,12.25000,12.50000,6.79488,758600
2003-05-07,12.42000,12.80000,12.40000,12.70000,6.92021,990300
2003-05-08,12.60000,12.75000,12.50000,12.72000,6.93111,815300
2003-05-09,12.75000,12.77000,12.45000,12.59000,6.86027,1157400
2003-05-12,12.50000,13.45000,12.25000,13.36000,7.27984,3123000
2003-05-13,13.30000,14.22000,13.25000,13.93000,7.59043,4718700
2003-05-14,13.97000,14.00000,13.36000,13.65000,7.43786,1354100
2003-05-15,13.65000,13.75000,13.16000,13.40000,7.30164,797300
2003-05-16,13.33000,13.55000,12.83000,13.55000,7.38337,1493800
2003-05-19,13.45000,13.58000,13.30000,13.35000,7.27439,1102300
2003-05-20,13.30000,13.35000,12.88000,13.10000,7.13817,2152900
2003-05-21,13.00000,13.57000,13.00000,13.28000,7.23625,930600
2003-05-22,13.18000,13.49000,13.15000,13.43000,7.31799,1116600
2003-05-23,13.43000,13.64000,13.30000,13.32000,7.25804,1287900
2003-05-27,13.42000,14.04000,13.33000,13.95000,7.60133,2212300
2003-05-28,13.85000,15.01000,13.78000,14.84000,8.08629,3516100
2003-05-29,15.30000,15.90000,15.11000,15.15000,8.25521,5121900
2003-05-30,14.70000,15.46000,14.60000,15.15000,8.25521,2465500
2003-06-02,15.50000,15.75000,15.48000,15.54000,8.46772,1695100
2003-06-03,15.00000,15.20000,14.60000,14.86000,8.09719,2191600
2003-06-04,14.96000,15.14000,14.59000,14.97000,8.15713,2222300
2003-06-05,14.97000,16.04000,14.76000,15.97000,8.70203,2316300
2003-06-06,15.97000,16.53000,15.30000,15.40000,8.39143,3287000
2003-06-09,14.50000,15.38000,14.50000,15.35000,8.36419,4232800
2003-06-10,15.38000,15.60000,14.85000,15.02000,8.18437,4167600
2003-06-11,14.92000,15.40000,14.86000,15.25000,8.30970,2929900
2003-06-12,15.18000,15.60000,15.00000,15.60000,8.50042,2549600
2003-06-13,15.64000,16.00000,15.40000,15.96000,8.69658,2168700
2003-06-16,16.00000,17.10000,15.78000,17.00000,9.26327,3809400
2003-06-17,17.35000,18.00000,17.25000,17.25000,9.39950,5949600
2003-06-18,17.25000,17.62000,17.10000,17.62000,9.60111,2986600
2003-06-19,17.55000,17.90000,17.23000,17.34000,9.44854,4029900
2003-06-20,17.39000,17.62000,17.16000,17.31000,9.43219,1869100
2003-06-23,17.15000,17.30000,16.62000,16.97000,9.24692,1968000
2003-06-24,16.93000,17.04000,16.59000,16.85000,9.18154,1435300
2003-06-25,16.75000,17.45000,16.75000,17.24000,9.39405,1392400
2003-06-26,17.15000,18.39000,17.14000,18.38000,10.01523,3683100
2003-06-27,18.39000,18.49000,18.02000,18.18000,9.90625,2616700
2003-06-30,17.75000,18.15000,17.60000,17.65000,9.61746,3029600
2003-07-01,17.65000,18.19000,17.45000,18.19000,9.91170,2752100
2003-07-02,18.19000,19.99000,18.19000,19.62000,10.69091,4669600
2003-07-03,19.40000,19.63000,19.00000,19.50000,10.62552,2010300
2003-07-07,19.90000,20.47000,19.76000,20.35000,11.08868,2287100
2003-07-08,20.34000,20.50000,20.02000,20.44000,11.13772,2139300
2003-07-09,20.38000,20.39000,19.95000,20.23000,11.02330,3511700
2003-07-10,20.05000,20.15000,19.62000,19.80000,10.78898,2334100
2003-07-11,19.82000,20.35000,19.82000,20.35000,11.08868,772300
2003-07-14,20.50000,21.20000,20.50000,21.00000,11.44286,2268000
2003-07-15,21.15000,21.50000,20.40000,20.65000,11.25215,3263400
2003-07-16,21.19000,22.26000,20.79000,21.56000,11.74801,6581500
2003-07-17,21.35000,21.45000,20.93000,21.02000,11.45376,3200900
2003-07-18,20.60000,20.70000,20.00000,20.03000,10.91432,5181800
2003-07-21,19.70000,19.80000,19.35000,19.75000,10.76174,3294100
2003-07-22,19.85000,20.00000,19.77000,19.92000,10.85438,3103400
2003-07-23,20.00000,20.00000,19.35000,19.50000,10.62552,5494300
2003-07-24,19.50000,19.55000,18.91000,18.93000,10.31492,8414400
2003-07-25,18.75000,19.07000,18.67000,18.89000,10.29313,20462400
2003-07-28,19.02000,20.48000,19.02000,20.48000,11.15952,6768500
2003-07-29,20.25000,20.68000,19.87000,20.50000,11.17041,3675800
2003-07-30,20.50000,20.86000,20.21000,20.86000,11.36658,2897800
2003-07-31,20.90000,21.93000,20.72000,21.80000,11.87879,4230900
2003-08-01,21.78000,21.79000,21.05000,21.18000,11.54095,2013700
2003-08-04,20.75000,21.21000,20.13000,21.05000,11.47011,3195700
2003-08-05,21.02000,21.50000,20.90000,21.00000,11.44286,2491200
2003-08-06,21.01000,21.83000,21.01000,21.64000,11.81411,3584700
2003-08-07,21.45000,21.63000,20.92000,21.47000,11.72130,2566500
2003-08-08,21.47000,21.86000,21.25000,21.80000,11.90145,2030700
2003-08-11,22.15000,22.70000,22.00000,22.17000,12.10345,3732800
2003-08-12,22.25000,22.40000,21.72000,22.30000,12.17442,1907800
2003-08-13,22.30000,22.55000,21.68000,21.70000,11.84686,2248700
2003-08-14,21.50000,21.50000,20.24000,20.70000,11.30092,9273500
2003-08-15,20.70000,20.74000,20.35000,20.70000,11.30092,1899500
2003-08-18,20.82000,21.50000,20.82000,21.45000,11.71037,3658900
2003-08-19,21.85000,22.10000,21.61000,21.99000,12.00518,2322500
2003-08-20,21.99000,22.15000,21.74000,21.78000,11.89053,1531100
2003-08-21,21.85000,22.35000,21.76000,22.07000,12.04886,1904300
2003-08-22,23.40000,23.52000,21.94000,21.94000,11.97789,3989500
2003-08-25,22.04000,22.20000,21.70000,21.80000,11.90145,1633700
2003-08-26,21.80000,22.08000,21.20000,22.01000,12.01610,1522900
2003-08-27,21.94000,23.85000,21.91000,23.72000,12.94966,3329700
2003-08-28,23.90000,24.71000,23.56000,23.76000,12.97149,2760100
2003-08-29,23.60000,23.60000,22.85000,23.01000,12.56204,2123300
2003-09-02,23.60000,24.79000,23.42000,24.55000,13.40278,3011400
2003-09-03,24.71000,25.00000,24.27000,24.40000,13.32090,2943500
2003-09-04,24.35000,24.95000,24.05000,24.60000,13.43008,1593800
2003-09-05,24.48000,24.80000,23.90000,23.96000,13.08068,2343300
2003-09-08,24.05000,25.25000,24.00000,25.25000,13.78494,3117300
2003-09-09,25.25000,25.25000,24.58000,25.16000,13.73581,2622500
2003-09-10,25.08000,25.08000,24.35000,24.78000,13.52835,3210800
2003-09-11,24.80000,24.99000,23.65000,23.73000,12.95511,3690900
2003-09-12,23.50000,23.64000,23.03000,23.45000,12.80226,1964800
