Date,Open,High,Low,Close,Adj Close,Volume
1992-03-17,1.57292,1.57292,1.54167,1.54167,1.43279,156000
1992-03-18,1.56250,1.60417,1.55208,1.60417,1.49088,617600
1992-03-19,1.62500,1.64583,1.60417,1.63542,1.51992,984000
1992-03-20,1.61458,1.65625,1.61458,1.65625,1.53928,260000
1992-03-23,1.66667,1.69792,1.66667,1.66667,1.54896,658400
1992-03-24,1.66667,1.73958,1.66667,1.70833,1.58769,230400
1992-03-25,1.69792,1.72917,1.69792,1.71875,1.59737,388800
1992-03-26,1.70833,1.71875,1.70833,1.70833,1.58769,116000
1992-03-27,1.70833,1.70833,1.69792,1.69792,1.57801,219200
1992-03-30,1.69792,1.70833,1.68750,1.68750,1.56833,128000
1992-03-31,1.68750,1.68750,1.67708,1.68750,1.56833,81600
1992-04-01,1.68750,1.69792,1.66667,1.68750,1.56833,864800
1992-04-02,1.69792,1.69792,1.67708,1.67708,1.55865,146400
1992-04-03,1.69792,1.69792,1.66667,1.66667,1.54896,135200
1992-04-06,1.68750,1.68750,1.63542,1.66667,1.54896,92000
1992-04-07,1.66667,1.68750,1.66667,1.66667,1.54896,197600
1992-04-08,1.64583,1.64583,1.59375,1.61458,1.50056,48800
1992-04-09,1.62500,1.70833,1.60417,1.67708,1.55865,142400
1992-04-10,1.69792,1.69792,1.68750,1.68750,1.56833,67200
1992-04-13,1.69792,1.85417,1.69792,1.85417,1.72322,316800
1992-04-14,1.83333,1.94792,1.81250,1.89583,1.76195,472800
1992-04-15,1.90625,1.90625,1.86458,1.87500,1.74259,226400
1992-04-16,1.85417,1.85417,1.79167,1.82292,1.69418,55200
1992-04-20,1.83333,1.83333,1.66667,1.72917,1.60705,132000
1992-04-21,1.71875,1.78125,1.71875,1.78125,1.65546,224000
1992-04-22,1.76042,1.80208,1.75000,1.79167,1.66514,70400
1992-04-23,1.79167,1.80208,1.77083,1.80208,1.67482,230400
1992-04-24,1.80208,1.84375,1.80208,1.84375,1.71354,72000
1992-04-27,1.82292,1.82292,1.82292,1.82292,1.69418,800
1992-04-28,1.82292,1.82292,1.81250,1.82292,1.69418,159200
1992-04-29,1.82292,1.83333,1.81250,1.83333,1.70386,142400
1992-04-30,1.83333,1.91667,1.83333,1.89583,1.76195,413600
1992-05-01,1.89583,1.94792,1.87500,1.94792,1.81035,484800
1992-05-04,1.93750,1.94792,1.91667,1.94792,1.81035,159200
1992-05-05,1.94792,1.94792,1.94792,1.94792,1.81035,0
1992-05-06,2.08333,2.08333,2.02083,2.02083,1.87812,187200
1992-05-07,2.02083,2.03125,2.02083,2.02083,1.87812,406400
1992-05-08,2.02083,2.02083,2.00000,2.02083,1.87812,24000
1992-05-11,2.00000,2.02083,2.00000,2.00000,1.85876,189600
1992-05-12,2.00000,2.01042,2.00000,2.01042,1.86844,260000
1992-05-13,2.02083,2.02083,1.97917,1.97917,1.83940,292800
1992-05-14,2.00000,2.04167,1.97917,2.02083,1.87812,821600
1992-05-15,2.04167,2.04167,1.97917,2.01042,1.86844,448800
1992-05-18,2.00000,2.01042,1.97917,2.01042,1.86844,34400
1992-05-19,2.01042,2.01042,1.97917,2.00000,1.85876,292800
1992-05-20,2.00000,2.01042,1.97917,2.01042,1.86844,720800
1992-05-21,1.98958,2.01042,1.97917,2.01042,1.86844,183200
1992-05-22,2.00000,2.01042,1.97917,2.01042,1.86844,1551200
1992-05-26,2.00000,2.00000,1.97917,1.98958,1.84908,473600
1992-05-27,1.97917,1.97917,1.97917,1.97917,1.83940,171200
1992-05-28,1.97917,1.97917,1.85417,1.89583,1.76195,513600
1992-05-29,1.89583,1.93750,1.89583,1.93750,1.80067,681600
1992-06-01,1.89583,1.93750,1.89583,1.93750,1.80067,280800
1992-06-02,1.93750,1.93750,1.89583,1.93750,1.80067,84800
1992-06-03,1.91667,1.97917,1.91667,1.97917,1.83940,977600
1992-06-04,1.97917,2.00000,1.95833,2.00000,1.85876,688800
1992-06-05,2.00000,2.00000,1.95833,2.00000,1.85876,852800
1992-06-08,2.00000,2.04167,1.98958,2.02083,1.87812,955200
1992-06-09,2.02083,2.02083,1.95833,1.97917,1.83940,783200
1992-06-10,2.00000,2.02083,1.97917,2.00000,1.85876,1491200
1992-06-11,2.02083,2.02083,2.00000,2.01042,1.86844,668000
1992-06-12,2.02083,2.02083,2.00000,2.00000,1.85876,439200
1992-06-15,2.02083,2.02083,1.97917,1.97917,1.83940,1444800
1992-06-16,2.00000,2.00000,1.97917,1.97917,1.83940,250400
1992-06-17,1.97917,1.97917,1.87500,1.93750,1.80067,761600
1992-06-18,1.87500,1.93750,1.81250,1.83333,1.70386,926400
1992-06-19,1.83333,1.87500,1.83333,1.85417,1.72322,36800
1992-06-22,1.85417,1.85417,1.79167,1.83333,1.70386,172800
1992-06-23,1.81250,1.81250,1.77083,1.81250,1.68450,106400
1992-06-24,1.75000,1.75000,1.75000,1.75000,1.62641,28800
