Date,Open,High,Low,Close,Adj Close,Volume
1973-05-08,0.15972,0.15972,0.15972,0.15972,0.06264,25600
1973-05-09,0.15972,0.15972,0.15972,0.15972,0.06264,25600
1973-05-10,0.16927,0.17969,0.16927,0.17969,0.07048,172800
1973-05-11,0.17969,0.17969,0.17969,0.17969,0.07048,326400
1973-05-14,0.17969,0.17969,0.17969,0.17969,0.07048,0
1973-05-15,0.17969,0.17969,0.17969,0.17969,0.07048,313600
1973-05-16,0.17969,0.17969,0.16927,0.16927,0.06639,57600
1973-05-17,0.16927,0.16927,0.16927,0.16927,0.06639,83200
1973-05-18,0.15972,0.15972,0.15972,0.15972,0.06264,198400
1973-05-21,0.15972,0.15972,0.14931,0.14931,0.05856,96000
1973-05-22,0.14931,0.14931,0.14931,0.14931,0.05856,0
1973-05-23,0.14931,0.14931,0.14931,0.14931,0.05856,0
1973-05-24,0.14931,0.14931,0.14931,0.14931,0.05856,0
1973-05-25,0.14931,0.14931,0.14931,0.14931,0.05856,0
1973-05-29,0.15972,0.15972,0.15972,0.15972,0.06264,25600
1973-05-30,0.14931,0.14931,0.14931,0.14931,0.05856,115200
1973-05-31,0.14931,0.14931,0.14931,0.14931,0.05856,25600
1973-06-01,0.14931,0.14931,0.13976,0.14931,0.05856,211200
1973-06-04,0.13976,0.13976,0.13976,0.13976,0.05482,326400
1973-06-05,0.12934,0.12934,0.11979,0.11979,0.04698,403200
1973-06-06,0.11979,0.12934,0.10938,0.12934,0.05073,659200
1973-06-07,0.12934,0.12934,0.12934,0.12934,0.05073,57600
1973-06-08,0.12934,0.13976,0.12934,0.12934,0.05073,38400
1973-06-11,0.12934,0.12934,0.12934,0.12934,0.05073,0
1973-06-12,0.13976,0.13976,0.13976,0.13976,0.05482,0
1973-06-13,0.13976,0.13976,0.13976,0.13976,0.05482,0
1973-06-14,0.13976,0.13976,0.12934,0.12934,0.05073,115200
1973-06-15,0.12934,0.12934,0.12934,0.12934,0.05073,172800
1973-06-18,0.11979,0.11979,0.11979,0.11979,0.04698,326400
1973-06-19,0.11979,0.11979,0.11979,0.11979,0.04698,0
1973-06-20,0.11979,0.11979,0.11979,0.11979,0.04698,172800
1973-06-21,0.11979,0.11979,0.11979,0.11979,0.04698,0
1973-06-22,0.11979,0.11979,0.11979,0.11979,0.04698,0
1973-06-25,0.11979,0.11979,0.11979,0.11979,0.04698,0
1973-06-26,0.11979,0.11979,0.11979,0.11979,0.04698,0
1973-06-27,0.11979,0.11979,0.11979,0.11979,0.04698,0
1973-06-28,0.11979,0.11979,0.11979,0.11979,0.04698,0
1973-06-29,0.12934,0.12934,0.12934,0.12934,0.05073,0
1973-07-02,0.12934,0.12934,0.12934,0.12934,0.05073,288000
1973-07-03,0.12934,0.12934,0.12934,0.12934,0.05073,428800
1973-07-05,0.12934,0.12934,0.12934,0.12934,0.05073,0
1973-07-06,0.12934,0.12934,0.12934,0.12934,0.05073,0
1973-07-09,0.12934,0.12934,0.12934,0.12934,0.05073,0
1973-07-10,0.12934,0.12934,0.12934,0.12934,0.05073,0
1973-07-11,0.12934,0.12934,0.12934,0.12934,0.05073,0
1973-07-12,0.12934,0.12934,0.12934,0.12934,0.05073,115200
1973-07-13,0.12934,0.12934,0.12934,0.12934,0.05073,0
1973-07-16,0.12934,0.12934,0.12934,0.12934,0.05073,0
