Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00000,30.40000,28.26667,28.26667,19.78317,18500
1980-03-18,0.00000,29.20000,27.86667,28.53333,19.96980,20700
1980-03-19,0.00000,29.46667,28.80000,29.33333,20.52970,19200
1980-03-20,0.00000,30.40000,29.20000,29.73333,20.80965,20700
1980-03-21,0.00000,29.73333,29.06667,29.20000,20.43638,9000
1980-03-24,0.00000,30.00000,27.33333,27.33333,19.12995,30200
1980-03-25,0.00000,30.26667,27.33333,30.26667,21.18292,98600
1980-03-26,0.00000,31.20000,29.33333,29.33333,20.52970,80700
1980-03-27,0.00000,28.80000,26.80000,27.73333,19.40990,81400
1980-03-28,0.00000,29.60000,28.26667,29.60000,20.71633,32100
1980-03-31,0.00000,30.13333,29.46667,29.86667,20.90297,33500
1980-04-01,0.00000,32.93333,30.00000,32.13334,22.48936,54400
1980-04-02,0.00000,32.80000,31.06667,31.73333,22.20940,41200
1980-04-03,0.00000,31.86667,30.93333,31.33333,21.92946,18100
1980-04-07,0.00000,31.46667,30.00000,30.40000,21.27623,32400
1980-04-08,0.00000,31.46667,29.86667,30.93333,21.64950,33200
1980-04-09,0.00000,32.26667,30.66667,32.13334,22.48936,37300
1980-04-10,0.00000,32.40000,31.46667,32.00000,22.39604,47200
1980-04-11,0.00000,32.53333,31.86667,32.00000,22.39604,37100
1980-04-14,0.00000,32.00000,31.06667,31.33333,21.92946,27900
1980-04-15,0.00000,31.86667,31.20000,31.20000,21.83614,22500
1980-04-16,0.00000,32.00000,31.33333,31.46667,22.02277,106800
1980-04-17,0.00000,31.06667,30.13333,30.66667,21.46287,18500
1980-04-18,0.00000,31.33333,30.26667,30.40000,21.27623,12000
1980-04-21,0.00000,30.80000,30.40000,30.40000,21.27623,13100
1980-04-22,0.00000,33.73333,30.93333,32.93333,23.04926,117500
1980-04-23,0.00000,33.60000,32.53333,33.06667,23.14257,41100
1980-04-24,0.00000,33.86666,32.66667,33.73333,23.60916,41400
1980-04-25,0.00000,33.60000,32.80000,32.80000,22.95594,22200
1980-04-28,0.00000,35.06667,33.20000,34.13334,23.88911,55900
1980-04-29,0.00000,35.46667,34.13334,35.20000,24.63564,55500
1980-04-30,0.00000,35.33333,33.86666,34.53333,24.16905,42100
1980-05-01,0.00000,34.13334,32.80000,32.80000,22.95594,46500
1980-05-02,0.00000,33.86666,32.66667,33.33333,23.32920,20300
1980-05-05,0.00000,34.13334,33.20000,33.73333,23.60916,28500
1980-05-06,0.00000,33.73333,33.06667,33.06667,23.14257,12000
1980-05-07,0.00000,33.33333,32.66667,32.93333,23.04926,30800
1980-05-08,0.00000,33.06667,32.40000,32.53333,22.76931,12200
1980-05-09,0.00000,32.93333,32.13334,32.40000,22.67599,18600
1980-05-12,0.00000,32.66667,32.00000,32.66667,22.86262,13300
1980-05-13,0.00000,32.93333,32.66667,32.93333,23.04926,24500
1980-05-14,0.00000,33.86666,33.06667,33.73333,23.60916,21900
1980-05-15,0.00000,33.86666,33.33333,33.60000,23.51584,40500
1980-05-16,0.00000,34.00000,33.20000,34.00000,23.79579,11300
1980-05-19,0.00000,35.20000,34.00000,35.06667,24.54233,41800
1980-05-20,0.00000,35.33333,34.26667,34.53333,24.16905,12700
1980-05-21,0.00000,34.93333,34.26667,34.80000,24.35570,16100
1980-05-22,0.00000,35.33333,34.40000,35.06667,24.54233,27100
1980-05-23,0.00000,36.00000,34.13334,36.00000,25.19554,62400
1980-05-27,0.00000,36.93333,35.46667,36.66667,25.66212,37500
1980-05-28,0.00000,36.53333,35.20000,36.00000,25.19554,21700
1980-05-29,0.00000,36.26667,34.66667,35.33333,24.72895,37700
1980-05-30,0.00000,35.60000,34.80000,35.33333,24.72895,14000
1980-06-02,0.00000,35.73333,34.93333,34.93333,24.44901,20400
1980-06-03,0.00000,35.46667,34.26667,34.80000,24.35570,8300
1980-06-04,0.00000,35.73333,34.66667,35.06667,24.54233,8400
1980-06-05,0.00000,36.40000,34.93333,36.26667,25.38217,28900
1980-06-06,0.00000,37.06667,35.73333,36.40000,25.47550,19900
1980-06-09,0.00000,37.20000,36.40000,37.20000,26.03540,28600
1980-06-10,0.00000,37.33333,36.13334,36.40000,25.47550,41100
1980-06-11,0.00000,36.66667,35.86666,36.40000,25.47550,12200
1980-06-12,0.00000,36.53333,35.73333,36.00000,25.19554,35700
1980-06-13,0.00000,37.33333,35.73333,37.06667,25.94208,24900
1980-06-16,0.00000,37.20000,36.26667,36.80000,25.75544,14400
1980-06-17,0.00000,37.33333,36.00000,37.06667,25.94208,26100
1980-06-18,0.00000,37.06667,36.26667,36.40000,25.47550,14100
1980-06-19,0.00000,36.66667,35.20000,35.20000,24.63564,17700
1980-06-20,0.00000,35.06667,33.33333,34.66667,24.26237,41600
1980-06-23,0.00000,35.73333,34.40000,35.20000,24.63564,15700
1980-06-24,0.00000,36.66667,35.46667,36.40000,25.47550,26400
1980-06-25,0.00000,37.33333,36.40000,37.33333,26.12871,53400
1980-06-26,0.00000,37.86666,37.06667,37.33333,26.12871,41100
1980-06-27,0.00000,36.93333,35.73333,36.00000,25.19554,21100
1980-06-30,0.00000,36.13334,34.40000,34.66667,24.26237,19600
1980-07-01,0.00000,36.00000,34.93333,35.33333,24.72895,13200
1980-07-02,0.00000,36.93333,35.33333,36.66667,25.66212,32700
1980-07-03,0.00000,37.33333,36.80000,37.33333,26.12871,31700
1980-07-07,0.00000,38.26667,37.33333,38.00000,26.59530,39700
1980-07-08,0.00000,38.26667,37.20000,38.00000,26.59530,19700
1980-07-09,0.00000,38.40000,37.33333,38.13334,26.68861,39100
1980-07-10,0.00000,40.13334,39.33333,39.86666,27.90173,49500
1980-07-11,0.00000,41.86666,39.86666,41.86666,29.30148,55300
1980-07-14,0.00000,46.40000,44.26667,45.73333,32.00768,173800
1980-07-15,0.00000,46.80000,44.40000,44.40000,31.07449,111800
1980-07-16,0.00000,44.93333,43.46667,44.66667,31.26115,47800
1980-07-17,0.00000,45.06667,44.53333,45.06667,31.54108,13200
1980-07-18,0.00000,46.00000,43.73333,44.00000,30.79455,55600
1980-07-21,0.00000,44.26667,42.26667,43.60000,30.51460,47700
1980-07-22,0.00000,45.20000,43.33333,43.60000,30.51460,33900
1980-07-23,0.00000,45.20000,43.46667,44.66667,31.26115,31700
1980-07-24,0.00000,45.60000,42.66667,43.20000,30.23465,39600
1980-07-25,0.00000,44.00000,42.80000,43.06667,30.14132,19200
1980-07-28,0.00000,43.60000,42.93333,43.46667,30.42129,17600
1980-07-29,0.00000,43.46667,42.13334,42.80000,29.95470,40800
1980-07-30,0.00000,45.33333,42.93333,45.33333,31.72773,46100
1980-07-31,0.00000,45.46667,43.86666,45.33333,31.72773,47200
1980-08-01,0.00000,45.20000,44.26667,44.80000,31.35445,53800
1980-08-04,0.00000,45.20000,44.00000,45.06667,31.54108,36900
1980-08-05,0.00000,46.26667,44.80000,46.00000,32.19430,73600
1980-08-06,0.00000,48.13334,45.86666,48.00000,33.59406,59700
1980-08-07,0.00000,49.60000,48.00000,48.80000,34.15395,44700
1980-08-08,0.00000,48.80000,47.33333,47.46667,33.22079,38000
1980-08-11,0.00000,48.80000,47.46667,48.53333,33.96732,14000
1980-08-12,0.00000,48.40000,45.86666,46.40000,32.47426,35400
1980-08-13,0.00000,47.20000,46.53333,46.80000,32.75420,22600
1980-08-14,0.00000,46.93333,45.60000,46.66667,32.66088,16300
1980-08-15,0.00000,47.20000,46.53333,46.53333,32.56758,10200
1980-08-18,0.00000,46.13334,44.80000,45.33333,31.72773,26200
1980-08-19,0.00000,45.20000,44.26667,44.53333,31.16782,32299
1980-08-20,0.00000,45.33333,44.40000,45.06667,31.54108,22200
1980-08-21,0.00000,45.46667,44.66667,45.33333,31.72773,40500
1980-08-22,0.00000,47.20000,45.46667,47.20000,33.03416,25600
1980-08-25,0.00000,47.73333,46.40000,47.73333,33.40743,18000
1980-08-26,0.00000,49.46667,47.46667,48.13334,33.68737,29700
1980-08-27,0.00000,48.13334,46.93333,46.93333,32.84752,17600
1980-08-28,0.00000,48.53333,46.66667,46.93333,32.84752,15500
1980-08-29,0.00000,46.80000,46.00000,46.26667,32.38096,15000
1980-09-02,0.00000,46.00000,44.00000,45.06667,31.54108,51700
1980-09-03,0.00000,46.53333,45.33333,46.26667,32.38096,35700
1980-09-04,0.00000,48.00000,45.86666,46.93333,32.84752,31200
1980-09-05,0.00000,47.73333,46.66667,46.93333,32.84752,18300
1980-09-08,0.00000,46.93333,45.73333,45.73333,32.00768,25300
1980-09-09,0.00000,46.13334,44.80000,46.13334,32.28762,18500
1980-09-10,0.00000,49.06667,46.40000,48.80000,34.15395,33700
1980-09-11,0.00000,50.53333,49.60000,50.00000,34.99382,29300
1980-09-12,0.00000,52.80000,50.66667,52.00000,36.39356,25500
1980-09-15,0.00000,51.46667,50.53333,51.33333,35.92698,21000
1980-09-16,0.00000,52.80000,52.00000,52.26667,36.58020,23600
1980-09-17,0.00000,55.06667,52.53333,54.93333,38.44653,33200
1980-09-18,0.00000,55.73333,53.33333,53.60000,37.51336,36000
1980-09-19,0.00000,54.00000,53.06667,53.33333,37.32674,22200
1980-09-22,0.00000,53.86666,51.73333,53.33333,37.32674,39700
1980-09-23,0.00000,52.00000,49.86666,50.40000,35.27377,110600
1980-09-24,0.00000,50.93333,49.33333,50.53333,35.36707,42900
1980-09-25,0.00000,52.26667,50.93333,51.73333,36.20692,32700
1980-09-26,0.00000,51.46667,50.40000,50.66667,35.46040,59300
1980-09-29,0.00000,50.13334,48.00000,48.80000,34.15395,57000
1980-09-30,0.00000,50.93333,49.06667,50.93333,35.64703,54700
1980-10-01,0.00000,53.60000,50.93333,52.53333,36.76683,39300
1980-10-02,0.00000,54.93333,52.66667,54.80000,38.35322,37500
1980-10-03,0.00000,56.13334,54.40000,54.93333,38.44653,41000
1980-10-06,0.00000,56.00000,54.80000,55.73333,39.00643,41100
1980-10-07,0.00000,56.80000,55.46667,55.46667,38.81980,33600
1980-10-08,0.00000,57.46667,55.46667,56.80000,39.75296,19500
1980-10-09,0.00000,58.13334,55.46667,56.00000,39.19307,49200
1980-10-10,0.00000,56.80000,55.46667,55.46667,38.81980,26600
1980-10-13,0.00000,55.73333,54.80000,55.20000,38.63315,11800
1980-10-14,0.00000,55.73333,54.26667,54.26667,37.97995,18000
1980-10-15,0.00000,55.20000,54.53333,54.53333,38.16656,13300
1980-10-16,0.00000,55.33333,54.40000,54.53333,38.16656,14700
1980-10-17,0.00000,54.40000,53.86666,53.86666,37.69999,13900
1980-10-20,0.00000,54.40000,52.26667,52.53333,36.76683,12000
1980-10-21,0.00000,53.86666,52.53333,53.06667,37.14010,25600
1980-10-22,0.00000,54.13334,52.80000,54.13334,37.88663,30700
1980-10-23,0.00000,55.73333,54.13334,54.93333,38.44653,27900
1980-10-24,0.00000,55.33333,54.66667,54.93333,38.44653,15100
1980-10-27,0.00000,54.93333,53.60000,53.73333,37.60667,18500
1980-10-28,0.00000,53.60000,52.53333,53.33333,37.32674,14700
1980-10-29,0.00000,54.93333,53.33333,54.93333,38.44653,39900
1980-10-30,0.00000,55.73333,54.93333,55.20000,38.63315,34600
1980-10-31,0.00000,56.40000,55.06667,56.40000,39.47302,56800
1980-11-03,0.00000,56.40000,55.20000,55.20000,38.63315,26600
1980-11-05,0.00000,39.20000,37.33333,37.33333,26.12871,47600
1980-11-06,0.00000,36.80000,35.46667,35.86666,25.10222,59700
1980-11-07,0.00000,36.26667,35.60000,36.13334,25.28887,13200
1980-11-10,0.00000,36.26667,35.33333,35.73333,25.00891,16200
1980-11-11,0.00000,36.26667,35.46667,36.26667,25.38217,27900
1980-11-12,0.00000,37.06667,36.26667,36.80000,25.75544,16300
1980-11-13,0.00000,38.00000,36.26667,38.00000,26.59530,65800
1980-11-14,0.00000,39.86666,38.00000,39.33333,27.52847,55500
