Date,Open,High,Low,Close,Adj Close,Volume
1987-06-26,0.00000,0.75000,0.71875,0.74219,0.00003,46172800
1987-06-29,0.00000,0.74609,0.73828,0.74219,0.00003,6297600
1987-06-30,0.00000,0.79297,0.75391,0.77344,0.00003,15328000
1987-07-01,0.00000,0.78516,0.76562,0.78125,0.00003,5788800
1987-07-02,0.00000,0.78906,0.78125,0.78516,0.00003,2870400
1987-07-06,0.00000,0.83594,0.78906,0.82031,0.00003,9600000
1987-07-07,0.00000,0.83594,0.80078,0.80078,0.00003,7187200
1987-07-08,0.00000,0.80859,0.78906,0.79688,0.00003,1392000
1987-07-09,0.00000,0.85938,0.79688,0.83594,0.00003,7923200
1987-07-10,0.00000,0.87500,0.82812,0.84766,0.00003,4115200
1987-07-13,0.00000,0.84766,0.83984,0.83984,0.00003,796800
1987-07-14,0.00000,0.84375,0.81641,0.82422,0.00003,2032000
1987-07-15,0.00000,0.82422,0.79688,0.79688,0.00003,2009600
1987-07-16,0.00000,0.80469,0.78906,0.80078,0.00003,1497600
1987-07-17,0.00000,0.80078,0.77734,0.78906,0.00003,1084800
1987-07-20,0.00000,0.80078,0.75000,0.76562,0.00003,1344000
1987-07-21,0.00000,0.77344,0.75391,0.76562,0.00003,5465600
1987-07-22,0.00000,0.77344,0.76172,0.76953,0.00003,2220800
1987-07-23,0.00000,0.77344,0.75781,0.75781,0.00003,1318400
1987-07-24,0.00000,0.76953,0.75391,0.76562,0.00003,2217600
1987-07-27,0.00000,0.78906,0.76172,0.78906,0.00003,771200
1987-07-28,0.00000,0.80078,0.77344,0.77344,0.00003,1510400
1987-07-29,0.00000,0.78125,0.74609,0.75781,0.00003,2720000
1987-07-30,0.00000,0.78125,0.75781,0.78125,0.00003,4124800
1987-07-31,0.00000,0.78906,0.76562,0.76562,0.00003,1155200
1987-08-03,0.00000,0.77344,0.75781,0.76953,0.00003,2064000
1987-08-04,0.00000,0.76953,0.76172,0.76953,0.00003,793600
1987-08-05,0.00000,0.79297,0.76953,0.79297,0.00003,1100800
1987-08-06,0.00000,0.80469,0.77734,0.80469,0.00003,2630400
1987-08-07,0.00000,0.81250,0.79688,0.81250,0.00003,1011200
1987-08-10,0.00000,0.81250,0.78906,0.80859,0.00003,5081600
1987-08-11,0.00000,0.81250,0.78125,0.80469,0.00004,835200
1987-08-12,0.00000,0.80859,0.78516,0.79297,0.00004,854400
1987-08-13,0.00000,0.80078,0.78125,0.78516,0.00003,742400
1987-08-14,0.00000,0.78125,0.76562,0.77734,0.00003,1420800
1987-08-17,0.00000,0.78516,0.73438,0.74609,0.00003,3948800
1987-08-18,0.00000,0.75000,0.69531,0.74219,0.00003,3164800
1987-08-19,0.00000,0.76562,0.74219,0.75391,0.00003,2752000
1987-08-20,0.00000,0.76172,0.75000,0.76172,0.00003,2534400
1987-08-21,0.00000,0.77344,0.75781,0.77344,0.00003,342400
1987-08-24,0.00000,0.77344,0.76562,0.76953,0.00003,291200
1987-08-25,0.00000,0.78125,0.76953,0.77344,0.00003,608000
1987-08-26,0.00000,0.80469,0.78125,0.78125,0.00003,2844800
1987-08-27,0.00000,0.79297,0.77734,0.78125,0.00003,1852800
1987-08-28,0.00000,0.78125,0.76562,0.76562,0.00003,2803200
1987-08-31,0.00000,0.77734,0.76562,0.77734,0.00003,992000
1987-09-01,0.00000,0.77734,0.76562,0.77344,0.00003,2016000
1987-09-02,0.00000,0.78125,0.76562,0.77344,0.00003,2310400
1987-09-03,0.00000,0.79688,0.77344,0.79688,0.00004,1619200
1987-09-04,0.00000,0.80078,0.78906,0.78906,0.00003,1600000
1987-09-08,0.00000,0.79297,0.76562,0.77734,0.00003,1254400
1987-09-09,0.00000,0.78516,0.76953,0.78125,0.00003,192000
1987-09-10,0.00000,0.78906,0.76562,0.76562,0.00003,518400
1987-09-11,0.00000,0.77344,0.76172,0.77344,0.00003,537600
1987-09-14,0.00000,0.77734,0.76562,0.76562,0.00003,358400
1987-09-15,0.00000,0.76562,0.75391,0.75391,0.00003,396800
1987-09-16,0.00000,0.75391,0.75000,0.75000,0.00003,1859200
1987-09-17,0.00000,0.74609,0.72656,0.72656,0.00003,2012800
1987-09-18,0.00000,0.72656,0.71094,0.71094,0.00003,4364800
1987-09-21,0.00000,0.71484,0.61719,0.62500,0.00003,9635200
1987-09-22,0.00000,0.65625,0.61328,0.65625,0.00003,14480000
1987-09-23,0.00000,0.71094,0.66406,0.70312,0.00003,4144000
1987-09-24,0.00000,0.71484,0.70312,0.71094,0.00003,288000
1987-09-25,0.00000,0.71094,0.68750,0.68750,0.00003,3948800
1987-09-28,0.00000,0.68750,0.67188,0.67578,0.00003,1337600
1987-09-29,0.00000,0.69141,0.67578,0.67578,0.00003,1193600
1987-09-30,0.00000,0.68359,0.67578,0.67969,0.00003,368000
1987-10-01,0.00000,0.67578,0.67188,0.67578,0.00003,2012800
1987-10-02,0.00000,0.67969,0.67188,0.67188,0.00003,2643200
1987-10-05,0.00000,0.72266,0.66797,0.69141,0.00003,3097600
1987-10-06,0.00000,0.69531,0.67969,0.67969,0.00003,1004800
1987-10-07,0.00000,0.67578,0.64062,0.65234,0.00003,400000
1987-10-08,0.00000,0.64062,0.60938,0.61328,0.00003,4620800
1987-10-09,0.00000,0.61328,0.60156,0.60547,0.00003,1401600
1987-10-12,0.00000,0.59375,0.55469,0.55469,0.00002,1193600
1987-10-13,0.00000,0.57812,0.55859,0.56250,0.00002,3104000
1987-10-14,0.00000,0.56250,0.55469,0.56250,0.00002,2124800
1987-10-15,0.00000,0.55469,0.53516,0.55469,0.00002,1875200
1987-10-16,0.00000,0.55469,0.53516,0.53516,0.00002,1424000
1987-10-19,0.00000,0.50000,0.43359,0.43359,0.00002,1158400
1987-10-20,0.00000,0.43750,0.39062,0.39844,0.00002,768000
1987-10-21,0.00000,0.49219,0.40625,0.49219,0.00002,3392000
1987-10-22,0.00000,0.46875,0.43750,0.46875,0.00002,2921600
1987-10-23,0.00000,0.48047,0.47070,0.47070,0.00002,3584000
1987-10-26,0.00000,0.46484,0.35938,0.35938,0.00002,979200
1987-10-27,0.00000,0.40625,0.37500,0.38281,0.00002,2265600
1987-10-28,0.00000,0.37109,0.35156,0.35938,0.00002,1865600
1987-10-29,0.00000,0.39062,0.35938,0.37500,0.00002,851200
1987-10-30,0.00000,0.45312,0.39062,0.45312,0.00002,4022400
1987-11-02,0.00000,0.44531,0.43750,0.44531,0.00002,1488000
1987-11-03,0.00000,0.43750,0.41406,0.41797,0.00002,828800
1987-11-04,0.00000,0.41797,0.40625,0.41406,0.00002,1094400
1987-11-05,0.00000,0.41406,0.39844,0.40625,0.00002,1859200
1987-11-06,0.00000,0.42578,0.40625,0.42188,0.00002,1664000
1987-11-09,0.00000,0.41406,0.39844,0.40625,0.00002,1334400
1987-11-10,0.00000,0.40234,0.39453,0.39453,0.00002,371200
1987-11-11,0.00000,0.39844,0.39062,0.39062,0.00002,1244800
1987-11-12,0.00000,0.40625,0.38281,0.39062,0.00002,3590400
1987-11-13,0.00000,0.40234,0.39062,0.39062,0.00002,470400
1987-11-16,0.00000,0.39062,0.38281,0.39062,0.00002,281600
1987-11-17,0.00000,0.40625,0.38281,0.39453,0.00002,1395200
1987-11-18,0.00000,0.40234,0.37500,0.38281,0.00002,1955200
1987-11-19,0.00000,0.41406,0.38281,0.41406,0.00002,9827200
1987-11-20,0.00000,0.41016,0.39844,0.39844,0.00002,1110400
1987-11-23,0.00000,0.42969,0.39844,0.42188,0.00002,1574400
1987-11-24,0.00000,0.46484,0.42188,0.45703,0.00003,2393600
1987-11-25,0.00000,0.46875,0.45703,0.46484,0.00003,681600
1987-11-27,0.00000,0.49219,0.46094,0.47656,0.00003,646400
1987-11-30,0.00000,0.44531,0.41797,0.42578,0.00002,1302400
1987-12-01,0.00000,0.44531,0.42188,0.43750,0.00002,1270400
1987-12-02,0.00000,0.45312,0.42969,0.45312,0.00003,668800
1987-12-03,0.00000,0.45312,0.43750,0.43750,0.00002,473600
1987-12-04,0.00000,0.43359,0.41406,0.41406,0.00002,1769600
1987-12-07,0.00000,0.42188,0.41406,0.41406,0.00002,643200
1987-12-08,0.00000,0.43750,0.41797,0.43359,0.00002,1808000
1987-12-09,0.00000,0.44141,0.42969,0.42969,0.00002,2080000
1987-12-10,0.00000,0.43750,0.41797,0.43359,0.00002,1187200
1987-12-11,0.00000,0.43750,0.42969,0.42969,0.00002,316800
1987-12-14,0.00000,0.44531,0.42188,0.44531,0.00003,918400
1987-12-15,0.00000,0.48438,0.45312,0.48438,0.00003,883200
1987-12-16,0.00000,0.48828,0.47266,0.48047,0.00003,534400
1987-12-17,0.00000,0.50000,0.48438,0.48438,0.00003,1100800
1987-12-18,0.00000,0.50000,0.47656,0.49219,0.00003,1052800
1987-12-21,0.00000,0.48828,0.48047,0.48828,0.00003,377600
1987-12-22,0.00000,0.49609,0.46875,0.47656,0.00003,668800
1987-12-23,0.00000,0.49219,0.48047,0.48828,0.00003,1052800
1987-12-24,0.00000,0.49219,0.48828,0.48828,0.00003,508800
1987-12-28,0.00000,0.48438,0.46094,0.46094,0.00003,601600
1987-12-29,0.00000,0.49219,0.44922,0.44922,0.00003,521600
1987-12-30,0.00000,0.47656,0.45312,0.47656,0.00003,2425600
1987-12-31,0.00000,0.49609,0.47266,0.49219,0.00003,1500800
1988-01-04,0.00000,0.50781,0.48438,0.50781,0.00003,1872000
1988-01-05,0.51562,0.52734,0.51562,0.52734,0.00003,1756800
1988-01-06,0.53516,0.56250,0.53516,0.56250,0.00003,1952000
1988-01-07,0.55859,0.55859,0.53906,0.54297,0.00003,2441600
1988-01-08,0.54688,0.55078,0.51562,0.51562,0.00003,1017600
1988-01-11,0.51562,0.51562,0.50000,0.50000,0.00003,742400
1988-01-12,0.50781,0.50781,0.48828,0.49219,0.00003,342400
1988-01-13,0.48438,0.49219,0.48438,0.49219,0.00003,179200
1988-01-14,0.48438,0.49219,0.48438,0.48438,0.00003,1344000
1988-01-15,0.49219,0.49219,0.47266,0.47266,0.00003,748800
1988-01-18,0.46875,0.46875,0.46875,0.46875,0.00003,752000
1988-01-19,0.46875,0.47656,0.46875,0.46875,0.00003,150400
1988-01-20,0.46875,0.47656,0.46875,0.47266,0.00003,108800
1988-01-21,0.47266,0.47266,0.46484,0.46484,0.00003,2524800
