Date,Open,High,Low,Close,Adj Close,Volume
2011-12-07,27.50000,27.76000,24.00000,27.45000,24.41061,1413700
2011-12-08,26.06000,27.78000,25.76000,26.55000,23.61027,719600
2011-12-09,27.93000,28.00000,26.70000,27.91000,24.81968,716200
2011-12-12,28.28000,28.28000,27.00000,27.45000,24.41061,393300
2011-12-13,28.53000,28.53000,27.01000,27.50000,24.45508,452500
2011-12-14,28.19000,28.19000,26.85000,27.12000,24.11715,444400
2011-12-15,27.87000,29.10000,27.60000,28.33000,25.19318,1417600
2011-12-16,29.92000,29.92000,28.00000,28.46000,25.30878,966700
2011-12-19,28.69000,29.46000,28.41000,28.97000,25.76231,1048500
2011-12-20,29.50000,30.62000,29.47000,30.25000,26.90058,2017200
2011-12-21,30.00000,30.00000,27.51000,27.67000,24.60626,2871800
2011-12-22,27.12000,27.60000,23.99000,24.53000,21.81393,6294100
2011-12-23,24.71000,27.14000,24.50000,26.02000,23.13895,2744200
2011-12-27,25.36000,26.10000,24.63000,25.94000,23.06781,2887400
2011-12-28,25.25000,25.98000,24.94000,25.77000,22.91663,2098600
2011-12-29,25.54000,25.66000,24.79000,24.82000,22.07182,2247300
2011-12-30,24.97000,25.55000,24.64000,25.21000,22.41864,1798400
2012-01-03,26.15000,27.35000,26.11000,26.63000,23.68141,3721800
2012-01-04,25.82000,26.09000,25.41000,25.68000,22.83660,1681000
2012-01-05,24.57000,25.82000,24.57000,25.52000,22.69431,1534700
2012-01-06,25.52000,26.02000,25.17000,25.57000,22.73878,1484800
2012-01-09,25.74000,26.77000,25.65000,26.26000,23.35238,1965300
2012-01-10,26.73000,28.24000,26.59000,27.75000,24.67740,4177500
2012-01-11,26.69000,28.22000,26.56000,27.79000,24.71297,1803300
2012-01-12,27.87000,29.17000,27.80000,28.46000,25.30878,2005600
2012-01-13,28.22000,29.77000,27.93000,29.51000,26.24252,1993400
2012-01-17,29.58000,29.80000,28.91000,28.99000,25.78010,3210100
2012-01-18,28.69000,29.43000,28.52000,29.03000,25.81567,1205200
2012-01-19,29.10000,30.89000,29.02000,30.33000,26.97173,2712900
2012-01-20,30.42000,30.49000,29.82000,30.40000,27.03398,1307600
2012-01-23,30.54000,30.79000,30.23000,30.38000,27.01619,2565400
2012-01-24,30.14000,30.75000,29.97000,30.69000,27.29187,1299100
2012-01-25,30.55000,32.33000,30.55000,31.49000,28.00329,2349300
2012-01-26,31.48000,31.94000,30.46000,31.05000,27.61200,1881500
2012-01-27,30.39000,31.46000,30.35000,31.24000,27.78097,1227500
2012-01-30,30.96000,31.84000,30.64000,31.64000,28.13668,904500
2012-01-31,30.84000,33.04000,30.84000,32.91000,29.26606,1261100
2012-02-01,33.11000,35.17000,33.08000,35.06000,31.17800,3610100
2012-02-02,35.28000,35.60000,33.83000,34.88000,31.01793,2447800
2012-02-03,35.07000,35.93000,35.07000,35.38000,31.46257,2993500
2012-02-06,35.35000,35.75000,35.06000,35.15000,31.25804,1968000
2012-02-07,35.28000,35.48000,34.82000,34.84000,30.98236,2235900
2012-02-08,34.78000,34.97000,33.02000,34.34000,30.53772,3220900
2012-02-09,28.28000,29.85000,27.99000,29.34000,26.09134,12923400
2012-02-10,29.02000,30.89000,28.65000,30.04000,26.71384,3623600
2012-02-13,30.07000,30.13000,28.50000,28.59000,25.42439,2396400
2012-02-14,28.70000,28.79000,26.93000,27.63000,24.57068,4072100
2012-02-15,27.80000,30.10000,27.52000,29.28000,26.03799,4922800
2012-02-16,29.27000,30.65000,28.73000,30.40000,27.03398,2583300
2012-02-17,30.50000,30.94000,29.95000,30.70000,27.30076,1939900
2012-02-21,30.61000,30.74000,30.12000,30.67000,27.27408,2462700
2012-02-22,30.95000,30.95000,29.85000,30.00000,26.67827,3275500
2012-02-23,30.06000,30.69000,29.56000,30.59000,27.20294,2041700
2012-02-24,30.19000,32.00000,30.19000,31.80000,28.27896,1904100
2012-02-27,31.38000,32.08000,31.14000,31.91000,28.37678,1438400
2012-02-28,32.09000,33.49000,32.00000,32.31000,28.73249,2442000
2012-02-29,32.32000,32.43000,31.67000,32.23000,28.66135,1356200
2012-03-01,31.89000,32.88000,31.09000,32.62000,29.00817,2641400
2012-03-02,32.37000,33.09000,32.04000,32.45000,28.85699,1640400
2012-03-05,32.29000,32.41000,31.81000,31.97000,28.43014,648900
2012-03-06,31.50000,31.80000,30.80000,31.42000,27.94104,1034800
2012-03-07,31.50000,31.66000,30.91000,31.07000,27.62979,1478100
2012-03-08,31.20000,31.79000,31.14000,31.26000,27.79875,1151700
2012-03-09,31.30000,31.35000,30.56000,30.70000,27.30076,705500
2012-03-12,30.73000,31.06000,30.50000,30.70000,27.30076,1490800
2012-03-13,30.92000,30.99000,30.25000,30.48000,27.10512,2280100
2012-03-14,30.40000,31.00000,30.23000,30.99000,27.55865,1230200
2012-03-15,31.14000,32.54000,30.93000,32.47000,28.87478,2319000
2012-03-16,32.51000,34.92000,31.99000,34.00000,30.23537,4298000
2012-03-19,33.80000,34.15000,33.80000,34.00000,30.23537,855800
2012-03-20,33.46000,34.29000,33.46000,34.09000,30.31540,1064500
2012-03-21,34.17000,34.40000,33.35000,33.77000,30.03084,1316200
2012-03-22,33.51000,33.76000,33.02000,33.25000,29.56841,1047200
2012-03-23,33.01000,33.36000,32.81000,33.27000,29.58620,531200
2012-03-26,33.31000,34.50000,32.86000,34.30000,30.50215,2182000
2012-03-27,34.30000,36.05000,33.90000,35.29000,31.38254,2897800
2012-03-28,35.15000,35.73000,34.08000,34.57000,30.74226,1842600
2012-03-29,34.25000,35.18000,33.92000,35.16000,31.26693,1575000
2012-03-30,35.28000,36.86000,35.27000,35.67000,31.72046,3047000
2012-04-02,35.62000,37.78000,35.04000,37.37000,33.23223,3569600
2012-04-03,37.42000,37.59000,36.54000,36.59000,32.53859,1833000
2012-04-04,36.41000,36.80000,35.80000,36.25000,32.23624,1635000
2012-04-05,36.04000,36.93000,35.85000,36.23000,32.21845,2259000
2012-04-09,35.56000,35.83000,35.16000,35.50000,31.56928,1097200
2012-04-10,35.45000,35.56000,34.47000,34.58000,30.75115,1154100
2012-04-11,35.01000,35.41000,34.74000,34.79000,30.93790,1014600
2012-04-12,34.84000,35.47000,34.75000,35.10000,31.21357,1290800
2012-04-13,35.06000,35.36000,34.39000,34.50000,30.68001,559500
2012-04-16,34.63000,34.84000,33.74000,33.83000,30.08419,918800
2012-04-17,34.16000,35.18000,33.98000,35.00000,31.12464,1941400
2012-04-18,34.78000,35.60000,34.75000,35.44000,31.51592,937400
2012-04-19,35.33000,36.43000,35.16000,35.22000,31.32029,1065200
2012-04-20,35.35000,35.66000,34.94000,35.02000,31.14243,1228300
2012-04-23,34.72000,34.75000,33.75000,33.94000,30.18201,3340600
2012-04-24,33.79000,34.20000,33.23000,33.38000,29.68402,927200
2012-04-25,33.73000,34.10000,33.53000,33.69000,29.95969,1181900
2012-04-26,33.74000,34.51000,33.27000,34.38000,30.57329,1977600
2012-04-27,36.24000,37.85000,35.88000,36.87000,32.78759,5913200
2012-04-30,36.46000,37.54000,36.40000,37.51000,33.35672,2465500
2012-05-01,36.38000,37.89000,36.07000,36.53000,32.48523,4908600
2012-05-02,43.25000,44.46000,42.08000,42.63000,37.90982,7645700
2012-05-03,42.63000,43.50000,40.24000,40.90000,36.37137,3519600
2012-05-04,39.99000,40.69000,39.75000,40.20000,35.74888,4765300
2012-05-07,39.80000,40.98000,39.80000,40.97000,36.43362,3029100
2012-05-08,40.69000,41.30000,39.40000,41.20000,36.63815,2288500
2012-05-09,40.54000,41.08000,40.10000,40.68000,36.17573,1071200
2012-05-10,41.19000,41.70000,40.45000,40.79000,36.27355,1546800
2012-05-11,40.57000,42.05000,40.50000,41.73000,37.10947,1494900
2012-05-14,41.40000,42.57000,41.01000,41.64000,37.02943,1306600
2012-05-15,41.81000,43.09000,41.47000,42.65000,37.92760,2558300
2012-05-16,42.93000,43.84000,42.72000,43.64000,38.80798,3112900
2012-05-17,43.69000,43.73000,40.73000,41.03000,36.48698,2521900
2012-05-18,41.57000,41.59000,39.81000,40.66000,36.15794,3278800
2012-05-21,40.87000,42.63000,40.33000,42.17000,37.50075,2208700
2012-05-22,42.33000,44.22000,41.99000,42.63000,37.90982,2271500
