Date,Open,High,Low,Close,Adj Close,Volume
1975-11-17,0.00000,8.71875,8.71875,8.71875,2.36322,53200
1975-11-18,0.00000,8.96875,8.96875,8.96875,2.43098,106800
1975-11-19,0.00000,8.56250,8.56250,8.56250,2.32087,170400
1975-11-20,0.00000,8.43750,8.43750,8.43750,2.28698,61200
1975-11-21,0.00000,8.43750,8.43750,8.43750,2.28698,64000
1975-11-24,0.00000,8.40625,8.40625,8.40625,2.27852,88400
1975-11-25,0.00000,8.37500,8.37500,8.37500,2.27004,75200
1975-11-26,0.00000,8.43750,8.43750,8.43750,2.28698,89200
1975-11-28,0.00000,8.50000,8.50000,8.50000,2.30392,95600
1975-12-01,0.00000,8.25000,8.25000,8.25000,2.23616,102400
1975-12-02,0.00000,7.87500,7.87500,7.87500,2.13452,78400
1975-12-03,0.00000,7.50000,7.50000,7.50000,2.03288,86400
1975-12-04,0.00000,7.50000,7.50000,7.50000,2.03288,48800
1975-12-05,0.00000,7.43750,7.43750,7.43750,2.01594,62800
1975-12-08,0.00000,7.43750,7.43750,7.43750,2.01594,87600
1975-12-09,0.00000,7.43750,7.43750,7.43750,2.01594,158800
1975-12-10,0.00000,7.46875,7.46875,7.46875,2.02441,99600
1975-12-11,0.00000,7.50000,7.50000,7.50000,2.03288,62400
1975-12-12,0.00000,7.87500,7.87500,7.87500,2.13452,116400
1975-12-15,0.00000,7.84375,7.84375,7.84375,2.12605,170800
1975-12-16,0.00000,7.96875,7.96875,7.96875,2.15993,110400
1975-12-17,0.00000,8.03125,8.03125,8.03125,2.17687,92800
1975-12-18,0.00000,8.06250,8.06250,8.06250,2.18534,81200
1975-12-19,0.00000,8.00000,8.00000,8.00000,2.16840,130800
1975-12-22,0.00000,8.00000,8.00000,8.00000,2.16840,67200
1975-12-23,0.00000,8.03125,8.03125,8.03125,2.17687,59600
1975-12-24,0.00000,7.81250,7.81250,7.81250,2.11758,135200
1975-12-26,0.00000,7.84375,7.84375,7.84375,2.12605,46800
1975-12-29,0.00000,7.75000,7.75000,7.75000,2.10064,52800
1975-12-30,0.00000,7.71875,7.71875,7.71875,2.09217,54000
1975-12-31,0.00000,7.71875,7.71875,7.71875,2.09217,34800
1976-01-02,0.00000,7.87500,7.87500,7.87500,2.13452,71600
1976-01-05,0.00000,7.96875,7.96875,7.96875,2.15993,104400
1976-01-06,0.00000,8.31250,8.31250,8.31250,2.25310,132800
1976-01-07,0.00000,8.12500,8.12500,8.12500,2.20228,120000
1976-01-08,0.00000,8.12500,8.12500,8.12500,2.20228,85200
1976-01-09,0.00000,8.12500,8.12500,8.12500,2.20228,59600
1976-01-12,0.00000,8.12500,8.12500,8.12500,2.20228,48800
1976-01-13,0.00000,8.03125,8.03125,8.03125,2.17687,112400
1976-01-14,0.00000,8.12500,8.12500,8.12500,2.20228,90000
1976-01-15,0.00000,8.00000,8.00000,8.00000,2.16840,174000
1976-01-16,0.00000,8.00000,8.00000,8.00000,2.16840,14400
1976-01-19,0.00000,8.03125,8.03125,8.03125,2.17687,56000
1976-01-20,0.00000,8.06250,8.06250,8.06250,2.18534,59200
1976-01-21,0.00000,8.00000,8.00000,8.00000,2.16840,62000
1976-01-22,0.00000,7.93750,7.93750,7.93750,2.15146,52800
1976-01-23,0.00000,7.87500,7.87500,7.87500,2.13452,42800
1976-01-26,0.00000,7.53125,7.53125,7.53125,2.04134,84400
1976-01-27,0.00000,7.50000,7.50000,7.50000,2.03288,272000
1976-01-28,0.00000,7.68750,7.68750,7.68750,2.08370,212000
1976-01-29,0.00000,8.31250,8.18750,8.18750,2.21922,158400
1976-01-30,0.00000,8.12500,8.00000,8.00000,2.16840,304400
1976-02-02,0.00000,8.25000,8.12500,8.12500,2.20228,73600
1976-02-03,0.00000,8.28125,8.15625,8.15625,2.21075,66800
1976-02-04,0.00000,8.37500,8.25000,8.25000,2.23616,184000
1976-02-05,0.00000,8.31250,8.18750,8.18750,2.21922,64800
1976-02-06,0.00000,8.15625,8.03125,8.03125,2.17687,72000
1976-02-09,0.00000,8.25000,8.12500,8.12500,2.20228,42800
1976-02-10,0.00000,8.15625,8.03125,8.03125,2.17687,91200
