Date,Open,High,Low,Close,Adj Close,Volume
2012-06-18,34.99290,35.65440,34.83470,35.61600,35.61600,11029627
2012-06-19,35.81730,35.95160,35.52490,35.78860,35.78860,8620891
2012-06-20,35.79820,36.04740,35.26130,35.59680,35.59680,6208459
2012-06-21,35.74070,35.86530,35.42430,35.73110,35.73110,9402484
2012-06-22,35.85570,36.01870,35.60640,35.94200,35.94200,7909233
2012-06-25,35.52970,35.66400,35.06000,35.10790,35.10790,7171250
2012-06-26,35.17500,35.72150,35.07430,35.61600,35.61600,5578199
2012-06-27,35.70230,36.51720,35.60640,36.43090,36.43090,7680473
2012-06-28,36.11450,36.40220,35.91320,36.30630,36.30630,10125703
2012-06-29,36.69940,36.91030,36.45490,36.91030,36.91030,7086079
2012-07-02,36.91990,37.15950,36.76650,37.15000,37.15000,4785612
2012-07-03,37.04450,37.34170,36.90070,37.23620,37.23620,2445228
2012-07-05,37.03490,37.16910,36.69460,36.70890,36.70890,5908314
2012-07-06,36.42130,37.04930,36.42130,36.99660,36.99660,6085784
2012-07-09,36.84320,36.88150,36.42130,36.53640,36.53640,5178975
2012-07-10,36.56510,36.76650,35.95160,36.17210,36.17210,6629566
2012-07-11,36.20080,36.65140,36.11450,36.52680,36.52680,7760078
2012-07-12,36.19120,36.46930,35.88450,36.15290,36.15290,4792466
2012-07-13,36.25840,36.67060,36.25840,36.61310,36.61310,4811126
2012-07-16,36.55560,36.64180,36.34460,36.54600,36.54600,4015220
2012-07-17,36.57470,37.27940,36.57470,37.13080,37.13080,6418045
2012-07-18,36.94860,37.37050,36.74730,37.31290,37.31290,7019914
2012-07-19,37.29380,37.85940,37.26500,37.52380,37.52380,8791638
2012-07-20,37.38960,37.76350,37.01570,37.25540,37.25540,8397959
2012-07-23,36.77610,36.81440,35.55850,35.94200,35.94200,13752473
2012-07-24,35.74070,36.41170,35.42430,36.31590,36.31590,11499844
2012-07-25,36.39260,37.27940,36.26790,36.95820,36.95820,9843775
2012-07-26,37.45670,37.58140,36.74730,36.76650,36.76650,8930646
2012-07-27,37.04450,37.61970,36.93420,37.37050,37.37050,5899077
2012-07-30,37.32250,37.50470,36.89110,36.98700,36.98700,7477968
2012-07-31,37.04450,37.77310,36.89110,37.50470,37.50470,10473117
2012-08-01,37.38000,38.28120,36.39260,37.96490,37.96490,15180094
2012-08-02,37.32250,39.26870,37.24580,38.99070,38.99070,19167788
2012-08-03,38.98110,39.68090,38.81810,39.67140,39.67140,14352048
2012-08-06,39.24950,40.10280,39.14410,39.89190,39.89190,10645356
2012-08-07,40.16030,40.23700,39.90140,40.20820,40.20820,10908222
2012-08-08,39.97810,40.56300,39.80560,40.56300,40.56300,8449457
2012-08-09,40.41910,40.80260,40.39040,40.79300,40.79300,7883910
2012-08-10,40.54380,41.13820,40.49580,41.12860,41.12860,8106638
2012-08-13,40.75470,40.98480,40.60130,40.90810,40.90810,6948593
2012-08-14,40.95600,40.95600,40.51500,40.65880,40.65880,13402114
2012-08-15,40.69720,41.03270,40.65880,40.92730,40.92730,6277927
2012-08-16,41.02310,41.02310,40.74510,40.76430,40.76430,6187445
2012-08-17,40.97520,41.11900,40.75470,40.85060,40.85060,5884477
2012-08-20,40.79300,41.27240,40.70680,40.97520,40.97520,10397982
2012-08-21,41.06150,41.22450,40.40960,40.42870,40.42870,6691434
2012-08-22,40.47670,40.63490,40.22740,40.44790,40.44790,5518840
2012-08-23,40.27530,40.38080,39.91100,40.07400,40.07400,5569672
2012-08-24,40.19860,40.63960,40.04520,40.35200,40.35200,5390775
2012-08-27,40.24660,40.47680,40.08360,40.13150,40.13150,4915456
2012-08-28,40.08360,40.19860,39.68570,39.81520,39.81520,7326238
2012-08-29,39.61380,40.40000,39.43170,40.12190,40.12190,8525384
2012-08-30,39.89190,40.09320,39.55630,39.76720,39.76720,8572287
2012-08-31,39.84390,40.20820,39.72890,39.83430,39.83430,7264532
2012-09-04,39.77680,39.88230,39.33580,39.64260,39.64260,6058397
2012-09-05,40.14110,40.95600,40.08360,40.50540,40.50540,10470987
2012-09-06,40.65880,41.52170,40.64920,41.43540,41.43540,9500345
2012-09-07,41.46410,42.02020,41.46410,41.83800,41.83800,8361419
2012-09-10,41.75180,42.02980,41.29160,41.29160,41.29160,5774103
2012-09-11,41.18610,41.39700,40.89850,41.26280,41.26280,5289882
2012-09-12,41.53120,41.53120,41.20530,41.29160,41.29160,5071490
2012-09-13,41.29160,42.64330,41.23410,42.49950,42.49950,10199005
2012-09-14,42.30780,43.20900,42.11610,42.86390,42.86390,8185788
2012-09-17,42.75840,43.19940,42.58580,43.01720,43.01720,9559018
2012-09-18,42.80630,43.16110,42.72000,43.01720,43.01720,7653695
2012-09-19,42.99810,43.83210,42.81590,43.63080,43.63080,9483596
2012-09-20,43.42950,43.91840,43.41990,43.89930,43.89930,6355442
2012-09-21,44.27320,44.63750,43.96640,44.00470,44.00470,9455638
2012-09-24,43.87050,44.20600,43.71710,43.92800,43.92800,5790084
2012-09-25,43.80340,44.21560,43.13230,43.13230,43.13230,8225022
2012-09-26,43.05560,43.05560,42.48040,42.79670,42.79670,7778298
2012-09-27,43.14190,43.81300,43.01720,43.50620,43.50620,5287565
2012-09-28,43.37200,43.80820,43.10350,43.46300,43.46300,7243241
2012-10-01,43.55410,44.09100,43.50620,43.62120,43.62120,4927750
2012-10-02,43.65960,43.90880,43.29530,43.42950,43.42950,6110439
2012-10-03,43.65000,44.18690,43.65000,43.90880,43.90880,6305694
2012-10-04,43.39110,44.13890,43.38160,43.93760,43.93760,6254480
2012-10-05,44.06220,44.45530,43.93760,44.27320,44.27320,5672102
2012-10-08,44.27320,44.57990,44.07180,44.57990,44.57990,5033076
2012-10-09,44.57990,44.66620,43.66920,43.67880,43.67880,5229928
2012-10-10,43.66920,43.80340,43.42470,43.46780,43.46780,4761398
2012-10-11,43.87050,43.87050,42.92140,43.15150,43.15150,5640704
2012-10-12,43.06520,43.56370,42.99810,43.19940,43.19940,4939019
2012-10-15,43.19940,43.32880,42.61460,43.11310,43.11310,6473077
2012-10-16,43.22820,43.59250,43.20900,43.41990,43.41990,5464438
2012-10-17,44.03350,44.03350,43.41030,43.77460,43.77460,6457988
2012-10-18,43.12270,44.23480,43.12270,43.98550,43.98550,3994662
2012-10-19,43.89930,44.00470,42.79670,43.07480,43.07480,6581733
2012-10-22,43.08440,43.44870,42.85430,43.13230,43.13230,5295104
2012-10-23,42.44200,42.47080,42.06330,42.20230,42.20230,7901331
2012-10-24,42.26950,42.39410,42.06810,42.19280,42.19280,5627087
2012-10-25,42.45160,42.53790,41.70380,41.79010,41.79010,5245010
2012-10-26,41.54080,41.93390,41.40660,41.83800,41.83800,5186405
2012-10-31,42.25990,42.25990,41.16690,41.67510,41.67510,6556963
2012-11-01,41.86680,42.21190,41.61750,41.99140,41.99140,6854273
2012-11-02,42.30780,42.39410,41.39700,41.56960,41.56960,8932203
2012-11-05,41.23410,41.50250,40.85060,41.26280,41.26280,7708275
2012-11-06,41.46410,41.70380,40.85060,41.32990,41.32990,7015865
2012-11-07,41.73260,43.37200,41.66550,43.05560,43.05560,13926843
2012-11-08,43.06520,43.52540,42.26950,42.30780,42.30780,9428836
2012-11-09,42.20230,43.13230,42.04900,42.82550,42.82550,6720526
2012-11-12,42.88300,42.93100,42.37490,42.80630,42.80630,4809789
2012-11-13,42.57620,43.05560,42.49000,42.76800,42.76800,5823828
2012-11-14,42.87340,43.05560,42.19280,42.27900,42.27900,5931842
2012-11-15,42.33660,42.75840,41.97230,42.22150,42.22150,6378573
2012-11-16,42.22150,42.90800,42.08730,42.85430,42.85430,7695169
2012-11-19,42.95970,43.41030,42.86390,43.41030,43.41030,6133797
2012-11-20,43.47740,44.00470,43.31440,43.74590,43.74590,6146373
2012-11-21,43.72670,43.73630,43.09390,43.11310,43.11310,6980281
2012-11-23,44.03350,44.24440,43.31440,44.24440,44.24440,3996672
2012-11-26,43.92800,44.61830,43.87050,44.59910,44.59910,4657519
2012-11-27,44.43610,44.87710,44.22520,44.67580,44.67580,7881168
2012-11-28,44.23480,45.05930,44.11980,45.04970,45.04970,7293519
2012-11-29,45.08810,45.44760,44.97780,45.09760,45.09760,7575576
2012-11-30,45.04010,45.43320,44.96340,45.34690,45.34690,7001502
2012-12-03,45.41400,45.67290,44.85800,44.86760,44.86760,6927335
2012-12-04,45.00180,45.04970,44.48410,44.77170,44.77170,8939230
2012-12-05,44.87710,44.87710,44.10060,44.14850,44.14850,12487959
2012-12-06,44.20600,44.65660,43.98550,44.64710,44.64710,10034714
2012-12-07,44.48410,44.91550,44.48410,44.88190,44.88190,6244236
2012-12-10,44.71420,45.10720,44.65660,44.70460,44.70460,6244323
2012-12-11,44.86760,45.21270,44.71420,45.18390,45.18390,5446245
2012-12-12,45.31810,45.92210,45.23190,45.30860,45.30860,7650067
2012-12-13,45.09760,45.40920,44.56080,44.76210,44.76210,5542572
2012-12-14,44.70460,45.18390,44.56080,44.83880,44.83880,6366360
2012-12-17,44.97300,45.97010,44.97300,45.96050,45.96050,6418612
2012-12-18,45.90300,46.53570,45.73040,46.16180,46.16180,8389633
