Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,0.00000,1.70443,1.69010,1.70182,0.75214,825600
1972-06-02,1.72005,1.73698,1.72005,1.73307,0.76595,2496000
1972-06-05,1.73307,1.75260,1.72917,1.73568,0.76710,960000
1972-06-06,1.73568,1.73958,1.66276,1.66276,0.73488,1824000
1972-06-07,1.66276,1.67057,1.65625,1.65625,0.73200,604800
1972-06-08,1.65625,1.67708,1.65495,1.65885,0.73315,1180800
1972-06-09,1.65885,1.66146,1.63802,1.65104,0.72970,451200
1972-06-12,1.65755,1.66276,1.65755,1.66146,0.73430,153600
1972-06-13,1.66927,1.73047,1.66927,1.73047,0.76480,700800
1972-06-14,1.73958,1.76823,1.73958,1.76042,0.77804,787200
1972-06-15,1.76042,1.78125,1.75260,1.75912,0.77746,787200
1972-06-16,1.75391,1.75391,1.73177,1.74740,0.77228,576000
1972-06-19,1.74088,1.74088,1.72917,1.73958,0.76883,720000
1972-06-20,1.75260,1.76823,1.75260,1.76823,0.78149,460800
1972-06-21,1.76823,1.78385,1.75781,1.75781,0.77689,1872000
1972-06-22,1.75781,1.76042,1.75000,1.75912,0.77746,604800
1972-06-23,1.76302,1.77995,1.76302,1.77865,0.78610,787200
1972-06-26,1.77604,1.77604,1.76693,1.77604,0.78494,470400
1972-06-27,1.77604,1.78125,1.75000,1.76302,0.77919,1008000
1972-06-28,1.76042,1.76042,1.75000,1.75000,0.77344,57600
1972-06-29,1.73568,1.73568,1.72396,1.72656,0.76308,326400
1972-06-30,1.73307,1.76823,1.73307,1.75781,0.77689,441600
1972-07-03,1.75521,1.75521,1.74479,1.75000,0.77440,422400
1972-07-05,1.75000,1.81771,1.74740,1.80469,0.79860,1065600
1972-07-06,1.81250,1.83073,1.81250,1.82812,0.80897,1008000
1972-07-07,1.82812,1.85417,1.82552,1.85417,0.82050,1094400
1972-07-10,1.84635,1.84635,1.81250,1.81250,0.80206,1344000
1972-07-11,1.81250,1.82682,1.80469,1.81250,0.80206,739200
1972-07-12,1.81250,1.82682,1.80208,1.80208,0.79745,604800
1972-07-13,1.80208,1.80208,1.78385,1.78906,0.79169,422400
1972-07-14,1.79167,1.80599,1.79167,1.79167,0.79284,364800
1972-07-17,1.79167,1.79167,1.74219,1.74219,0.77094,547200
1972-07-18,1.73177,1.73177,1.69531,1.71745,0.76000,1161600
1972-07-19,1.73438,1.76302,1.73438,1.74479,0.77210,1219200
1972-07-20,1.74088,1.74088,1.72917,1.72917,0.76518,643200
1972-07-21,1.72917,1.76953,1.72526,1.76953,0.78304,1420800
1972-07-24,1.78776,1.82812,1.78776,1.82031,0.80551,2448000
1972-07-25,1.82031,1.82031,1.80859,1.81641,0.80378,316800
1972-07-26,1.81641,1.83333,1.81510,1.83333,0.81128,806400
1972-07-27,1.83333,1.84766,1.82552,1.82812,0.80897,700800
1972-07-28,1.82031,1.82031,1.80338,1.80469,0.79860,355200
1972-07-31,1.80469,1.80990,1.78125,1.78776,0.79111,902400
1972-08-01,1.78776,1.82031,1.78516,1.82031,0.80551,1843200
1972-08-02,1.82552,1.84115,1.82552,1.84115,0.81473,1286400
1972-08-03,1.84115,1.85156,1.83333,1.84766,0.81762,662400
1972-08-04,1.85417,1.89583,1.85417,1.89062,0.83663,902400
1972-08-07,1.89062,1.92188,1.88542,1.92188,0.85046,700800
1972-08-08,1.92188,1.94010,1.89844,1.94010,0.85852,1123200
1972-08-09,1.94010,1.97917,1.93620,1.97005,0.87178,2054400
1972-08-10,1.97005,1.97266,1.96094,1.96875,0.87120,547200
1972-08-11,1.96224,1.96224,1.94531,1.96224,0.86832,297600
1972-08-14,1.96094,1.96094,1.91667,1.91667,0.84815,499200
1972-08-15,1.91667,1.93229,1.87500,1.87500,0.82971,5212800
1972-08-16,1.87500,1.88021,1.84635,1.84896,0.81819,844800
1972-08-17,1.84896,1.85938,1.83333,1.83333,0.81128,518400
