Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.00000,3.35938,3.31250,3.34375,1.54170,87200
1973-02-22,0.00000,3.37500,3.31250,3.35938,1.54891,53600
1973-02-23,0.00000,3.37500,3.34375,3.34375,1.54170,35200
1973-02-26,0.00000,3.32812,3.31250,3.31250,1.52730,37600
1973-02-27,0.00000,3.32812,3.29688,3.31250,1.52730,37600
1973-02-28,0.00000,3.29688,3.26562,3.26562,1.50568,60800
1973-03-01,0.00000,3.29688,3.25000,3.26562,1.50568,37600
1973-03-02,0.00000,3.28125,3.26562,3.26562,1.50568,45600
1973-03-05,0.00000,3.31250,3.26562,3.29688,1.52009,64800
1973-03-06,0.00000,3.31250,3.26562,3.29688,1.52009,34400
1973-03-07,0.00000,3.32812,3.26562,3.32812,1.53450,63200
1973-03-08,0.00000,3.34375,3.26562,3.28125,1.51289,92800
1973-03-09,0.00000,3.32812,3.26562,3.26562,1.50568,428000
1973-03-12,0.00000,3.21875,3.18750,3.18750,1.48329,32800
1973-03-13,0.00000,3.20312,3.15625,3.20312,1.49056,71200
1973-03-14,0.00000,3.17188,3.10938,3.10938,1.44693,60000
1973-03-15,0.00000,3.10938,3.00000,3.00000,1.39604,86400
1973-03-16,0.00000,3.03125,2.98438,3.00000,1.39604,78400
1973-03-19,0.00000,3.00000,2.98438,3.00000,1.39604,36800
1973-03-20,0.00000,3.06250,2.98438,3.03125,1.41058,136000
1973-03-21,0.00000,3.03125,2.98438,2.98438,1.38876,22400
1973-03-22,0.00000,2.98438,2.82812,2.90625,1.35241,220800
1973-03-23,0.00000,2.84375,2.75000,2.78125,1.29424,256000
1973-03-26,0.00000,2.82812,2.67188,2.73438,1.27243,91200
1973-03-27,0.00000,3.17188,2.84375,2.89062,1.34514,139200
1973-03-28,0.00000,3.00000,2.93750,3.00000,1.39604,87200
1973-03-29,0.00000,3.09375,2.95312,3.09375,1.43966,102400
1973-03-30,0.00000,3.09375,2.98438,3.03125,1.41058,69600
1973-04-02,0.00000,3.06250,2.96875,3.06250,1.42512,40800
1973-04-03,0.00000,3.06250,3.04688,3.06250,1.42512,52000
1973-04-04,0.00000,3.31250,3.03125,3.03125,1.41058,40800
1973-04-05,0.00000,3.01562,2.98438,3.00000,1.39604,113600
1973-04-06,0.00000,2.98438,2.93750,2.93750,1.36695,48800
1973-04-09,0.00000,2.89062,2.82812,2.85938,1.33060,54400
1973-04-10,0.00000,2.89062,2.82812,2.82812,1.31605,63200
1973-04-11,0.00000,2.84375,2.81250,2.81250,1.30878,44000
1973-04-12,0.00000,2.84375,2.78125,2.82812,1.31605,106400
1973-04-13,0.00000,2.85938,2.78125,2.81250,1.30878,69600
1973-04-16,0.00000,2.82812,2.75000,2.82812,1.31605,48800
1973-04-17,0.00000,2.89062,2.76562,2.87500,1.33787,80000
1973-04-18,0.00000,2.95312,2.85938,2.95312,1.37422,34400
1973-04-19,0.00000,3.04688,2.96875,2.96875,1.38149,106400
1973-04-23,0.00000,2.98438,2.95312,2.96875,1.38149,43200
1973-04-24,0.00000,3.01562,2.95312,2.95312,1.37422,85600
1973-04-25,0.00000,2.93750,2.73438,2.73438,1.27243,151200
1973-04-26,0.00000,2.73438,2.67188,2.67188,1.24334,156800
1973-04-27,0.00000,2.67188,2.56250,2.56250,1.19245,69600
1973-04-30,0.00000,2.60938,2.50000,2.54688,1.18518,243200
1973-05-01,0.00000,2.59375,2.53125,2.59375,1.20699,109600
1973-05-02,0.00000,2.70312,2.64062,2.68750,1.25061,97600
1973-05-03,0.00000,2.79688,2.65625,2.76562,1.28697,196000
1973-05-04,0.00000,2.81250,2.76562,2.81250,1.30878,106400
1973-05-07,0.00000,2.82812,2.79688,2.79688,1.30151,161600
1973-05-08,0.00000,2.82812,2.79688,2.81250,1.30878,87200
1973-05-09,0.00000,2.84375,2.82812,2.82812,1.31605,68000
1973-05-10,0.00000,2.93750,2.82812,2.92188,1.35968,145600
1973-05-11,0.00000,2.92188,2.90625,2.92188,1.35968,42400
1973-05-14,0.00000,2.89062,2.85938,2.85938,1.33060,69600
1973-05-15,0.00000,2.84375,2.76562,2.84375,1.32332,116000
1973-05-16,0.00000,2.85938,2.78125,2.81250,1.30878,96800
1973-05-17,0.00000,2.79688,2.73438,2.73438,1.27243,48000
1973-05-18,0.00000,2.73438,2.67188,2.68750,1.25061,28000
1973-05-21,0.00000,2.64062,2.48438,2.48438,1.15609,148800
1973-05-22,0.00000,2.60938,2.48438,2.57812,1.19972,82400
1973-05-23,0.00000,2.64062,2.57812,2.62500,1.22153,146400
1973-05-24,0.00000,2.70312,2.59375,2.67188,1.24334,65600
1973-05-25,0.00000,2.75000,2.68750,2.75000,1.27970,70400
1973-05-29,0.00000,2.73438,2.67188,2.70312,1.25789,69600
1973-05-30,0.00000,2.73438,2.65625,2.65625,1.23607,67200
1973-05-31,0.00000,2.64062,2.57812,2.57812,1.19972,43200
1973-06-01,0.00000,2.54688,2.51562,2.51562,1.17063,44000
1973-06-04,0.00000,2.50000,2.39062,2.39062,1.11247,126400
1973-06-05,0.00000,2.45312,2.39062,2.45312,1.14155,90400
1973-06-06,0.00000,2.45312,2.37500,2.40625,1.11974,37600
1973-06-07,0.00000,2.40625,2.37500,2.39062,1.11247,58400
1973-06-08,0.00000,2.42188,2.37500,2.42188,1.12701,92800
1973-06-11,0.00000,2.42188,2.37500,2.37500,1.10520,110400
1973-06-12,0.00000,2.43750,2.31250,2.43750,1.13428,147200
1973-06-13,0.00000,2.46875,2.42188,2.43750,1.13428,156800
1973-06-14,0.00000,2.48438,2.39062,2.40625,1.11974,175200
