Date,Open,High,Low,Close,Adj Close,Volume
1986-11-06,7.06250,7.15625,6.87500,7.00000,3.36482,17902800
1986-11-07,7.00000,7.00000,6.84375,6.96875,3.34980,6288000
1986-11-10,6.90625,6.90625,6.75000,6.78125,3.25967,3060000
1986-11-11,6.78125,6.87500,6.78125,6.87500,3.30474,1130000
1986-11-12,6.87500,6.93750,6.81250,6.87500,3.30474,2082800
1986-11-13,6.84375,6.84375,6.81250,6.81250,3.27469,891200
1986-11-14,6.81250,6.87500,6.78125,6.87500,3.30474,952000
1986-11-17,6.81250,6.84375,6.75000,6.75000,3.24465,1055200
1986-11-18,6.75000,6.78125,6.59375,6.62500,3.18456,2426400
1986-11-19,6.62500,6.62500,6.50000,6.53125,3.13950,2026000
1986-11-20,6.59375,6.65625,6.53125,6.62500,3.18456,3253600
1986-11-21,6.71875,6.71875,6.65625,6.71875,3.22963,639600
1986-11-24,6.68750,6.71875,6.65625,6.65625,3.19958,660000
1986-11-25,6.65625,6.71875,6.56250,6.68750,3.21461,1080000
1986-11-26,6.68750,6.75000,6.56250,6.68750,3.21461,963200
1986-11-28,6.68750,6.71875,6.65625,6.71875,3.22963,521600
1986-12-01,6.68750,6.75000,6.68750,6.75000,3.24465,662000
1986-12-02,6.75000,6.87500,6.75000,6.87500,3.30474,1161200
1986-12-03,6.87500,7.06250,6.87500,6.96875,3.34980,1210400
1986-12-04,6.96875,6.96875,6.87500,6.90625,3.31976,1446400
1986-12-05,6.87500,6.90625,6.84375,6.84375,3.28972,737600
1986-12-08,6.81250,6.84375,6.75000,6.75000,3.24465,703600
1986-12-09,6.75000,6.78125,6.75000,6.75000,3.24465,444800
1986-12-10,6.75000,6.78125,6.71875,6.71875,3.22963,902400
1986-12-11,6.75000,6.78125,6.59375,6.68750,3.21461,550400
1986-12-12,6.68750,6.75000,6.65625,6.75000,3.24465,356800
1986-12-15,6.71875,6.75000,6.65625,6.71875,3.22963,521200
1986-12-16,6.68750,6.71875,6.62500,6.65625,3.19958,835600
1986-12-17,6.65625,6.65625,6.62500,6.62500,3.18456,803600
1986-12-18,6.62500,6.65625,6.53125,6.59375,3.16954,1108000
1986-12-19,6.50000,6.62500,6.50000,6.62500,3.18456,556000
1986-12-22,6.56250,6.56250,6.50000,6.56250,3.15452,1456000
1986-12-23,6.53125,6.56250,6.50000,6.56250,3.15452,574000
1986-12-24,6.68750,6.68750,6.50000,6.53125,3.13950,322400
1986-12-26,6.50000,6.56250,6.50000,6.56250,3.15452,486000
1986-12-29,6.53125,6.53125,6.46875,6.53125,3.13950,693200
1986-12-30,6.53125,6.56250,6.43750,6.56250,3.15452,910000
1986-12-31,6.50000,6.71875,6.50000,6.71875,3.22963,841600
1987-01-02,6.68750,6.81250,6.62500,6.81250,3.27469,264800
1987-01-05,6.81250,6.96875,6.81250,6.93750,3.33478,668400
1987-01-06,6.87500,6.96875,6.84375,6.96875,3.34980,554400
1987-01-07,6.93750,7.15625,6.93750,7.15625,3.43993,748400
1987-01-08,7.12500,7.56250,7.09375,7.56250,3.63521,596800
1987-01-09,7.53125,7.75000,7.40625,7.62500,3.66525,759600
1987-01-12,7.56250,7.78125,7.56250,7.62500,3.66525,1196800
1987-01-13,7.56250,7.59375,7.34375,7.40625,3.56010,504800
1987-01-14,7.46875,7.59375,7.43750,7.50000,3.60517,611600
1987-01-15,7.46875,7.59375,7.46875,7.50000,3.60517,463200
1987-01-16,7.53125,7.65625,7.43750,7.62500,3.66525,412800
1987-01-19,7.56250,7.62500,7.50000,7.56250,3.63521,161600
1987-01-20,7.59375,7.62500,7.53125,7.59375,3.66234,642000
1987-01-21,7.56250,7.62500,7.53125,7.53125,3.63220,505200
1987-01-22,7.53125,7.53125,7.37500,7.43750,3.58698,618000
1987-01-23,7.46875,7.62500,7.43750,7.62500,3.67741,573200
1987-01-26,7.50000,7.50000,7.37500,7.37500,3.55684,594800
1987-01-27,7.31250,7.50000,7.28125,7.46875,3.60205,488400
1987-01-28,7.43750,7.53125,7.43750,7.43750,3.58698,462000
1987-01-29,7.40625,7.50000,7.37500,7.37500,3.55684,574000
1987-01-30,7.37500,7.46875,7.34375,7.37500,3.55684,265600
1987-02-02,7.50000,7.53125,7.34375,7.53125,3.63220,900000
1987-02-03,7.56250,7.62500,7.50000,7.53125,3.63220,1131600
1987-02-04,7.50000,7.50000,7.40625,7.46875,3.60205,498800
1987-02-05,7.34375,7.53125,7.31250,7.40625,3.57191,1638800
1987-02-06,7.43750,7.53125,7.40625,7.53125,3.63220,673600
1987-02-09,7.46875,7.56250,7.40625,7.50000,3.61712,487600
1987-02-10,7.46875,7.50000,7.43750,7.46875,3.60205,300800
1987-02-11,7.46875,7.53125,7.46875,7.50000,3.61712,228000
1987-02-12,7.53125,7.59375,7.50000,7.53125,3.63220,324800
1987-02-13,7.53125,7.75000,7.53125,7.75000,3.73770,402800
1987-02-17,7.75000,7.81250,7.50000,7.50000,3.61712,933200
1987-02-18,7.56250,7.56250,7.34375,7.37500,3.55684,702400
1987-02-19,7.31250,7.84375,7.09375,7.75000,3.73770,1086400
1987-02-20,7.75000,7.75000,7.18750,7.25000,3.49655,3002000
1987-02-23,7.15625,7.15625,7.00000,7.00000,3.37598,1918000
1987-02-24,7.03125,7.03125,6.93750,6.96875,3.36091,962400
1987-02-25,6.96875,7.00000,6.93750,7.00000,3.37598,559200
1987-02-26,7.03125,7.03125,6.90625,6.93750,3.34584,506800
1987-02-27,6.96875,7.00000,6.81250,6.90625,3.33077,1080400
1987-03-02,6.87500,6.93750,6.87500,6.93750,3.34584,962800
1987-03-03,6.87500,6.87500,6.75000,6.87500,3.31570,1147600
1987-03-04,6.87500,6.87500,6.78125,6.87500,3.31570,1585200
1987-03-05,6.84375,6.87500,6.75000,6.87500,3.31570,1385200
1987-03-06,6.87500,6.96875,6.84375,6.96875,3.36091,925600
1987-03-09,6.93750,6.93750,6.78125,6.87500,3.31570,308800
1987-03-10,6.87500,6.87500,6.81250,6.87500,3.31570,274800
1987-03-11,6.87500,6.87500,6.71875,6.75000,3.25541,606800
1987-03-12,6.75000,6.75000,6.53125,6.75000,3.25541,1380000
1987-03-13,6.68750,6.71875,6.50000,6.56250,3.16498,2095199
1987-03-16,6.50000,6.53125,6.37500,6.43750,3.10470,633200
1987-03-17,6.37500,6.40625,6.15625,6.25000,3.01427,5080000
1987-03-18,6.28125,6.28125,6.21875,6.25000,3.01427,1716000
1987-03-19,6.21875,6.25000,6.18750,6.21875,2.99920,1080800
1987-03-20,6.25000,6.28125,6.18750,6.18750,2.98413,2166000
1987-03-23,6.21875,6.40625,6.06250,6.34375,3.05948,1253200
1987-03-24,6.34375,6.34375,6.15625,6.15625,2.96906,989200
1987-03-25,6.18750,6.18750,5.96875,6.00000,2.89370,4800000
1987-03-26,6.06250,6.43750,6.06250,6.31250,3.04441,2068400
1987-03-27,6.37500,6.43750,6.31250,6.31250,3.04441,1125200
1987-03-30,6.12500,6.31250,6.12500,6.15625,2.96906,1591200
1987-03-31,6.15625,6.25000,6.12500,6.18750,2.98413,2194800
1987-04-01,6.09375,6.21875,6.03125,6.06250,2.92384,507600
1987-04-02,6.25000,6.25000,6.12500,6.25000,3.01427,2248400
1987-04-03,6.25000,6.43750,6.25000,6.37500,3.07456,1008000
1987-04-06,6.43750,6.43750,6.21875,6.21875,2.99920,526400
1987-04-07,6.21875,6.25000,6.09375,6.18750,2.98413,485200
1987-04-08,6.21875,6.21875,6.12500,6.12500,2.95398,373200
1987-04-09,6.15625,6.21875,6.12500,6.18750,2.98413,819200
1987-04-10,6.12500,6.15625,6.12500,6.15625,2.96906,434800
1987-04-13,6.12500,6.12500,5.93750,5.93750,2.86356,1598400
1987-04-14,5.87500,5.87500,5.46875,5.75000,2.77313,554400
1987-04-15,5.84375,5.84375,5.81250,5.84375,2.81834,293200
1987-04-16,5.87500,5.87500,5.81250,5.84375,2.81834,418800
1987-04-20,5.78125,5.90625,5.78125,5.87500,2.83341,255600
1987-04-21,5.78125,5.84375,5.75000,5.78125,2.80012,228800
1987-04-22,5.50000,5.59375,5.50000,5.50000,2.66389,1181600
1987-04-23,5.53125,5.56250,5.40625,5.43750,2.63362,474800
1987-04-24,5.40625,5.43750,5.34375,5.40625,2.61848,985200
1987-04-27,5.37500,5.53125,5.37500,5.46875,2.64876,1000000
1987-04-28,5.46875,5.50000,5.31250,5.34375,2.58821,379600
1987-04-29,5.34375,5.43750,5.34375,5.43750,2.63362,794000
1987-04-30,5.43750,5.43750,5.34375,5.34375,2.58821,512799
1987-05-01,5.34375,5.34375,5.18750,5.25000,2.54281,402000
1987-05-04,5.25000,5.25000,5.09375,5.09375,2.46713,627200
1987-05-05,5.09375,5.37500,5.09375,5.34375,2.58821,958000
1987-05-06,5.28125,5.37500,5.18750,5.28125,2.55794,458800
1987-05-07,5.37500,5.50000,5.21875,5.31250,2.57308,1118000
1987-05-08,5.34375,5.75000,5.28125,5.65625,2.73957,1123600
1987-05-11,5.71875,5.71875,5.46875,5.68750,2.75471,386400
1987-05-12,5.65625,5.68750,5.59375,5.68750,2.75471,381200
1987-05-13,5.68750,5.71875,5.68750,5.68750,2.75471,485600
1987-05-14,5.71875,5.78125,5.71875,5.75000,2.78498,446000
1987-05-15,5.75000,5.75000,5.62500,5.68750,2.75471,280400
1987-05-18,5.65625,5.68750,5.62500,5.62500,2.72444,319600
1987-05-19,5.62500,5.65625,5.59375,5.62500,2.72444,484800
1987-05-20,5.56250,5.56250,5.40625,5.40625,2.61848,549600
1987-05-21,5.43750,5.56250,5.40625,5.53125,2.67903,293600
1987-05-22,5.50000,5.53125,5.50000,5.53125,2.67903,409200
1987-05-26,5.56250,5.75000,5.56250,5.75000,2.78498,730400
1987-05-27,5.78125,5.84375,5.75000,5.78125,2.80012,240000
1987-05-28,5.78125,5.90625,5.78125,5.84375,2.83039,234400
1987-05-29,5.90625,6.00000,5.87500,5.87500,2.84552,311600
1987-06-01,5.87500,5.87500,5.71875,5.71875,2.76984,1511200
1987-06-02,5.78125,5.78125,5.56250,5.56250,2.69416,706800
1987-06-03,5.62500,5.65625,5.59375,5.62500,2.72444,301600
1987-06-04,5.62500,5.68750,5.59375,5.62500,2.72444,450400
1987-06-05,5.62500,5.68750,5.62500,5.65625,2.73957,199200
1987-06-08,5.62500,5.68750,5.56250,5.56250,2.69416,239600
1987-06-09,5.56250,5.75000,5.56250,5.71875,2.76984,366800
1987-06-10,5.68750,5.84375,5.68750,5.78125,2.80012,477600
1987-06-11,5.78125,5.93750,5.78125,5.87500,2.84552,354800
1987-06-12,5.93750,5.96875,5.84375,5.93750,2.87579,245600
1987-06-15,5.96875,6.03125,5.96875,5.96875,2.89093,265200
1987-06-16,5.93750,6.00000,5.93750,5.93750,2.87579,403600
1987-06-17,5.93750,6.00000,5.93750,6.00000,2.90606,464000
1987-06-18,5.93750,5.96875,5.93750,5.96875,2.89093,170000
