Date,Open,High,Low,Close,Adj Close,Volume
2008-03-19,14.87500,17.25000,13.75000,14.12500,12.90148,708486000
2008-03-20,14.60000,16.25000,14.37500,16.08750,14.69398,198985200
2008-03-24,16.81000,16.92500,14.75000,14.93250,13.63903,149566400
2008-03-25,15.14500,16.06250,14.95500,15.81250,14.44280,87092000
2008-03-26,15.68250,16.12000,15.39250,15.99000,14.60492,43111600
2008-03-27,16.01250,16.18500,15.66250,15.72750,14.36516,39829600
2008-03-28,15.84250,15.86000,15.54000,15.69000,14.33091,24675200
2008-03-31,15.65000,15.87000,15.51250,15.59000,14.23958,22157200
2008-04-01,15.76500,15.92000,15.07750,15.40250,14.06831,60410800
2008-04-02,15.43000,15.58000,15.12500,15.58000,14.23044,43836400
2008-04-03,15.48750,16.57250,15.45500,16.37500,14.95657,100868000
2008-04-04,16.22500,16.33000,15.93750,16.12000,14.72366,36394400
2008-04-07,16.27500,16.45000,16.00500,16.26000,14.85154,28301600
2008-04-08,16.22500,17.06000,16.20250,17.02250,15.54799,53925600
2008-04-09,17.11000,17.18000,16.40250,16.44750,15.02280,48324400
2008-04-10,16.54000,16.68250,16.27750,16.52750,15.09587,22372000
2008-04-11,16.31250,16.69250,16.31250,16.52750,15.09587,26421600
2008-04-14,16.67500,16.81000,16.38250,16.42000,14.99768,28443600
2008-04-15,16.57250,16.63750,16.00000,16.08750,14.69398,23888000
2008-04-16,16.14000,16.73750,16.14000,16.53500,15.10272,25136800
2008-04-17,16.56500,16.93750,16.50250,16.76000,15.30822,22459600
2008-04-18,17.00250,17.61250,16.80000,17.25000,15.75579,104099600
2008-04-21,17.37000,18.12500,17.21250,17.74250,16.20561,58848000
2008-04-22,17.98000,18.10000,17.50000,17.57000,16.04806,47357600
2008-04-23,17.73750,17.92500,17.42250,17.52000,16.00240,37319600
2008-04-24,17.80000,18.24750,17.51000,18.07500,16.50932,38086800
2008-04-25,19.00000,19.02000,18.47750,18.77500,17.14868,101460000
2008-04-28,19.12500,19.32250,18.72500,18.90750,17.26971,132517200
2008-04-29,18.53750,20.22000,17.75000,20.22000,18.46851,197308400
2008-04-30,20.35000,21.20250,20.26750,20.86250,19.05536,147543600
2008-05-01,21.09750,21.91000,20.97500,21.35000,19.50063,116395600
2008-05-02,21.82250,21.87500,20.25000,20.68750,18.89551,136648800
2008-05-05,20.71250,21.37500,20.20500,21.26500,19.42300,70377200
2008-05-06,21.36750,22.03750,21.18750,21.88250,19.98700,75913200
2008-05-07,22.20750,22.46000,21.91500,22.12500,20.20850,100464800
2008-05-08,22.37500,22.43750,21.48500,21.82500,19.93449,92836400
2008-05-09,21.45250,21.66750,20.63000,20.71500,18.92064,94312000
2008-05-12,20.91250,21.12000,19.52500,20.47500,18.70142,147471600
2008-05-13,20.45750,20.87500,20.19750,20.59500,18.81104,53249600
2008-05-14,20.82500,21.08750,20.36250,20.55750,18.77678,51400400
2008-05-15,20.63250,20.73250,20.27750,20.56250,18.78135,36688800
2008-05-16,20.67750,20.71250,20.31500,20.59250,18.80875,34066800
2008-05-19,20.56750,21.18500,20.53750,20.83000,19.02568,45473200
2008-05-20,20.72000,20.96000,20.47750,20.68500,18.89324,40702000
2008-05-21,20.67000,20.85750,20.13000,20.21250,18.46166,41831600
2008-05-22,20.14250,20.15000,19.04000,19.32750,17.65332,85283600
2008-05-23,18.96000,19.32750,18.78000,19.08750,17.43412,42196400
2008-05-27,19.23000,19.73500,18.59000,19.68500,17.97986,62776400
2008-05-28,20.07250,20.48750,19.88750,20.48000,18.70600,52996000
