Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00000,0.30529,0.29977,0.30161,0.06334,3527500
1980-03-18,0.00000,0.29793,0.29426,0.29610,0.06218,285400
1980-03-19,0.00000,0.29058,0.28138,0.28138,0.05910,149500
1980-03-20,0.00000,0.29058,0.28138,0.29058,0.06103,305800
1980-03-21,0.00000,0.30713,0.29242,0.30713,0.06450,190300
1980-03-24,0.00000,0.30345,0.29242,0.29242,0.06141,183500
1980-03-25,0.00000,0.29058,0.28690,0.28690,0.06025,163100
1980-03-26,0.00000,0.29426,0.29058,0.29426,0.06180,33900
1980-03-27,0.00000,0.29058,0.27403,0.27770,0.05832,618500
1980-03-28,0.00000,0.28138,0.27954,0.28138,0.05910,47500
1980-03-31,0.00000,0.28506,0.27770,0.28138,0.05910,768000
1980-04-01,0.00000,0.27954,0.27586,0.27586,0.05794,95100
1980-04-02,0.00000,0.29058,0.27954,0.29058,0.06103,122300
1980-04-03,0.00000,0.29426,0.29242,0.29426,0.06180,203900
1980-04-07,0.00000,0.29058,0.28138,0.28138,0.05910,183500
1980-04-08,0.00000,0.27954,0.27586,0.27954,0.05871,190300
1980-04-09,0.00000,0.27954,0.27586,0.27954,0.05871,149500
1980-04-10,0.00000,0.29242,0.28138,0.29242,0.06141,421400
1980-04-11,0.00000,0.29977,0.28874,0.29977,0.06296,360200
1980-04-14,0.00000,0.30345,0.29426,0.29426,0.06180,1175800
1980-04-15,0.00000,0.29058,0.29058,0.29058,0.06103,6700
1980-04-16,0.00000,0.29242,0.28874,0.29242,0.06141,183500
1980-04-17,0.00000,0.29242,0.29242,0.29242,0.06141,20300
1980-04-18,0.00000,0.29242,0.29242,0.29242,0.06141,27100
1980-04-21,0.00000,0.29242,0.28874,0.29242,0.06141,135900
1980-04-22,0.00000,0.29242,0.28322,0.28874,0.06064,428100
1980-04-23,0.00000,0.29242,0.29242,0.29242,0.06141,448500
1980-04-24,0.00000,0.29058,0.28690,0.28690,0.06025,278600
1980-04-25,0.00000,0.29058,0.28690,0.28690,0.06025,13500
1980-04-28,0.00000,0.28506,0.28138,0.28322,0.05948,441700
1980-04-29,0.00000,0.29058,0.28690,0.29058,0.06103,54300
1980-04-30,0.00000,0.29242,0.29242,0.29242,0.06141,74700
1980-05-01,0.00000,0.29242,0.28874,0.29242,0.06141,67900
1980-05-02,0.00000,0.29242,0.28874,0.29058,0.06103,217400
1980-05-05,0.00000,0.29793,0.29426,0.29793,0.06257,367000
1980-05-06,0.00000,0.30897,0.29977,0.30897,0.06489,1243800
1980-05-07,0.00000,0.31265,0.30713,0.31265,0.06566,299000
1980-05-08,0.00000,0.31449,0.30897,0.31081,0.06528,863100
1980-05-09,0.00000,0.30897,0.29977,0.29977,0.06296,346600
1980-05-12,0.00000,0.30161,0.30161,0.30161,0.06334,27100
1980-05-13,0.00000,0.30713,0.29610,0.29610,0.06218,3228400
1980-05-14,0.00000,0.30713,0.30345,0.30713,0.06450,190300
1980-05-15,0.00000,0.30713,0.30713,0.30713,0.06450,135900
1980-05-16,0.00000,0.31265,0.30345,0.31265,0.06566,2575900
1980-05-19,0.00000,0.31449,0.30897,0.30897,0.06489,74700
1980-05-20,0.00000,0.31449,0.31081,0.31081,0.06528,54300
1980-05-21,0.00000,0.32368,0.31449,0.32368,0.06798,4587800
1980-05-22,0.00000,0.37334,0.32368,0.36782,0.07725,7360900
1980-05-23,0.00000,0.38621,0.36598,0.36966,0.07764,611700
1980-05-27,0.00000,0.36782,0.35862,0.35862,0.07532,251400
1980-05-28,0.00000,0.35127,0.33840,0.33840,0.07107,3310000
1980-05-29,0.00000,0.33840,0.33656,0.33656,0.07068,971900
1980-05-30,0.00000,0.34391,0.33288,0.34207,0.07184,686400
1980-06-02,0.00000,0.34207,0.33840,0.34023,0.07146,95100
1980-06-03,0.00000,0.34391,0.33840,0.33840,0.07107,129100
1980-06-04,0.00000,0.33288,0.33288,0.33288,0.06991,67900
