Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.00000,1.13542,1.12500,1.12500,0.25090,4800
1973-02-22,0.00000,1.12500,1.06771,1.10417,0.24625,72000
1973-02-23,0.00000,1.09375,1.09375,1.09375,0.24393,4800
1973-02-26,0.00000,1.11458,1.08854,1.09375,0.24393,50400
1973-02-27,0.00000,1.09375,1.08854,1.09375,0.24393,7200
1973-02-28,0.00000,1.08854,1.07812,1.08333,0.24160,21600
1973-03-01,0.00000,1.09375,1.08333,1.08333,0.24160,50400
1973-03-02,0.00000,1.09375,1.07812,1.08333,0.24160,24000
1973-03-05,0.00000,1.09896,1.07812,1.09375,0.24393,38400
1973-03-06,0.00000,1.09375,1.08854,1.09375,0.24393,9600
1973-03-07,0.00000,1.10417,1.08333,1.09375,0.24393,57600
1973-03-08,0.00000,1.09375,1.08333,1.09375,0.24393,67200
1973-03-09,0.00000,1.11458,1.09896,1.10417,0.24625,62400
1973-03-12,0.00000,1.10417,1.09896,1.10417,0.24625,43200
1973-03-13,0.00000,1.10938,1.09375,1.09375,0.24393,67200
1973-03-14,0.00000,1.10938,1.09375,1.11458,0.24857,36000
1973-03-15,0.00000,1.11979,1.09896,1.12500,0.25090,57600
1973-03-16,0.00000,1.16667,1.12500,1.14062,0.25438,110400
1973-03-19,0.00000,1.14062,1.12500,1.12500,0.25090,26400
1973-03-20,0.00000,1.10938,1.10417,1.10417,0.24625,7200
1973-03-21,0.00000,1.10417,1.09375,1.09375,0.24393,26400
1973-03-22,0.00000,1.09896,1.07292,1.07292,0.23928,134400
1973-03-23,0.00000,1.09375,1.06250,1.06250,0.23696,52800
1973-03-26,0.00000,1.05729,1.04688,1.06250,0.23696,9600
1973-03-27,0.00000,1.06771,1.06771,1.06771,0.23812,9600
1973-03-28,0.00000,1.10417,1.06771,1.10417,0.24625,48000
1973-03-29,0.00000,1.12500,1.10938,1.10938,0.24741,50400
1973-03-30,0.00000,1.10938,1.10938,1.10938,0.24741,12000
1973-04-02,0.00000,1.10938,1.10417,1.10417,0.24625,31200
1973-04-03,0.00000,1.13542,1.10417,1.13542,0.25322,40800
1973-04-04,0.00000,1.16146,1.13542,1.16667,0.26019,33600
1973-04-05,0.00000,1.16146,1.15625,1.15625,0.25786,571200
1973-04-06,0.00000,1.16667,1.15625,1.15625,0.25786,36000
1973-04-09,0.00000,1.15104,1.14062,1.15625,0.25786,4800
1973-04-10,0.00000,1.14062,1.10938,1.10938,0.24741,28800
1973-04-11,0.00000,1.12500,1.10938,1.10938,0.24741,24000
1973-04-12,0.00000,1.11458,1.09896,1.09896,0.24509,43200
1973-04-13,0.00000,1.09896,1.09375,1.09896,0.24509,9600
1973-04-16,0.00000,1.11979,1.09375,1.11979,0.24973,14400
1973-04-17,0.00000,1.11979,1.09375,1.09375,0.24393,50400
1973-04-18,0.00000,1.09896,1.08854,1.09375,0.24393,96000
1973-04-19,0.00000,1.14583,1.09896,1.12500,0.25090,88800
1973-04-23,0.00000,1.14583,1.10417,1.11979,0.24973,36000
1973-04-24,0.00000,1.13542,1.12500,1.12500,0.25090,14400
1973-04-25,0.00000,1.11458,1.10417,1.10417,0.24625,19200
1973-04-26,0.00000,1.10417,1.09896,1.09896,0.24509,7200
1973-04-27,0.00000,1.12500,1.09375,1.09375,0.24393,33600
1973-04-30,0.00000,1.09375,1.08333,1.08333,0.24160,28800
1973-05-01,0.00000,1.09375,1.08854,1.08854,0.24276,7200
1973-05-02,0.00000,1.08854,1.08333,1.08333,0.24160,64800
1973-05-03,0.00000,1.09375,1.08333,1.09375,0.24393,45600
1973-05-04,0.00000,1.09375,1.09375,1.09375,0.24393,36000
1973-05-07,0.00000,1.09375,1.09375,1.09375,0.24393,19200
1973-05-08,0.00000,1.09375,1.09375,1.09375,0.24393,12000
1973-05-09,0.00000,1.09375,1.09375,1.09375,0.24393,4800
1973-05-10,0.00000,1.09375,1.09375,1.09375,0.24393,2400
1973-05-11,0.00000,1.08333,1.08333,1.08333,0.24160,16800
1973-05-14,0.00000,1.08333,1.07292,1.07292,0.23928,26400
1973-05-15,0.00000,1.08333,1.07292,1.07292,0.23928,12000
1973-05-16,0.00000,1.07292,1.07292,1.07292,0.23928,9600
1973-05-17,0.00000,1.12500,1.07292,1.12500,0.25090,57600
1973-05-18,0.00000,1.09375,1.07292,1.07292,0.23928,50400
1973-05-21,0.00000,1.07292,1.04167,1.04167,0.23231,88800
1973-05-22,0.00000,1.05208,1.03125,1.04167,0.23231,93600
1973-05-23,0.00000,1.05208,1.04167,1.05208,0.23463,26400
1973-05-24,0.00000,1.05208,1.05208,1.05208,0.23463,2400
1973-05-25,0.00000,1.06250,1.06250,1.06250,0.23696,2400
1973-05-29,0.00000,1.08333,1.07292,1.08333,0.24160,12000
1973-05-30,0.00000,1.07292,1.06250,1.07292,0.23928,24000
1973-05-31,0.00000,1.06250,1.05208,1.05208,0.23463,14400
1973-06-01,0.00000,1.05208,1.04167,1.04167,0.23231,16800
1973-06-04,0.00000,1.03125,1.01042,1.01042,0.22534,16800
1973-06-05,0.00000,1.01042,1.01042,1.01042,0.22534,2400
1973-06-06,0.00000,1.03125,1.02083,1.03125,0.22999,14400
1973-06-07,0.00000,1.03125,1.02083,1.02083,0.22766,16800
1973-06-08,0.00000,1.02083,1.02083,1.02083,0.22766,4800
1973-06-11,0.00000,1.04167,1.03125,1.03125,0.22999,7200
1973-06-12,0.00000,1.03125,0.98958,1.01042,0.22534,55200
1973-06-13,0.00000,1.04167,1.02083,1.04167,0.23231,19200
1973-06-14,0.00000,1.03125,1.03125,1.03125,0.22999,16800
1973-06-15,0.00000,1.02083,1.00000,1.01042,0.22534,40800
1973-06-18,0.00000,1.02083,1.02083,1.02083,0.22766,14400
1973-06-19,0.00000,1.08333,1.03125,1.06250,0.23696,36000
1973-06-20,0.00000,1.06250,1.04167,1.04167,0.23231,40800
1973-06-21,0.00000,1.04167,1.00000,1.00000,0.22302,69600
1973-06-22,0.00000,1.07292,1.02083,1.03125,0.22999,158400
1973-06-25,0.00000,1.05208,1.04167,1.04167,0.23231,16800
1973-06-26,0.00000,1.04167,1.02083,1.03125,0.22999,28800
1973-06-27,0.00000,1.04167,1.02083,1.04167,0.23231,14400
1973-06-28,0.00000,1.04167,1.02083,1.04167,0.23231,9600
1973-06-29,0.00000,1.04167,1.03125,1.04167,0.23231,16800
1973-07-02,0.00000,1.04167,1.02083,1.02083,0.22766,16800
1973-07-03,0.00000,1.01042,0.98958,0.98958,0.22070,12000
1973-07-05,0.00000,0.97917,0.94792,0.95833,0.21373,33600
1973-07-06,0.00000,0.98958,0.94792,0.98958,0.22070,36000
1973-07-09,0.00000,1.00000,1.00000,1.00000,0.22302,4800
1973-07-10,0.00000,1.03125,1.01042,1.03125,0.22999,12000
1973-07-11,0.00000,1.03125,1.01042,1.03125,0.22999,9600
1973-07-12,0.00000,1.05208,1.03125,1.05208,0.23463,21600
1973-07-13,0.00000,1.08333,1.07292,1.08333,0.24160,7200
1973-07-16,0.00000,1.11458,1.09375,1.11458,0.24857,9600
1973-07-17,0.00000,1.12500,1.12500,1.12500,0.25090,31200
1973-07-18,0.00000,1.12500,1.11458,1.11458,0.24857,9600
1973-07-19,0.00000,1.15625,1.14583,1.15625,0.25786,120000
1973-07-20,0.00000,1.16667,1.13542,1.16667,0.26019,31200
1973-07-23,0.00000,1.14583,1.11458,1.11458,0.24857,50400
1973-07-24,0.00000,1.08333,1.08333,1.08333,0.24160,14400
1973-07-25,0.00000,1.09375,1.07292,1.07292,0.23928,62400
1973-07-26,0.00000,1.11458,1.07292,1.08333,0.24160,43200
1973-07-27,0.00000,1.09375,1.08333,1.09375,0.24393,21600
1973-07-30,0.00000,1.11458,1.10417,1.11458,0.24857,14400
1973-07-31,0.00000,1.12500,1.10417,1.10417,0.24625,48000
1973-08-01,0.00000,1.10417,1.09375,1.09375,0.24393,16800
1973-08-02,0.00000,1.07292,1.07292,1.07292,0.23928,7200
1973-08-03,0.00000,1.08333,1.06250,1.07292,0.23928,14400
1973-08-06,0.00000,1.06250,1.05208,1.05208,0.23463,9600
1973-08-07,0.00000,1.06250,1.05208,1.06250,0.23696,16800
1973-08-08,0.00000,1.07292,1.06250,1.06250,0.23696,12000
1973-08-09,0.00000,1.08333,1.07292,1.08333,0.24160,50400
1973-08-10,0.00000,1.08333,1.06250,1.06250,0.23696,16800
1973-08-13,0.00000,1.07292,1.06250,1.07292,0.23928,12000
1973-08-14,0.00000,1.06250,1.04167,1.05208,0.23463,24000
1973-08-15,0.00000,1.06250,1.05208,1.06250,0.23696,24000
1973-08-16,0.00000,1.05208,1.04167,1.04167,0.23231,33600
1973-08-17,0.00000,1.05208,1.04167,1.04167,0.23231,14400
1973-08-20,0.00000,1.05208,1.04167,1.05208,0.23463,24000
1973-08-21,0.00000,1.04167,1.03125,1.03125,0.22999,14400
1973-08-22,0.00000,1.02083,1.01042,1.01042,0.22534,26400
1973-08-23,0.00000,1.02083,1.02083,1.02083,0.22766,4800
1973-08-24,0.00000,1.03125,1.02083,1.02083,0.22766,26400
1973-08-27,1.02083,1.02083,1.02083,1.02083,0.22766,0
1973-08-28,0.00000,1.03125,1.03125,1.03125,0.22999,4800
1973-08-29,0.00000,1.02083,1.01042,1.01042,0.22534,21600
1973-08-30,0.00000,1.03125,1.02083,1.03125,0.22999,14400
1973-08-31,0.00000,1.04167,1.03125,1.03125,0.22999,26400
1973-09-04,0.00000,1.04167,1.04167,1.04167,0.23231,24000
1973-09-05,0.00000,1.04167,1.03125,1.04167,0.23231,21600
1973-09-06,0.00000,1.05208,1.04167,1.05208,0.23463,67200
1973-09-07,0.00000,1.05208,1.04167,1.04167,0.23231,16800
1973-09-10,0.00000,1.06250,1.05208,1.06250,0.23696,19200
1973-09-11,0.00000,1.05208,1.04167,1.04167,0.23231,9600
1973-09-12,0.00000,1.05208,1.03125,1.03125,0.22999,16800
1973-09-13,0.00000,1.04167,1.02083,1.03125,0.22999,21600
1973-09-14,0.00000,1.04167,1.03125,1.03125,0.22999,9600
1973-09-17,0.00000,1.02083,1.02083,1.02083,0.22766,4800
1973-09-18,0.00000,1.05208,1.03125,1.05208,0.23463,9600
1973-09-19,0.00000,1.06250,1.04167,1.06250,0.23696,48000
1973-09-20,0.00000,1.06250,1.03125,1.04167,0.23231,52800
1973-09-21,0.00000,1.05208,1.04167,1.04167,0.23231,38400
1973-09-24,0.00000,1.08333,1.05208,1.07292,0.23928,136800
1973-09-25,0.00000,1.08333,1.08333,1.08333,0.24160,7200
1973-09-26,0.00000,1.11458,1.09375,1.09375,0.24393,52800
1973-09-27,0.00000,1.10417,1.10417,1.10417,0.24625,7200
1973-09-28,0.00000,1.13542,1.10417,1.13542,0.25322,36000
1973-10-01,0.00000,1.16667,1.13542,1.16667,0.26019,33600
1973-10-02,0.00000,1.15625,1.11458,1.11458,0.24857,69600
1973-10-03,0.00000,1.13542,1.12500,1.13542,0.25322,16800
1973-10-04,0.00000,1.13542,1.12500,1.13542,0.25322,12000
1973-10-05,0.00000,1.13542,1.13542,1.13542,0.25322,7200
1973-10-08,0.00000,1.14583,1.11458,1.14583,0.25554,45600
1973-10-09,0.00000,1.15625,1.13542,1.15625,0.25786,55200
1973-10-10,0.00000,1.16667,1.12500,1.12500,0.25090,64800
1973-10-11,0.00000,1.14583,1.12500,1.14583,0.25554,19200
1973-10-12,0.00000,1.16667,1.14583,1.16667,0.26019,69600
1973-10-15,0.00000,1.16667,1.14583,1.14583,0.25554,43200
1973-10-16,0.00000,1.16667,1.13542,1.15625,0.25786,31200
1973-10-17,0.00000,1.16667,1.15625,1.16667,0.26019,31200
1973-10-18,0.00000,1.17708,1.15625,1.17708,0.26251,38400
1973-10-19,0.00000,1.19792,1.17708,1.19792,0.26716,81600
1973-10-22,0.00000,1.19792,1.17708,1.17708,0.26251,36000
1973-10-23,0.00000,1.16667,1.13542,1.15625,0.25786,50400
1973-10-24,0.00000,1.15625,1.13542,1.15625,0.25786,48000
