Date,Open,High,Low,Close,Adj Close,Volume
2007-08-15,52.11000,59.87000,51.50000,57.71000,47.94106,10678500
2007-08-16,60.99000,61.49000,52.71000,56.99000,47.34294,6919500
2007-08-17,59.00000,59.00000,54.45000,55.55000,46.14669,3086100
2007-08-20,56.05000,57.50000,55.61000,57.33000,47.62538,2140900
2007-08-21,57.25000,66.59000,56.50000,65.99000,54.81945,7369700
2007-08-22,70.18000,73.95000,66.56000,66.85000,55.53387,10144400
2007-08-23,68.07000,70.88000,65.01000,70.20000,58.31679,4347000
2007-08-24,70.20000,72.65000,69.45000,71.30000,59.23060,3812400
2007-08-27,71.73000,73.35000,71.01000,72.30000,60.06132,2393300
2007-08-28,71.90000,72.10000,66.50000,69.78000,57.96789,3664100
2007-08-29,72.00000,72.48000,67.15000,68.20000,56.65535,3580700
2007-08-30,67.58000,70.00000,66.25000,68.46000,56.87133,1731300
2007-08-31,69.82000,70.11000,68.54000,68.89000,57.22855,921700
2007-09-04,69.06000,69.13000,67.25000,67.45000,56.03230,1353800
2007-09-05,66.55000,66.59000,63.65000,64.21000,53.34076,2245400
2007-09-06,64.60000,70.10000,64.09000,69.79000,57.97620,2599400
2007-09-07,67.01000,71.30000,66.80000,69.50000,57.73529,2668300
2007-09-10,71.99000,79.15000,68.85000,76.76000,63.76634,6667400
2007-09-11,78.70000,82.75000,76.50000,76.65000,63.67496,10613600
2007-09-12,78.44000,80.65000,77.06000,78.30000,65.04566,6005300
2007-09-13,79.55000,80.55000,76.53000,77.79000,64.62199,3253800
2007-09-14,77.22000,79.55000,76.55000,77.92000,64.72998,3093300
2007-09-17,76.15000,77.60000,73.19000,73.70000,61.22433,4773600
2007-09-18,75.35000,75.75000,72.80000,73.90000,61.39047,2931900
2007-09-19,75.30000,78.83000,74.86000,77.60000,64.46415,4228400
2007-09-20,77.66000,79.27000,76.17000,76.65000,63.67496,2464600
2007-09-21,77.35000,79.31000,76.60000,79.31000,65.88468,4114399
2007-09-24,81.00000,85.17000,80.32000,83.83000,69.63956,5649300
