Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00000,0.85448,0.78227,0.78227,0.16751,319700
1980-03-18,0.00000,0.80634,0.72210,0.78227,0.16751,643800
1980-03-19,0.00000,0.86652,0.78227,0.84846,0.18168,404700
1980-03-20,0.00000,0.84245,0.83041,0.83643,0.17911,153500
1980-03-21,0.00000,0.87254,0.84245,0.85448,0.18297,415300
1980-03-24,0.00000,0.87855,0.83041,0.84245,0.18040,184500
1980-03-25,0.00000,0.82440,0.77626,0.77626,0.16622,269900
1980-03-26,0.00000,0.78829,0.76422,0.76422,0.16364,203400
1980-03-27,0.00000,0.75218,0.56564,0.66192,0.14174,674900
1980-03-28,0.00000,0.73413,0.69201,0.73413,0.15720,604200
1980-03-31,0.00000,0.83041,0.74015,0.78829,0.16880,500300
1980-04-01,0.00000,0.80634,0.77024,0.80634,0.17266,250900
1980-04-02,0.00000,0.85448,0.80634,0.81838,0.17524,232500
1980-04-03,0.00000,0.82440,0.81236,0.81236,0.17395,195000
1980-04-07,0.00000,0.83041,0.80032,0.80032,0.17138,215800
1980-04-08,0.00000,0.80032,0.75820,0.78829,0.16880,215800
1980-04-09,0.00000,0.81838,0.77626,0.81838,0.17524,249100
1980-04-10,0.00000,0.86652,0.83041,0.86652,0.18555,317500
1980-04-11,0.00000,0.86652,0.83041,0.83643,0.17911,182700
1980-04-14,0.00000,0.83643,0.81236,0.81838,0.17524,134700
1980-04-15,0.00000,0.83643,0.81838,0.81838,0.17524,141100
1980-04-16,0.00000,0.83041,0.79431,0.79431,0.17009,134700
1980-04-17,0.00000,0.80634,0.75820,0.77024,0.16493,112000
1980-04-18,0.00000,0.78227,0.76422,0.77024,0.16493,24800
1980-04-21,0.00000,0.77626,0.75820,0.75820,0.16236,43400
1980-04-22,0.00000,0.81838,0.77024,0.81236,0.17395,282200
1980-04-23,0.00000,0.83643,0.80032,0.81236,0.17395,178400
1980-04-24,0.00000,0.83041,0.79431,0.81838,0.17524,130600
1980-04-25,0.00000,0.82440,0.80032,0.82440,0.17653,70500
1980-04-28,0.00000,0.83041,0.80032,0.80032,0.17138,294900
1980-04-29,0.00000,0.83041,0.80634,0.83041,0.17782,232500
1980-04-30,0.00000,0.96280,0.82440,0.95076,0.20359,674900
1980-05-01,0.00000,1.00492,0.92669,0.95678,0.20488,712200
1980-05-02,0.00000,1.02297,0.95076,1.01094,0.21647,344600
1980-05-05,0.00000,1.04102,0.97483,0.98687,0.21132,257399
1980-05-06,0.00000,1.00492,0.96882,0.97483,0.20874,286600
1980-05-07,0.00000,0.98687,0.94474,0.94474,0.20230,113900
1980-05-08,0.00000,0.98687,0.93873,0.93873,0.20101,130600
1980-05-09,0.00000,0.93271,0.92068,0.92669,0.19844,99500
1980-05-12,0.00000,0.98085,0.90864,0.96280,0.20617,504400
1980-05-13,0.00000,1.01695,0.99890,1.00492,0.21519,300900
1980-05-14,0.00000,1.00492,0.95076,0.97483,0.20874,170200
1980-05-15,0.00000,0.98687,0.96280,0.96280,0.20617,166000
1980-05-16,0.00000,0.97483,0.95678,0.96882,0.20746,64200
1980-05-19,0.00000,0.98687,0.95076,0.96280,0.20617,186700
1980-05-20,0.00000,0.96882,0.95076,0.96882,0.20746,153500
1980-05-21,0.00000,0.97483,0.94474,0.95076,0.20359,167900
1980-05-22,0.00000,0.96882,0.95678,0.95678,0.20488,120300
1980-05-23,0.00000,0.99288,0.96280,0.98085,0.21003,296800
1980-05-27,0.00000,0.98085,0.95076,0.95076,0.20359,137000
1980-05-28,0.00000,0.95678,0.91466,0.92068,0.19715,261500
1980-05-29,0.00000,0.93873,0.89660,0.93873,0.20101,170200
1980-05-30,0.00000,0.92669,0.90262,0.90864,0.19457,137000
1980-06-02,0.00000,0.91466,0.89660,0.90262,0.19328,182700
1980-06-03,0.00000,0.92669,0.89059,0.89059,0.19070,222000
1980-06-04,0.00000,0.91466,0.89059,0.91466,0.19586,167900
1980-06-05,0.00000,0.92669,0.89660,0.90864,0.19457,147300
1980-06-06,0.00000,0.93873,0.90262,0.93873,0.20101,265800
1980-06-09,0.00000,0.93873,0.90864,0.91466,0.19586,161900
1980-06-10,0.00000,0.92669,0.91466,0.91466,0.19586,47500
1980-06-11,0.00000,0.93873,0.91466,0.92669,0.19844,80700
1980-06-12,0.00000,0.92669,0.89660,0.90864,0.19457,109800
1980-06-13,0.00000,0.93873,0.90864,0.92669,0.19844,170200
1980-06-16,0.00000,0.92669,0.90262,0.91466,0.19586,101400
1980-06-17,0.00000,0.92068,0.89660,0.89660,0.19199,163700
1980-06-18,0.00000,0.92068,0.89059,0.92068,0.19715,554200
1980-06-19,0.00000,0.93271,0.91466,0.92068,0.19715,240700
1980-06-20,0.00000,0.92068,0.89059,0.92068,0.19715,93100
1980-06-23,0.00000,0.97483,0.91466,0.97483,0.20874,298900
1980-06-24,0.00000,1.01695,0.96280,1.01094,0.21647,354800
1980-06-25,0.00000,1.05306,1.02899,1.03501,0.22163,325900
1980-06-26,0.00000,1.03501,1.00492,1.01094,0.21647,128600
1980-06-27,0.00000,1.00492,0.98085,1.00492,0.21519,211700
1980-06-30,0.00000,1.02297,0.99288,1.00492,0.21519,257399
1980-07-01,0.00000,1.05306,1.00492,1.03501,0.22163,276000
1980-07-02,0.00000,1.03501,1.01094,1.01094,0.21647,257399
1980-07-03,0.00000,1.02297,0.99890,0.99890,0.21390,213700
1980-07-07,0.00000,1.02899,0.99890,1.00492,0.21519,107800
1980-07-08,0.00000,1.02297,1.01094,1.01094,0.21647,365400
1980-07-09,0.00000,1.02899,1.01094,1.01094,0.21647,190900
1980-07-10,0.00000,1.01695,1.01094,1.01094,0.21647,80700
1980-07-11,0.00000,1.01094,0.99890,1.01094,0.21647,58000
1980-07-14,0.00000,1.04704,1.01695,1.04704,0.22421,282200
1980-07-15,0.00000,1.05306,1.02297,1.02297,0.21905,174200
1980-07-16,0.00000,1.05908,1.02297,1.05908,0.22678,236600
1980-07-17,0.00000,1.05908,1.04102,1.04704,0.22421,113900
1980-07-18,0.00000,1.07111,1.04704,1.04704,0.22421,477600
1980-07-21,0.00000,1.06509,1.04704,1.06509,0.22807,211700
1980-07-22,0.00000,1.06509,1.02297,1.03501,0.22163,357100
1980-07-23,0.00000,1.05908,0.99890,1.03501,0.22163,481800
1980-07-24,0.00000,1.02297,0.99288,0.99288,0.21261,278200
1980-07-25,0.00000,1.01094,0.99288,0.99890,0.21390,454700
1980-07-28,0.00000,1.01695,0.99288,1.00492,0.21519,269900
1980-07-29,0.00000,1.00492,0.98687,0.99890,0.21390,209400
1980-07-30,0.00000,1.02899,0.99288,0.99890,0.21390,145200
1980-07-31,0.00000,1.02899,0.99288,1.01695,0.21776,166000
1980-08-01,0.00000,1.02297,0.99890,1.01094,0.21647,205300
1980-08-04,0.00000,1.02297,1.00492,1.02297,0.21905,383900
1980-08-05,0.00000,1.08916,1.04704,1.07713,0.23065,602200
1980-08-06,0.00000,1.10722,1.08315,1.10120,0.23580,300900
1980-08-07,0.00000,1.12527,1.08315,1.08916,0.23322,238600
1980-08-08,0.00000,1.10120,1.08315,1.08315,0.23194,315600
1980-08-11,0.00000,1.08315,1.04704,1.06509,0.22807,142900
1980-08-12,0.00000,1.07111,1.04102,1.04102,0.22292,116200
1980-08-13,0.00000,1.05908,1.02297,1.03501,0.22163,182700
1980-08-14,0.00000,1.07713,1.04704,1.07713,0.23065,174200
1980-08-15,0.00000,1.10120,1.04102,1.05306,0.22549,259300
1980-08-18,0.00000,1.04704,1.01094,1.01094,0.21647,282200
1980-08-19,0.00000,1.04102,1.01695,1.02899,0.22034,93100
1980-08-20,0.00000,1.02899,0.99890,1.02297,0.21905,271700
1980-08-21,0.00000,1.03501,1.01695,1.02899,0.22034,166000
1980-08-22,0.00000,1.07111,1.02899,1.03501,0.22163,519100
1980-08-25,0.00000,1.05908,1.02297,1.05908,0.22678,373800
1980-08-26,0.00000,1.05908,1.01094,1.02297,0.21905,184500
1980-08-27,0.00000,1.02297,1.00492,1.01094,0.21647,122200
1980-08-28,0.00000,1.02297,0.99890,1.00492,0.21519,176200
1980-08-29,0.00000,1.02297,1.00492,1.00492,0.21519,178400
1980-09-02,0.00000,1.01695,0.99288,0.99890,0.21390,172100
1980-09-03,0.00000,1.08315,0.99890,1.08315,0.23194,323800
1980-09-04,0.00000,1.08315,1.04102,1.04102,0.22292,101400
1980-09-05,0.00000,1.04704,1.03501,1.03501,0.22163,215800
1980-09-08,0.00000,1.04102,1.02297,1.02297,0.21905,290600
1980-09-09,0.00000,1.02899,0.99890,1.02297,0.21905,97300
1980-09-10,0.00000,1.05306,1.04102,1.04704,0.22421,176200
1980-09-11,0.00000,1.04102,1.02297,1.03501,0.22163,116200
1980-09-12,0.00000,1.02297,1.01094,1.01094,0.21647,142900
1980-09-15,0.00000,1.01094,0.98687,0.98687,0.21132,122200
1980-09-16,0.00000,1.07713,0.98687,1.04704,0.22421,471100
1980-09-17,0.00000,1.07111,1.04704,1.05908,0.22678,342500
1980-09-18,0.00000,1.07111,1.04704,1.05908,0.22678,365400
1980-09-19,0.00000,1.13129,1.05908,1.10722,0.23709,816000
1980-09-22,0.00000,1.13129,1.08916,1.13129,0.24224,292500
1980-09-23,0.00000,1.15536,1.09518,1.09518,0.23451,290600
1980-09-24,0.00000,1.13129,1.08916,1.10722,0.23709,423600
1980-09-25,0.00000,1.11323,1.08315,1.10722,0.23709,286600
1980-09-26,0.00000,1.08315,1.04704,1.05908,0.22678,217800
1980-09-29,0.00000,1.02899,0.98687,0.99890,0.21390,444400
1980-09-30,0.00000,1.02297,0.98687,1.00492,0.21519,323800
1980-10-01,0.00000,1.02297,0.99288,0.99890,0.21390,99500
1980-10-02,0.00000,1.00492,0.99288,0.99288,0.21261,118100
1980-10-03,0.00000,1.01695,1.00492,1.01094,0.21647,178400
1980-10-06,0.00000,1.05908,1.00492,1.03501,0.22163,280100
1980-10-07,0.00000,1.04704,1.01094,1.01094,0.21647,128600
1980-10-08,0.00000,1.02297,1.01094,1.01094,0.21647,205300
1980-10-09,0.00000,1.01094,0.99288,1.01094,0.21647,224200
1980-10-10,0.00000,1.01094,0.98085,0.99890,0.21390,436000
1980-10-13,0.00000,1.01094,0.99288,1.01094,0.21647,97300
1980-10-14,0.00000,1.02297,1.00492,1.00492,0.21519,80700
1980-10-15,0.00000,1.01695,0.98687,0.99890,0.21390,246900
1980-10-16,0.00000,0.99890,0.96280,0.96280,0.20617,292500
1980-10-17,0.00000,0.97483,0.96280,0.97483,0.20874,80700
1980-10-20,0.00000,0.97483,0.95076,0.96280,0.20617,62000
1980-10-21,0.00000,0.96280,0.91466,0.93271,0.19972,357100
1980-10-22,0.00000,0.95076,0.92669,0.92669,0.19844,124400
1980-10-23,0.00000,0.95678,0.92068,0.92669,0.19844,645700
1980-10-24,0.00000,0.92068,0.91466,0.92068,0.19715,236600
1980-10-27,0.00000,0.90864,0.88457,0.89059,0.19070,91200
1980-10-28,0.00000,0.89660,0.87855,0.87855,0.18813,222000
1980-10-29,0.00000,0.89059,0.87855,0.87855,0.18813,234500
1980-10-30,0.00000,0.88457,0.86050,0.86652,0.18555,442200
1980-10-31,0.00000,0.89059,0.85448,0.89059,0.19070,338300
1980-11-03,0.00000,0.91466,0.89059,0.90262,0.19328,215800
1980-11-05,0.00000,0.93271,0.89059,0.89059,0.19070,313300
1980-11-06,0.00000,0.87855,0.85448,0.86652,0.18555,147300
1980-11-07,0.00000,0.86050,0.83643,0.85448,0.18297,390300
1980-11-10,0.00000,0.86652,0.84245,0.84245,0.18040,132800
1980-11-11,0.00000,0.84846,0.82440,0.84846,0.18168,471100
1980-11-12,0.00000,0.85448,0.83041,0.85448,0.18297,197000
1980-11-13,0.00000,0.86652,0.84846,0.85448,0.18297,188600
1980-11-14,0.00000,0.85448,0.80634,0.85448,0.18297,3055300
1980-11-17,0.00000,0.83643,0.81838,0.83643,0.17911,172100
1980-11-18,0.00000,0.83643,0.80634,0.80634,0.17266,282200
1980-11-19,0.00000,0.81838,0.80032,0.80634,0.17266,674900
1980-11-20,0.00000,0.85448,0.80634,0.85448,0.18297,425500
1980-11-21,0.00000,0.87254,0.84245,0.85448,0.18297,230200
1980-11-24,0.00000,0.83041,0.80634,0.83041,0.17782,415300
1980-11-25,0.00000,0.86652,0.84245,0.85448,0.18297,371500
1980-11-26,0.00000,0.87855,0.83643,0.86050,0.18426,246900
1980-11-28,0.00000,0.87855,0.85448,0.87855,0.18813,138900
1980-12-01,0.00000,0.87855,0.83643,0.84245,0.18040,167900
1980-12-02,0.00000,0.86652,0.83643,0.86050,0.18426,142900
1980-12-03,0.00000,0.88457,0.86652,0.88457,0.18942,205300
1980-12-04,0.00000,0.87855,0.86652,0.86652,0.18555,55700
1980-12-05,0.00000,0.85448,0.81236,0.82440,0.17653,113900
1980-12-08,0.00000,0.79431,0.75820,0.75820,0.16236,1129800
1980-12-09,0.00000,0.77024,0.70404,0.74015,0.15849,367300
1980-12-10,0.00000,0.74617,0.71608,0.74015,0.15849,242800
1980-12-11,0.00000,0.72812,0.71608,0.72210,0.15462,502400
1980-12-12,0.00000,0.75820,0.69803,0.73413,0.15720,236600
1980-12-15,0.00000,0.73413,0.71608,0.71608,0.15334,66400
1980-12-16,0.00000,0.72210,0.66192,0.68599,0.14689,411100
1980-12-17,0.00000,0.74617,0.69201,0.74617,0.15978,550200
1980-12-18,0.00000,0.77024,0.73413,0.75218,0.16107,722700
1980-12-19,0.00000,0.75218,0.72812,0.74617,0.15978,142900
1980-12-22,0.00000,0.75820,0.72210,0.73413,0.15720,328100
1980-12-23,0.00000,0.78227,0.74617,0.77024,0.16493,805700
1980-12-24,0.00000,0.80634,0.75820,0.79431,0.17009,209400
1980-12-26,0.00000,0.80634,0.79431,0.79431,0.17009,58000
1980-12-29,0.00000,0.79431,0.76422,0.79431,0.17009,217800
1980-12-30,0.00000,0.79431,0.75820,0.79431,0.17009,280100
1980-12-31,0.00000,0.80634,0.77024,0.80634,0.17266,544000
1981-01-02,0.00000,0.79431,0.77626,0.78829,0.16880,39200
1981-01-05,0.00000,0.81838,0.80032,0.81838,0.17524,236600
1981-01-06,0.00000,0.81838,0.80634,0.81236,0.17395,203400
1981-01-07,0.00000,0.77626,0.77024,0.77626,0.16622,292500
1981-01-08,0.00000,0.77626,0.75218,0.75218,0.16107,70500
1981-01-09,0.00000,0.75820,0.72812,0.74617,0.15978,188600
1981-01-12,0.00000,0.74617,0.71608,0.72812,0.15591,120300
1981-01-13,0.00000,0.73413,0.72210,0.73413,0.15720,78700
1981-01-14,0.00000,0.75218,0.74015,0.74015,0.15849,116200
1981-01-15,0.00000,0.73413,0.70404,0.71608,0.15334,130600
1981-01-16,0.00000,0.72210,0.69803,0.72210,0.15462,180400
1981-01-19,0.00000,0.73413,0.71006,0.71006,0.15205,45600
1981-01-20,0.00000,0.71006,0.69803,0.69803,0.14947,107800
1981-01-21,0.00000,0.69803,0.66794,0.68599,0.14689,575000
1981-01-22,0.00000,0.68599,0.67396,0.67396,0.14432,386100
1981-01-23,0.00000,0.68599,0.67396,0.68599,0.14689,97300
1981-01-26,0.00000,0.71608,0.67998,0.71608,0.15334,361300
1981-01-27,0.00000,0.72210,0.69201,0.71006,0.15205,118100
1981-01-28,0.00000,0.71006,0.69201,0.70404,0.15076,118100
1981-01-29,0.00000,0.70404,0.69201,0.70404,0.15076,82800
1981-01-30,0.00000,0.78227,0.68599,0.78227,0.16751,188600
1981-02-02,0.00000,0.77626,0.68599,0.69803,0.14947,188600
1981-02-03,0.00000,0.72812,0.69201,0.72812,0.15591,359100
1981-02-04,0.00000,0.74617,0.73413,0.73413,0.15720,142900
1981-02-05,0.00000,0.74015,0.72210,0.72210,0.15462,375600
1981-02-06,0.00000,0.71608,0.70404,0.70404,0.15076,257399
1981-02-09,0.00000,0.71006,0.70404,0.70404,0.15076,433900
1981-02-10,0.00000,0.71006,0.69803,0.71006,0.15205,267600
1981-02-11,0.00000,0.70404,0.69201,0.70404,0.15076,138900
1981-02-12,0.00000,0.70404,0.69201,0.69803,0.14947,153500
1981-02-13,0.00000,0.69803,0.67396,0.69803,0.14947,311400
1981-02-17,0.00000,0.69201,0.66192,0.69201,0.14818,72300
1981-02-18,0.00000,0.69803,0.67998,0.69803,0.14947,68200
1981-02-19,0.00000,0.69201,0.67396,0.68599,0.14689,469300
1981-02-20,0.00000,0.68599,0.67396,0.68599,0.14689,242800
1981-02-23,0.00000,0.69201,0.67396,0.67396,0.14432,112000
1981-02-24,0.00000,0.68599,0.65591,0.66192,0.14174,344600
1981-02-25,0.00000,0.66794,0.65591,0.65591,0.14045,51500
1981-02-26,0.00000,0.66192,0.65591,0.65591,0.14045,234500
1981-02-27,0.00000,0.67998,0.66794,0.67396,0.14432,113900
1981-03-02,0.00000,0.67396,0.66192,0.66192,0.14174,325900
1981-03-03,0.00000,0.67998,0.65591,0.66794,0.14303,159600
1981-03-04,0.00000,0.66794,0.64989,0.64989,0.13916,68200
1981-03-05,0.00000,0.65591,0.63785,0.63785,0.13658,151400
1981-03-06,0.00000,0.63785,0.61378,0.61378,0.13143,425500
1981-03-09,0.00000,0.61378,0.57768,0.60175,0.12885,313300
1981-03-10,0.00000,0.63785,0.58971,0.63184,0.13530,238600
1981-03-11,0.00000,0.64989,0.63184,0.64989,0.13916,107800
1981-03-12,0.00000,0.66794,0.63184,0.64989,0.13916,192900
1981-03-13,0.00000,0.66794,0.64989,0.66794,0.14303,180400
1981-03-16,0.00000,0.66794,0.65591,0.66192,0.14174,70500
1981-03-17,0.00000,0.66794,0.63785,0.64989,0.13916,438000
1981-03-18,0.00000,0.65591,0.64989,0.64989,0.13916,113900
1981-03-19,0.00000,0.64989,0.63184,0.64387,0.13787,284300
1981-03-20,0.00000,0.64989,0.63184,0.64989,0.13916,207500
1981-03-23,0.00000,0.65591,0.64989,0.64989,0.13916,188600
1981-03-24,0.00000,0.66794,0.64989,0.65591,0.14045,215800
1981-03-25,0.00000,0.65591,0.64387,0.64989,0.13916,353000
1981-03-26,0.00000,0.68599,0.65591,0.67998,0.14560,550200
1981-03-27,0.00000,0.67998,0.65591,0.67396,0.14432,292500
1981-03-30,0.00000,0.67396,0.66794,0.66794,0.14303,58000
1981-03-31,0.00000,0.69201,0.66794,0.69201,0.14818,282200
1981-04-01,0.00000,0.68599,0.67998,0.68599,0.14689,166000
1981-04-02,0.00000,0.71006,0.69201,0.69803,0.14947,113900
1981-04-03,0.00000,0.69803,0.69201,0.69803,0.14947,62000
1981-04-06,0.00000,0.69201,0.67396,0.68599,0.14689,192900
1981-04-07,0.00000,0.69803,0.67396,0.69803,0.14947,68200
1981-04-08,0.00000,0.69803,0.67396,0.69201,0.14818,166000
1981-04-09,0.00000,0.78227,0.69201,0.78227,0.16751,870100
1981-04-10,0.00000,0.84245,0.77024,0.79431,0.17009,6921300
1981-04-13,0.00000,0.83643,0.80032,0.80634,0.17266,575000
1981-04-14,0.00000,0.81838,0.79431,0.80032,0.17138,454700
1981-04-15,0.00000,0.81838,0.79431,0.81838,0.17524,174200
1981-04-16,0.00000,0.84245,0.80634,0.83643,0.17911,425500
1981-04-20,0.00000,0.84846,0.81838,0.84245,0.18040,718500
1981-04-21,0.00000,0.84245,0.81838,0.81838,0.17524,292500
1981-04-22,0.00000,0.83041,0.80634,0.81236,0.17395,305100
1981-04-23,0.00000,0.81236,0.78227,0.78227,0.16751,186700
1981-04-24,0.00000,0.83041,0.77626,0.81838,0.17524,687200
