Date,Open,High,Low,Close,Adj Close,Volume
1998-01-30,5.18750,6.56250,5.12500,6.37500,5.41334,18256800
1998-02-02,6.84375,9.31250,6.62500,7.75000,6.58092,10127200
1998-02-03,8.25000,8.78125,8.00000,8.25000,7.00550,6244800
1998-02-04,8.21875,8.28125,7.62500,7.90625,6.71360,2106800
1998-02-05,8.06250,8.25000,7.62500,7.64062,6.48804,890800
1998-02-06,7.67188,7.71875,6.87500,6.96875,5.91752,2846800
1998-02-09,6.87500,7.00000,6.40625,6.75000,5.73177,1944800
1998-02-10,6.68750,7.37500,6.53125,7.00000,5.94406,1001200
1998-02-11,7.03125,7.43750,6.90625,7.43750,6.31556,842400
1998-02-12,7.40625,7.90625,7.28125,7.78125,6.60746,1111600
1998-02-13,7.84375,8.00000,7.68750,7.75000,6.58092,544800
1998-02-17,7.84375,8.00000,7.68750,7.81250,6.63399,441600
1998-02-18,7.84375,7.87500,7.71875,7.81250,6.63399,246000
1998-02-19,7.87500,7.96875,7.68750,7.68750,6.52785,318400
1998-02-20,7.68750,8.00000,7.68750,7.96875,6.76667,349200
1998-02-23,7.68750,7.71875,7.21875,7.25000,6.15634,1409600
1998-02-24,7.40625,7.42188,6.68750,6.84375,5.81138,2599200
1998-02-25,7.00000,7.25000,6.81250,7.25000,6.15634,1143200
1998-02-26,7.28125,7.28125,7.06250,7.21875,6.12981,491200
1998-02-27,7.12500,7.21875,7.12500,7.15625,6.07674,573600
1998-03-02,7.15625,7.20312,7.09375,7.10938,6.03693,466400
1998-03-03,7.12500,7.12500,7.00000,7.12500,6.05020,642400
1998-03-04,7.18750,7.18750,6.81250,6.89844,5.85782,377600
1998-03-05,6.71875,6.87500,6.62500,6.67188,5.66543,836800
1998-03-06,6.78125,7.12500,6.68750,7.07812,6.01040,454000
1998-03-09,6.96875,7.93750,6.96875,7.56250,6.42170,1732400
1998-03-10,7.68750,8.28125,7.56250,8.26562,7.01876,1844000
1998-03-11,8.40625,9.18750,8.34375,8.96875,7.61582,2708000
1998-03-12,9.09375,9.65625,9.00000,9.62500,8.17308,1700000
1998-03-13,9.68750,9.93750,9.03125,9.46875,8.04040,1345600
1998-03-16,9.56250,11.43750,9.46875,11.18750,9.49988,3122800
1998-03-17,11.12500,11.71875,10.60938,11.08594,9.41364,1907200
1998-03-18,10.87500,11.12500,10.65625,10.76562,9.14164,800000
1998-03-19,10.81250,10.98438,10.53125,10.78125,9.15491,312400
1998-03-20,10.65625,10.87500,10.14062,10.29688,8.74360,405200
1998-03-23,10.18750,11.21875,10.18750,10.78125,9.15491,1090800
1998-03-24,11.12500,11.53125,10.71875,11.12500,9.44681,1063600
1998-03-25,11.21875,11.25000,10.60938,10.75000,9.12838,441600
1998-03-26,10.75000,10.87500,10.37500,10.50000,8.91609,473600
1998-03-27,10.56250,10.87500,10.40625,10.62500,9.02223,884400
1998-03-30,10.62500,11.18750,10.50000,10.87500,9.23452,868400
1998-03-31,11.06250,11.12500,10.81250,11.00000,9.34066,714400
1998-04-01,11.09375,12.12500,11.00000,12.00000,10.18981,1110000
1998-04-02,11.81250,12.25000,11.03125,11.06250,9.39373,1066400
1998-04-03,11.43750,11.59375,10.59375,10.62500,9.02223,1367200
1998-04-06,10.78125,10.78125,10.21875,10.21875,8.67726,656000
1998-04-07,10.15625,10.18750,9.25000,9.73438,8.26596,1047200
1998-04-08,9.71875,10.81250,9.71875,10.18750,8.65073,977200
1998-04-09,10.87500,11.21875,10.71875,11.00000,9.34066,922800
1998-04-13,11.25000,11.56250,10.65625,11.21875,9.52641,544400
1998-04-14,11.37500,11.87500,10.90625,10.96875,9.31413,575200
1998-04-15,11.15625,11.15625,10.75000,10.75000,9.12838,345600
1998-04-16,10.84375,10.90625,10.68750,10.75000,9.12838,302400
1998-04-17,10.75000,10.81250,10.15625,10.59375,8.99569,410800
1998-04-20,10.62500,10.65625,10.43750,10.43750,8.86301,493600
1998-04-21,10.43750,10.43750,9.62500,10.18750,8.65073,528000
1998-04-22,10.21875,10.40625,9.75000,10.25000,8.70380,570800
1998-04-23,9.93750,10.12500,9.46875,9.53125,8.09347,904800
1998-04-24,9.65625,10.00000,8.50000,8.81250,7.48314,2391200
1998-04-27,8.68750,9.31250,8.28125,9.28125,7.88118,1166800
1998-04-28,9.68750,9.68750,8.78125,9.15625,7.77504,932400
1998-04-29,9.00000,9.12500,8.65625,8.89062,7.54948,585600
1998-04-30,9.28125,9.71875,9.15625,9.59375,8.14654,626400
1998-05-01,9.56250,10.15625,9.50000,10.00000,8.49151,331600
1998-05-04,10.03125,10.28125,9.50000,9.62500,8.17308,523200
1998-05-05,9.40625,9.62500,8.90625,9.01562,7.65563,580800
1998-05-06,9.15625,9.21875,8.68750,8.92188,7.57602,474400
1998-05-07,8.90625,9.00000,8.68750,8.81250,7.48314,218800
1998-05-08,8.87500,9.03125,8.81250,8.87500,7.53622,242000
1998-05-11,8.96875,9.00000,8.53125,8.75000,7.43007,412400
1998-05-12,8.68750,8.84375,8.56250,8.68750,7.37700,247200
1998-05-13,8.56250,9.75000,8.56250,9.56250,8.12001,1270000
1998-05-14,9.65625,9.68750,9.18750,9.31250,7.90772,672000
1998-05-15,9.31250,9.40625,8.93750,9.01562,7.65563,511200
1998-05-18,8.87500,9.03125,8.71875,8.92188,7.57602,1092000
1998-05-19,8.96875,9.15625,8.75000,8.96875,7.61582,1105200
1998-05-20,9.00000,9.06250,8.93750,9.06250,7.69543,83200
1998-05-21,9.31250,9.50000,9.06250,9.43750,8.01386,2386000
1998-05-22,9.71875,9.71875,8.65625,8.84375,7.50968,605600
1998-05-26,9.00000,9.21875,8.50000,8.62500,7.32393,435600
1998-05-27,8.25000,8.43750,8.00000,8.12500,6.89935,956000
1998-05-28,8.31250,8.31250,8.12500,8.18750,6.95242,302800
1998-05-29,8.26562,8.26562,7.96875,7.98438,6.77994,359600
1998-06-01,7.90625,7.98438,7.21875,7.25000,6.15634,1269200
1998-06-02,7.50000,7.50000,6.68750,7.03125,5.97059,1304000
1998-06-03,7.21875,7.43750,7.03125,7.12500,6.05020,336800
1998-06-04,7.34375,7.37500,7.15625,7.18750,6.10327,223600
1998-06-05,7.28125,7.37500,7.18750,7.25000,6.15634,382800
1998-06-08,7.25000,7.31250,6.50000,6.75000,5.73177,1801600
1998-06-09,6.68750,7.00000,6.50000,6.84375,5.81138,1493600
