Date,Open,High,Low,Close,Adj Close,Volume
1991-07-24,4.56250,4.62500,4.50000,4.50000,4.50000,2001000
1991-07-25,4.50000,4.62500,4.50000,4.56250,4.56250,314600
1991-07-26,4.62500,4.62500,4.50000,4.50000,4.50000,2001000
1991-07-29,4.62500,4.62500,4.50000,4.62500,4.62500,75400
1991-07-30,4.62500,4.62500,4.50000,4.50000,4.50000,354400
1991-07-31,4.62500,4.62500,4.50000,4.50000,4.50000,372000
1991-08-01,4.50000,4.56250,4.50000,4.50000,4.50000,157000
1991-08-02,4.62500,4.62500,4.56250,4.56250,4.56250,220800
1991-08-05,4.62500,4.62500,4.50000,4.62500,4.62500,103800
1991-08-06,4.56250,4.62500,4.56250,4.62500,4.62500,124600
1991-08-07,4.62500,4.62500,4.50000,4.50000,4.50000,222400
1991-08-08,4.62500,4.62500,4.50000,4.56250,4.56250,97000
1991-08-09,4.50000,4.62500,4.50000,4.50000,4.50000,172000
1991-08-12,4.50000,4.62500,4.50000,4.50000,4.50000,41600
1991-08-13,4.62500,4.62500,4.50000,4.50000,4.50000,63000
1991-08-14,4.62500,4.62500,4.56250,4.62500,4.62500,102200
1991-08-15,4.50000,4.62500,4.50000,4.50000,4.50000,31800
1991-08-16,4.62500,4.62500,4.50000,4.50000,4.50000,69800
1991-08-19,4.43750,4.50000,4.18750,4.37500,4.37500,75400
1991-08-20,4.37500,4.43750,4.25000,4.37500,4.37500,57800
1991-08-21,4.43750,4.43750,4.31250,4.43750,4.43750,14000
1991-08-22,4.43750,4.50000,4.31250,4.37500,4.37500,41400
1991-08-23,4.50000,4.50000,4.31250,4.31250,4.31250,17000
1991-08-26,4.50000,4.56250,4.31250,4.56250,4.56250,77600
1991-08-27,4.56250,4.68750,4.50000,4.62500,4.62500,72600
1991-08-28,4.62500,4.68750,4.50000,4.68750,4.68750,73400
1991-08-29,4.68750,4.93750,4.56250,4.93750,4.93750,178000
1991-08-30,4.93750,5.18750,4.81250,5.18750,5.18750,145800
1991-09-03,5.18750,5.50000,5.12500,5.12500,5.12500,326200
1991-09-04,5.12500,5.25000,5.00000,5.00000,5.00000,139000
1991-09-05,5.00000,5.18750,5.00000,5.00000,5.00000,145000
1991-09-06,5.12500,5.12500,5.00000,5.00000,5.00000,35800
