Date,Open,High,Low,Close,Adj Close,Volume
1983-11-21,7.93933,7.95339,7.37726,7.89718,1.32086,5020600
1983-11-22,7.89718,8.00959,7.85502,7.86907,1.31616,2666700
1983-11-23,7.86907,7.89718,7.78476,7.82692,1.30910,1151900
1983-11-25,7.82692,7.84097,7.74261,7.74261,1.29500,1771800
1983-11-28,7.70045,7.70045,7.50372,7.53183,1.25975,2367800
1983-11-29,7.51778,7.51778,7.43346,7.44752,1.24565,1630400
1983-11-30,7.44752,7.50372,7.41941,7.44752,1.24565,2423100
1983-12-01,7.44752,7.50372,7.40536,7.44752,1.24565,6249000
1983-12-02,7.44752,7.53183,7.39131,7.43346,1.24330,1763800
1983-12-05,7.43346,7.44752,7.34915,7.34915,1.22920,1084300
1983-12-06,7.34915,7.40536,7.34915,7.37726,1.23390,2176500
1983-12-07,7.37726,7.50372,7.37726,7.44752,1.24565,4855900
1983-12-08,7.44752,7.48967,7.43346,7.46157,1.24800,7360000
1983-12-09,7.46157,7.51778,7.46157,7.47562,1.25035,5222400
1983-12-12,7.47562,7.51778,7.46157,7.48967,1.25270,2834900
1983-12-13,7.50372,7.63019,7.50372,7.60209,1.27150,6692900
1983-12-14,7.60209,7.65830,7.60209,7.63019,1.27620,2520800
1983-12-15,7.63019,7.63019,7.57398,7.57398,1.26680,2323400
1983-12-16,7.57398,7.64424,7.57398,7.61614,1.27385,2452400
1983-12-19,7.61614,7.61614,7.58804,7.58804,1.26915,1610800
1983-12-20,7.58804,7.61614,7.53183,7.54588,1.26210,1937400
1983-12-21,7.54588,7.57398,7.47562,7.50372,1.25505,1935600
1983-12-22,7.48967,7.48967,7.40536,7.40536,1.23860,4871100
1983-12-23,7.40536,7.41941,7.34915,7.36320,1.23155,2338500
1983-12-27,7.34915,7.34915,7.30700,7.32105,1.22450,3004800
1983-12-28,7.32105,7.39131,7.32105,7.37726,1.23390,4580100
1983-12-29,7.37726,7.40536,7.36320,7.36320,1.23155,2998600
1983-12-30,7.36320,7.37726,7.32105,7.33510,1.22685,1745100
1984-01-03,7.37726,7.55993,7.37726,7.54588,1.26210,1973700
1984-01-04,7.58804,7.91123,7.58804,7.77071,1.29970,3632800
1984-01-05,7.82692,7.99554,7.82692,7.84097,1.31146,3759100
1984-01-06,7.81287,8.03770,7.81287,7.98149,1.33496,4508100
1984-01-09,7.98149,7.98149,7.88313,7.88313,1.31851,1791400
1984-01-10,7.88313,7.91123,7.85502,7.91123,1.32321,1571700
1984-01-11,7.91123,7.95339,7.91123,7.92528,1.32556,1258500
1984-01-12,7.92528,7.98149,7.91123,7.98149,1.33496,1421300
1984-01-13,8.02364,8.12201,8.02364,8.03770,1.34436,3148000
1984-01-16,8.09390,8.26253,8.09390,8.10796,1.35611,2448900
1984-01-17,8.13606,8.20632,8.13606,8.17822,1.36786,2151700
1984-01-18,8.17822,8.20632,8.13606,8.20632,1.37256,2929200
1984-01-19,8.20632,8.24848,8.16416,8.20632,1.37256,1812700
1984-01-20,8.20632,8.26253,8.20632,8.26253,1.38196,2088500
1984-01-23,8.26253,8.26253,8.22037,8.22037,1.37491,1159800
1984-01-24,8.22037,8.23442,8.20632,8.20632,1.37256,1173100
1984-01-25,8.20632,8.26253,8.20632,8.22037,1.37491,1711300
1984-01-26,8.22037,8.24848,8.17822,8.17822,1.36786,2941600
1984-01-27,8.17822,8.40305,8.17822,8.29063,1.38666,3006600
1984-01-30,8.29063,8.31874,8.22037,8.26253,1.38196,2378600
1984-01-31,8.26253,8.30468,8.24848,8.30468,1.38902,1618900
1984-02-01,8.30468,8.37494,8.24848,8.33279,1.39372,1755800
1984-02-02,8.33279,8.43115,8.29063,8.40305,1.40547,3180900
1984-02-03,8.40305,8.44520,8.27658,8.27658,1.38432,2632000
1984-02-06,8.26253,8.26253,8.19227,8.23442,1.37726,1496100
1984-02-07,8.22037,8.22037,8.12201,8.22037,1.37491,2166000
1984-02-08,8.19227,8.19227,7.92528,7.92528,1.32556,3898000
1984-02-09,7.92528,8.00959,7.92528,7.93933,1.32791,2035200
1984-02-10,7.91123,7.91123,7.82692,7.89718,1.32086,1963100
1984-02-13,7.89718,7.92528,7.82692,7.88313,1.31851,2589400
1984-02-14,7.88313,8.00959,7.88313,7.98149,1.33496,2308300
1984-02-15,7.98149,8.03770,7.91123,8.03770,1.34436,3431800
1984-02-16,8.09390,8.15011,8.09390,8.15011,1.36316,2198000
1984-02-17,8.15011,8.23442,8.10796,8.15011,1.36316,2092100
1984-02-21,8.15011,8.15011,8.05175,8.06580,1.34906,901900
1984-02-22,8.06580,8.07985,7.96744,7.96744,1.33261,2301900
1984-02-23,7.96744,7.98149,7.78476,7.88313,1.31851,3991400
1984-02-24,7.88313,8.00959,7.85502,7.99554,1.33731,2882900
1984-02-27,7.98149,7.98149,7.92528,7.96744,1.33261,1392900
1984-02-28,7.96744,7.99554,7.78476,7.82692,1.30910,1844000
1984-02-29,7.82692,7.98149,7.82692,7.95339,1.33026,1538700
1984-03-01,7.95339,8.09390,7.93933,8.07985,1.35141,1686500
1984-03-02,8.13606,8.26253,8.13606,8.19227,1.37021,2618700
1984-03-05,8.17822,8.17822,8.03770,8.03770,1.34436,1004100
1984-03-06,8.03770,8.09390,7.99554,8.05175,1.34671,1658000
1984-03-07,8.05175,8.07985,8.00959,8.02364,1.34201,1157200
1984-03-08,8.02364,8.05175,7.96744,8.00959,1.33966,1531700
1984-03-09,8.00959,8.00959,7.88313,7.93933,1.32791,1591300
1984-03-12,7.93933,8.00959,7.89718,7.93933,1.32791,2020000
1984-03-13,7.93933,8.00959,7.91123,7.95339,1.33026,3405000
1984-03-14,7.96744,7.99554,7.92528,7.96744,1.33261,2823300
1984-03-15,7.96744,8.07985,7.95339,7.95339,1.33026,2071600
1984-03-16,8.00959,8.09390,8.00959,8.05175,1.34671,2681000
1984-03-19,8.03770,8.03770,7.95339,7.96744,1.33261,2359000
1984-03-20,7.96744,8.02364,7.92528,8.02364,1.34201,1939900
1984-03-21,8.02364,8.02364,7.96744,7.99554,1.33731,1823500
1984-03-22,7.99554,8.00959,7.95339,7.98149,1.33496,3875700
1984-03-23,7.98149,8.02364,7.92528,8.02364,1.34201,2400800
1984-03-26,7.88313,7.92528,7.86907,7.88313,1.34874,2479000
1984-03-27,7.88313,7.92528,7.86907,7.88313,1.34874,2479000
1984-03-28,7.89718,7.93933,7.89718,7.89718,1.35114,1105600
1984-03-29,7.91123,7.95339,7.91123,7.92528,1.35595,1230200
1984-03-30,7.92528,7.98149,7.91123,7.91123,1.35355,1709600
1984-04-02,7.91123,7.91123,7.75666,7.81287,1.33672,3476200
1984-04-03,7.81287,7.85502,7.78476,7.81287,1.33672,3167600
1984-04-04,7.81287,7.86907,7.72856,7.72856,1.32230,1837600
1984-04-05,7.72856,7.77071,7.61614,7.63019,1.30547,1261200
1984-04-06,7.64424,7.70045,7.64424,7.67235,1.31268,1395500
1984-04-09,7.67235,7.71450,7.55993,7.55993,1.29344,1220200
1984-04-10,7.55993,7.63019,7.55993,7.55993,1.29344,1908800
1984-04-11,7.55993,7.57398,7.41941,7.48967,1.28142,1806600
1984-04-12,7.48967,7.50372,7.41941,7.48967,1.28142,2258400
1984-04-13,7.48967,7.55993,7.41941,7.46157,1.27662,3348100
1984-04-16,7.46157,7.48967,7.43346,7.44752,1.27421,1379500
1984-04-17,7.46157,7.58804,7.46157,7.54588,1.29104,6448300
1984-04-18,7.54588,7.63019,7.51778,7.51778,1.28623,3972600
1984-04-19,7.51778,7.51778,7.47562,7.50372,1.28383,2277100
1984-04-23,7.50372,7.55993,7.47562,7.53183,1.28864,1508600
1984-04-24,7.53183,7.70045,7.50372,7.64424,1.30787,1869700
