Date,Open,High,Low,Close,Adj Close,Volume
1995-11-17,3.75000,3.81250,3.75000,3.78125,3.75964,12706000
1995-11-20,3.75000,3.78125,3.75000,3.75000,3.72857,1213200
1995-11-21,3.75000,3.78125,3.75000,3.75000,3.72857,909600
1995-11-22,3.75000,3.78125,3.75000,3.75000,3.72857,1314800
1995-11-24,3.75000,3.78125,3.75000,3.75000,3.72857,275200
1995-11-27,3.75000,3.78125,3.75000,3.75000,3.72857,1011600
1995-11-28,3.62500,3.62500,3.31250,3.53125,3.51107,3952000
1995-11-29,3.50000,3.56250,3.34375,3.43750,3.41786,708400
1995-11-30,3.43750,3.75000,3.40625,3.68750,3.66643,1346000
1995-12-01,3.68750,3.68750,3.53125,3.56250,3.54214,790800
1995-12-04,3.53125,3.75000,3.50000,3.71875,3.69750,548000
1995-12-05,3.75000,3.78125,3.68750,3.75000,3.72857,892800
1995-12-06,3.78125,3.90625,3.78125,3.81250,3.79071,521200
1995-12-07,3.81250,3.81250,3.71875,3.71875,3.69750,217600
1995-12-08,3.68750,3.78125,3.59375,3.75000,3.72857,265200
1995-12-11,3.75000,3.78125,3.71875,3.75000,3.72857,392400
1995-12-12,3.78125,3.84375,3.71875,3.78125,3.75964,1363200
1995-12-13,3.90625,4.09375,3.84375,4.03125,4.00821,1664000
1995-12-14,4.06250,4.21875,4.06250,4.18750,4.16357,1551600
1995-12-15,4.18750,4.31250,4.15625,4.25000,4.22571,902800
1995-12-18,4.25000,4.28125,3.96875,4.15625,4.13250,646400
1995-12-19,4.12500,4.12500,4.00000,4.12500,4.10143,324400
1995-12-20,4.12500,4.25000,4.12500,4.15625,4.13250,274000
1995-12-21,4.28125,4.50000,4.21875,4.37500,4.35000,660000
1995-12-22,4.40625,4.50000,4.37500,4.40625,4.38107,422800
1995-12-26,4.43750,4.50000,4.40625,4.40625,4.38107,156800
1995-12-27,4.43750,4.53125,4.37500,4.50000,4.47429,230400
1995-12-28,4.50000,4.50000,4.43750,4.46875,4.44321,213200
1995-12-29,4.50000,4.56250,4.43750,4.56250,4.53643,179600
1996-01-02,4.50000,4.53125,4.28125,4.34375,4.31893,456800
1996-01-03,4.28125,4.40625,4.18750,4.40625,4.38107,147600
1996-01-04,4.46875,4.68750,4.46875,4.56250,4.53643,385200
1996-01-05,4.50000,4.81250,4.50000,4.68750,4.66071,620800
1996-01-08,4.65625,4.81250,4.65625,4.78125,4.75393,67600
1996-01-09,4.75000,4.75000,4.71875,4.71875,4.69179,192400
1996-01-10,4.71875,4.75000,4.59375,4.59375,4.56750,305600
1996-01-11,4.62500,4.65625,4.56250,4.56250,4.53643,369600
1996-01-12,4.59375,4.59375,4.25000,4.37500,4.35000,232000
1996-01-15,4.37500,4.56250,4.37500,4.50000,4.47429,158400
1996-01-16,4.50000,4.56250,4.43750,4.43750,4.41214,52000
1996-01-17,4.37500,4.43750,4.28125,4.37500,4.35000,117600
1996-01-18,4.37500,4.43750,4.31250,4.43750,4.41214,56000
1996-01-19,4.46875,4.68750,4.46875,4.68750,4.66071,1279200
1996-01-22,4.75000,4.96875,4.75000,4.75000,4.72286,1138400
1996-01-23,4.75000,4.84375,4.75000,4.78125,4.75393,170400
1996-01-24,4.84375,5.03125,4.81250,5.03125,5.00250,371200
1996-01-25,5.00000,5.28125,5.00000,5.06250,5.03357,771200
1996-01-26,5.06250,5.06250,4.81250,4.93750,4.90929,776400
1996-01-29,4.96875,5.15625,4.87500,5.15625,5.12679,970800
1996-01-30,5.15625,5.21875,5.06250,5.12500,5.09571,222400
1996-01-31,5.15625,5.25000,4.96875,4.96875,4.94036,294000
1996-02-01,4.96875,4.96875,4.90625,4.96875,4.94036,273600
1996-02-02,4.96875,4.96875,4.68750,4.81250,4.78500,175600
1996-02-05,4.78125,4.87500,4.75000,4.87500,4.84714,80400
1996-02-06,4.87500,4.87500,4.68750,4.71875,4.69179,898400
1996-02-07,4.75000,4.75000,4.59375,4.68750,4.66071,900800
1996-02-08,4.62500,4.71875,4.59375,4.62500,4.59857,136800
1996-02-09,4.68750,4.78125,4.68750,4.75000,4.72286,302800
1996-02-12,4.78125,4.87500,4.75000,4.87500,4.84714,122800
1996-02-13,4.84375,4.96875,4.75000,4.90625,4.87821,122400
1996-02-14,4.93750,4.93750,4.87500,4.90625,4.87821,41200
1996-02-15,4.90625,4.90625,4.68750,4.75000,4.72286,83600
1996-02-16,4.78125,4.81250,4.65625,4.81250,4.78500,138000
1996-02-20,4.78125,4.93750,4.75000,4.90625,4.87821,168400
1996-02-21,4.93750,5.18750,4.93750,5.09375,5.06464,284800
1996-02-22,5.15625,5.25000,5.09375,5.21875,5.18893,472800
1996-02-23,5.21875,5.25000,5.09375,5.15625,5.12679,694400
1996-02-26,5.18750,5.37500,5.15625,5.31250,5.28214,184400
1996-02-27,5.37500,5.37500,5.12500,5.18750,5.15786,131200
1996-02-28,5.15625,5.25000,5.09375,5.15625,5.12679,134400
1996-02-29,5.12500,5.18750,5.06250,5.06250,5.03357,212400
1996-03-01,5.12500,5.18750,5.06250,5.15625,5.12679,246000
1996-03-04,5.18750,5.25000,5.00000,5.00000,4.97143,212000
1996-03-05,5.00000,5.18750,5.00000,5.06250,5.03357,137200
1996-03-06,5.03125,5.12500,5.03125,5.12500,5.09571,37200
1996-03-07,5.15625,5.40625,5.15625,5.25000,5.22000,190800
