Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,0.00000,0.88281,0.88021,0.88021,0.15504,249600
1972-06-02,0.88281,0.89062,0.88281,0.88281,0.15550,172800
1972-06-05,0.88281,0.89583,0.88021,0.89583,0.15780,302400
1972-06-06,0.89583,0.91146,0.89323,0.89583,0.15780,196800
1972-06-07,0.89583,0.89583,0.88802,0.88802,0.15642,48000
1972-06-08,0.88802,0.89583,0.88542,0.89062,0.15688,144000
1972-06-09,0.89062,0.89583,0.88542,0.89062,0.15688,43200
1972-06-12,0.89583,0.90104,0.89583,0.90104,0.15871,24000
1972-06-13,0.89844,0.89844,0.88542,0.88542,0.15596,76800
1972-06-14,0.88542,0.89062,0.88542,0.88542,0.15596,244800
1972-06-15,0.89062,0.89323,0.89062,0.89323,0.15734,206400
1972-06-16,0.89323,0.90104,0.89323,0.90104,0.15871,48000
1972-06-19,0.89583,0.89583,0.89323,0.89323,0.15734,91200
1972-06-20,0.89323,0.89583,0.89323,0.89583,0.15780,14400
1972-06-21,0.89583,0.89583,0.89323,0.89323,0.15734,48000
1972-06-22,0.89323,0.90104,0.89062,0.90104,0.15871,86400
1972-06-23,0.90625,0.91406,0.90625,0.91406,0.16101,96000
1972-06-26,0.91406,0.91667,0.90625,0.91667,0.16147,62400
1972-06-27,0.92188,0.92708,0.92188,0.92188,0.16238,67200
1972-06-28,0.92969,0.94792,0.92969,0.94792,0.16697,144000
1972-06-29,0.94531,0.94531,0.94531,0.94531,0.16651,28800
1972-06-30,0.94792,0.95833,0.94792,0.95833,0.16881,72000
1972-07-03,0.95833,0.97396,0.95833,0.97396,0.17156,57600
1972-07-05,0.97396,0.97396,0.96354,0.96354,0.16972,211200
1972-07-06,0.96875,1.01042,0.96875,1.01042,0.17798,254400
1972-07-07,1.01042,1.02604,1.01042,1.01562,0.17890,412800
1972-07-10,1.01562,1.02083,1.01042,1.02083,0.17982,0
1972-07-11,1.02083,1.02344,1.01562,1.02083,0.17982,2904000
1972-07-12,1.02083,1.02604,1.02083,1.02083,0.17982,259200
1972-07-13,1.02083,1.03125,1.02083,1.03125,0.18165,225600
1972-07-14,1.03125,1.03125,1.02344,1.03125,0.18165,172800
1972-07-17,1.03125,1.03385,1.02604,1.03385,0.18211,62400
1972-07-18,1.03385,1.04167,1.02865,1.03646,0.18257,220800
1972-07-19,1.03646,1.04167,1.03125,1.04167,0.18348,24000
1972-07-20,1.04167,1.04167,1.03385,1.03906,0.18303,76800
1972-07-21,1.03906,1.04688,1.03906,1.04688,0.18440,273600
1972-07-24,1.04688,1.04688,1.04167,1.04427,0.18394,225600
1972-07-25,1.04427,1.05729,1.04427,1.05469,0.18578,278400
1972-07-26,1.05729,1.05990,1.05729,1.05990,0.18670,86400
1972-07-27,1.05990,1.05990,1.04167,1.04167,0.18348,518400
1972-07-28,1.04688,1.05208,1.04688,1.04948,0.18486,67200
1972-07-31,1.04948,1.04948,1.04427,1.04948,0.18625,86400
1972-08-01,1.04948,1.06771,1.04427,1.06250,0.18856,264000
1972-08-02,1.06250,1.07812,1.05729,1.07292,0.19041,211200
1972-08-03,1.07292,1.07812,1.06250,1.07812,0.19133,264000
1972-08-04,1.08333,1.09375,1.08333,1.08854,0.19318,681600
1972-08-07,1.09896,1.10417,1.09896,1.10156,0.19549,206400
1972-08-08,1.10156,1.10156,1.09896,1.09896,0.19503,547200
1972-08-09,1.09896,1.10417,1.09375,1.09375,0.19410,244800
1972-08-10,1.09896,1.10417,1.09896,1.10417,0.19595,153600
1972-08-11,1.10417,1.10417,1.10156,1.10417,0.19595,86400
1972-08-14,1.10417,1.11458,1.10417,1.10938,0.19688,124800
1972-08-15,1.11458,1.12500,1.11458,1.11719,0.19826,120000
1972-08-16,1.12500,1.13542,1.12500,1.13021,0.20057,81600
1972-08-17,1.13281,1.13542,1.13281,1.13281,0.20104,67200
1972-08-18,1.14583,1.16146,1.14583,1.15365,0.20473,321600
1972-08-21,1.15365,1.15885,1.15365,1.15885,0.20566,19200
1972-08-22,1.16146,1.17708,1.16146,1.17708,0.20889,350400
1972-08-23,1.17708,1.18229,1.17188,1.18229,0.20982,177600
1972-08-24,1.18229,1.18750,1.18229,1.18750,0.21074,72000
1972-08-25,1.18490,1.18490,1.17708,1.17969,0.20936,244800
1972-08-28,1.17969,1.18229,1.17448,1.17448,0.20843,81600
1972-08-29,1.17188,1.17188,1.17188,1.17188,0.20797,52800
1972-08-30,1.17188,1.17448,1.16667,1.16667,0.20704,91200
1972-08-31,1.16927,1.17188,1.16927,1.16927,0.20751,33600
1972-09-01,1.16927,1.17448,1.16927,1.17448,0.20843,48000
1972-09-05,1.17448,1.17708,1.16927,1.16927,0.20751,172800
1972-09-06,1.16667,1.16667,1.16146,1.16406,0.20658,100800
1972-09-07,1.15885,1.15885,1.15104,1.15104,0.20427,33600
1972-09-08,1.14583,1.14583,1.13021,1.14323,0.20288,211200
1972-09-11,1.14323,1.14583,1.14062,1.14583,0.20335,33600
1972-09-12,1.14844,1.15885,1.14844,1.15625,0.20520,139200
1972-09-13,1.15625,1.16146,1.15625,1.15625,0.20520,134400
1972-09-14,1.15625,1.16146,1.15625,1.15625,0.20520,230400
1972-09-15,1.15625,1.16146,1.15625,1.16146,0.20612,0
1972-09-18,1.15625,1.15625,1.14844,1.15625,0.20520,91200
1972-09-19,1.15625,1.15625,1.15625,1.15625,0.20520,52800
1972-09-20,1.15625,1.15625,1.14583,1.14583,0.20335,187200
1972-09-21,1.14844,1.15625,1.14844,1.15625,0.20520,72000
1972-09-22,1.15625,1.16146,1.15625,1.15625,0.20520,67200
1972-09-25,1.15625,1.15885,1.15104,1.15104,0.20427,144000
1972-09-26,1.15104,1.15104,1.13802,1.14583,0.20335,134400
