Date,Open,High,Low,Close,Adj Close,Volume
1988-06-22,4.62500,4.75000,4.62500,4.62500,2.78627,18200
1988-06-23,4.50000,4.50000,4.25000,4.25000,2.56036,51100
1988-06-24,4.37500,4.37500,4.37500,4.37500,2.63566,11800
1988-06-27,4.37500,4.37500,4.25000,4.25000,2.56036,13200
1988-06-28,4.25000,4.25000,4.00000,4.00000,2.40975,16200
1988-06-29,4.12500,4.25000,4.12500,4.12500,2.48505,8900
1988-06-30,4.37500,4.50000,4.37500,4.37500,2.63566,47300
1988-07-01,4.75000,4.87500,4.75000,4.75000,2.86157,29100
1988-07-05,4.75000,4.87500,4.62500,4.62500,2.78627,14000
1988-07-06,4.62500,4.62500,4.50000,4.50000,2.71096,20000
1988-07-07,4.50000,4.62500,4.50000,4.50000,2.71096,6900
1988-07-08,4.50000,4.50000,4.37500,4.37500,2.63566,9300
1988-07-11,4.37500,4.50000,4.37500,4.37500,2.63566,31400
1988-07-12,4.37500,4.62500,4.37500,4.37500,2.63566,3600
1988-07-13,4.50000,4.62500,4.50000,4.50000,2.71096,2800
1988-07-14,4.50000,4.62500,4.37500,4.37500,2.63566,26400
1988-07-15,4.37500,4.62500,4.37500,4.37500,2.63566,13000
1988-07-18,4.37500,4.50000,4.25000,4.25000,2.56036,10500
1988-07-19,4.25000,4.37500,4.12500,4.12500,2.48505,7500
1988-07-20,4.12500,4.12500,3.87500,3.87500,2.33444,31400
1988-07-21,4.00000,4.12500,4.00000,4.00000,2.40975,13200
1988-07-22,4.00000,4.12500,3.87500,3.87500,2.33444,21100
1988-07-25,3.87500,4.12500,3.87500,3.87500,2.33444,2000
1988-07-26,3.87500,4.00000,3.87500,3.87500,2.33444,26900
1988-07-27,3.87500,4.00000,3.87500,3.87500,2.33444,1900
1988-07-28,3.87500,4.00000,3.87500,3.87500,2.33444,10300
1988-07-29,3.87500,4.00000,3.87500,3.87500,2.33444,14200
1988-08-01,4.00000,4.12500,4.00000,4.00000,2.40975,19700
1988-08-02,4.00000,4.12500,3.87500,3.87500,2.33444,17500
1988-08-03,3.87500,4.00000,3.75000,3.75000,2.25914,33600
1988-08-04,3.75000,3.87500,3.62500,3.62500,2.18383,1300
1988-08-05,3.75000,3.87500,3.75000,3.75000,2.25914,2900
1988-08-08,3.75000,3.87500,3.75000,3.75000,2.25914,9400
1988-08-09,3.62500,3.62500,3.50000,3.50000,2.10853,26000
1988-08-10,3.37500,3.37500,3.25000,3.25000,1.95792,41100
1988-08-11,3.37500,3.50000,3.37500,3.37500,2.03322,8900
1988-08-12,3.37500,3.50000,3.37500,3.37500,2.03322,2000
1988-08-15,3.37500,3.37500,3.25000,3.25000,1.95792,12500
1988-08-16,3.25000,3.37500,3.12500,3.12500,1.88261,13700
1988-08-17,2.87500,2.87500,2.75000,2.75000,1.65670,43200
1988-08-18,2.75000,2.87500,2.75000,2.75000,1.65670,15500
1988-08-19,2.75000,2.87500,2.75000,2.75000,1.65670,13400
1988-08-22,2.75000,2.75000,2.62500,2.62500,1.58140,12400
1988-08-23,2.75000,2.87500,2.75000,2.75000,1.65670,21500
1988-08-24,2.75000,2.75000,2.62500,2.62500,1.58140,5500
1988-08-25,2.62500,2.75000,2.62500,2.62500,1.58140,800
1988-08-26,2.87500,2.87500,2.87500,2.87500,1.73200,14500
1988-08-29,2.87500,2.87500,2.75000,2.75000,1.65670,3900
1988-08-30,2.75000,2.87500,2.75000,2.75000,1.65670,1000
1988-08-31,2.75000,2.87500,2.75000,2.75000,1.65670,6200
1988-09-01,2.75000,2.75000,2.75000,2.75000,1.65670,0
1988-09-02,2.75000,2.87500,2.75000,2.75000,1.65670,400
1988-09-06,2.75000,2.87500,2.75000,2.75000,1.65670,7300
1988-09-07,2.50000,2.50000,2.37500,2.37500,1.43079,16400
1988-09-08,2.87500,3.00000,2.87500,2.87500,1.73200,102000
1988-09-09,3.25000,3.25000,3.25000,3.25000,1.95792,143900
1988-09-12,3.25000,3.25000,3.12500,3.12500,1.88261,10300
1988-09-13,3.00000,3.00000,2.87500,2.87500,1.73200,15500
1988-09-14,3.00000,3.12500,3.00000,3.00000,1.80731,18700
1988-09-15,3.00000,3.00000,3.00000,3.00000,1.80731,11100
1988-09-16,3.12500,3.12500,3.12500,3.12500,1.88261,11500
1988-09-19,3.12500,3.12500,3.00000,3.00000,1.80731,13100
1988-09-20,3.00000,3.12500,3.00000,3.00000,1.80731,7000
1988-09-21,3.00000,3.12500,3.00000,3.00000,1.80731,6700
1988-09-22,3.00000,3.00000,2.87500,2.87500,1.73200,9900
1988-09-23,2.87500,3.00000,2.87500,2.87500,1.73200,5900
1988-09-26,2.87500,3.00000,2.87500,2.87500,1.73200,2300
1988-09-27,2.87500,3.00000,2.75000,2.75000,1.65670,12400
1988-09-28,2.75000,3.00000,2.75000,2.75000,1.65670,2500
1988-09-29,2.75000,2.87500,2.75000,2.75000,1.65670,5600
1988-09-30,2.75000,2.75000,2.62500,2.62500,1.58140,17600
1988-10-03,2.62500,2.75000,2.50000,2.50000,1.50609,15500
1988-10-04,2.62500,2.75000,2.62500,2.62500,1.58140,2900
