Date,Open,High,Low,Close,Adj Close,Volume
1972-08-25,0.06348,0.06470,0.06348,0.06445,0.03682,2508800
1972-08-28,0.06445,0.06494,0.06421,0.06421,0.03668,972800
1972-08-29,0.06396,0.06396,0.06348,0.06348,0.03627,1945600
1972-08-30,0.06348,0.06348,0.06299,0.06348,0.03627,409600
1972-08-31,0.06299,0.06299,0.06250,0.06250,0.03571,870400
1972-09-01,0.06274,0.06299,0.06274,0.06299,0.03599,256000
1972-09-05,0.06299,0.06299,0.06250,0.06250,0.03571,563200
1972-09-06,0.06299,0.06299,0.06299,0.06299,0.03599,256000
1972-09-07,0.06299,0.06299,0.06274,0.06274,0.03585,1177600
1972-09-08,0.06250,0.06250,0.06226,0.06226,0.03557,665600
1972-09-11,0.06274,0.06274,0.06274,0.06274,0.03585,921600
1972-09-12,0.06274,0.06274,0.06274,0.06274,0.03585,614400
1972-09-13,0.06274,0.06274,0.06274,0.06274,0.03585,153600
1972-09-14,0.06274,0.06323,0.06250,0.06323,0.03613,1280000
1972-09-15,0.06299,0.06299,0.06274,0.06274,0.03585,512000
1972-09-18,0.06299,0.06323,0.06299,0.06299,0.03599,1075200
1972-09-19,0.06274,0.06274,0.06226,0.06250,0.03571,3123200
1972-09-20,0.06201,0.06201,0.06201,0.06201,0.03543,51200
1972-09-21,0.06152,0.06152,0.06006,0.06006,0.03431,1433600
1972-09-22,0.05981,0.05981,0.05786,0.05786,0.03306,870400
1972-09-25,0.05762,0.05762,0.05615,0.05615,0.03208,972800
1972-09-26,0.05615,0.05615,0.05566,0.05591,0.03194,716800
1972-09-27,0.05542,0.05542,0.05469,0.05469,0.03124,665600
1972-09-28,0.05566,0.05664,0.05566,0.05615,0.03208,1433600
1972-09-29,0.05664,0.05688,0.05664,0.05688,0.03250,256000
1972-10-02,0.05737,0.05957,0.05737,0.05957,0.03404,1638400
1972-10-03,0.06006,0.06055,0.06006,0.06055,0.03459,512000
1972-10-04,0.06079,0.06226,0.06079,0.06177,0.03529,1536000
1972-10-05,0.06140,0.06140,0.06006,0.06006,0.03431,1382400
1972-10-06,0.05981,0.05981,0.05762,0.05762,0.03292,9779200
1972-10-09,0.05810,0.05859,0.05810,0.05859,0.03348,1280000
1972-10-10,0.05859,0.05859,0.05859,0.05859,0.03348,0
1972-10-11,0.05859,0.05884,0.05810,0.05884,0.03362,460800
1972-10-12,0.05859,0.05859,0.05835,0.05835,0.03334,358400
1972-10-13,0.05835,0.05835,0.05835,0.05835,0.03334,51200
1972-10-16,0.05810,0.05810,0.05688,0.05688,0.03250,665600
1972-10-17,0.05688,0.05810,0.05640,0.05786,0.03306,2457600
1972-10-18,0.05835,0.06250,0.05835,0.06201,0.03543,7782400
1972-10-19,0.06201,0.06250,0.06201,0.06226,0.03557,10598400
1972-10-20,0.06177,0.06177,0.06177,0.06177,0.03529,51200
1972-10-23,0.06177,0.06177,0.06152,0.06152,0.03515,460800
1972-10-24,0.06177,0.06177,0.06177,0.06177,0.03529,102400
1972-10-25,0.06128,0.06128,0.06055,0.06055,0.03459,1228800
1972-10-26,0.06104,0.06104,0.06104,0.06104,0.03487,51200
1972-10-27,0.06128,0.06128,0.06128,0.06128,0.03501,204800
1972-10-30,0.06128,0.06152,0.06079,0.06104,0.03487,1331200
1972-10-31,0.06128,0.06299,0.06128,0.06299,0.03599,716800
1972-11-01,0.06372,0.06592,0.06372,0.06592,0.03766,2252800
1972-11-02,0.06641,0.06714,0.06641,0.06641,0.03794,716800
1972-11-03,0.06616,0.06616,0.06592,0.06616,0.03780,1433600
1972-11-06,0.06616,0.06616,0.06616,0.06616,0.03780,153600
1972-11-08,0.06641,0.06714,0.06641,0.06690,0.03822,716800
1972-11-09,0.06690,0.06690,0.06641,0.06690,0.03822,819200
1972-11-10,0.06690,0.06690,0.06690,0.06690,0.03822,0
