Date,Open,High,Low,Close,Adj Close,Volume
1973-05-03,18.83333,19.33333,18.45833,19.08333,4.15529,116700
1973-05-04,19.58333,19.95833,19.58333,19.66667,4.28231,256800
1973-05-07,19.66667,19.70833,19.54167,19.58333,4.26416,55800
1973-05-08,19.58333,19.58333,19.41667,19.58333,4.26416,80100
1973-05-09,19.58333,19.79167,19.54167,19.66667,4.28231,66900
1973-05-10,19.66667,19.66667,19.41667,19.41667,4.22787,61800
1973-05-11,19.41667,19.41667,18.91667,19.16667,4.17344,76500
1973-05-14,18.91667,18.91667,18.66667,18.87500,4.10993,46200
1973-05-15,18.87500,19.08333,18.66667,19.08333,4.15529,90300
1973-05-16,19.08333,19.29167,19.08333,19.29167,4.20066,39900
1973-05-17,19.29167,19.33333,19.04167,19.29167,4.20066,56100
1973-05-18,19.25000,19.25000,18.87500,19.16667,4.17344,85200
1973-05-21,19.08333,19.08333,18.79167,18.83333,4.10085,138300
1973-05-22,18.87500,19.08333,18.87500,18.87500,4.10993,51300
1973-05-23,18.91667,19.20833,18.91667,19.16667,4.17344,91500
1973-05-24,19.16667,19.62500,19.16667,19.62500,4.27323,45300
1973-05-25,19.66667,20.08333,19.66667,19.95833,4.34582,82800
1973-05-29,19.83333,19.83333,19.33333,19.33333,4.20973,25500
1973-05-30,19.33333,19.33333,19.20833,19.29167,4.20066,16800
1973-05-31,19.16667,19.16667,18.83333,18.83333,4.10085,82800
1973-06-01,18.83333,19.16667,18.70833,18.95833,4.12807,70800
1973-06-04,18.95833,19.00000,18.83333,18.83333,4.10085,31800
1973-06-05,18.83333,19.16667,18.70833,18.91667,4.11900,85500
1973-06-06,18.91667,19.08333,18.83333,18.83333,4.10085,27000
1973-06-07,18.87500,19.16667,18.87500,19.00000,4.13714,47100
1973-06-08,19.08333,19.54167,19.08333,19.54167,4.25509,83400
1973-06-11,19.66667,19.91667,19.66667,19.83333,4.31860,39600
1973-06-12,19.83333,20.08333,19.70833,20.08333,4.37304,144600
1973-06-13,20.08333,20.29167,19.62500,19.83333,4.31860,80400
1973-06-14,19.79167,19.79167,19.66667,19.79167,4.30953,138900
1973-06-15,19.70833,19.70833,19.58333,19.66667,4.28231,26400
1973-06-18,19.66667,19.66667,19.16667,19.25000,4.19158,131400
1973-06-19,19.25000,19.45833,18.95833,19.29167,4.20066,88800
1973-06-20,19.29167,19.33333,19.08333,19.33333,4.20973,91200
1973-06-21,19.33333,19.33333,19.16667,19.25000,4.19158,118200
1973-06-22,19.25000,19.66667,19.16667,19.16667,4.17344,43500
1973-06-25,19.16667,19.29167,19.08333,19.08333,4.15529,16800
1973-06-26,19.08333,19.25000,19.00000,19.25000,4.19158,18900
1973-06-27,19.25000,19.29167,19.00000,19.25000,4.19158,86400
1973-06-28,19.33333,19.58333,19.33333,19.58333,4.26416,21900
1973-06-29,19.58333,19.62500,19.41667,19.58333,4.26416,75300
1973-07-02,19.58333,19.66667,19.45833,19.62500,4.27323,39300
1973-07-03,19.62500,20.04167,19.62500,20.00000,4.35489,63000
1973-07-05,20.00000,20.25000,19.79167,20.16667,4.39118,60900
1973-07-06,20.16667,20.29167,20.16667,20.29167,4.41840,32400
1973-07-09,20.29167,20.66667,20.29167,20.58333,4.48191,39600
1973-07-10,20.95833,21.45833,20.95833,21.00000,4.57264,81600
1973-07-11,21.33333,21.58333,21.33333,21.45833,4.67244,169200
1973-07-12,21.45833,21.50000,21.16667,21.33333,4.64522,142800
1973-07-13,21.33333,21.33333,20.83333,20.95833,4.56356,64500
1973-07-16,20.95833,21.25000,20.91667,21.08333,4.59078,46500
1973-07-17,21.16667,21.33333,21.16667,21.16667,4.60892,144000
1973-07-18,21.16667,21.25000,21.04167,21.04167,4.58171,51000
1973-07-19,21.04167,21.33333,20.87500,21.16667,4.60892,135000
1973-07-20,21.16667,21.45833,21.16667,21.45833,4.67244,95100
1973-07-23,21.45833,21.66667,21.45833,21.54167,4.69058,102600
1973-07-24,21.54167,21.70833,21.50000,21.62500,4.70872,126600
1973-07-25,21.62500,22.54167,21.62500,22.54167,4.90832,235200
1973-07-26,22.54167,22.83333,22.50000,22.50000,4.89925,183600
1973-07-27,22.41667,22.41667,21.91667,22.00000,4.79038,70500
1973-07-30,21.91667,21.91667,21.50000,21.70833,4.72687,125700
1973-07-31,21.66667,21.66667,21.41667,21.45833,4.67244,128400
1973-08-01,21.45833,21.79167,21.41667,21.66667,4.71780,77400
1973-08-02,21.66667,21.70833,21.58333,21.66667,4.71780,112500
1973-08-03,21.66667,22.00000,21.66667,21.95833,4.78131,75300
1973-08-06,22.00000,22.50000,22.00000,22.45833,4.89018,159000
1973-08-07,22.54167,22.83333,22.54167,22.83333,4.97183,71700
1973-08-08,23.00000,23.33333,23.00000,23.16667,5.04442,193500
1973-08-09,23.25000,23.45833,23.25000,23.45833,5.10792,252300
1973-08-10,23.45833,23.66667,23.33333,23.66667,5.15329,169800
1973-08-13,23.66667,23.66667,23.50000,23.50000,5.11700,116100
1973-08-14,23.41667,23.41667,22.66667,22.70833,4.94461,97500
1973-08-15,22.70833,23.08333,22.66667,23.00000,5.00812,81600
1973-08-16,23.00000,23.20833,22.87500,22.91667,4.98998,48600
1973-08-17,22.83333,22.83333,22.66667,22.70833,4.94461,75000
1973-08-20,22.66667,22.66667,22.41667,22.50000,4.89925,83700
1973-08-21,22.54167,22.70833,22.54167,22.54167,4.90832,45900
1973-08-22,22.54167,22.62500,22.50000,22.54167,4.90832,50700
1973-08-23,22.62500,23.33333,22.62500,23.33333,5.08070,109200
1973-08-24,23.29167,23.29167,22.87500,23.25000,5.06256,189000
1973-08-27,23.16667,23.16667,23.04167,23.16667,5.04442,66000
1973-08-28,23.16667,23.33333,23.04167,23.08333,5.02627,122400
1973-08-29,23.08333,23.29167,23.04167,23.08333,5.02627,73500
1973-08-30,23.08333,23.25000,22.70833,23.08333,5.02627,60000
1973-08-31,23.00000,23.00000,22.70833,22.83333,4.97183,28800
1973-09-04,22.79167,22.79167,22.16667,22.50000,4.89925,104100
1973-09-05,22.54167,22.79167,22.54167,22.62500,4.92647,129000
1973-09-06,22.62500,22.83333,22.62500,22.79167,4.96276,61200
1973-09-07,22.70833,22.70833,22.62500,22.70833,4.94461,87600
1973-09-10,22.70833,22.70833,22.54167,22.62500,4.92647,120900
1973-09-11,22.54167,22.54167,22.04167,22.33333,4.86296,135000
1973-09-12,22.29167,22.29167,21.62500,21.70833,4.72687,141600
1973-09-13,21.70833,22.08333,21.70833,21.79167,4.74502,126900
1973-09-14,21.79167,22.08333,21.70833,22.08333,4.80852,74400
1973-09-17,22.16667,22.50000,22.16667,22.33333,4.86296,114300
1973-09-18,22.33333,22.33333,22.08333,22.25000,4.84482,152700
1973-09-19,22.25000,23.16667,22.25000,23.16667,5.04442,66600
1973-09-20,23.20833,23.66667,23.20833,23.54167,5.12607,159000
1973-09-21,23.45833,23.45833,23.20833,23.33333,5.08070,58800
1973-09-24,23.29167,23.29167,23.16667,23.16667,5.04442,143700
1973-09-25,23.04167,23.04167,22.70833,22.70833,4.94461,64500
1973-09-26,22.70833,23.08333,22.70833,23.00000,5.00812,72000
1973-09-27,23.00000,23.70833,23.00000,23.54167,5.12607,132600
1973-09-28,23.50000,23.50000,23.33333,23.41667,5.09885,44700
1973-10-01,23.41667,23.45833,23.25000,23.41667,5.09885,42900
1973-10-02,23.66667,23.95833,23.66667,23.95833,5.21680,75000
1973-10-03,24.54167,24.95833,24.54167,24.70833,5.38010,129300
1973-10-04,24.70833,25.08333,24.66667,24.70833,5.38010,204000
1973-10-05,24.70833,24.95833,24.54167,24.91667,5.42547,78000
1973-10-08,24.91667,25.20833,24.66667,25.20833,5.48898,121200
1973-10-09,25.50000,25.66667,25.50000,25.58333,5.57063,99900
1973-10-10,25.58333,25.91667,25.54167,25.91667,5.64321,95400
1973-10-11,26.33333,26.70833,26.33333,26.70833,5.81559,56100
1973-10-12,26.70833,27.41667,26.50000,26.66667,5.80652,129600
1973-10-15,26.58333,26.58333,26.20833,26.50000,5.77023,62400
1973-10-16,26.50000,26.50000,25.70833,26.08333,5.67950,96000
1973-10-17,26.08333,26.08333,25.70833,25.70833,5.59785,50400
1973-10-18,25.70833,26.08333,25.66667,25.83333,5.62507,41400
1973-10-19,25.70833,25.70833,24.91667,24.95833,5.43454,83100
1973-10-22,24.70833,24.70833,24.50000,24.66667,5.37103,26100
1973-10-23,24.66667,24.95833,24.33333,24.91667,5.42547,85500
1973-10-24,24.91667,25.29167,24.87500,25.25000,5.49805,56100
1973-10-25,25.25000,25.50000,25.16667,25.25000,5.49805,66000
1973-10-26,25.25000,25.50000,25.20833,25.33333,5.51620,72600
1973-10-29,25.33333,25.91667,25.33333,25.66667,5.58878,87000
1973-10-30,25.66667,25.66667,25.25000,25.29167,5.50712,100500
1973-10-31,25.20833,25.20833,24.95833,24.95833,5.43454,81900
1973-11-01,24.95833,25.04167,24.66667,24.66667,5.37103,53700
1973-11-02,24.66667,24.66667,23.83333,23.91667,5.20772,69900
1973-11-05,23.91667,24.20833,23.66667,23.70833,5.16236,82800
1973-11-06,23.70833,24.41667,23.70833,24.16667,5.26216,120900
1973-11-07,24.29167,24.54167,24.29167,24.54167,5.34381,52800
1973-11-08,24.70833,25.08333,24.70833,25.08333,5.46176,73500
1973-11-09,25.08333,25.25000,24.45833,24.45833,5.32567,105300
1973-11-12,24.45833,24.87500,24.41667,24.83333,5.40732,80100
1973-11-13,24.83333,24.95833,24.54167,24.87500,5.41640,147600
1973-11-14,24.87500,24.87500,24.25000,24.54167,5.34381,73800
1973-11-15,24.54167,24.66667,24.33333,24.54167,5.34381,79500
1973-11-16,24.54167,24.95833,24.50000,24.62500,5.36196,109200
1973-11-19,24.50000,24.50000,23.83333,24.04167,5.23494,33600
1973-11-20,24.04167,24.41667,23.87500,24.41667,5.31660,87600
1973-11-21,24.50000,25.25000,24.50000,24.87500,5.41640,73800
1973-11-23,24.87500,24.95833,24.87500,24.95833,5.43454,61200
1973-11-26,24.83333,24.83333,24.20833,24.45833,5.32567,80400
1973-11-27,24.45833,24.50000,24.16667,24.25000,5.28030,68700
1973-11-28,24.25000,24.50000,24.16667,24.50000,5.33474,66900
1973-11-29,24.50000,24.62500,24.33333,24.33333,5.29845,78600
1973-11-30,24.33333,24.33333,23.70833,23.70833,5.16236,53400
1973-12-03,23.50000,23.50000,22.83333,23.08333,5.02627,96300
1973-12-04,23.08333,23.45833,23.04167,23.33333,5.08070,106800
1973-12-05,23.33333,23.41667,23.08333,23.08333,5.02627,147000
1973-12-06,23.08333,23.79167,23.08333,23.79167,5.18050,73500
1973-12-07,24.66667,24.83333,24.66667,24.83333,5.40732,75000
1973-12-10,24.91667,26.25000,24.91667,26.25000,5.71579,122100
1973-12-11,26.33333,26.95833,26.33333,26.54167,5.77930,93900
1973-12-12,25.91667,25.91667,25.16667,25.66667,5.58878,139600
