Date,Open,High,Low,Close,Adj Close,Volume
2002-09-25,16.10000,16.10000,16.10000,16.10000,14.40158,1000
2002-09-26,16.10000,16.40000,16.10000,16.40000,14.66994,111900
2002-09-27,16.25000,16.30000,16.05000,16.10000,14.40158,37100
2002-09-30,16.00000,17.25000,15.80000,17.25000,15.43027,903300
2002-10-01,17.20000,17.65000,16.78000,16.78000,15.00985,662400
2002-10-02,16.78000,16.78000,15.35000,15.70000,14.04378,592100
2002-10-03,15.55000,16.38000,15.55000,16.10000,14.40158,650400
2002-10-04,16.00000,16.10000,15.55000,15.68000,14.02589,380200
2002-10-07,15.75000,16.00000,15.00000,15.00000,13.41763,594700
2002-10-08,14.40000,14.40000,13.77000,14.04000,12.55890,416600
2002-10-09,14.10000,14.25000,13.95000,14.00000,12.52312,291800
2002-10-10,13.95000,14.00000,13.23000,13.49000,12.06692,739900
2002-10-11,13.59000,13.88000,13.45000,13.60000,12.16531,487200
2002-10-14,13.40000,14.38000,13.40000,14.17000,12.67518,166200
2002-10-15,14.12000,14.98000,14.12000,14.95000,13.37290,318500
2002-10-16,14.85000,14.95000,14.12000,14.15000,12.65729,274100
2002-10-17,14.15000,14.48000,14.14000,14.39000,12.87197,1012300
2002-10-18,14.40000,14.93000,14.20000,14.76000,13.20294,342600
2002-10-21,14.55000,14.94000,14.50000,14.77000,13.21189,263500
2002-10-22,14.75000,15.10000,14.60000,15.10000,13.50708,279900
2002-10-23,15.10000,15.38000,15.00000,15.34000,13.72176,372600
2002-10-24,15.30000,15.48000,15.26000,15.48000,13.84698,395500
2002-10-25,15.48000,15.48000,15.05000,15.37000,13.74859,265100
2002-10-28,15.35000,15.42000,15.25000,15.35000,13.73070,442600
2002-10-29,15.35000,15.35000,15.20000,15.34000,13.72176,202200
2002-10-30,15.35000,16.08000,15.35000,16.00000,14.31213,197100
2002-10-31,16.00000,16.03000,15.90000,15.90000,14.22268,257100
2002-11-01,15.90000,16.00000,15.72000,16.00000,14.31213,159800
2002-11-04,15.97000,16.10000,15.75000,15.85000,14.17796,120800
2002-11-05,15.85000,15.85000,15.45000,15.61000,13.96328,252700
2002-11-06,15.65000,15.73000,15.50000,15.55000,13.90960,190700
2002-11-07,15.50000,15.65000,15.05000,15.57000,13.92750,207000
2002-11-08,15.49000,15.49000,14.80000,15.10000,13.50708,78600
2002-11-11,14.85000,15.16000,14.72000,15.15000,13.55180,41500
2002-11-12,15.08000,15.15000,14.92000,15.12000,13.52497,43400
2002-11-13,15.12000,15.12000,14.60000,14.60000,13.05982,395300
2002-11-14,14.60000,14.83000,14.45000,14.69000,13.14033,58500
2002-11-15,14.55000,14.71000,14.26000,14.60000,13.05982,149700
2002-11-18,14.53000,14.70000,14.18000,14.70000,13.14927,181400
2002-11-19,14.63000,14.81000,14.52000,14.80000,13.23873,199700
2002-11-20,14.80000,15.28000,14.80000,15.28000,13.66808,236900
2002-11-21,15.25000,15.34000,14.90000,15.14000,13.54285,306100
2002-11-22,15.20000,15.33000,15.12000,15.22000,13.61442,260100
2002-11-25,15.22000,15.60000,15.22000,15.55000,13.90960,280800
2002-11-26,15.48000,15.57000,15.36000,15.40000,13.77543,29200
2002-11-27,15.37000,15.50000,15.35000,15.43000,13.80226,47400
2002-11-29,15.37000,15.50000,15.12000,15.12000,13.52497,61700
2002-12-02,15.50000,16.01000,15.35000,15.83000,14.16007,293300
