Date,Open,High,Low,Close,Adj Close,Volume
1990-06-12,1.08333,1.25000,1.08333,1.16667,0.82542,28022400
1990-06-13,1.16667,1.31250,1.12500,1.29167,0.91386,10702800
1990-06-14,1.29167,1.35417,1.25000,1.33333,0.94334,5994000
1990-06-15,1.33333,1.33333,1.27083,1.29167,0.91386,3896400
1990-06-18,1.31250,1.31250,1.22917,1.23958,0.87701,2242800
1990-06-19,1.22917,1.29167,1.20833,1.28125,0.90649,6829200
1990-06-20,1.29167,1.29167,1.25000,1.27083,0.89912,931200
1990-06-21,1.25000,1.27083,1.22917,1.27083,0.89912,842400
1990-06-22,1.27083,1.27083,1.22917,1.26042,0.89175,1428000
1990-06-25,1.25000,1.29167,1.22917,1.25000,0.88438,1849200
1990-06-26,1.27083,1.29167,1.22917,1.22917,0.86964,1482000
1990-06-27,1.22917,1.31250,1.22917,1.28125,0.90649,7206000
1990-06-28,1.29167,1.29167,1.25000,1.27083,0.89912,2084400
1990-06-29,1.27083,1.27083,1.25000,1.25000,0.88438,2312400
1990-07-02,1.25000,1.27083,1.22917,1.23958,0.87701,596400
1990-07-03,1.25000,1.25000,1.20833,1.25000,0.88438,1974000
1990-07-05,1.22917,1.25000,1.22917,1.22917,0.86964,1177200
1990-07-06,1.25000,1.25000,1.20833,1.25000,0.88438,396000
1990-07-09,1.27083,1.27083,1.22917,1.22917,0.86964,534000
1990-07-10,1.22917,1.33333,1.22917,1.29167,0.91386,3079200
1990-07-11,1.29167,1.33333,1.27083,1.27083,0.89912,1683600
1990-07-12,1.31250,1.31250,1.25000,1.27083,0.89912,4863600
1990-07-13,1.31250,1.33333,1.27083,1.33333,0.94334,3573600
1990-07-16,1.35417,1.37500,1.27083,1.33333,0.94334,4029600
1990-07-17,1.33333,1.35417,1.31250,1.33333,0.94334,2526000
1990-07-18,1.35417,1.41667,1.33333,1.37500,0.97282,3375600
1990-07-19,1.37500,1.39583,1.35417,1.36458,0.96545,943200
1990-07-20,1.39583,1.39583,1.35417,1.35417,0.95808,630000
1990-07-23,1.35417,1.37500,1.25000,1.27083,0.89912,1952400
1990-07-24,1.29167,1.31250,1.20833,1.23958,0.87701,1084800
1990-07-25,1.25000,1.31250,1.22917,1.29167,0.91386,1543200
1990-07-26,1.31250,1.31250,1.27083,1.27083,0.89912,447600
1990-07-27,1.27083,1.29167,1.27083,1.27083,0.89912,122400
1990-07-30,1.25000,1.27083,1.14583,1.22917,0.86964,1852800
1990-07-31,1.22917,1.27083,1.18750,1.20833,0.85490,1010400
1990-08-01,1.22917,1.22917,1.18750,1.22917,0.86964,411600
1990-08-02,1.18750,1.20833,1.10417,1.14583,0.81068,1917600
1990-08-03,1.14583,1.16667,1.10417,1.11198,0.78673,829200
1990-08-06,1.10417,1.10417,1.00000,1.04167,0.73698,1581600
1990-08-07,1.10417,1.12500,1.06250,1.10417,0.78120,1156800
1990-08-08,1.10417,1.18750,1.10417,1.18750,0.84016,824400
1990-08-09,1.18750,1.20833,1.16667,1.16667,0.82542,1260000
1990-08-10,1.18750,1.18750,1.12500,1.16667,0.82542,532800
1990-08-13,1.10417,1.12500,1.08333,1.11458,0.78857,454800
1990-08-14,1.12500,1.14583,1.10417,1.13542,0.80331,829200
1990-08-15,1.16667,1.18750,1.16667,1.18750,0.84016,282000
1990-08-16,1.16667,1.16667,1.08333,1.08333,0.76646,682800
1990-08-17,1.08333,1.12500,1.02083,1.12500,0.79594,1612800
1990-08-20,1.10417,1.12500,1.08333,1.10417,0.78120,337200
1990-08-21,1.12500,1.12500,1.06250,1.10417,0.78120,1185600
1990-08-22,1.14583,1.15625,1.08333,1.10417,0.78120,1306800
1990-08-23,1.06250,1.10417,1.04167,1.06250,0.75172,416400
1990-08-24,1.10417,1.12500,1.10417,1.10417,0.78120,1162800
1990-08-27,1.14583,1.20833,1.12500,1.20833,0.85490,1048800
1990-08-28,1.16667,1.22917,1.14583,1.22917,0.86964,604800
1990-08-29,1.22917,1.22917,1.18750,1.18750,0.84016,176400
1990-08-30,1.18750,1.20833,1.18750,1.18750,0.84016,159600
1990-08-31,1.18750,1.25000,1.18750,1.25000,0.88438,530400
1990-09-04,1.22917,1.31250,1.22917,1.29167,0.91386,428400
1990-09-05,1.29167,1.31250,1.25000,1.27083,0.89912,591600
1990-09-06,1.25000,1.27083,1.22917,1.22917,0.86964,451200
1990-09-07,1.22917,1.25000,1.12500,1.12500,0.79594,994800
1990-09-10,1.16667,1.21875,1.16667,1.16667,0.82542,157200
1990-09-11,1.18750,1.18750,1.14583,1.14583,0.81068,129600
1990-09-12,1.15625,1.20833,1.14583,1.20833,0.85490,123600
1990-09-13,1.20833,1.22917,1.16667,1.18750,0.84016,633600
1990-09-14,1.20833,1.22917,1.18750,1.18750,0.84016,390000
1990-09-17,1.22917,1.22917,1.20833,1.22917,0.86964,325200
1990-09-18,1.20833,1.25000,1.20833,1.20833,0.85490,247200
1990-09-19,1.25000,1.25000,1.20833,1.22917,0.86964,154800
1990-09-20,1.22917,1.25000,1.20833,1.20833,0.85490,1401600
1990-09-21,1.20833,1.22917,1.18750,1.19792,0.84753,417600
1990-09-24,1.22917,1.22917,1.06250,1.10417,0.78120,675600
1990-09-25,1.12500,1.14583,1.08333,1.14583,0.81068,188400
1990-09-26,1.10417,1.12500,1.10417,1.10417,0.78120,308400
1990-09-27,1.10417,1.11458,1.06250,1.06250,0.75172,2011200
1990-09-28,1.07292,1.09375,1.04167,1.06250,0.75172,1371600
1990-10-01,1.06250,1.10417,1.06250,1.10417,0.78120,243600
1990-10-02,1.10417,1.10417,0.98958,1.02083,0.72224,1134000
1990-10-03,0.97917,1.02083,0.91667,0.91667,0.64854,1458000
1990-10-04,0.91667,0.93750,0.89583,0.91667,0.64854,1016400
1990-10-05,0.91667,0.91667,0.85417,0.89583,0.63380,1014000
1990-10-08,0.91667,0.91667,0.85417,0.85417,0.60432,538800
1990-10-09,0.85417,0.87500,0.85417,0.85417,0.60432,499200
1990-10-10,0.85417,0.87500,0.83333,0.85417,0.60432,1071600
1990-10-11,0.87500,0.89583,0.79167,0.81250,0.57485,3974400
1990-10-12,0.87500,0.87500,0.83333,0.85417,0.60432,5568000
1990-10-15,0.85417,0.89583,0.83333,0.87500,0.61906,1084800
1990-10-16,0.87500,0.91667,0.85417,0.88542,0.62644,1050000
1990-10-17,0.87500,0.93750,0.87500,0.91667,0.64854,850800
1990-10-18,0.93750,0.95833,0.91667,0.91667,0.64854,1166400
1990-10-19,0.97917,0.97917,0.91667,0.92708,0.65591,489600
1990-10-22,0.91667,1.02083,0.91667,0.97917,0.69276,1016400
1990-10-23,0.97917,1.00000,0.95833,0.96875,0.68539,1111200
1990-10-24,0.95833,0.96875,0.91667,0.92708,0.65591,5236800
1990-10-25,0.91667,0.95833,0.89583,0.91667,0.64854,1035599
1990-10-26,0.93750,0.93750,0.91667,0.93750,0.66328,379200
1990-10-29,0.93750,0.95833,0.93750,0.93750,0.66328,259200
1990-10-30,0.93750,0.95833,0.91667,0.93750,0.66328,1630800
1990-10-31,0.95833,0.95833,0.89583,0.93750,0.66328,4252800
1990-11-01,0.93750,0.96875,0.93750,0.94792,0.67065,298800
1990-11-02,0.95833,1.04167,0.95833,1.02083,0.72224,1642800
1990-11-05,1.02083,1.04167,1.00000,1.02083,0.72224,480000
1990-11-06,1.00000,1.05208,1.00000,1.02083,0.72224,123600
1990-11-07,1.03125,1.04167,1.00000,1.01042,0.71487,1714800
1990-11-08,1.00000,1.06250,1.00000,1.02083,0.72224,685200
1990-11-09,1.04167,1.04167,1.02083,1.02083,0.72224,432000
1990-11-12,1.04167,1.08333,1.03125,1.08333,0.76646,3751200
1990-11-13,1.04167,1.14583,1.04167,1.10417,0.78120,4142399
1990-11-14,1.13542,1.16667,1.12500,1.14583,0.81068,2535600
1990-11-15,1.14583,1.16667,1.10417,1.14583,0.81068,1124400
1990-11-16,1.12500,1.14583,1.12500,1.12500,0.79594,735600
1990-11-19,1.12500,1.14583,1.12500,1.12500,0.79594,646800
1990-11-20,1.14583,1.14583,1.10417,1.11458,0.78857,1335600
1990-11-21,1.11458,1.12500,1.10417,1.10417,0.78120,493200
1990-11-23,1.10417,1.10417,1.00000,1.02083,0.72224,3679200
1990-11-26,1.02083,1.04167,0.97917,1.02083,0.72224,1342800
1990-11-27,1.02083,1.06250,1.02083,1.06250,0.75172,2979600
1990-11-28,1.04167,1.06250,1.04167,1.06250,0.75172,613200
1990-11-29,1.06250,1.06250,1.02083,1.06250,0.75172,820800
1990-11-30,1.06250,1.06250,1.02083,1.06250,0.75172,1185600
1990-12-03,1.04167,1.10417,1.04167,1.10417,0.78120,391200
1990-12-04,1.10417,1.14583,1.06250,1.12500,0.79594,962400
1990-12-05,1.12500,1.16667,1.10417,1.14583,0.81068,409200
1990-12-06,1.14583,1.22917,1.14583,1.18750,0.84016,1465200
1990-12-07,1.18750,1.18750,1.08333,1.08333,0.76646,1101600
1990-12-10,1.10417,1.10417,1.00000,1.02083,0.72224,10371600
1990-12-11,1.04167,1.06250,1.01042,1.04167,0.73698,5992800
1990-12-12,1.08333,1.14583,1.04167,1.12500,0.79594,9889200
1990-12-13,1.16667,1.16667,1.10417,1.10417,0.78120,760800
1990-12-14,1.10417,1.10417,1.06250,1.09375,0.77383,782400
1990-12-17,1.08333,1.10417,1.06250,1.08333,0.76646,502800
1990-12-18,1.08333,1.12500,1.06250,1.10417,0.78120,548400
1990-12-19,1.08333,1.12500,1.08333,1.12500,0.79594,1502400
1990-12-20,1.09375,1.12500,1.08333,1.10417,0.78120,2398800
1990-12-21,1.08333,1.10417,1.08333,1.09375,0.77383,2666400
1990-12-24,1.08333,1.08333,1.08333,1.08333,0.76646,49200
1990-12-26,1.10417,1.18750,1.08333,1.14583,0.81068,2749200
1990-12-27,1.14583,1.14583,1.11458,1.11458,0.78857,646800
1990-12-28,1.12500,1.12500,1.10417,1.12500,0.79594,730800
1990-12-31,1.12500,1.14583,1.12500,1.14583,0.81068,194400
1991-01-02,1.12500,1.14583,1.10417,1.12500,0.79594,882000
1991-01-03,1.10417,1.14583,1.10417,1.12500,0.79594,202800
1991-01-04,1.12500,1.12500,1.10417,1.10417,0.78120,102000
1991-01-07,1.10417,1.10417,1.04167,1.05208,0.74435,1748400
1991-01-08,1.06250,1.10417,1.06250,1.10417,0.78120,2110800
1991-01-09,1.10417,1.16667,1.10417,1.12500,0.79594,1891200
1991-01-10,1.14583,1.25000,1.12500,1.20833,0.85490,6001200
1991-01-11,1.25000,1.27083,1.16667,1.18750,0.84016,5066400
1991-01-14,1.14583,1.18750,1.10417,1.16667,0.82542,477600
1991-01-15,1.12500,1.16667,1.12500,1.12500,0.79594,494400
1991-01-16,1.16667,1.25000,1.12500,1.22917,0.86964,2119200
1991-01-17,1.31250,1.33333,1.22917,1.33333,0.94334,12290400
1991-01-18,1.29167,1.33333,1.29167,1.32292,0.93597,6109200
1991-01-21,1.31250,1.33333,1.28125,1.33333,0.94334,6109200
1991-01-22,1.31250,1.45833,1.31250,1.42708,1.00967,7083600
1991-01-23,1.43750,1.43750,1.39583,1.42708,1.00967,3000000
1991-01-24,1.43750,1.50000,1.39583,1.45833,1.03178,5228400
1991-01-25,1.47917,1.50000,1.41667,1.41667,1.00230,9901200
1991-01-28,1.45833,1.50000,1.41667,1.47917,1.04652,4154399
1991-01-29,1.50000,1.52083,1.45833,1.52083,1.07599,3822000
1991-01-30,1.52083,1.60417,1.50000,1.60417,1.13495,6997200
1991-01-31,1.58333,1.62500,1.58333,1.60417,1.13495,2695200
1991-02-01,1.60417,1.62500,1.50000,1.56250,1.10547,2781600
1991-02-04,1.58333,1.62500,1.56250,1.60417,1.13495,2733600
1991-02-05,1.60417,1.68750,1.58333,1.66667,1.17917,4716000
1991-02-06,1.66667,1.68750,1.60417,1.68750,1.19391,3471600
1991-02-07,1.66667,1.68750,1.47917,1.56250,1.10547,5397600
1991-02-08,1.56250,1.56250,1.52083,1.56250,1.10547,4881600
1991-02-11,1.58333,1.58333,1.52083,1.52083,1.07599,3786000
1991-02-12,1.52083,1.54167,1.45833,1.47917,1.04652,3678000
1991-02-13,1.47917,1.52083,1.45833,1.52083,1.07599,2088000
1991-02-14,1.56250,1.56250,1.43750,1.47917,1.04652,1422000
1991-02-15,1.47917,1.52083,1.43750,1.52083,1.07599,1758000
1991-02-19,1.47917,1.52083,1.43750,1.50000,1.06126,1203600
1991-02-20,1.45833,1.50000,1.45833,1.47917,1.04652,880800
1991-02-21,1.45833,1.52083,1.45833,1.52083,1.07599,1201200
1991-02-22,1.52083,1.52083,1.47917,1.52083,1.07599,3283200
1991-02-25,1.52083,1.52083,1.47917,1.52083,1.07599,5196000
1991-02-26,1.50000,1.52083,1.43750,1.45833,1.03178,3578400
1991-02-27,1.43750,1.52083,1.43750,1.47917,1.04652,3823200
1991-02-28,1.52083,1.52083,1.47917,1.50000,1.06126,2199600
1991-03-01,1.50000,1.60417,1.47917,1.60417,1.13495,6188400
1991-03-04,1.60417,1.72917,1.58333,1.70833,1.20865,10185600
1991-03-05,1.70833,1.79167,1.68750,1.79167,1.26761,12264000
1991-03-06,1.79167,1.89583,1.77083,1.87500,1.32657,7293600
1991-03-07,1.85417,1.89583,1.81250,1.85417,1.31183,1287600
1991-03-08,1.95833,2.02083,1.89583,1.89583,1.34131,14209200
1991-03-11,1.93750,1.95833,1.81250,1.85417,1.31183,5305200
1991-03-12,1.77083,1.77083,1.66667,1.75000,1.23813,3855600
1991-03-13,1.75000,1.83333,1.72917,1.80208,1.27498,4711200
1991-03-14,1.81250,1.91667,1.79167,1.81250,1.28235,7258800
1991-03-15,1.81250,1.83333,1.70833,1.70833,1.20865,2112000
1991-03-18,1.70833,1.72917,1.56250,1.62500,1.14969,8835600
1991-03-19,1.58333,1.68750,1.54167,1.68750,1.19391,1851600
1991-03-20,1.64583,1.68750,1.64583,1.68750,1.19391,1116000
1991-03-21,1.72917,1.81250,1.66667,1.68750,1.19391,3274800
1991-03-22,1.70833,1.70833,1.60417,1.64583,1.16443,2564400
1991-03-25,1.60417,1.66667,1.60417,1.65625,1.17180,4803600
1991-03-26,1.66667,1.75000,1.64583,1.75000,1.23813,3585600
1991-03-27,1.73958,1.77083,1.70833,1.77083,1.25287,31168800
1991-03-28,1.77083,1.79167,1.75000,1.79167,1.26761,3576000
1991-04-01,1.72917,1.77083,1.70833,1.77083,1.25287,3224400
1991-04-02,1.77083,1.89583,1.77083,1.87500,1.32657,6482400
1991-04-03,1.91667,1.95833,1.89583,1.95833,1.38553,6838800
1991-04-04,1.95833,2.00000,1.91667,1.93750,1.37079,5052000
1991-04-05,1.93750,1.93750,1.85417,1.89583,1.34131,2082000
1991-04-08,1.89583,1.89583,1.83333,1.89583,1.34131,1218000
1991-04-09,1.87500,1.91667,1.83333,1.83333,1.29709,1833600
1991-04-10,1.85417,1.85417,1.77083,1.79167,1.26761,2904000
1991-04-11,1.83333,1.87500,1.83333,1.83333,1.29709,3019200
1991-04-12,1.85417,1.97917,1.85417,1.97917,1.40027,4441200
1991-04-15,2.00000,2.02083,1.95833,2.02083,1.42975,3404400
1991-04-16,2.02083,2.03125,1.97917,2.02083,1.42975,3153600
1991-04-17,2.00000,2.16667,2.00000,2.16667,1.53292,6250800
1991-04-18,2.12500,2.16667,2.08333,2.12500,1.50344,2926800
1991-04-19,2.04167,2.08333,1.97917,2.02083,1.42975,3382800
1991-04-22,1.97917,2.00000,1.91667,1.91667,1.35605,1644000
1991-04-23,1.97917,1.97917,1.89583,1.93750,1.37079,3108000
1991-04-24,1.93750,2.00000,1.91667,2.00000,1.41501,1986000
1991-04-25,1.97917,2.02083,1.91667,1.97917,1.40027,2677200
1991-04-26,1.95833,1.97917,1.91667,1.95833,1.38553,2100000
1991-04-29,1.95833,1.97917,1.85417,1.85417,1.31183,2733600
1991-04-30,1.87500,1.89583,1.72917,1.79167,1.26761,4630800
1991-05-01,1.79167,1.81250,1.75000,1.81250,1.28235,2001600
1991-05-02,1.83333,1.85417,1.79167,1.85417,1.31183,2767200
1991-05-03,1.85417,1.85417,1.79167,1.83333,1.29709,1300800
1991-05-06,1.79167,1.83333,1.79167,1.83333,1.29709,597600
1991-05-07,1.85417,1.87500,1.79167,1.81250,1.28235,1442400
1991-05-08,1.81250,1.82292,1.77083,1.81250,1.28235,1617600
1991-05-09,1.81250,1.83333,1.79167,1.83333,1.29709,837600
1991-05-10,1.81250,1.91667,1.81250,1.87500,1.32657,6775200
1991-05-13,1.91667,1.91667,1.87500,1.91667,1.35605,1273200
1991-05-14,1.90625,1.91667,1.83333,1.89583,1.34131,2161200
1991-05-15,1.85417,1.89583,1.77083,1.79167,1.26761,1722000
1991-05-16,1.83333,1.85417,1.79167,1.83333,1.29709,1195200
1991-05-17,1.79167,1.83333,1.75000,1.83333,1.29709,1161600
1991-05-20,1.83333,1.83333,1.79167,1.83333,1.29709,436800
1991-05-21,1.83333,1.87500,1.81250,1.83333,1.29709,1292400
1991-05-22,1.81250,1.83333,1.79167,1.83333,1.29709,1340400
1991-05-23,1.81250,1.83333,1.79167,1.83333,1.29709,704400
1991-05-24,1.79167,1.83333,1.79167,1.81250,1.28235,513600
1991-05-28,1.81250,1.85417,1.81250,1.85417,1.31183,722400
1991-05-29,1.85417,1.85417,1.81250,1.85417,1.31183,1094400
1991-05-30,1.81250,1.93750,1.81250,1.93750,1.37079,2607600
1991-05-31,1.93750,1.97917,1.91667,1.97917,1.40027,2673600
1991-06-03,1.95833,1.97917,1.93750,1.93750,1.37079,1231200
1991-06-04,1.97917,1.97917,1.91667,1.93750,1.37079,1291200
1991-06-05,1.93750,1.97917,1.91667,1.95833,1.38553,964800
1991-06-06,1.95833,1.95833,1.91667,1.95833,1.38553,286800
1991-06-07,1.91667,1.91667,1.85417,1.87500,1.32657,720000
1991-06-10,1.85417,1.87500,1.83333,1.87500,1.32657,462000
1991-06-11,1.87500,1.89583,1.83333,1.89583,1.34131,682800
1991-06-12,1.86458,1.89583,1.81250,1.87500,1.32657,2112000
1991-06-13,1.89583,1.93750,1.87500,1.93750,1.37079,1328400
1991-06-14,1.91667,1.97917,1.91667,1.93750,1.37079,702000
1991-06-17,1.95833,2.04167,1.93750,2.00000,1.41501,1356000
1991-06-18,1.95833,2.00000,1.87500,1.91667,1.35605,1752000
1991-06-19,1.85417,1.89583,1.77083,1.83333,1.29709,2114400
1991-06-20,1.81250,1.85417,1.79167,1.83333,1.29709,2432400
1991-06-21,1.83333,1.87500,1.83333,1.85417,1.31183,396000
1991-06-24,1.85417,1.87500,1.75000,1.81250,1.28235,1372800
1991-06-25,1.79167,1.81250,1.72917,1.77083,1.25287,1951200
1991-06-26,1.75000,1.77083,1.64583,1.72917,1.22339,1426800
1991-06-27,1.72917,1.72917,1.64583,1.66667,1.17917,1917600
1991-06-28,1.64583,1.75000,1.60417,1.75000,1.23813,2959200
1991-07-01,1.75000,1.75000,1.72917,1.72917,1.22339,882000
1991-07-02,1.70833,1.75000,1.68750,1.72917,1.22339,542400
1991-07-03,1.72917,1.72917,1.66667,1.72917,1.22339,957600
1991-07-05,1.72917,1.75000,1.70833,1.70833,1.20865,477600
