Date,Open,High,Low,Close,Adj Close,Volume
1970-12-15,2.24609,2.24609,2.19531,2.19531,0.22023,3088000
1970-12-16,2.18750,2.18750,2.10938,2.18750,0.21945,6003200
1970-12-17,2.18750,2.21484,2.18359,2.21484,0.22219,1676800
1970-12-18,2.21484,2.24219,2.20703,2.23438,0.22415,1555200
1970-12-21,2.23438,2.24609,2.22656,2.23438,0.22415,1273600
1970-12-22,2.23438,2.24609,2.22266,2.22266,0.22297,1747200
1970-12-23,2.22266,2.23438,2.21094,2.21875,0.22258,2230400
1970-12-24,2.21875,2.22656,2.20312,2.21875,0.22258,1158400
1970-12-28,2.21875,2.23438,2.21484,2.23438,0.22415,924800
1970-12-29,2.23438,2.26562,2.22656,2.26562,0.22728,2345600
1970-12-30,2.26562,2.28125,2.26172,2.28125,0.22885,2076800
1970-12-31,2.28125,2.29297,2.26953,2.29297,0.23003,1459200
1971-01-04,2.29297,2.29688,2.25391,2.26953,0.22768,1312000
1971-01-05,2.26953,2.27734,2.25781,2.26562,0.22728,1187200
1971-01-06,2.26562,2.27734,2.25000,2.25391,0.22611,1728000
1971-01-07,2.25391,2.26172,2.24219,2.25000,0.22572,1196800
1971-01-08,2.25000,2.25000,2.21875,2.21875,0.22258,1318400
1971-01-11,2.19531,2.19531,2.14062,2.18750,0.21945,5212800
1971-01-12,2.18750,2.19531,2.16406,2.17188,0.21788,2691200
1971-01-13,2.16406,2.16406,2.11328,2.12109,0.21278,3667200
1971-01-14,2.12109,2.12891,2.09375,2.12891,0.21357,5344000
1971-01-15,2.12891,2.13281,2.10938,2.10938,0.21161,2614400
1971-01-18,2.10938,2.12891,2.10547,2.12500,0.21318,2588800
1971-01-19,2.12500,2.14062,2.12109,2.13672,0.21435,2195200
1971-01-20,2.14062,2.16406,2.14062,2.15234,0.21592,2643200
1971-01-21,2.15234,2.17188,2.14062,2.16797,0.21749,1872000
1971-01-22,2.17188,2.19531,2.17188,2.19531,0.22023,2150400
1971-01-25,2.19531,2.19531,2.17578,2.18750,0.21945,2876800
1971-01-26,2.18750,2.19531,2.17578,2.18359,0.21906,3356800
1971-01-27,2.18359,2.19531,2.17188,2.17188,0.21788,1734400
1971-01-28,2.17188,2.18359,2.15234,2.17578,0.21827,1475200
1971-01-29,2.17969,2.21484,2.17969,2.20703,0.22141,2918400
1971-02-01,2.21484,2.25000,2.21484,2.25000,0.22572,1756800
1971-02-02,2.25000,2.25000,2.21875,2.22266,0.22297,1939200
1971-02-03,2.22266,2.22266,2.19922,2.21094,0.22180,2976000
1971-02-04,2.19922,2.19922,2.18359,2.19531,0.22023,1945600
1971-02-05,2.19531,2.22266,2.19141,2.21094,0.22180,1417600
1971-02-08,2.21094,2.22266,2.20703,2.21875,0.22545,1404800
1971-02-09,2.21875,2.25391,2.21484,2.24219,0.22783,3916800
1971-02-10,2.24219,2.26953,2.23047,2.26562,0.23021,2099200
1971-02-11,2.26562,2.26562,2.24219,2.24609,0.22823,2096000
1971-02-12,2.24609,2.26953,2.24609,2.25781,0.22942,2646400
1971-02-16,2.28125,2.32422,2.28125,2.32422,0.23617,4787200
1971-02-17,2.32422,2.34375,2.30469,2.33594,0.23736,2400000
1971-02-18,2.33594,2.33984,2.33203,2.33984,0.23776,1648000
1971-02-19,2.33594,2.33594,2.32031,2.32812,0.23656,1600000
1971-02-22,2.32422,2.32422,2.30859,2.32031,0.23577,1766400
1971-02-23,2.32031,2.33203,2.31250,2.32812,0.23656,1840000
1971-02-24,2.32812,2.33203,2.31641,2.32812,0.23656,2297600
1971-02-25,2.33203,2.38281,2.33203,2.37109,0.24093,2460800
1971-02-26,2.37109,2.37109,2.29297,2.34766,0.23855,3030400
1971-03-01,2.34375,2.34375,2.32422,2.33203,0.23696,1536000
1971-03-02,2.33203,2.35156,2.33203,2.34375,0.23815,1606400
1971-03-03,2.34375,2.36719,2.33594,2.35938,0.23974,1494400
1971-03-04,2.35938,2.44531,2.35547,2.42969,0.24688,2444800
1971-03-05,2.42969,2.44922,2.42969,2.44141,0.24808,2473600
