Date,Open,High,Low,Close,Adj Close,Volume
1977-01-03,25.52701,25.80149,25.52701,25.58190,5.95671,169800
1977-01-04,25.58190,25.69170,25.19763,25.25252,5.88001,143200
1977-01-05,25.25252,25.63680,24.92314,25.08784,5.84166,191000
1977-01-06,25.08784,25.36232,24.86825,25.03294,5.82888,168700
1977-01-07,25.03294,25.14273,24.48397,24.92314,5.80331,143200
1977-01-10,24.92314,25.19763,24.64866,24.97804,5.81610,198000
1977-01-11,24.97804,25.41722,24.59376,24.59376,5.72662,145700
1977-01-12,24.59376,24.75845,24.31928,24.53887,5.71384,158900
1977-01-13,24.53887,24.86825,24.53887,24.86825,5.79054,153200
1977-01-14,24.86825,24.92314,24.59376,24.64866,5.73940,173900
1977-01-17,24.64866,24.92314,24.37418,24.53887,5.71384,152500
1977-01-18,24.53887,24.86825,24.31928,24.42907,5.68828,367500
1977-01-19,24.42907,24.64866,24.15459,24.64866,5.73940,179400
1977-01-20,24.64866,24.64866,23.71542,24.26438,5.64993,255900
1977-01-21,24.26438,24.53887,24.04480,24.53887,5.71384,225400
1977-01-24,24.37418,24.37418,24.04480,24.15459,5.62436,259100
1977-01-25,24.15459,24.37418,23.82521,24.04480,5.59880,176900
1977-01-26,24.04480,24.09969,23.77031,23.88011,5.56045,156600
1977-01-27,23.66052,23.66052,22.83707,23.11155,5.38149,322400
1977-01-28,23.11155,23.38603,22.94686,23.33114,5.43262,294400
1977-01-31,23.33114,23.77031,23.16645,23.71542,5.52210,239000
1977-02-01,23.71542,23.82521,23.33114,23.33114,5.43262,245200
1977-02-02,23.33114,23.88011,22.78217,22.83707,5.31757,304800
1977-02-03,22.83707,23.16645,22.67238,23.16645,5.39427,200800
1977-02-04,23.16645,23.38603,23.00176,23.16645,5.39427,235200
1977-02-07,23.16645,23.49583,23.05665,23.16645,5.39427,144300
1977-02-08,23.16645,23.27624,22.67238,22.78217,5.30479,593100
1977-02-09,22.78217,22.89196,22.45279,22.89196,5.33036,352200
1977-02-10,22.89196,23.00176,22.56258,22.83707,5.31757,219700
1977-02-11,22.83707,22.89196,22.67238,22.78217,5.30479,182100
1977-02-14,22.78217,23.05665,22.50768,23.05665,5.36871,218100
1977-02-15,23.05665,23.11155,22.89196,23.00176,5.35592,219700
1977-02-16,23.00176,23.27624,22.89196,23.05665,5.36871,157300
1977-02-17,23.05665,23.05665,22.72727,22.83707,5.31757,139500
1977-02-18,22.83707,22.83707,22.50768,22.72727,5.29201,112900
1977-02-22,22.72727,22.89196,22.67238,22.78217,5.30479,137700
1977-02-23,22.78217,22.78217,22.23320,22.34300,5.20253,218300
1977-02-24,22.34300,22.34300,21.84892,21.90382,5.10027,373600
1977-02-25,21.90382,22.34300,21.84892,22.17830,5.16419,266400
