Date,Open,High,Low,Close,Adj Close,Volume
1997-09-17,5.16715,5.43674,5.16715,5.23454,3.87646,29185400
1997-09-18,5.30194,5.41427,5.25701,5.41427,4.00956,6731800
1997-09-19,5.40304,5.57153,5.40304,5.43674,4.02620,3440200
1997-09-22,5.39180,5.45920,5.38057,5.39180,3.99292,5831000
1997-09-23,5.39180,5.41427,5.38057,5.39180,3.99292,2738600
1997-09-24,5.40304,5.41427,5.38057,5.39180,3.99292,2575500
1997-09-25,5.39180,5.47044,5.39180,5.47044,4.05115,1005900
1997-09-26,5.45920,5.61646,5.44797,5.60523,4.15097,1636300
1997-09-29,5.61646,5.68386,5.61646,5.68386,4.20920,1708100
1997-09-30,5.74002,5.99838,5.72879,5.81866,4.30903,4639200
1997-10-01,5.82989,5.82989,5.57153,5.57153,4.12602,3525900
1997-10-02,5.59400,5.60523,5.48167,5.54907,4.10938,1870600
1997-10-03,5.60523,5.66140,5.57153,5.62770,4.16761,2065300
1997-10-06,5.60523,5.79619,5.60523,5.75126,4.25912,7842400
1997-10-07,5.79619,5.88605,5.50413,5.59400,4.14266,21602200
1997-10-08,5.59400,5.61646,5.48167,5.51537,4.08443,16664700
1997-10-09,5.50413,5.75126,5.40304,5.74002,4.25080,12844400
1997-10-10,5.54907,5.74002,5.52660,5.67263,4.20088,10308900
1997-10-13,5.68386,5.76249,5.67263,5.76249,4.26744,10520900
1997-10-14,5.71756,5.82989,5.70633,5.72879,4.24248,17077000
1997-10-15,5.59400,5.71756,5.59400,5.70633,4.22584,9048700
1997-10-16,5.75126,5.77372,5.66140,5.70633,4.22584,9002500
1997-10-17,5.61646,5.63893,5.44797,5.60523,4.15097,6431400
1997-10-20,5.58276,5.82989,5.58276,5.79619,4.29239,7995400
1997-10-21,5.75126,6.14441,5.75126,6.03208,4.46708,9219500
1997-10-22,5.93098,5.99838,5.86359,5.93098,4.39221,5610700
1997-10-23,5.84112,5.94222,5.79619,5.93098,4.39221,7688800
1997-10-24,5.94222,5.97592,5.82989,5.93098,4.39221,5598400
1997-10-27,5.84112,5.85236,5.50413,5.59400,4.14266,6699000
1997-10-28,5.41427,5.68386,5.23454,5.56030,4.11770,4660400
1997-10-29,5.58276,5.66140,5.42550,5.44797,4.03452,3286000
1997-10-30,5.23454,5.42550,5.23454,5.30194,3.92637,4901800
1997-10-31,5.30194,5.48167,5.29071,5.44797,4.03452,5334200
1997-11-03,5.48167,5.52660,5.40304,5.48167,4.05947,5457100
1997-11-04,5.43674,5.49290,5.36934,5.41427,4.00956,5849900
1997-11-05,5.39180,5.48167,5.36934,5.42550,4.01788,6204900
1997-11-06,5.43674,5.75126,5.41427,5.68386,4.20920,6185400
1997-11-07,5.66140,5.82989,5.57153,5.75126,4.25912,6055800
1997-11-10,5.79619,6.17811,5.77372,6.07701,4.50036,5481600
1997-11-11,5.88605,6.04331,5.88605,6.02085,4.45876,4125100
1997-11-12,5.97592,6.02085,5.89729,5.89729,4.36726,4147399
1997-11-13,5.91975,6.05455,5.91975,6.02085,4.45876,6960000
1997-11-14,6.15564,6.47016,6.13318,6.33537,4.69168,11075600
1997-11-17,6.38030,6.51510,6.33537,6.34660,4.70000,5030400
1997-11-18,6.31290,6.34660,6.04331,6.07701,4.50036,5827100
1997-11-19,6.04331,6.15564,5.99838,6.11071,4.52531,6024100
1997-11-20,6.11071,6.16688,6.08825,6.13318,4.54195,6341200
1997-11-21,6.12194,6.22304,6.11071,6.20058,4.59186,3088000
1997-11-24,6.11071,6.20058,6.02085,6.02085,4.45876,3880800
1997-11-25,6.03208,6.05455,5.84112,5.88605,4.35894,3297700
1997-11-26,5.84112,5.99838,5.84112,5.96468,4.41717,2655100
1997-11-28,5.95345,6.11071,5.95345,6.07701,4.50036,1168900
1997-12-01,6.17811,6.17811,6.07701,6.11071,4.52531,3024000
1997-12-02,6.15564,6.15564,6.04331,6.12194,4.53363,4351600
1997-12-03,6.11071,6.24551,6.11071,6.23427,4.61681,2006900
1997-12-04,6.29044,6.36907,6.23427,6.25674,4.63345,4566300
1997-12-05,6.25674,6.26797,6.20058,6.22304,4.60850,3969900
1997-12-08,6.17811,6.27921,6.15564,6.20058,4.59186,2142600
1997-12-09,6.13318,6.20058,6.12194,6.14441,4.55027,1943500
1997-12-10,6.11071,6.11071,5.69509,5.79619,4.29239,8938500
1997-12-11,5.68386,5.70633,5.54907,5.59400,4.14266,6056900
1997-12-12,5.60523,5.61646,5.43674,5.45920,4.04283,4678200
1997-12-15,5.41427,5.52660,5.40304,5.42550,4.01788,9977300
1997-12-16,5.39180,5.56030,5.39180,5.52660,4.09274,10624400
1997-12-17,5.53783,5.62770,5.42550,5.45920,4.04283,6991100
1997-12-18,5.41427,5.42550,5.31317,5.36934,3.97629,2701800
1997-12-19,5.34687,5.39180,5.32441,5.35811,3.96797,2821500
1997-12-22,5.39180,5.41427,5.27948,5.35811,3.96797,2253900
1997-12-23,5.31317,5.33564,5.08852,5.09975,3.77664,4369900
1997-12-24,5.05482,5.17838,5.00988,5.16715,3.82655,2143800
1997-12-26,5.14468,5.15591,5.08852,5.08852,3.76832,1234600
1997-12-29,5.04358,5.21208,5.03235,5.09975,3.77664,2182200
1997-12-30,5.09975,5.31317,5.08852,5.26824,3.90142,2689600
