Date,Open,High,Low,Close,Adj Close,Volume
2013-02-01,31.50000,31.74000,30.47000,31.01000,29.25546,66789100
2013-02-04,31.09000,31.99000,30.76000,31.02000,29.26490,7695400
2013-02-05,31.25000,31.98000,30.85000,31.04000,29.28377,5013200
2013-02-06,30.98000,31.43000,30.75000,31.03000,29.27434,2126100
2013-02-07,31.00000,32.73000,31.00000,32.00000,30.18946,3800800
2013-02-08,32.31000,33.48000,32.30000,33.05000,31.18004,2599300
2013-02-11,33.06000,33.50000,32.88000,33.26000,31.37816,1487200
2013-02-12,33.40000,34.00000,33.15000,33.74000,31.83100,1637300
2013-02-13,33.80000,33.80000,33.00000,33.55000,31.65175,1269700
2013-02-14,33.39000,33.45000,32.77000,33.27000,31.38760,2954500
2013-02-15,33.31000,34.09000,33.00000,33.98000,32.05743,5415400
2013-02-19,34.02000,34.07000,33.57000,33.84000,31.92534,1206900
2013-02-20,33.84000,33.88000,32.60000,32.72000,30.86871,1842900
2013-02-21,32.50000,32.80000,31.86000,32.56000,30.71776,3242300
2013-02-22,32.78000,32.93000,32.50000,32.59000,30.74606,954500
2013-02-25,32.68000,32.69000,32.00000,32.07000,30.25549,818900
2013-02-26,32.05000,32.40000,31.99000,32.04000,30.22719,1048700
2013-02-27,32.00000,33.05000,32.00000,32.32000,30.49135,1343600
2013-02-28,32.56000,33.55000,32.56000,33.45000,31.55741,2991400
2013-03-01,33.36000,34.70000,33.15000,34.60000,32.64233,2334000
2013-03-04,34.80000,34.89000,34.24000,34.35000,32.40648,865400
2013-03-05,34.41000,34.48000,33.75000,34.29000,32.34989,1413400
2013-03-06,34.34000,34.38000,33.85000,33.85000,31.93478,802000
2013-03-07,33.95000,34.68000,33.56000,34.56000,32.60461,1320000
2013-03-08,34.03000,34.69000,33.80000,34.09000,32.16119,1541100
2013-03-11,33.97000,34.26000,33.25000,34.18000,32.24610,1729400
2013-03-12,34.12000,34.24000,33.60000,33.82000,31.90646,1557600
2013-03-13,33.90000,34.06000,33.08000,34.00000,32.07629,2240800
2013-03-14,34.33000,35.42000,34.30000,34.64000,32.68009,1865200
2013-03-15,34.70000,34.84000,33.31000,33.44000,31.54798,2692100
2013-03-18,32.75000,32.94000,32.64000,32.84000,30.98192,2372000
2013-03-19,32.80000,33.42000,32.33000,32.80000,30.94419,1336200
2013-03-20,32.90000,33.54000,32.50000,33.51000,31.61401,1944000
2013-03-21,33.90000,34.00000,33.29000,33.47000,31.57628,514500
2013-03-22,33.55000,33.75000,32.74000,33.12000,31.24608,763300
2013-03-25,33.48000,33.48000,32.25000,32.46000,30.62342,1324600
2013-03-26,32.73000,32.79000,32.00000,32.51000,30.67059,1396500
2013-03-27,32.38000,32.89000,32.06000,32.74000,30.88758,1896800
2013-03-28,32.85000,33.50000,32.63000,33.40000,31.51024,7434900
2013-04-01,33.42000,33.59000,32.43000,32.59000,30.74606,1466300
2013-04-02,32.66000,33.13000,32.46000,32.55000,30.70833,712200
2013-04-03,32.67000,32.98000,32.36000,32.53000,30.68946,1409700
2013-04-04,32.41000,32.50000,31.71000,31.84000,30.03851,1946400
2013-04-05,31.73000,32.07000,30.57000,31.96000,30.15171,3963500
2013-04-08,31.95000,32.98000,31.77000,32.92000,31.05740,1965200
2013-04-09,33.05000,33.59000,32.56000,33.44000,31.54798,2004400
2013-04-10,33.76000,33.76000,32.98000,33.15000,31.27440,969500
2013-04-11,33.22000,33.24000,32.87000,33.16000,31.28382,1826600
2013-04-12,32.97000,33.35000,32.60000,33.23000,31.34986,723500
2013-04-15,33.07000,33.23000,32.17000,32.24000,30.41587,839500
2013-04-16,32.36000,33.37000,32.29000,33.21000,31.33100,2271200
2013-04-17,32.98000,33.23000,32.17000,32.89000,31.02910,3140500
2013-04-18,33.10000,33.10000,32.38000,32.47000,30.63286,799900
2013-04-19,32.71000,32.79000,31.81000,32.71000,30.85928,2159300
2013-04-22,32.90000,32.90000,32.22000,32.66000,30.81211,922100
2013-04-23,32.78000,32.96000,31.50000,31.70000,29.90643,2731700
2013-04-24,31.63000,31.69000,30.42000,30.62000,28.88752,4149300
2013-04-25,30.93000,31.99000,30.75000,31.55000,29.76490,1520600
2013-04-26,31.61000,32.68000,31.61000,32.64000,30.79324,1421800
2013-04-29,32.95000,32.95000,32.17000,32.66000,30.87359,1711600
2013-04-30,33.68000,34.74000,32.93000,33.02000,31.21390,3390300
2013-05-01,32.97000,33.51000,32.66000,33.39000,31.56366,1393100
2013-05-02,33.38000,33.87000,33.11000,33.28000,31.45968,696300
2013-05-03,33.62000,33.64000,33.00000,33.21000,31.39351,998400
2013-05-06,33.35000,33.49000,32.75000,32.94000,31.13828,503700
2013-05-07,33.08000,33.08000,32.29000,32.88000,31.08156,700700
2013-05-08,33.00000,33.44000,32.72000,33.26000,31.44077,1034099
2013-05-09,33.31000,33.67000,33.28000,33.55000,31.71491,977200
2013-05-10,33.54000,33.61000,32.97000,33.18000,31.36515,534100
2013-05-13,33.06000,33.49000,32.75000,33.04000,31.23282,438700
2013-05-14,33.13000,33.75000,32.85000,33.08000,31.27062,872300
2013-05-15,32.94000,33.06000,32.56000,32.79000,30.99648,563200
2013-05-16,33.48000,33.80000,33.16000,33.39000,31.56366,1278700
2013-05-17,33.35000,33.90000,33.19000,33.90000,32.04576,962200
2013-05-20,33.90000,34.00000,33.60000,33.71000,31.86616,735700
2013-05-21,33.57000,33.74000,32.99000,33.04000,31.23282,1692400
2013-05-22,32.55000,33.99000,31.75000,33.55000,31.71491,26006000
2013-05-23,33.25000,33.80000,32.71000,32.84000,31.04374,9008500
2013-05-24,33.20000,33.62000,32.53000,33.46000,31.62983,5911600
2013-05-28,33.80000,34.28000,33.59000,34.26000,32.38607,4960300
2013-05-29,34.25000,34.25000,32.88000,32.95000,31.14773,3095700
2013-05-30,32.77000,33.10000,32.10000,32.24000,30.47656,3934100
2013-05-31,32.30000,32.34000,31.80000,32.00000,30.24970,6512400
2013-06-03,32.01000,32.84000,31.31000,32.75000,30.95867,3398000
2013-06-04,32.83000,32.99000,31.84000,32.40000,30.62781,4513400
2013-06-05,32.42000,32.42000,31.75000,32.17000,30.41039,3522300
2013-06-06,32.17000,32.31000,31.54000,32.08000,30.32532,2918200
2013-06-07,32.26000,32.34000,31.21000,31.50000,29.77704,5134200
2013-06-10,31.83000,32.11000,31.47000,32.01000,30.25914,4992100
2013-06-11,31.70000,32.02000,31.40000,31.70000,29.96610,6367500
2013-06-12,31.95000,32.03000,31.40000,31.53000,29.80540,7648500
2013-06-13,31.47000,31.55000,30.87000,31.17000,29.46509,5849800
2013-06-14,31.00000,31.26000,30.61000,30.80000,29.11532,10665000
2013-06-17,31.40000,31.76000,30.71000,30.96000,29.26658,26785600
2013-06-18,31.33000,31.39000,30.95000,31.18000,29.47455,24286200
2013-06-19,31.06000,31.24000,30.82000,31.00000,29.30438,23483400
2013-06-20,30.89000,31.04000,30.05000,30.19000,28.53869,14938500
2013-06-21,30.55000,31.09000,30.34000,30.60000,28.92627,33694200
2013-06-24,30.15000,30.50000,29.40000,30.38000,28.71830,40766000
2013-06-25,30.80000,31.62000,30.50000,31.49000,29.76759,13511100
2013-06-26,31.80000,31.90000,30.92000,30.97000,29.27603,23779700
2013-06-27,31.46000,31.51000,30.79000,30.87000,29.18150,16734599
2013-06-28,30.90000,31.39000,30.54000,30.89000,29.20040,19415100
2013-07-01,31.02000,31.06000,30.13000,30.61000,28.93572,17601000
2013-07-02,30.22000,30.83000,29.62000,29.70000,28.07550,11157300
2013-07-03,29.67000,29.74000,28.97000,29.28000,27.67846,12930000
2013-07-05,29.81000,30.18000,29.78000,30.17000,28.51978,10819200
2013-07-08,30.45000,30.97000,30.22000,30.94000,29.24767,15675100
2013-07-09,31.12000,31.40000,30.94000,30.98000,29.28548,8704800
2013-07-10,31.08000,31.24000,30.47000,31.04000,29.34220,6506200
2013-07-11,31.43000,31.45000,30.84000,30.92000,29.22876,4486900
2013-07-12,31.02000,31.38000,31.01000,31.35000,29.63524,5429400
2013-07-15,31.31000,31.65000,31.10000,31.58000,29.85266,4201900
2013-07-16,31.56000,31.65000,31.10000,31.16000,29.45564,4301200
2013-07-17,31.23000,31.23000,30.85000,30.99000,29.29493,3545800
2013-07-18,31.11000,31.20000,30.77000,30.82000,29.13423,4053700
2013-07-19,30.79000,30.80000,30.12000,30.24000,28.58596,8946200
2013-07-22,30.36000,30.59000,30.16000,30.27000,28.61431,4255800
2013-07-23,30.41000,30.44000,29.76000,30.06000,28.41580,5091800
2013-07-24,30.13000,30.55000,29.66000,29.90000,28.26455,4890100
2013-07-25,29.88000,30.55000,29.71000,30.52000,28.85064,5472900
2013-07-26,30.40000,30.53000,30.00000,30.43000,28.76556,5051600
2013-07-29,30.27000,30.54000,29.98000,30.09000,28.44416,4123600
2013-07-30,30.15000,30.32000,29.89000,30.04000,28.45837,4630100
2013-07-31,30.00000,30.19000,29.80000,29.81000,28.24048,5375100
2013-08-01,29.97000,30.21000,29.46000,30.16000,28.57205,8105500
2013-08-02,30.12000,30.96000,29.91000,30.94000,29.31098,5187500
2013-08-05,30.47000,31.39000,30.47000,31.25000,29.60466,7283300
2013-08-06,31.68000,32.50000,31.09000,31.13000,29.49098,12471200
2013-08-07,31.10000,31.40000,30.65000,31.24000,29.59519,5920100
2013-08-08,31.40000,31.83000,31.18000,31.24000,29.59519,7161900
2013-08-09,31.14000,31.24000,30.78000,30.91000,29.28257,2784100
2013-08-12,30.68000,30.99000,30.04000,30.33000,28.73310,5793700
2013-08-13,30.50000,30.75000,30.20000,30.45000,28.84678,3116200
2013-08-14,30.50000,30.63000,30.08000,30.14000,28.55310,3858200
2013-08-15,29.94000,30.16000,29.79000,30.02000,28.43942,5818900
2013-08-16,29.94000,30.20000,29.75000,30.00000,28.42048,3678800
2013-08-19,29.91000,30.30000,29.84000,29.87000,28.29732,2480600
2013-08-20,29.86000,30.41000,29.71000,30.23000,28.63837,3804100
2013-08-21,30.07000,30.19000,29.60000,29.85000,28.27838,3531400
2013-08-22,29.83000,30.01000,29.57000,29.87000,28.29732,3030800
2013-08-23,29.88000,30.23000,29.64000,30.20000,28.60995,2531600
2013-08-26,30.16000,30.16000,29.65000,29.80000,28.23101,7179000
2013-08-27,29.53000,29.67000,29.00000,29.20000,27.66260,8103500
2013-08-28,29.07000,29.83000,28.81000,29.57000,28.01312,7067300
2013-08-29,29.43000,29.61000,29.22000,29.47000,27.91838,1590600
2013-08-30,29.45000,29.50000,29.04000,29.15000,27.61523,2296300
2013-09-03,29.46000,29.77000,29.19000,29.43000,27.88049,2052100
2013-09-04,29.45000,29.71000,29.35000,29.69000,28.12680,3187200
2013-09-05,29.72000,30.49000,29.66000,30.33000,28.73310,5688100
2013-09-06,30.45000,30.95000,29.97000,30.61000,28.99836,5245900
2013-09-09,30.64000,31.00000,30.36000,30.59000,28.97942,2723800
2013-09-10,31.33000,31.82000,30.86000,30.95000,29.32046,5024400
2013-09-11,31.36000,31.46000,30.89000,31.33000,29.68045,6367900
2013-09-12,31.36000,31.39000,30.82000,31.08000,29.44362,2881300
2013-09-13,31.07000,31.30000,30.91000,31.05000,29.41519,3087300
2013-09-16,31.44000,32.18000,31.39000,31.85000,30.17307,7069200
2013-09-17,32.01000,32.52000,31.98000,32.38000,30.67516,4616300
2013-09-18,32.28000,32.73000,31.96000,32.72000,30.99727,3913200
2013-09-19,32.80000,32.90000,32.16000,32.51000,30.79832,4128700
2013-09-20,32.68000,32.75000,31.87000,32.19000,30.49517,11372300
2013-09-23,32.19000,32.19000,31.35000,31.58000,29.91729,3322100
2013-09-24,31.62000,31.66000,31.21000,31.48000,29.82255,2212100
2013-09-25,31.48000,31.59000,31.03000,31.06000,29.42466,3165800
2013-09-26,31.22000,31.64000,31.20000,31.58000,29.91729,2289100
2013-09-27,31.56000,31.60000,31.05000,31.15000,29.50993,2391000
2013-09-30,31.10000,31.32000,30.93000,31.12000,29.48151,2890400
2013-10-01,31.12000,32.04000,31.01000,31.78000,30.10676,3263200
2013-10-02,31.67000,32.13000,31.43000,32.00000,30.31518,3071500
2013-10-03,31.79000,31.82000,31.34000,31.48000,29.82255,2520500
2013-10-04,32.29000,32.56000,31.64000,32.05000,30.36255,5795500
2013-10-07,31.70000,32.38000,31.59000,31.93000,30.24886,4420200
2013-10-08,31.86000,32.09000,31.46000,31.53000,29.86992,4152500
2013-10-09,31.73000,31.73000,31.08000,31.43000,29.77519,3379900
2013-10-10,31.78000,32.36000,31.47000,32.36000,30.65622,4397600
2013-10-11,32.44000,32.77000,32.03000,32.40000,30.69411,6164800
2013-10-14,32.03000,32.46000,31.86000,32.29000,30.58991,2527800
